Centaur Zendo round final (final)
round_id : e9d74e54f9e14b789cd13a0fc2fd92e1
written  : 2026-09-04 15:06:14Z
presented=3663  answered=0  correct=0  skipped=3664
client answer latency: mean 0.074 ms  median 0.066 ms  max 1.516 ms  (n=3664)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       EA.W.V.WWS.WEA..MA.E.A.SA.VW.EE.ASS.MES…  None                                      0
   1  fennick       AD.NNA.CP.HP.APN..H..PDH.N..A.DDD.ND/D:…  None                                      0
   2  fennick       EUU.NH.EJ..UN.N.A.JA.HU.H..EA.HE.AJ/H:2…  None                                      0
   3  fennick       AU.ACE.LAU.P.UPL.U.CL..A.AA..L..EP.PUL/…  None                                      0
   4  fennick       DJK.GKK.S.SGK..DDG..VV.VD.JS.D.V.JGG/K:…  None                                      0
   5  fennick       DN.L.JD..TD.LN.CCJ.C.DL.LN.CT.TT.LD/C:0…  None                                      0
   6  fennick       VEP..C.EP.CG.PE.S.CS.G.V..CCS.VE..SE/P:…  None                                      0
   7  fennick       VVF..TPP.TTB.VW.T.P..VV.FWB..PP.TW.BTW/…  None                                      0
   8  fennick       AP..N.NA.LAF.PP.CC.C..LF.NC..L.LL.FN/L:…  None                                      0
   9  fennick       DRP..DR.LH.R.DL.T.PPD.RP.HP.TD.RR..TH/D…  None                                      0
  10  fennick       LAA..BP.PW..P..PV..LA.BW.W.LV.B.AB.LV/P…  None                                      0
  11  fennick       BRB.VH.HR.E.WV..WBH..BW.EVW.R.BER.RH/H:…  None                                      0
  12  fennick       LSA.AS.VV.M..VAL..MSF.LAF.S.F.SAF.MSM/F…  None                                      0
  13  fennick       SD.D.S.EM..T.MD..SE.MM.SSH..TT.TTH.HHT/…  None                                      0
  14  fennick       RF.EJ.KF.ER.K.J..E.AR.FA..KK.AJ.EE..JR/…  None                                      0
  15  fennick       VSV.MJ.WUW.U.W.MS.UV.UV.WJ..WS.M.MJ/W:1…  None                                      0
  16  fennick       FDD.ND.TF.W..CCD.NTW.D..F..TT.CW.CNC/W:…  None                                      0
  17  fennick       KKP.KK..R.KV.A..VVU.AAA.V.PAP.RU.ARU/K:…  None                                      0
  18  fennick       PP.LBL..KB.K..U.KB.UL.KP.B.US.LU..BLB/B…  None                                      0
  19  fennick       CC.SE..CSS.VE.A.CV.AC.EA.SBC.E.BV.ACE/S…  None                                      0
  20  fennick       GMB.MB.UAW.AU..MBU.MU.W.GB.A.WW.B..BW/B…  None                                      0
  21  fennick       DC.TD.DU.E..RR.D.ER.C.R.UE..U.CC.DEE/U:…  None                                      0
  22  fennick       CK..TJ.JC.TK.WE.W.T.E.KC.CT.C.K..WE..CC…  None                                      0
  23  fennick       MDN..DV..SMS.NN.D.MV.NM.MH.N.VV.DV.SNM/…  None                                      0
  24  fennick       RRS.DR.SBC.D..DS.CP.PB.C.SD.R.DB..RRP/P…  None                                      0
  25  fennick       NSA.N.KNN.NK.AJ..HN..S.JSH.SHS.SJS..KH/…  None                                      0
  26  fennick       RUD.KU..RU.D..DU.R.BB.V.RV.U.VV..BDK.DK…  None                                      0
  27  fennick       FHR.R.F.BNP.NP.H.B..RPF.HH.BFF.N..FP/P:…  None                                      0
  28  fennick       ARU.UG.C..RCC.F..AUF.UU..G.AG.RCC.FF/U:…  None                                      0
  29  fennick       JVJ.U.VH.C.J..H..HC.V..LLL.LCU.CCJ.UCH/…  None                                      0
  30  fennick       FJF.A.MJ.FWJ.W.D.JW.DM..FF.FM.J.AMM.AMW…  None                                      0
  31  fennick       UP.UFC.HHF.KCC.U.C..CU..PF.PHK.F.PF/K:1…  None                                      0
  32  fennick       UJG.J.JL.EL.EG.KLJ..KU.L.K.UGU.G..EL/L:…  None                                      0
  33  fennick       HBH.KU.WT.U..KW.BW.UK.TK.BT..H.K.TWU/W:…  None                                      0
  34  fennick       MRT..SM.A..T.RRL.TRM.AL.SA..M.ATR.LT/L:…  None                                      0
  35  fennick       EVF..G.F.V..HH.FJ.GJ..H.EHF.HFJ.GFV.HH/…  None                                      0
  36  fennick       US.U..R.SJ.BR.RB.URU.AS.J..JB..B.RB/S:0…  None                                      0
  37  fennick       FR.JFM.E..J.RE.CEF..CF.EC.EJ.M..C.MF/R:…  None                                      0
  38  fennick       PW.PM..HK.M..W.HKG.MPW.HKK.P..WWG.KM/W:…  None                                      0
  39  fennick       KJR.P.KPP..RP.K.RF.JK.KRC.JF.R.PFK..JP/…  None                                      0
  40  fennick       SR.N.DK.K.NR.R.E.SNR..DSE.KE.SNN..EK/K:…  None                                      0
  41  fennick       JKC.C.VJM.JC.CD.MVM..VKV.KD..K.JC..KDK/…  None                                      0
  42  fennick       NA.B.UB.G.BB..J.NGG..JN.AGU.JB.GGJ.UA/N…  None                                      0
