Centaur Zendo round 1 (training)
round_id : fe1ca036ac3e4801be4d7c76e5b11e94
written  : 2026-09-04 14:45:33Z
presented=675  answered=0  correct=0  skipped=676
client answer latency: mean 0.085 ms  median 0.080 ms  max 1.145 ms  (n=676)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       PD.AV.P.A.TNA.DTN.PN..VN.AA..PNT.ATA/D:…  None                                      0
   1  fennick       JGJ.JG.J.WR.RJ..RD.R.JW.RJD.DR.GWW.MDD/…  None                                      0
   2  fennick       UML.FMU.GR.RU.U..FRR..F..MM.FMG.G.LGF/U…  None                                      0
   3  fennick       GSF.GS.MG.JJ..M.LF.S..FJ.JL.J.SFF.JG/L:…  None                                      0
   4  fennick       FEF.CD.DR.R..SR.ECR..S.SD..D..FC.FE/C:1…  None                                      0
   5  fennick       FFP..FA.FT..F.E.FE..DAD.TF.TE.AP.PAE/A:…  None                                      0
   6  fennick       PR.S.ER.PE..E.SJ.J..SL.SJ.P..LJ..RES.ES…  None                                      0
   7  fennick       TCC..T.JC.LT.LFT.LK.F..C..J..KC.FCK.KK/…  None                                      0
   8  fennick       FLL.VS.SS..TTT.VF.V..FSV..S.PP..LF.PT/V…  None                                      0
   9  fennick       UNL..HL.J..JH.L.F.NF.HJ.UJ.UN..N.NF/N:2…  None                                      0
  10  fennick       LLK.F..DLL..WF.KF.L.DL.MD.WW.LF.D.MF/M:…  None                                      0
  11  fennick       DA.HA.DNB.PP..A..AH.BN.N.PN.BP.DDP.HHB/…  None                                      0
  12  fennick       EV.HFD.FE.KVD.H.FH.FDK.E.DH.DH..K..FV/H…  None                                      0
  13  fennick       GHR.RP.H.E..RH.P..FE..HF.FR.EH.GG.GH/F:…  None                                      0
  14  fennick       MC.FCF..CVM.FSM.W.CW.F..MS.V..SW.VWC/F:…  None                                      0
  15  fennick       HSM.RB.H.MS.R.LH.HL.L.RHB..MSL.B..RS/L:…  None                                      0
  16  fennick       WR.D.RG..RW.DD.F.FW..G..VVG.WRD.GFG.VW/…  None                                      0
  17  fennick       HKK.LHL.K.LM.KL..L..DLH.LM.D.SD.DD.MKM/…  None                                      0
  18  fennick       TET.AMC..A.E.MT.T.AP.CM..AE.C.P.AC.PT/T…  None                                      0
  19  fennick       DD.GP.DN.SPN.NP.P.D.WNW.N.G.S..GW..SGG/…  None                                      0
  20  fennick       DHH.HGH..H.W.E..WD.CW.G.DHG..CE.GDW.EH/…  None                                      0
  21  fennick       GMW..M.G.WG.T..ML.KG.K.MT.WT..L.GT.KLT/…  None                                      0
  22  fennick       VMM..A.VJ.MJA.TM.J..JVL.T.LA..L..VMV.JM…  None                                      0
  23  fennick       NNF.RF.V.NR.TB.R.T.F.TV.FV.RV..RRN.TB/N…  None                                      0
  24  fennick       EJN.JN.RR..EW.V.NE.NJ.N.RV.RR.JE.EN/R:2…  None                                      0
  25  fennick       DWG..W.BM.GS.DM.SS..M.GGW.S.G..B.WM/W:2…  None                                      0
  26  fennick       MVJ.T.TT.TK.JJ.M.J.VTT..VM.MTB.TMB.VM/J…  None                                      0
  27  fennick       BJ..NB.EG.MGG.NM.J..BJ.G.BE..N.EE.JGM/G…  None                                      0
  28  fennick       KM.KM.M.KE..KL..L.LBB.B..K.EB.J.EL.JLK/…  None                                      0
  29  fennick       VVN.W.WW.A..D.DNV..N.AN.VN.SD..ND.SS/S:…  None                                      0
  30  fennick       HJ.GW.GJ.KH.E.HG.HKE.G.EG..JJH..KW.WW/H…  None                                      0
  31  fennick       APP.PA.NP.AG.BNA.A..GM..N.GNN.MAB.NBG/N…  None                                      0
  32  fennick       FE.EUE..S.USS.FP.NS.NP.ENU.P..FF.FFP/N:…  None                                      0
  33  fennick       GH..GE.FPE..R..H.HR.FF..RE.HP.FRG.GH/F:…  None                                      0
  34  fennick       GSR.RDS.L.GT.S.DSL.STR..TD.G..DDT.DSL/R…  None                                      0
  35  fennick       LP.PD.P..LL.K..S..H..SH.KL.KP.SK.DSP/D:…  None                                      0
  36  fennick       LS.R..EL.ER..LS.ER.L.KL.S.KLA.ES..KSL/E…  None                                      0
  37  fennick       UUU.E.K.CK..ELM.CL.L.UUM.EC..MUK.LK/C:1…  None                                      0
  38  fennick       CBC.TV.RGR.BTG.B.RBG.G.TG.BT..VC..BB/B:…  None                                      0
  39  fennick       BB..B..AF.G.AB.F.A.AFD.CBG.CD.C..D.GBG/…  None                                      0
  40  fennick       JF.JS.AU..AFU.FT.AA.F.AT.JJJ..A.UTT.FF/…  None                                      0
  41  fennick       PR.KKE.W.E.KRR..K.KE.PP.WER.RD.RK..ED/E…  None                                      0
  42  fennick       WVG.NVF.FG..WC.VN..C.WW.W.G.N.CG.CWV/G:…  None                                      0
  43  fennick       NBB.SBC..UG.GUS.BU.NN..N.S..U.CC.GGU/C:…  None                                      0
  44  fennick       MMT.P..TT.C..MCW.CWM.M.PMP.T.MCF.FWP/P:…  None                                      0
  45  fennick       WFN.B.BLW..FL.FW.F.WB.K.N.LF.L..BWK.FW/…  None                                      0
  46  fennick       MWS..LS.W.NS.N.RN..MSM.WRR.MN.RL.SMM/R:…  None                                      0
  47  fennick       PF.LPV..PL.PPF..V.VFG..L..LU.VG.GG.UFP/…  None                                      0
  48  fennick       UU..GJU.AFE.GG.EG.UFJ.J.GE.G.UFF.AE/G:1…  None                                      0
  49  fennick       RA..GA.RFF.A.CP.AF..F..CR.PP..G.RG.CGA/…  None                                      0
  50  fennick       VE..TTV.T..UE.VEG.N.TT.UE.G..U.GN.EG/T:…  None                                      0
  51  fennick       JG.G.SS.S.PPS.VG..PG.GG.BJ.PS.B.JPJ.JJ/…  None                                      0
  52  fennick       CGU..E.DGE.CCU.UD.EDV..EC..GV.U.CD.GG/D…  None                                      0
  53  fennick       TNN..A.VTN.NSN.N.CNA.CA..TTS.S.TTS.ASA/…  None                                      0
  54  fennick       WNW.DP.B.SN..BNB.SB.W.BBD.D..DNW.NWS/D:…  None                                      0
  55  fennick       GG.KGT.F.JGK.J.STF.JJ.FK.JF.KG..TTG.FGT…  None                                      0
  56  fennick       US.CSR.W.CR.U.WW.R.UV.RRV..WUU..C.VU/W:…  None                                      0
  57  fennick       JJ.AT.DJ.D.WWD.JW.J..E..EAE.AW..A..TEA/…  None                                      0
  58  fennick       RAP..SA..V.R.VS.WR.P..VAR.WA.RS.AP.WR/R…  None                                      0
  59  fennick       CB.PB.U.W.CU.WU.PPC.C.L..CCB..PL.LUL/B:…  None                                      0
  60  fennick       DU.VM.ND.UN..U.L.NV..D.DV.N..UL..DL.DVV…  None                                      0
  61  fennick       NP..M..LNB.PMM.LLB.E.PB..L.EM.LN.EP/E:1…  None                                      0
  62  fennick       GNA.A..FNP.HF.HA..GGA.PG.N..F.H.NF.HA/H…  None                                      0
  63  fennick       HW..G.W.WT.HT.WHT..GWN.WA.NNT.HG.NAH/H:…  None                                      0
  64  fennick       RPP.W.TT.UR.U..GUG.WUG.G..T.PWW.P..TU/T…  None                                      0
  65  fennick       UE.ME.V.SE..N..VNM..SN.U.MEU.S.SU.VEM/S…  None                                      0
  66  fennick       MH.AAH.GG.MAS.VGS.M..G..HV.A.H.S..AA/G:…  None                                      0
  67  fennick       VSB.SV.E.DBB..DES.VT..D.B.SSB.ED.TBE/D:…  None                                      0
  68  fennick       BN.BFW.N..W.NC..C.B.FW.CCB.TNT..F.FFB/W…  None                                      0
  69  fennick       JJ.G.BS.B..HAG.BJ.HJ..J.SAB..SBG.AJS/S:…  None                                      0
  70  fennick       JDJ.DF.D.J.EEJ.DF.GDW.GJ.DJ..WE.WFG.JEF…  None                                      0
  71  fennick       WWU..KW.LDD.DE..D.UL..L.K.E.ELK.UW.KD/W…  None                                      0
  72  fennick       TS.TNB.BLL.UNL.NLU..NN.LT.BN.L.S.SNU/N:…  None                                      0
  73  fennick       MFK.FKK..JK.EH.J.FHK.FM.JH.H.EJ.JEM..HF…  None                                      0
  74  fennick       EFC.F.EU.AA.AF.UCW.EW.C.EAU..ACF.UW/A:1…  None                                      0
  75  fennick       KH.SK.B.HK.H.BS.UTU.K..SU..U..T.SH.TUK/…  None                                      0
  76  fennick       MJ.LM.N.L.NJ.VN.UNU.U..V.UJ..VVJ.MMM/N:…  None                                      0
  77  fennick       JE.M.E.PJT.W.PWJ.PE.T..TW.JWJ..WT.MT/J:…  None                                      0
  78  fennick       HHH.S..H.HM.T.SP.VT.P.SP.M..M.V.TH..VHM…  None                                      0
  79  fennick       KTG.FK.TK.M.DDM.TT.DD..KK.D.DG.MT..GG/G…  None                                      0
  80  fennick       AC.AM.DVC.A.DDC.VME.D.EA..E.V.AMD..CD/A…  None                                      0
  81  fennick       HH.CBB.JVP.JH.P.V.B.C.PHC..H.CJ..J.VH/J…  None                                      0
  82  fennick       PA.UK.K.AU.FP.CK..CF.UPC.CK.A.FC.PP/U:1…  None                                      0
  83  fennick       NDD.NDH.WH.D.EW.EE..C..CW.NH.NC.CEN.CHH…  None                                      0
  84  fennick       SE.KR..GGG.WR.S.KS.EW..SE.W.K..KW.SSG/K…  None                                      0
  85  fennick       DNN..UL.L..HH.D..N.VVV.LUH.NH.DU.UVU/U:…  None                                      0
  86  fennick       LE.VAK..VA.B.AA.A.LBE.BB..LK.L..ALK.BAA…  None                                      0
  87  fennick       JT..G.N.GP.T..PGG.NS.S.SJ.JTG.TG.NS/J:1…  None                                      0
  88  fennick       US.EC..FU.F.FL.S.U.CE.L.C.UFE..UUS.CEU/…  None                                      0
  89  fennick       SA..L.ASN.S.AU..NL.A.U.US.SL.UN.B.BUS/L…  None                                      0
  90  fennick       AEA.PE.CCA.P.AAP..C..FEE.CFD.E.FE.PCP/C…  None                                      0
  91  fennick       GK.WB.BCC.C.B.TT.WK.W..GKC..KGT.CKG.WWW…  None                                      0
  92  fennick       RNR.BV..NU.VV.KB..N.R.KU..KN.K.BBN.NRU/…  None                                      0
  93  fennick       UL.P..PLK.LCU.CE..CU.KP.L..LLP.CPP.EP/C…  None                                      0
  94  fennick       KK.BW.BFW..KB.FW.KKF.HE.KB.F.WB..K..HW/…  None                                      0
  95  fennick       LAL.RMS.AM.LAR..A.SRL.M.S.MAE.EML..SRA/…  None                                      0
  96  fennick       GS.LWG.L..G.BW..SW.S.W.GL..GE.SL.EE/L:0…  None                                      0
  97  fennick       SFL.GL.SL.FF..L.VDV.LS.V.FL..GLD.SLL/V:…  None                                      0
  98  fennick       FD.BS..FS.D.DF.H..C.S.CB.DC.B.F.HBH.BD/…  None                                      0
  99  fennick       WJ.V.NKD..WK..K.VV..NK.D..JJ.VW.DK.NW/N…  None                                      0
 100  fennick       FNF..C.AA.EF.H.EE.HFN.CN..CE..E.CEF.NH/…  None                                      0
 101  fennick       WG.U..AW.US.SU.AU.AU..W.GUU.G.A..MUM.AM…  None                                      0
 102  fennick       GV.VS.L.HS.FSV.F..GF.S.HL..HG.LHS..FVH/…  None                                      0
 103  fennick       RFF.C.RCP.LLD.LC.F..P..FD.D.FR.L..CL/D:…  None                                      0
 104  fennick       ED..D.CDE.EU.VED.E.DU.V.TD.U..EE.VUV/V:…  None                                      0
 105  fennick       FW.EE.UHF.UDF.EDU.U.WD.F.FED.HWH..DE/E:…  None                                      0
 106  fennick       VVH..H.TH.NV.NN..V..N.L.UH.LL..VLV.UT/H…  None                                      0
 107  fennick       WA.DE.WR.DR.AT.D..T.RE.A..TE..WD.AAA/E:…  None                                      0
 108  fennick       HG.GN.NNK.H.R.RN.K.GRK.G.HW..RW.GN.RNR/…  None                                      0
 109  fennick       ELU..RRE.EJ.HEJ.E.R.JR.HH.LR.LH..U.UR/L…  None                                      0
 110  fennick       BG.CK.BG.LD.G.B..L..KC..D..LB.C.DCL.KLB…  None                                      0
 111  fennick       CCA.J.C.HJA.CG.H..FGF.JHH.JJ.AJ..CCG.FG…  None                                      0
 112  fennick       JF.C..JE.FE.F.V.JF.JW.WF.W.VV.CJF..VV/V…  None                                      0
 113  fennick       KE.MEL.N..ENR.RK.E.NMM.K.ME.KM..RRK..NL…  None                                      0
 114  fennick       RBA.BNA.NUU.N..R..NBG.RUB.NBA..URR.UN/U…  None                                      0
 115  fennick       WMA..SA.SGS.SM.AR.MG.M.G..MR..S.RWW.WM/…  None                                      0
 116  fennick       CNC..AN..DR.CRB.NBC.N..RN.R.DA.AR.NDD/C…  None                                      0
 117  fennick       DC.ARM..WDR.W.A.CW.MW.R..AM.C..DCD.DWW/…  None                                      0
 118  fennick       FEA.A.E.N.FN.U.HN.HA.F..H.EA.EF..AU.AA/…  None                                      0
 119  fennick       GK.KG.PP.VTP.C.G..PCG.V..CGT.TG.CT..VCP…  None                                      0
 120  fennick       FR..E.RFB.FUE.R.HB.B.FE.HU.UF..BEE..UB/…  None                                      0
 121  fennick       AU.M.LCA..A..CM.UC.AM.MMU..U.DM.LU.AAU/…  None                                      0
 122  fennick       EWK.RK..ES.FR..K.KW..SW.FF..S.E.WSS.EE/…  None                                      0
 123  fennick       AA.HF.K.H.KAW.WKR.W..KH.F..HF.KF..AW/K:…  None                                      0
 124  fennick       HPM.G.SS.PH..GPW.WP.HG.MH.GW.M.S..WS/W:…  None                                      0
 125  fennick       TS..GSD.A.AA.S..ATG.SDT.F..G.ST.SF.FF/A…  None                                      0
 126  fennick       GHA.A..BUH.HB.BU.KU..H..KUB.KKA.BAG.UH/…  None                                      0
 127  fennick       DRP.MUU.MR.S.SSP.US..PS.DS.U.MDD.PS/S:0…  None                                      0
 128  fennick       JJJ..SR.V.W..NJJ.WN.RR..J.N.VS.WJN.VW/N…  None                                      0
 129  fennick       RTD..N.NNR.RK.KK..NTA.DT.T.R.DDN.DKT/R:…  None                                      0
 130  fennick       HV.VVH..V.HND.LH.N..NV.D.L.NG.DG.GHV/H:…  None                                      0
 131  fennick       AB.BN.N.F.A.NF..NJ.J.AF.V.VA..VF.VF/B:1…  None                                      0
 132  fennick       CC.J..CTB.JB.G.T.F.GF.FJ.C.B.CJ..GT.TF/…  None                                      0
 133  fennick       GHH.GG.MJ.HLA.A..AGL.LJ.GM.L..HAM..GLG/…  None                                      0
 134  fennick       UWW.V.L.H.SV.H.LU..LS.U.UHU.S.W.HH.LL/U…  None                                      0
 135  fennick       EM..GBE.G.GED..BB.MD.EN.E.BGN.D.B.MED/E…  None                                      0
 136  fennick       MH..P.HL.SS.HLM.H.PP..GPM.G.GL..ML.PMG/…  None                                      0
 137  fennick       VC.GV.WF..G..W.SVS.GF.S.V.C.SGC..VF.WSF…  None                                      0
 138  fennick       TWA..RF.T.F.ARD.RDF.TT..R..FD.AR.WAW/R:…  None                                      0
 139  fennick       SGD.DF.SGW.GF.S.WF.DW.BD.BB.G.WB..DGG/W…  None                                      0
 140  fennick       DU.JR.JDJ.L.J.JL.LLR.R.DU.EJ..UUU.EUD/U…  None                                      0
 141  fennick       FV..V.F.K.R..DD.WFK.KD.VR.FD.W.KFV.WVW/…  None                                      0
 142  fennick       NV..MH.M..AH.JMN.H.NV.VAA.NJ..A.MV.MV/M…  None                                      0
 143  fennick       JG.K.JG.J..GK.KV.VC.G..CK..VC.JKW.JW/C:…  None                                      0
 144  fennick       HRR.H.VH.K..R..KK.LH.J.RR.KL.KJ.L..RH/R…  None                                      0
 145  fennick       FC.F.KA.GFC..HA.HAH.G.C.HKA.FKC.A.GKA/A…  None                                      0
 146  fennick       FFK..T.VST..SSK.A.KFS.FT.AKF.VV.F.SFV/V…  None                                      0
 147  fennick       THH..W.UH.ETE.UW.TW..T.WHT.S.ST..ES..UH…  None                                      0
 148  fennick       AFP.FB..PA.BA.A..FPH.PHH.P.KA.F.KH.FBB/…  None                                      0
 149  fennick       GHC.SS..GG.GGC..A.JJA..JJ.G.SA.HAC.GA/S…  None                                      0
 150  fennick       CLC.ELG.LL.BJ..CG.BJ.CG.E.B.BB..ELJ.EEJ…  None                                      0
 151  fennick       TTN.JT.BN..B..BN.TBD.C.JD.CDJ.CTT.BT/N:…  None                                      0
 152  fennick       FF.KJ.JV.EJ..EM.K..FM.VE.KJ.FJM..F.VVK/…  None                                      0
 153  fennick       FF.FS.F.L.B..S.L.BH..BP.H..P.HS.PL.BPL/…  None                                      0
 154  fennick       TTT.AAN.SSS.TN..D..AA.UAS..T.UD.S.AS/A:…  None                                      0
 155  fennick       VLC.VL.PT.PC..TJ.TLL.T.PJ..LV..L.VL/T:1…  None                                      0
 156  fennick       KR.E..ERB.K.DE.B.RJ.KRR.KB.D..R..BD.JJB…  None                                      0
 157  fennick       SPE.P.SFE.SD.F.N.PF.D.S.FP.PN..DD.ND/D:…  None                                      0
 158  fennick       ET.U.VMV..ATT..EM.EVE.AV.TA.A.UM..UM/A:…  None                                      0
 159  fennick       PGE..P.G.PE.EE.JG.JJ.GM.GG..JE.PW.JMP/G…  None                                      0
 160  fennick       AS..M.A..AJ..NJ.AA.SM.NNM..N.SN.NJ.KA/A…  None                                      0
 161  fennick       TP.GPR.KK.GT..T.EE.TPT.G..E..P..R..KG/G…  None                                      0
 162  fennick       WL.HNH.HU.NHB.W.N.LBL.B..BH.WN.WH..UL/H…  None                                      0
 163  fennick       RR..KN.NK.W..WK.UF.NR.K..N..R.WR.WRW/K:…  None                                      0
 164  fennick       AJV.WJ.FM..A.MJA.WM.JV..AJ..FF.W.VFJ/F:…  None                                      0
 165  fennick       SUS.SS.A.UA.R..MA.MU..S..SU.RSU.MB.RSU/…  None                                      0
 166  fennick       HWJ.GK.HJK.B.GHW.WK..WJ.G..GJ..K.BKW/K:…  None                                      0
 167  fennick       DS..DK.J..VVV.K.KSJ.D.VJS.AK.AV.DS.SAD/…  None                                      0
 168  fennick       MS.MM..VM.LL.PMN.V.LV.MM.SVP.P..S.PN/P:…  None                                      0
 169  fennick       LL.UR.UP..LG.DP.P.U.GP.D.DP.DUL.L.RU/R:…  None                                      0
 170  fennick       VTV..GT.AA.AAT.WV.W.T.V.MT.M.WV.VAW.GTA…  None                                      0
 171  fennick       PD..PD.A.C.PPR.RC..BR..AD.BC.PAC.AA/R:1…  None                                      0
 172  fennick       ETE.H.DE.BH.TB.KH.E.DDT.T..HT..D.DHE/B:…  None                                      0
 173  fennick       GGK.WCM..CW.NC.CC.N.KGW.M.NK.CG.MG.WKK/…  None                                      0
 174  fennick       JM.WJ..L.TM.TJ.U.W.JUW.J..LMT..UUU.LL/T…  None                                      0
 175  fennick       EDE..SM.STU..S.T.UDD.M..D.DU.SE.TEM.MM/…  None                                      0
 176  fennick       VH..VU.UJ..V..T..UUH.TVR.H.U.JH.RUJ.VH/…  None                                      0
 177  fennick       WW..UET.E.UEM.T.M..HE.MW.H.HHE.WM.TW/M:…  None                                      0
 178  fennick       NJJ..P.UT.U.N.PN.UC.CPT..CP.TJ.TU.CC/P:…  None                                      0
 179  fennick       KUB..B.UUF.SSM.U..KBM.BK.FMK.F..S.BSK/F…  None                                      0
 180  fennick       JAT.KD.JD..J.DDA.A..WD.D.WJ.KW.TJA..TDJ…  None                                      0
 181  fennick       AHP.HN..AS.NNA.RNR.A.AS.N..RP..S.NS/A:1…  None                                      0
 182  fennick       TMM.EP.P.WWP..TWE.M.TTM.T.WT.WME.HH/T:0…  None                                      0
 183  fennick       RGH..K.V.DV.RR..H.GK..GV.RK.HK.GG.HHG/H…  None                                      0
 184  fennick       NMN.L..M.JB.ME..N..E..LJ..MJ.EL.BL.ML/L…  None                                      0
 185  fennick       FCM.M.S..KK.SCM.FKK.CCS.VV..V.C..F.VS/V…  None                                      0
 186  fennick       GHR.TN.GT.R.HT..G.GN..CCG.NG.NRR.CH/R:1…  None                                      0
 187  fennick       CUW.WJ..CU..PU.CN..P.NCC.U.WJ.PU.NWP/C:…  None                                      0
 188  fennick       UKS.KFU.L.U..S..UDU.KS.LDK..K.D.LF.DUD/…  None                                      0
 189  fennick       GD.MV.GK.KG.ND.VD..KM.G.DK.K.NM..GGN.KM…  None                                      0
 190  fennick       BKE..BN.DEU.D.DKK.BE.NK.K.BN.N.B.EEB/N:…  None                                      0
 191  fennick       BBA..CB..B.H.BF.CP.F.HC.AC.A.HA.BF..HHF…  None                                      0
 192  fennick       RS.R.G.GU.U.SS..UR.SS.W..S.GW.TT.WW/T:1…  None                                      0
 193  fennick       PPP.E..S..EKT..P.SE.FT.FP.TE.KPF.ST/S:1…  None                                      0
 194  fennick       PSA.PA.PAS.WWG.G.JA..J.P..S.WS..WG.WJP/…  None                                      0
 195  fennick       MWH.W.H..J.HV.V.MM..TW.TV..WV.M.WT.JTH/…  None                                      0
 196  fennick       UU..HNU.RD.D.RRV.NV..DUV.NND.N.HR..NR/V…  None                                      0
 197  fennick       VFB..SVV.NV.SD.FBS.DS.S.BF.F.B..DF..VD/…  None                                      0
 198  fennick       RA..VR.RJ.R.F..A.K.VF.FFA.JV.KF..V..JFK…  None                                      0
 199  fennick       KK.LE.PA.P.EP.KE..KA.LAP..A..UL.L.UAE/E…  None                                      0
 200  fennick       GUV..UTT..G.VUD.L.VL.LVG.UD.U..GGT.GTU/…  None                                      0
 201  fennick       MDG.DD..G..ML..S.ML.D..P.SD.MSP.MG.PSP/…  None                                      0
 202  fennick       TM..WG..W.MG.EMM.GE..TC.TW.EC..M.WM/W:0…  None                                      0
 203  fennick       TU.NNJ.VM..J..M.UV.MU.JM.T.TV..UN..TNJ/…  None                                      0
 204  fennick       RAT.AT.TM.S..MTL.SLR.L.ASL..SMS.TM.LRR/…  None                                      0
 205  fennick       VAW.VA.EE.R.RV..WAC.CR.A.EW.C..E..RR/W:…  None                                      0
 206  fennick       PP.KV.KT.T.FTP.K.L..V.VFL..KK.FPP.LV/K:…  None                                      0
 207  fennick       EW.N..S.E..VC.EC.V..NSV.EC.WV.W.NSS.SEC…  None                                      0
 208  fennick       FBP.F.NW.HF.P.BB..PW..NPF.W.PN.B.WP/P:1…  None                                      0
 209  fennick       WP.GDJ..ND..P.DG.JP.GP.NW..PJ.D.DJ.WW/G…  None                                      0
 210  fennick       VCC.NVU..CNN.U.N..FNE.FU.FV..E.VC.VC/N:…  None                                      0
 211  fennick       KFK.FP.WMK.MF.M..KW.PW.W.PP..MF..F.UUU/…  None                                      0
 212  fennick       LAL..MD..V..VA.VJ.MD.VL.J.M.JJL.L.MD/V:…  None                                      0
 213  fennick       MF..MS..PS.R.F.C.CF.MM.P.M.RR.PS.CF/S:2…  None                                      0
 214  fennick       ANT.PEU.UTT.PP..UP.T.EE.N.PN.A.P.AUA/T:…  None                                      0
 215  fennick       SSF.M.SM.FH.MLN.LH.NLH.N..H.LNS..NFM..H…  None                                      0
 216  fennick       VME..TMW.NT.VVM.ETM.TV.EW..V.MV..T.VEE/…  None                                      0
 217  fennick       WP.HS..EE.HP..VV.H.P.V.VEW.SVE.W.PV/H:0…  None                                      0
 218  fennick       RE.BFF..RNS.FFR.F..R.N.NB.NB.SB..E.FFS/…  None                                      0
 219  fennick       GS.GK.K.B.G.PB.H..PS.SHH.HK.BGH..GPS.GH…  None                                      0
 220  fennick       MVV.V.RR..MV.MEJ.SM.M.EV.MRR.RS..EM.SJS…  None                                      0
 221  fennick       NBP.TN.BA.APN.E.TAT..AE.N..P.T.BTN..EB/…  None                                      0
 222  fennick       FC.JT.NJ..DFN.TD.TDF.NFF.D.JN..N.DD/J:1…  None                                      0
 223  fennick       LF.FT.FVL.F..LT.VT..VF..CL.VC.C..KTK.LL…  None                                      0
 224  fennick       HS..M.BB.B.HL.HB..ES.ML.ML..HSM.EBM.SL/…  None                                      0
 225  fennick       PVK.K.VEL.LV..LP.VVB.EP..EEV.B.PK.PB/P:…  None                                      0
 226  fennick       KGK.VP.ESK.E.GG.SV.PP.EP..V.KEG.SE..VE/…  None                                      0
 227  fennick       MHH.M..GMK.G.PP.GG.PKK..MH..PM.KM.FHP/P…  None                                      0
 228  fennick       FBL.BF.BFV.F.E.V..L..EE.JBV.EL.VL..JJF/…  None                                      0
 229  fennick       JAJ.P.UAV.RR.VP.U.JP.A.AU..VUJ..R..RU/R…  None                                      0
 230  fennick       VV.LNB.NUU.FVN.VF..BNL..UU.F..V.FV..NLN…  None                                      0
 231  fennick       MF.K..MA.FE.KA.KV.EKA..M.MV..FA.KM.MF/K…  None                                      0
 232  fennick       KR.SK.J.KR..PP.PK..R..HK.HH.JHP.HRP.JH/…  None                                      0
 233  fennick       AHB.H.P.WT..T.W..PP.HT.TP.HPT.BHW.AH/P:…  None                                      0
 234  fennick       DK..VT.VTD..TK.DK.K.BB.DW.D.KBW..BV.BDV…  None                                      0
 235  fennick       EG.E..UU.FH.DF.D.F.U.G..DE.EF.H.GE.DDU/…  None                                      0
 236  fennick       UUV.E.A.VS.VEA.V.U.UE.K.UV..AU.KA.EV/U:…  None                                      0
 237  fennick       MWB.HM..M..B.AM.BH.H..W.UW.U..BU.MWA/B:…  None                                      0
 238  fennick       RUV.UD.ULR..LL.P.LU..DP.D..PR.DR.PPD/R:…  None                                      0
 239  fennick       AU.FF..U.SU.AA.FMR..A..F.SU..R.MRS.RM/F…  None                                      0
 240  fennick       URD.HC.D.HA.C..R..UD..H..RC.UA.RCU.HR/H…  None                                      0
 241  fennick       TL.LV.PT.RV.K.RL.R..T.RK.KT.PTV.VT..KRK…  None                                      0
 242  fennick       GE.SR.R..S.GE.RS.CS.NNG..C.G.N.GN..EG/S…  None                                      0
 243  fennick       TVT.EG.KC.V.CE.K.GK.C..T.VVK..G..TC.GTE…  None                                      0
 244  fennick       RAJ..RW.NW.W.PNW.A.RN.RRN.P.RJ.AWP.PRP/…  None                                      0
 245  fennick       EF.JE..JF.FFB.EL.JB.K.KL.KL.FJL.F.JE/J:…  None                                      0
 246  fennick       KK..D.DC.BG.PB.C.B.PK.DGP.BD..GDD.CB/C:…  None                                      0
 247  fennick       SFV.JVM.FV.SF.GGM..G.J.S.F.V.MV..M.SMF/…  None                                      0
 248  fennick       RA.VSS..KM.AMS.M.V..S.VK.MK.A.K.R.RM/K:…  None                                      0
 249  fennick       AU..AUD.A.P.G.PG.UJJ.D..JP.J.JA.UP.AJP/…  None                                      0
 250  fennick       KK.SR.D.SRS.KT.RTR..T.R.ED.E.RT.S..KS/T…  None                                      0
 251  fennick       WGR.B.LJJ.W.GB.LR.BJW..RWG.WB..JLW.RWW/…  None                                      0
 252  fennick       PU.H.PU.U.JU.R..HH.PJ..UR.J.HC.PH.RRC/P…  None                                      0
 253  fennick       SJ.MJ..SFD.DF.FS.L.LD.MD..J.FJ.S.LLJ/L:…  None                                      0
 254  fennick       WJW.SA.JT.T.DJ.DD.TAS.WD..D.TJ..SJ.TS/D…  None                                      0
 255  fennick       FJ.HL.LH..JCD.CDF..H.L.JC..F.DD..LH.FL/…  None                                      0
 256  fennick       UC.AUU.U.HV..AWC.W.H.CA.C.VW.HU.AUU.HWV…  None                                      0
 257  fennick       JB.RV.VR..SB.JRM.MR.VM.SM.VSJ.J.R.BSR/J…  None                                      0
 258  fennick       MJ..D.LH.HHW.W..MM.DMH.LW.DL.JMD.WW/H:0…  None                                      0
 259  fennick       UC.DSC..TV.C.V.CT.S.UD..SS.DS.TCC.TT/C:…  None                                      0
 260  fennick       MFS.GSK.SK.S.K.CM.M..F..KM.KFC..SG.FFG/…  None                                      0
 261  fennick       KTV.JTV.TJ..K..KB.B.V.P.KP..TPJ.PB.KTP/…  None                                      0
 262  fennick       KKL.M.MH..BH.BM.L.HV..K.VVV.V.KK.VM/V:1…  None                                      0
 263  fennick       GDS.FNA.GS..GD.DF.NF.G..D.SFN..AG.NAD/D…  None                                      0
 264  fennick       AW.AFL..W.A.VLW..VF.FK.LW.L..F.VFL.WW/F…  None                                      0
 265  fennick       LM.A.S.L.SL.TA.G.SG..AL.GTT..SM.AMM..LM…  None                                      0
