Centaur Zendo round 2 (training)
round_id : 8fadea27b01446d7bc4282a46c57b821
written  : 2026-09-04 14:53:52Z
presented=617  answered=0  correct=0  skipped=618
client answer latency: mean 0.096 ms  median 0.091 ms  max 1.287 ms  (n=618)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       WT.LP.LK.P.KL..T..KW.W..K.WW.TV.VTV.PP/…  None                                      0
   1  fennick       ALA.AL..RW..ARU.DL.RUL.WUW.RW.L.A.LR/R:…  None                                      0
   2  fennick       FJT.BC.F.FFB.JN..J.C.FJ.NN.B.T.N..TNJ/B…  None                                      0
   3  fennick       BF.FFK.C.DN.BFD.B.BF..BBF.FC.CCK.CF/F:2…  None                                      0
   4  fennick       FVP..L..F..VL..RFM.VV.M.PL.R.FR.MF.RPR/…  None                                      0
   5  fennick       PW.DKP.KWA.D..PK..BDB.PK.AP.A..K.WK/A:2…  None                                      0
   6  fennick       ER..R.DM..P.DN.EM.PMR.MP.RRE.MN.M.RER/P…  None                                      0
   7  fennick       CND.HJD..J.CN.C.LC.LJ..CCC.JNN.H.JL/N:2…  None                                      0
   8  fennick       TKC.CLT.C.T.N.L..K.NL..UN.KL.U.TKU.KC/N…  None                                      0
   9  fennick       CCC.CE.R..M.NN.RMC..EE.CM..C.BN..BR.MCR…  None                                      0
  10  fennick       DR.R..DFW.RS..FW.FB.BS.B.SFD.WS.D.SSD/B…  None                                      0
  11  fennick       FL..JLJ.H.HM.HP.FJ.M..PJ.ML.LPM.FJP.LF/…  None                                      0
  12  fennick       KK.MTP.N..K.M.KN.MT.NP.TTK.PM.EM..TM/K:…  None                                      0
  13  fennick       BD.S.NB.SU.B.HU..U..DSN.SN.D.BDH.DBH/B:…  None                                      0
  14  fennick       BU.VVW.VNS.NU.NS.U.BB..S.WN.B.V..VS..WV…  None                                      0
  15  fennick       CSR..DC.DD.BB.CSD.KRR.KKD.D.B.SK.BD/K:1…  None                                      0
  16  fennick       KW.N..WK.J.G.E.WJ.W.EK.K..KE.NE..NNG.NW…  None                                      0
  17  fennick       JAR..MH.BH.H..J.RJB..HMJ.AJJ.BM.B.AM/J:…  None                                      0
  18  fennick       WVK.V.NK..J..U.WN.UK.VKV..NNU.WU.JJ/U:1…  None                                      0
  19  fennick       VLL.NG..VL.L.KEK.K.EKE..KN.VEG.G.GLN/G:…  None                                      0
  20  fennick       BB.SF.CJS..BC.B..JBF..S.SJN.NC.FSJ.SB/N…  None                                      0
  21  fennick       JJE..KTE.J.MJ..T.TJ.VV..MV.ME.KE.KM/E:2…  None                                      0
  22  fennick       KWK.PR.WWR.KP..RRW.K.WH.RKP.W.MR.MWM/W:…  None                                      0
  23  fennick       BEE..E..K.G.BG.JEK.WE.GB.WK.W..BG..WGW/…  None                                      0
  24  fennick       MM.BM..U..DD.D.RU.RB.BD.R.RK.UUK..BDM/U…  None                                      0
  25  fennick       HV..HVS.SN..CV.SM.CS.H..V.VH.MV.MNN.CVN…  None                                      0
  26  fennick       RAR.BW.B.LC.L.R.AR..W.BW.RWC..A.RA.LA/R…  None                                      0
  27  fennick       RMM.G.RUM.UU..M.RU.CG.D.CR..DDD.C.GUM/R…  None                                      0
  28  fennick       SDL.BR..L.SB.B..BRS..LR.SDR.PD..PPP.DSS…  None                                      0
  29  fennick       GK.JJ.UKS..KF.U.K.S..G..JS.FJ.J.UG.KJS/…  None                                      0
  30  fennick       JKP..KT.M.J..N.TK.P.T.PM.PPN.MJ.KJJ.MKM…  None                                      0
  31  fennick       BAW.JA..EB.J.VBJ..WJ.E.BVA.VAE.W.WEA/B:…  None                                      0
  32  fennick       JRJ.F.E.ENF.BNN.JJ.ER.ER.FF.EB..R..RBJ/…  None                                      0
  33  fennick       RCG..BV..RC.GV.VB.RVF..C.CFF.FC..V.GFC/…  None                                      0
  34  fennick       PC.PG.S.KKV..GVV.P.K..SS.CP.C.KG.VVV/G:…  None                                      0
  35  fennick       SN.NW.WRC.N..TN.T..CST.RTS.CRS.R.SN/N:1…  None                                      0
  36  fennick       FF.F..FRR.SE.VS.VS..EW.E.S.RRW.R..VS/R:…  None                                      0
  37  fennick       HNG.NHG..RH.VT..NR.N.TV.H.RH.VH.TG.RHH/…  None                                      0
  38  fennick       BLB.DN.L.BNB..N.C.AL.CCA.D.CN.BNL..AA/B…  None                                      0
  39  fennick       LEE.E..K.NL.MLE.LT.L.KML.EE.NN.TEE..LE/…  None                                      0
  40  fennick       LB.SW..G..P.GG.S..SL..W..GLP.LL.WS.BS/L…  None                                      0
  41  fennick       MMN..G.GNM.NR.EN.PRM.E.R.GP.RM..M.GP/M:…  None                                      0
  42  fennick       WA.EW.RK..K.A..RA..W.REW.E.EW.KRK.BAR/E…  None                                      0
