Centaur Zendo round 1 (training)
round_id : 8337cc3854a14e388508a56959da23ee
written  : 2026-09-04 15:10:22Z
presented=53  answered=0  correct=0  skipped=54
client answer latency: mean 0.102 ms  median 0.100 ms  max 0.219 ms  (n=54)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        o3m2\n#################################…  None                                      0
   1  garrow        a5s3\n################################\…  None                                      0
   2  garrow        s3m3\n#################################…  None                                      0
   3  garrow        m3b4\n#################################…  None                                      0
   4  garrow        b3t3\n################################\…  None                                      0
   5  garrow        p5b2\n#################################…  None                                      0
   6  garrow        t2p2\n################################\…  None                                      0
   7  garrow        o3b3\n################################\…  None                                      0
   8  garrow        a3m4\n#################################…  None                                      0
   9  garrow        s3c4\n#################################…  None                                      0
  10  garrow        s4o3\n#################################…  None                                      0
  11  garrow        c4o2\n#################################…  None                                      0
  12  garrow        p2m3\n#################################…  None                                      0
  13  garrow        s3t4\n################################\…  None                                      0
  14  garrow        b3c3\n#################################…  None                                      0
  15  garrow        p3t2\n#################################…  None                                      0
  16  garrow        o5p2\n#################################…  None                                      0
  17  garrow        m3b3\n#################################…  None                                      0
  18  garrow        t4p3\n#################################…  None                                      0
  19  garrow        t3o3\n################################\…  None                                      0
  20  garrow        m2o3\n#################################…  None                                      0
  21  garrow        o4m3\n#################################…  None                                      0
  22  garrow        b3c2\n#################################…  None                                      0
  23  garrow        t3p3\n#################################…  None                                      0
  24  garrow        o3m3\n#################################…  None                                      0
  25  garrow        p3m3\n#################################…  None                                      0
  26  garrow        c2p4\n################################\…  None                                      0
  27  garrow        t3o3\n#################################…  None                                      0
  28  garrow        o2c3\n#################################…  None                                      0
  29  garrow        s4p3\n#################################…  None                                      0
  30  garrow        s3t2\n################################\…  None                                      0
  31  garrow        o1s3\n#################################…  None                                      0
  32  garrow        t4m5\n################################\…  None                                      0
  33  garrow        o2p3\n#################################…  None                                      0
  34  garrow        p4a1\n#################################…  None                                      0
  35  garrow        t2m4\n#################################…  None                                      0
  36  garrow        p2a3\n#################################…  None                                      0
  37  garrow        t3p4\n#################################…  None                                      0
  38  garrow        b3o1\n#################################…  None                                      0
  39  garrow        t3c2\n#################################…  None                                      0
  40  garrow        c4t3\n#################################…  None                                      0
  41  garrow        b3t4\n#################################…  None                                      0
  42  garrow        c2o4\n#################################…  None                                      0
  43  garrow        m2a4\n#################################…  None                                      0
  44  garrow        b4t3\n#################################…  None                                      0
  45  garrow        t4p4\n#################################…  None                                      0
  46  garrow        a5b3\n#################################…  None                                      0
  47  garrow        t3a3\n#################################…  None                                      0
  48  garrow        m4t2\n#################################…  None                                      0
  49  garrow        c2o5\n#################################…  None                                      0
  50  garrow        a4o3\n#################################…  None                                      0
  51  garrow        a1s2\n#################################…  None                                      0
  52  garrow        a3b3\n################################\…  None                                      0

per-name tally this round
name             presented correct  hit-rate
garrow                  53       0      0.0%
