Centaur Zendo round 2 (training)
round_id : 5350849d89cc439b91c651622acaced3
written  : 2026-09-04 15:18:01Z
presented=52  answered=51  correct=6  skipped=1
client answer latency: mean 0.240 ms  median 0.222 ms  max 0.493 ms  (n=52)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        b2a5\n#################################…  ###|####|#######|######|####|#####|####…  0
   1  garrow        a3s4\n#################################…  ###|###|####|#######|#######|######|###…  1
   2  garrow        t3a3\n#################################…  ###|###|#####|###|#######|######|######…  0
   3  garrow        b4m3\n################################\…  ###|###|###|######|#######|######|####\…  0
   4  garrow        a3o4\n#################################…  #####|####|#|##########################…  0
   5  garrow        p3s4\n#################################…  ###|####|###|######|######|######|#####…  1
   6  garrow        t4m3\n#################################…  #################################\n#...…  0
   7  garrow        a1s4\n#################################…  None                                      0
   8  garrow        s3c2\n#################################…  ###|###|#####|######|#####|#######|####…  1
   9  garrow        a3p3\n#################################…  ###|####|###|######|#######|#######|###…  0
  10  garrow        s4c3\n#################################…  ###|###|####|######|######|#######|####…  0
  11  garrow        b4a4\n################################\…  ###|###|#####|#####|######|#######|###\…  0
  12  garrow        o3c3\n#################################…  ##|###########|######|###############\n…  0
  13  garrow        t4a2\n#################################…  ###|#####|#####|#######|######|#####|##…  1
  14  garrow        a2o3\n#################################…  #####################################\n…  0
  15  garrow        p3a5\n#################################…  ###|###|#####|########|######|########\…  0
  16  garrow        c4a3\n#################################…  ###|###|#######|#######|######|#######|…  0
  17  garrow        t2a3\n################################\…  ###|###|###|###|#######|#######|######\…  0
  18  garrow        b1m4\n#################################…  ###|###|####|######|#######|#######|###…  0
  19  garrow        o2b4\n#################################…  ###|###|####|#####|#######|####|#######…  0
  20  garrow        p4o1\n#################################…  ##|#|###############|##################…  0
  21  garrow        t3p3\n#################################…  ###|###|#####|#######|######|#######|##…  0
  22  garrow        c2s3\n#################################…  ##################################\n#ss…  0
  23  garrow        c2m1\n#################################…  ###|###|###|#######|#########|#########…  0
  24  garrow        c5p4\n#################################…  ###|######|#####|###|#####|#######|####…  0
  25  garrow        o4s4\n#################################…  ######|#######|#####|#######|####|####|…  0
  26  garrow        a3s2\n#################################…  ###|###|####|####|#######|#######|#####…  0
  27  garrow        a1c4\n#################################…  #####|#####|#######|#######|#####|###|#…  0
  28  garrow        a3c2\n#################################…  ###|#######|################|#########\…  0
  29  garrow        c2s5\n#################################…  ####|####|#####|#######|#######|###|###…  0
  30  garrow        t4b3\n#################################…  ##################################\n#..…  0
  31  garrow        t2o5\n#################################…  #####|###|#######|########|#########|##…  0
  32  garrow        s1t4\n#################################…  ###|###|#####|#######|######|###|######…  0
  33  garrow        t3b3\n################################\…  ###|###|####|#######|######|###|######\…  0
  34  garrow        p4c3\n################################\…  ###|###|###|####|#####|#######|#######\…  1
  35  garrow        m4s3\n#################################…  ###|#####|###|#######|######|#######|##…  0
  36  garrow        m2t1\n#################################…  ##|#################################\n#…  0
  37  garrow        o3t2\n#################################…  ###|###|#######|#######|#######|######|…  0
  38  garrow        a3s3\n#################################…  ######################################\…  0
  39  garrow        o2m4\n#################################…  ###|###|#####|#######|#########|#######…  0
  40  garrow        b4a2\n#################################…  ###|###|######|###|#######|#######|####…  0
  41  garrow        s3b4\n#################################…  ###|####|####|###|######|######|#######…  0
  42  garrow        s3c4\n#################################…  ###|#####|###|###|######|#######|######…  0
  43  garrow        o4b2\n#################################…  ###|###|######|#######|#######|#####|##…  0
  44  garrow        c3p4\n#################################…  ##|#|###|###|##########################…  0
  45  garrow        c3p2\n################################\…  ###|####|###|###|######|#######|######\…  0
  46  garrow        s4o1\n################################\…  ################################\n#bb..…  0
  47  garrow        c2b3\n#################################…  ###|###|########|#######|#######|######…  0
  48  garrow        s3c4\n#################################…  ####|###|#####|#####|######|#######|###…  0
  49  garrow        s5t3\n################################\…  ###|###|###|#####|####|#######|#######\…  0
  50  garrow        a3c4\n################################\…  ###|###|####|####|####|#######|#######\…  0
  51  garrow        b2a1\n#################################…  ###|###|######|####|####|######|#######…  1

per-name tally this round
name             presented correct  hit-rate
garrow                  52       6     11.5%
