Centaur Zendo round 3 (training)
round_id : 8159e54a00264aafa2564ba97dd377e8
written  : 2026-09-04 15:30:48Z
presented=51  answered=51  correct=7  skipped=0
client answer latency: mean 0.476 ms  median 0.446 ms  max 1.283 ms  (n=51)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        b3s4\n#################################…  ######|######|#######|######|#####|###|…  0
   1  garrow        c2o3\n#################################…  #######|#####|#####|#####|#####|####|##…  0
   2  garrow        m3o2\n#################################…  #####|#####|######|####|#####|###|#####…  0
   3  garrow        m3s3\n#################################…  ###|#####|#######|###|#####|#######|###…  0
   4  garrow        a4m2\n################################\…  ####|#######|###|###|#######|###|#####\…  0
   5  garrow        c3s4\n#################################…  #######|#####|#####|####|###|######|###…  1
   6  garrow        t3m4\n#################################…  #######|#######|####|######|######|####…  0
   7  garrow        t2b4\n#################################…  ####|######|#######|####|#####|######|#…  0
   8  garrow        o3t2\n#################################…  ######|#####|####|###|######|######|###…  0
   9  garrow        o2t2\n#################################…  #####|######|#######|####|###|#####|###…  0
  10  garrow        o2c4\n#################################…  ####|######|#######|####|#######|######…  1
  11  garrow        o4t1\n################################\…  ####|###|#####|######|####|######|####\…  1
  12  garrow        t2o5\n#################################…  ######|#####|#######|#######|###|#####|…  1
  13  garrow        c2b4\n#################################…  #######|#####|###|####|#####|######|###…  0
  14  garrow        b5a3\n#################################…  ####|###|#####|######|#####|######|####…  0
  15  garrow        t5m4\n#################################…  ######|###|#######|######|###|######|##…  1
  16  garrow        o2b2\n#################################…  #######|###|#####|####|#######|###|####…  0
  17  garrow        o3t3\n#################################…  ######|#####|###|###|#######|#######|##…  0
  18  garrow        t3c2\n################################\…  ######|###|####|#####|#####|####|#####\…  0
  19  garrow        t4o4\n#################################…  #######|######|###|#####|#####|#####|##…  0
  20  garrow        c3o1\n#################################…  ###|######|###|####|#######|#####|#####…  0
  21  garrow        b3p2\n#################################…  ######|###|#####|#######|#######|####|#…  0
  22  garrow        m3a4\n#################################…  #######|#####|#######|######|###|####|#…  0
  23  garrow        a2s5\n#################################…  ####|####|#######|#######|###|######|##…  0
  24  garrow        a2t4\n#################################…  #######|#####|#######|####|######|####|…  0
  25  garrow        a1s3\n#################################…  #####|#######|#######|###|#####|####|##…  0
  26  garrow        p3c2\n#################################…  #####|###|#######|######|#######|######…  0
  27  garrow        s4m3\n#################################…  ####|####|#######|###|######|###|######…  0
  28  garrow        m3p2\n#################################…  ###|####|####|#####|#####|#####|#######…  0
  29  garrow        m3b3\n#################################…  ######|#######|####|######|###|#######|…  0
  30  garrow        b3c2\n#################################…  #####|####|####|#####|#######|#####|###…  0
  31  garrow        s4a3\n################################\…  ####|####|######|###|####|#####|######\…  0
  32  garrow        b2t2\n#################################…  #######|####|###|#####|###|#######|####…  0
  33  garrow        a4p2\n#################################…  #####|###|#####|#######|######|####|###…  0
  34  garrow        p3c3\n################################\…  #######|###|#####|######|####|####|###\…  0
  35  garrow        t4c2\n#################################…  ###|#######|######|####|#####|#######|#…  0
  36  garrow        b2a3\n#################################…  #######|###|###|###|#######|#######|###…  0
  37  garrow        b2c2\n#################################…  ####|###|#######|#####|#######|#####|##…  0
  38  garrow        o3t2\n#################################…  #######|####|#######|#####|######|####|…  1
  39  garrow        a5s3\n#################################…  ######|#####|#####|######|######|###|##…  0
  40  garrow        m2o3\n#################################…  ####|#####|#######|######|#####|#######…  0
  41  garrow        t2c4\n#################################…  ######|#######|####|######|###|###|####…  0
  42  garrow        o4a2\n#################################…  ####|#######|#####|#####|#######|###|##…  0
  43  garrow        m1t4\n#################################…  ####|####|#####|#####|######|#######|##…  0
  44  garrow        p4m3\n#################################…  #######|######|####|#####|######|######…  0
  45  garrow        p2m4\n################################\…  ####|###|#####|#####|######|#####|####\…  0
  46  garrow        t4b2\n################################\…  ####|#####|######|####|#####|###|#####\…  1
  47  garrow        a3s2\n#################################…  ######|#####|#######|#####|#####|####|#…  0
  48  garrow        a3p4\n#################################…  #####|#####|####|######|####|#####|####…  0
  49  garrow        m2p5\n#################################…  #######|####|####|######|#####|####|###…  0
  50  garrow        a2c3\n################################\…  ###|#####|####|#####|#####|#####|#####\…  0

per-name tally this round
name             presented correct  hit-rate
garrow                  51       7     13.7%
