Centaur Zendo round 4 (training)
round_id : e055dce4c9d748faa065598ba87bf5a4
written  : 2026-09-04 15:36:00Z
presented=49  answered=48  correct=2  skipped=1
client answer latency: mean 0.384 ms  median 0.337 ms  max 1.693 ms  (n=49)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        a4o4\n#################################…  #####|#####|######|###|###|#######|####…  0
   1  garrow        c4m2\n################################\…  ####|######|#####|####|###|####|###|###…  0
   2  garrow        a3o3\n#################################…  ######|####|###|######|###|######|#####…  0
   3  garrow        s2c4\n#################################…  ######|#####|#####|######|####|#####|##…  0
   4  garrow        m4c1\n#################################…  None                                      0
   5  garrow        o3c2\n################################\…  ###|#####|#####|#######|####|#####|###\…  0
   6  garrow        m3s4\n#################################…  #######|######|#######|###|#####|####|#…  0
   7  garrow        s5t2\n#################################…  ####|####|###|#####|####|######|#####|#…  0
   8  garrow        c1s3\n#################################…  ######|#####|###|###|#######|######|###…  0
   9  garrow        c3a2\n#################################…  ####|####|###|####|#######|######|#####…  0
  10  garrow        b2m4\n#################################…  ######|#####|######|###|#####|###|###|#…  0
  11  garrow        p4a3\n################################\…  ####|#####|###|#######|###|#####|#####\…  0
  12  garrow        a2t3\n#################################…  ####|####|#####|#######|####|#######|##…  0
  13  garrow        s5p2\n#################################…  ######|###|####|###|######|####|######|…  0
  14  garrow        s1o4\n#################################…  #######|#######|#####|###|######|####|#…  1
  15  garrow        a3o4\n#################################…  #####|######|#####|######|######|####|#…  0
  16  garrow        m2p4\n#################################…  ###|######|###|####|####|######|###|###…  0
  17  garrow        t4a2\n#################################…  ###|#######|#####|###|######|#######|##…  0
  18  garrow        m2b3\n################################\…  #######|####|#####|#####|###|#####|###\…  0
  19  garrow        c3a3\n#################################…  ###|###|####|####|######|####|#######|#…  0
  20  garrow        m1c4\n################################\…  #####|###|######|#####|######|####|###\…  0
  21  garrow        p3o2\n#################################…  ###|####|###|####|######|#######|######…  0
  22  garrow        p3c3\n#################################…  ####|#####|#####|###|####|#######|###|#…  0
  23  garrow        a3b3\n#################################…  ###|###|######|#######|####|#######|###…  0
  24  garrow        p3o2\n#################################…  #####|#######|###|#######|###|###|#####…  0
  25  garrow        a3o4\n#################################…  ####|#######|###|#####|###|#######|####…  0
  26  garrow        m3c2\n#################################…  ######|######|#####|#######|###|######|…  0
  27  garrow        b4t2\n################################\…  ######|######|####|#####|###|####|####\…  1
  28  garrow        s2p3\n#################################…  ####|######|###|####|#####|####|######|…  0
  29  garrow        t4c4\n#################################…  #####|#####|####|######|#####|####|####…  0
  30  garrow        b4m3\n#################################…  ###|#####|#######|###|#####|#######|###…  0
  31  garrow        o3p3\n#################################…  #####|###|####|######|####|######|####|…  0
  32  garrow        p3c3\n################################\…  ###|#######|#####|####|#####|####|####\…  0
  33  garrow        p5c2\n#################################…  ####|######|###|#####|#######|####|####…  0
  34  garrow        m2s4\n#################################…  #####|###|###|#######|####|#####|####|#…  0
  35  garrow        a3b4\n#################################…  #####|###|#####|####|#####|######|#####…  0
  36  garrow        a2c4\n#################################…  ###|######|#####|#######|######|###|###…  0
  37  garrow        b2m3\n#################################…  ####|######|####|#####|###|####|#######…  0
  38  garrow        a2o4\n#################################…  ###|#####|#######|#####|######|###|####…  0
  39  garrow        b4p3\n#################################…  #######|###|#######|###|#####|###|#####…  0
  40  garrow        c3b3\n#################################…  #####|###|######|###|######|######|###|…  0
  41  garrow        t3s3\n#################################…  ###|####|#######|#####|###|######|#####…  0
  42  garrow        s3o3\n################################\…  #####|###|######|####|#####|######|###\…  0
  43  garrow        b2p3\n#################################…  ######|#####|#####|###|#####|###|###|##…  0
  44  garrow        a2c4\n#################################…  ####|######|#####|#######|####|#######|…  0
  45  garrow        a3c4\n#################################…  ######|###|###|####|#####|#####|#######…  0
  46  garrow        t3s3\n#################################…  ####|###|#####|###|#####|#####|###|####…  0
  47  garrow        o3t4\n#################################…  #######|######|####|####|#######|###|##…  0
  48  garrow        m3o4\n#################################…  ####|####|#####|#####|#######|#####|###…  0

per-name tally this round
name             presented correct  hit-rate
garrow                  49       2      4.1%
