Centaur Zendo round 5 (training)
round_id : 56e50dc68d854bfab39a24a0d5fece1c
written  : 2026-09-04 15:48:54Z
presented=50  answered=50  correct=7  skipped=0
client answer latency: mean 0.536 ms  median 0.494 ms  max 1.256 ms  (n=50)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        p2b1\n#################################…  #####|#####|#####|#####|####|#####|####…  0
   1  garrow        b3m3\n################################\…  #######|#######|###|###|###|######|###\…  0
   2  garrow        s2a1\n#################################…  ######|#######|######|#####|####|###|##…  1
   3  garrow        o5a2\n#################################…  ####|####|#####|#####|######|#####|####…  0
   4  garrow        b2o4\n#################################…  ###|###|###|#######|#######|#######|###…  0
   5  garrow        a3t3\n#################################…  ####|#####|#######|####|#####|#######|#…  0
   6  garrow        s4b4\n#################################…  #####|#####|#####|######|######|######|…  0
   7  garrow        t3b3\n#################################…  ###|#######|#######|###|###|#######|###…  0
   8  garrow        m2b4\n#################################…  ####|#######|###|#####|#######|####|###…  0
   9  garrow        c3t4\n################################\…  ####|####|####|#####|######|####|#####\…  0
  10  garrow        p2m5\n#################################…  ###|###|#######|#######|#####|#######|#…  0
  11  garrow        b2s5\n#################################…  #######|#######|###|#####|######|#####|…  0
  12  garrow        a3m2\n################################\…  #####|#####|####|#####|#####|####|####\…  0
  13  garrow        p5m1\n#################################…  ###|######|#######|###|###|######|#####…  0
  14  garrow        s4o4\n#################################…  #######|###|####|#######|#####|####|###…  0
  15  garrow        p3s3\n#################################…  ####|#####|#####|######|#####|####|####…  0
  16  garrow        c1p3\n#################################…  ###|####|#######|#######|######|###|###…  1
  17  garrow        t3b2\n#################################…  #######|#######|###|#####|#######|####|…  0
  18  garrow        p2s4\n################################\…  ###|#####|#####|#####|#####|#####|####\…  1
  19  garrow        b3t3\n#################################…  ###|###|###|######|#######|#######|####…  0
  20  garrow        o4s4\n#################################…  ###|#####|#####|####|#######|######|###…  0
  21  garrow        m2c4\n#################################…  #####|######|######|#####|#####|######|…  0
  22  garrow        s5c3\n#################################…  ###|###|#####|#######|######|#######|##…  0
  23  garrow        m3p3\n#################################…  #######|######|###|#######|#####|######…  1
  24  garrow        m3s5\n#################################…  #######|####|######|####|#####|#####|##…  0
  25  garrow        p2c2\n#################################…  ###|###|###|######|#######|#######|####…  0
  26  garrow        m4o2\n################################\…  #####|####|#####|####|###|#######|####\…  0
  27  garrow        b2t3\n#################################…  #####|#####|#####|#####|######|######|#…  0
  28  garrow        o3b3\n#################################…  ###|#######|###|###|#######|###|#######…  0
  29  garrow        m1b3\n#################################…  #####|#######|######|#####|####|#######…  0
  30  garrow        m2a4\n#################################…  #####|#####|#####|#####|######|######|#…  0
  31  garrow        a3t4\n#################################…  ###|###|#######|######|#######|###|####…  1
  32  garrow        t2p4\n#################################…  ###|####|#####|######|######|######|###…  0
  33  garrow        m4c3\n#################################…  ###|#####|######|####|#####|#####|#####…  1
  34  garrow        o2t3\n#################################…  ####|#######|###|#######|#######|###|##…  0
  35  garrow        c3o3\n#################################…  #######|####|#####|###|#####|######|###…  0
  36  garrow        m2t4\n################################\…  ####|#####|######|####|####|#####|####\…  0
  37  garrow        s3t3\n#################################…  ###|######|#######|###|#######|#######|…  0
  38  garrow        c2o4\n#################################…  ###|####|###|#####|######|#######|#####…  1
  39  garrow        t3o3\n#################################…  #####|#####|######|#####|######|#####|#…  0
  40  garrow        c2a4\n#################################…  ###|#######|#######|###|###|###|#######…  0
  41  garrow        m2s4\n#################################…  #####|#######|#####|###|#######|#######…  0
  42  garrow        s4b3\n#################################…  ####|#####|#####|#####|#####|######|###…  0
  43  garrow        c3o3\n################################\…  ###|###|######|###|#######|#######|###\…  0
  44  garrow        m3o2\n#################################…  ####|#######|######|#######|####|####|#…  0
  45  garrow        a2m3\n#################################…  #####|#####|####|#####|######|#####|###…  0
  46  garrow        a3o2\n#################################…  ###|###|#######|#######|####|#######|##…  0
  47  garrow        o4c4\n#################################…  ######|#####|######|#####|#####|####|##…  0
  48  garrow        b4c3\n#################################…  ####|####|#####|#####|######|######|###…  0
  49  garrow        p4a2\n#################################…  ###|###|######|#######|#######|###|####…  0

per-name tally this round
name             presented correct  hit-rate
garrow                  50       7     14.0%
