Centaur Zendo round 6 (training)
round_id : 9597c4fcfc1f4848843eb76b2f124d1d
written  : 2026-09-04 15:51:11Z
presented=55  answered=55  correct=6  skipped=0
client answer latency: mean 0.558 ms  median 0.465 ms  max 2.264 ms  (n=55)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        s3c3\n#################################…  ####|#######|####|#######|####|###|####…  0
   1  garrow        s2b3\n#################################…  #####|#####|######|####|###|#####|#####…  0
   2  garrow        s3a2\n################################\…  ###|####|#####|#####|###|######|######\…  0
   3  garrow        o3c1\n#################################…  ####|#######|######|###|######|#######|…  0
   4  garrow        p2o4\n#################################…  #######|#######|#######|#####|####|####…  0
   5  garrow        c1a4\n#################################…  #######|####|###|######|#######|######|…  0
   6  garrow        a3t3\n#################################…  ###|#####|###|#######|#####|#######|###…  0
   7  garrow        m3b5\n#################################…  #####|###|#####|######|####|####|######…  0
   8  garrow        b2t3\n#################################…  ###|###|###|######|######|######|######…  1
   9  garrow        t1m5\n################################\…  ######|####|######|###|####|######|###\…  0
  10  garrow        o2t5\n################################\…  ###|#####|#######|###|####|#######|###\…  0
  11  garrow        o2b3\n#################################…  ######|###|######|#####|#######|#####|#…  0
  12  garrow        s3p3\n#################################…  #######|####|######|####|####|#####|###…  0
  13  garrow        c4m1\n#################################…  #######|###|#######|###|######|#######|…  0
  14  garrow        m3a3\n#################################…  ###|#######|###|#####|###|#######|#####…  0
  15  garrow        c2b3\n#################################…  ####|####|#####|#######|#######|####|##…  0
  16  garrow        a4c2\n#################################…  #####|######|#####|####|######|#######\…  0
  17  garrow        s2m4\n#################################…  #######|###|######|#######|#####|#####|…  0
  18  garrow        s2m2\n#################################…  #####|#####|#####|#######|#####|####|##…  0
  19  garrow        c2p3\n#################################…  #######|####|#######|####|####|####|###…  0
  20  garrow        b4a2\n#################################…  #####|###|#######|#####|#######|#####|#…  0
  21  garrow        b4a2\n################################\…  ###|#######|#####|###|###|#####|######\…  0
  22  garrow        p3a3\n################################\…  ####|####|######|#####|######|#######\n…  1
  23  garrow        s3c4\n#################################…  #####|#######|#####|###|#####|######|##…  1
  24  garrow        p3m2\n#################################…  ####|#####|###|####|#######|####|######…  0
  25  garrow        a3s2\n#################################…  #####|###|#######|#####|###|######|####…  0
  26  garrow        p2o4\n#################################…  ###|###|###|#######|#######|#######|###…  1
  27  garrow        a2p4\n#################################…  #######|####|####|###|######|######|###…  0
  28  garrow        b3m2\n#################################…  ####|######|######|######|#####|#######…  1
  29  garrow        c2o4\n#################################…  #######|###|####|#####|###|#####|######…  0
  30  garrow        c1t3\n#################################…  ###|######|#######|######|#####|#####|#…  0
  31  garrow        s2b2\n#################################…  ######|#####|####|######|######|######\…  0
  32  garrow        p3b2\n#################################…  ####|####|######|######|####|####|#####…  0
  33  garrow        b2t5\n#################################…  ####|###|####|#####|#######|######|####…  0
  34  garrow        p1c3\n#################################…  ######|#######|#######|#######|####|###…  0
  35  garrow        a1p3\n################################\…  ####|####|######|###|###|######|######\…  0
  36  garrow        b2a3\n#################################…  ###|#######|######|#######|#####|###|##…  0
  37  garrow        b3t3\n#################################…  #######|###|#####|######|#######|######…  0
  38  garrow        m3b3\n#################################…  #####|#######|###|######|#####|####|###…  0
  39  garrow        t2b4\n#################################…  ###|#######|#######|#######|####|####|#…  0
  40  garrow        t1s3\n#################################…  #######|####|#######|#####|###|####|###…  0
  41  garrow        a2s2\n################################\…  ###|#####|#####|#####|###|#######|####\…  0
  42  garrow        m4s2\n#################################…  ###|#######|######|#######|####|#####|#…  0
  43  garrow        s3b3\n#################################…  ###|#####|######|######|####|######|###…  0
  44  garrow        c5p1\n#################################…  #####|####|#####|#####|######|######|##…  0
  45  garrow        o2a3\n################################\…  ###|######|#####|####|#####|######|###\…  0
  46  garrow        m1s3\n#################################…  #######|#######|######|#######|###|####…  0
  47  garrow        o4a4\n#################################…  ###|###|######|#####|#####|######|#####…  0
  48  garrow        s2m3\n#################################…  ######|######|###|###|####|#######|####…  0
  49  garrow        a3s2\n#################################…  ###|#######|#######|#######|#######|###…  0
  50  garrow        a4t2\n#################################…  ###|####|###|###|#######|######|#######…  0
  51  garrow        s2p2\n#################################…  #####|###|#######|#######|#######|####|…  0
  52  garrow        b2m3\n#################################…  #######|######|#######|#####|#####|####…  0
  53  garrow        a5c2\n#################################…  ####|###|####|######|######|#######|###…  1
  54  garrow        c2o1\n#################################…  ####|#######|######|#####|###|#####|###…  0

per-name tally this round
name             presented correct  hit-rate
garrow                  55       6     10.9%
