Centaur Zendo round 1 (training)
round_id : 3d8c8d21b9b247f49301de15d9397458
written  : 2026-09-04 15:10:59Z
presented=53  answered=0  correct=0  skipped=54
client answer latency: mean 0.112 ms  median 0.105 ms  max 0.322 ms  (n=54)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        o1s4\n#################################…  None                                      0
   1  garrow        p4s3\n#################################…  None                                      0
   2  garrow        s2b5\n#################################…  None                                      0
   3  garrow        o2c3\n#################################…  None                                      0
   4  garrow        b4s3\n#################################…  None                                      0
   5  garrow        t1o2\n################################\…  None                                      0
   6  garrow        t3s3\n#################################…  None                                      0
   7  garrow        b1p3\n#################################…  None                                      0
   8  garrow        a3c3\n#################################…  None                                      0
   9  garrow        c2t4\n#################################…  None                                      0
  10  garrow        p2b1\n#################################…  None                                      0
  11  garrow        m5p1\n################################\…  None                                      0
  12  garrow        a4b1\n#################################…  None                                      0
  13  garrow        o5s2\n#################################…  None                                      0
  14  garrow        o3b3\n################################\…  None                                      0
  15  garrow        p4m2\n#################################…  None                                      0
  16  garrow        a3p3\n#################################…  None                                      0
  17  garrow        a4p2\n#################################…  None                                      0
  18  garrow        a5o2\n#################################…  None                                      0
  19  garrow        s4p2\n#################################…  None                                      0
  20  garrow        p2s5\n#################################…  None                                      0
  21  garrow        s2p4\n#################################…  None                                      0
  22  garrow        t5p1\n#################################…  None                                      0
  23  garrow        s3o4\n#################################…  None                                      0
  24  garrow        b4p2\n#################################…  None                                      0
  25  garrow        o2s3\n#################################…  None                                      0
  26  garrow        s3m3\n#################################…  None                                      0
  27  garrow        c2b3\n#################################…  None                                      0
  28  garrow        c3a2\n#################################…  None                                      0
  29  garrow        c3s3\n#################################…  None                                      0
  30  garrow        s3p3\n#################################…  None                                      0
  31  garrow        c3s3\n#################################…  None                                      0
  32  garrow        p5b3\n################################\…  None                                      0
  33  garrow        s2t3\n################################\…  None                                      0
  34  garrow        t4c3\n################################\…  None                                      0
  35  garrow        c4p4\n################################\…  None                                      0
  36  garrow        t3s5\n#################################…  None                                      0
  37  garrow        t3p3\n#################################…  None                                      0
  38  garrow        o3t3\n#################################…  None                                      0
  39  garrow        s3t3\n#################################…  None                                      0
  40  garrow        c3b4\n#################################…  None                                      0
  41  garrow        m4c2\n#################################…  None                                      0
  42  garrow        c2t4\n#################################…  None                                      0
  43  garrow        p1c2\n################################\…  None                                      0
  44  garrow        a3o1\n#################################…  None                                      0
  45  garrow        o5b4\n#################################…  None                                      0
  46  garrow        m4t3\n#################################…  None                                      0
  47  garrow        a2p1\n################################\…  None                                      0
  48  garrow        m2o4\n#################################…  None                                      0
  49  garrow        t5p3\n#################################…  None                                      0
  50  garrow        o2t3\n#################################…  None                                      0
  51  garrow        m2a3\n#################################…  None                                      0
  52  garrow        a3m3\n#################################…  None                                      0

per-name tally this round
name             presented correct  hit-rate
garrow                  53       0      0.0%
