Centaur Zendo round 2 (training)
round_id : f670a4282ff14af0b30ee839db257597
written  : 2026-09-04 15:14:33Z
presented=54  answered=52  correct=3  skipped=2
client answer latency: mean 0.299 ms  median 0.292 ms  max 0.660 ms  (n=54)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        m3b2\n#################################…  #########|###|#######|####|############…  0
   1  garrow        p4s2\n#################################…  ###|####|###|###|########|#############…  0
   2  garrow        p4c4\n#################################…  ###|###|###|###|###|####|###|##########…  0
   3  garrow        b1m2\n#################################…  None                                      0
   4  garrow        b1m3\n################################\…  ###|###|#########|#################\n#.…  0
   5  garrow        s3c4\n#################################…  ######|###|###|#####|####|####|########…  0
   6  garrow        b3a1\n#################################…  ###############|###|###|##############\…  0
   7  garrow        m3o2\n#################################…  ###|####|###|##############|###########…  0
   8  garrow        t1a2\n#################################…  ####|##########|####################\n#…  0
   9  garrow        t3a3\n################################\…  ############|##########|##|###|##|###\n…  0
  10  garrow        t1p3\n#################################…  ##########|#####|###############|######…  0
  11  garrow        m3p4\n#################################…  ###|######|###|###|###|#######|########…  0
  12  garrow        c2b3\n#################################…  #####|####|###|###|####################…  0
  13  garrow        c3p3\n#################################…  #####|###|#######|###|###############|#…  0
  14  garrow        b2o4\n#################################…  #########|####|###|#####|###########|##…  0
  15  garrow        t2b3\n#################################…  #######|###|#####|###|#################…  0
  16  garrow        o4b3\n#################################…  ###########|###|###|#####|######|###|##…  0
  17  garrow        s4p2\n################################\…  ###|###|###|###############|###|#####\n…  0
  18  garrow        p2a4\n#################################…  ###|###|####|####|###|#################…  0
  19  garrow        c3b1\n################################\…  ###|#########|###|#################\n#.…  0
  20  garrow        o4p3\n#################################…  ####|###|####|#######|###|#####|#######…  0
  21  garrow        s3p4\n#################################…  ###|###|###|####|#####|###|############…  0
  22  garrow        s2o3\n#################################…  None                                      0
  23  garrow        b4s2\n#################################…  ####|###|#####|###|#############|######…  0
  24  garrow        s4a2\n#################################…  ####|###|###|###|######|###############…  0
  25  garrow        p3c3\n#################################…  ###|#######|######|###|###########|####…  0
  26  garrow        m3p2\n#################################…  #####|###|###########|###|#############…  0
  27  garrow        c2t3\n#################################…  ###|########|###|#####|################…  0
  28  garrow        c4o2\n#################################…  ###|####|###|####|######|##############…  0
  29  garrow        p2a3\n#################################…  ###|#########|#######|####|###########\…  0
  30  garrow        m3s3\n#################################…  ###|####|###|###|#######|##############…  0
  31  garrow        a1s5\n#################################…  ##########|######|#####|####|#######|##…  0
  32  garrow        o2t4\n#################################…  ###|###|###|###|####################|##…  0
  33  garrow        s2t4\n#################################…  ###|###|###|###|################|######…  1
  34  garrow        m3p4\n#################################…  ###|###|###|###|###|###############|###…  0
  35  garrow        o3p3\n#################################…  ####|####|###|###|#######|#############…  0
  36  garrow        b2m3\n#################################…  #####|###|######|####|#################…  0
  37  garrow        m3c3\n#################################…  ######|###|###|###|###|################…  0
  38  garrow        a3t3\n#################################…  ###|###|#########|########|###|########…  0
  39  garrow        c4o1\n################################\…  ###########|###|###|###|############\n#…  0
  40  garrow        a3m3\n#################################…  #####|###|####|######|###|#############…  0
  41  garrow        b2c1\n#################################…  #########|#########|################\n#…  0
  42  garrow        c3t3\n#################################…  ###|###########|###|####|######|#######…  0
  43  garrow        c4t2\n#################################…  #####|###|###|#####|#############|#####…  0
  44  garrow        o2m4\n#################################…  ###|####|###|###|###|##################…  0
  45  garrow        a5s3\n#################################…  ###|###|######|#####|###|######|###|###…  0
  46  garrow        a2o2\n#################################…  ############|###|########|#############…  1
  47  garrow        m2c3\n#################################…  ###|###|######|###|####################…  0
  48  garrow        o3s4\n#################################…  ###|#####|###|###|####|########|#######…  0
  49  garrow        t4m3\n#################################…  ###|###|###|###|#######|###|###########…  0
  50  garrow        b3p3\n#################################…  ###|###|###|######|###|################…  0
  51  garrow        o3p5\n################################\…  ###|###|###|###|###|###|###|###########…  0
  52  garrow        a2b3\n#################################…  ###|###|###|######|##################\n…  1
  53  garrow        m4t3\n#################################…  ###|###|#######|###|###|####|##########…  0

per-name tally this round
name             presented correct  hit-rate
garrow                  54       3      5.6%
