Centaur Zendo round final (final)
round_id : b29a753afc2640209ba23fcb7c5f4dc3
written  : 2026-09-04 15:51:24Z
presented=294  answered=291  correct=17  skipped=3
client answer latency: mean 0.324 ms  median 0.277 ms  max 3.403 ms  (n=294)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        c3o5\n#################################…  None                                      0
   1  garrow        p2t1\n#################################…  #####|####|############################…  0
   2  garrow        b5a3\n################################\…  ###|###|###|###|###|###|#######|#######…  0
   3  garrow        b2p3\n#################################…  ###|###|####|####|####################\…  0
   4  garrow        m4t3\n#################################…  ####|###|######|###|###|###|###########…  0
   5  garrow        c1t4\n#################################…  ###|####|###|#####|####################…  0
   6  garrow        c4p3\n#################################…  ###|###|###|###|###|###|###############…  0
   7  garrow        s3c4\n#################################…  ###|###|####|###|###|###|##############…  0
   8  garrow        o3s2\n#################################…  #####|###|###|###|#####################…  0
   9  garrow        t3a3\n#################################…  ###|###|###|####|###|##################…  0
  10  garrow        s2t2\n#################################…  #######|###|#########|###############\n…  0
  11  garrow        b3a4\n#################################…  ###|####|###|###|###|#############|####…  0
  12  garrow        b4a1\n#################################…  ##############|####|###|#####|########\…  0
  13  garrow        a4s3\n#################################…  ####|###|###|#####|###|#####|##########…  1
  14  garrow        a4b3\n#################################…  ###|###|####|######|###|###|###########…  0
  15  garrow        o4c3\n#################################…  ###|###|###|###|####|###|##############…  0
  16  garrow        c4o3\n#################################…  ######|###|####|###|###|###|###########…  0
  17  garrow        c2o2\n#################################…  ####|###|##################|###########…  1
  18  garrow        s3m2\n#################################…  ###|###|########|###|##################…  0
  19  garrow        t2m2\n#################################…  ####|###|#######|#####################\…  1
  20  garrow        o2b4\n################################\…  ###|####|###|#############|###|######\n…  0
  21  garrow        b3a3\n#################################…  ###|######|###|#########|###|##########…  0
  22  garrow        a2o4\n#################################…  ###|###|###|###|###|###################…  0
  23  garrow        p4t2\n#################################…  #####|###|###|####|###|################…  0
  24  garrow        o2m5\n#################################…  ###|###|###|####|###|###|##############…  0
  25  garrow        o2a3\n#################################…  ###|#########|####|###|###############\…  0
  26  garrow        p3c4\n#################################…  #########|###|###|###|###|########|####…  0
  27  garrow        c3s4\n#################################…  ######|######|###|###|###|###|#########…  0
  28  garrow        p2a4\n################################\…  ###|###|###|###|###|#################\n…  0
  29  garrow        m3c3\n#################################…  #######|###|###|###|##########|#######\…  0
  30  garrow        s3o1\n#################################…  ####|#####|###|########################…  0
  31  garrow        a4b2\n#################################…  ###|###|###|#######|###|###############…  0
  32  garrow        a3s3\n#################################…  #########|###|###|####|#############|##…  0
  33  garrow        c4o2\n#################################…  ####|###|###|###|######|###############…  0
  34  garrow        o6a2\n################################\…  ######|###|###|####|###|###|######|####…  0
  35  garrow        p1c2\n#################################…  ############|###|#####################\…  0
  36  garrow        m2b5\n#################################…  #######|###|###|###|#####|###|#########…  0
  37  garrow        b3m3\n#################################…  ####|###|###|###|#####|################…  0
  38  garrow        c3s2\n#################################…  ###|####|###|###|####################\n…  0
  39  garrow        c2o2\n#################################…  ####|##########|#################|#####…  0
  40  garrow        b3t3\n################################\…  ####|###|###|###|###|################\n…  0
  41  garrow        m3o3\n################################\…  ###|#####|####|###|###########|######\n…  0
  42  garrow        c4s3\n#################################…  #######|###|###|####|###|###|##########…  0
  43  garrow        a2b3\n#################################…  ###|###############|###|###|##########\…  0
  44  garrow        o3m3\n#################################…  ###|####|###|###|####|#################…  0
  45  garrow        c4o3\n#################################…  #####|###|##|###################|##|##|…  0
  46  garrow        s3o5\n#################################…  ###|###|###|###|###|###|###|###########…  0
  47  garrow        a4b4\n#################################…  ###|#####|###|###|#####|####|###|######…  0
  48  garrow        a2s3\n#################################…  ####|###|###|########################|#…  1
  49  garrow        o3s2\n#################################…  ###|###|###|###|#######################…  0
  50  garrow        o3t3\n#################################…  ###|###########|###|########|#######|##…  0
  51  garrow        b2m4\n#################################…  ######|####|####|####|####|############…  0
  52  garrow        a3b2\n#################################…  ###|########|###|######|#############\n…  1
  53  garrow        t2s2\n#################################…  ################|###|#######|##########…  1
  54  garrow        p3s5\n#################################…  ###|###|#####|###|####|###|###|########…  0
  55  garrow        s1o2\n#################################…  ###|#######|###########################…  0
  56  garrow        c3a2\n#################################…  ##########|#####|###|###|##############…  0
  57  garrow        t3c2\n################################\…  #####|###|########|####|############\n#…  0
  58  garrow        p4b3\n#################################…  ###|###|###|###|###|###|###############…  0
  59  garrow        a5o3\n#################################…  ####|###|######|####|#####|###|#####|##…  0
  60  garrow        c3t3\n#################################…  ########|###|###|#####|###|############…  0
  61  garrow        a2p4\n#################################…  ###|###|###|####|###########|##########…  0
  62  garrow        o3s3\n#################################…  ####|###|###|###|###|##################…  0
  63  garrow        o4c3\n#################################…  #####|###|####|###|#####|###|##########…  0
  64  garrow        p3b4\n#################################…  ###|###|###|###|###|##########|########…  0
  65  garrow        c3o3\n#################################…  #####|###|###|###|#######|############\…  0
  66  garrow        s2p3\n#################################…  ######|##########|######|######|#######…  0
  67  garrow        b2c4\n################################\…  ######|###|#######|###|#####|########\n…  0
  68  garrow        a3s4\n################################\…  #####|##|#######|##|##|########|######\…  0
  69  garrow        t3m3\n#################################…  #####|####|##############|###|######|##…  0
  70  garrow        o1c1\n#################################…  ###########|########################\n#…  0
  71  garrow        p2o3\n#################################…  ####|######|###|###|###################…  0
  72  garrow        b3o3\n#################################…  ####|###|#########|###|###|###########\…  0
  73  garrow        a1t3\n#################################…  ###|######|###|########################…  1
  74  garrow        p1a1\n#################################…  ###########|#######################\n#.…  0
  75  garrow        p4t2\n#################################…  ###|###|######|###|###|################…  0
  76  garrow        o3p4\n#################################…  #####|####|###|###|###|#########|######…  0
  77  garrow        m3a3\n#################################…  #######|###|#######|###|###########|###…  0
  78  garrow        p3b3\n#################################…  ###|###|###|####|####|#################…  0
  79  garrow        o2a3\n#################################…  #####|###|########|###|################…  0
  80  garrow        t3p1\n#################################…  ####################|##|##|###########\…  0
  81  garrow        s3b3\n#################################…  ###|#####|####|###|###|################…  0
  82  garrow        t3o2\n#################################…  #####|###|###|######|##################…  0
  83  garrow        s2c4\n#################################…  ###|###|###|###|######|###############\…  0
  84  garrow        a5o2\n################################\…  ###|###|####|###|########|###|########\…  0
