Centaur Zendo round 2 (training)
round_id : 3544f45018b942adb1bd20fe017007f4
written  : 2026-09-04 18:00:47Z
presented=344  answered=344  correct=26  skipped=0
client answer latency: mean 0.219 ms  median 0.206 ms  max 1.221 ms  (n=344)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        o3m1\n################################\…  ####|###############|########|#####\n#o…  1
   1  garrow        a1b3\n############################\n#..…  #########|######|######|#######\n#....a…  0
   2  garrow        b2m1\n###############################\n…  #######|##########|#####|#########\n#..…  0
   3  garrow        m1c1\n################################\…  ######|###|###|####################\n#.…  0
   4  garrow        t1s2\n###############################\n…  #########|#######|###############\n#.bb…  0
   5  garrow        s1o3\n#################################…  ####|############|##################\n#…  0
   6  garrow        m1b1\n#############################\n#c…  ##########|#######|###|###|######\n#cc.…  0
   7  garrow        m1b2\n#################################…  ###################|########|#######\n#…  0
   8  garrow        m3o1\n############################\n#..…  ####|############|############\n#..o|o.…  0
   9  garrow        t1p2\n############################\n#..…  ######|############|###|#######\n#...pp…  0
  10  garrow        m1b2\n#################################…  ###|#####|#########|################\n#…  0
  11  garrow        p3c3\n################################\…  ########|#######|######|###########\n#.…  0
  12  garrow        p3m1\n##############################\n#…  ####|#####|###########|##########\n#.bb…  0
  13  garrow        c3o1\n#################################…  #####|#####|###|#####################\n…  0
  14  garrow        c2p3\n#############################\n#.…  ############|#######|###|#######\n#...p…  0
  15  garrow        p3o1\n############################\n#..…  ############|#############|###\n#...pp.…  0
  16  garrow        b3m2\n############################\n#aa…  ###|######|###########|########\n#aa|..…  0
  17  garrow        b2t2\n##############################\n#…  ######|#######|#################\n#..pp…  0
  18  garrow        s3a2\n#############################\n#.…  ##########|##########|#########\n#....t…  0
  19  garrow        a1p3\n#################################…  ######################|###|########\n#.…  0
  20  garrow        m2t2\n##############################\n#…  ###|####################|#######\n#.m|m…  0
  21  garrow        s1t1\n################################\…  #####|####|###|#######|#############\n#…  0
  22  garrow        b3p2\n##############################\n#…  #################|##########|###\n#..oo…  0
  23  garrow        m3t1\n##############################\n#…  ###|###|###|#######|##############\n#tt…  0
  24  garrow        b3p3\n############################\n#..…  ####|#####|#############|######\n#..b|b…  0
  25  garrow        t2p3\n############################\n#..…  ###############|##########|###\n#...mm.…  0
  26  garrow        m2o3\n###############################\n…  ################|#########|######\n#pp.…  0
  27  garrow        c3a2\n############################\n#..…  #####|###############|########\n#..aa|.…  0
  28  garrow        c3s2\n################################\…  ##############|#########|#########\n#..…  0
  29  garrow        p1t2\n#################################…  #########|########|########|########\n#…  0
  30  garrow        s3t1\n#################################…  ###|#############|##############|####\n…  0
  31  garrow        b1o1\n############################\n#..…  #########|###|###|#############\n#..ss.…  0
  32  garrow        s2c2\n#############################\n#.…  ##########|###########|########\n#...tt…  0
  33  garrow        t2m3\n###############################\n…  ####|##############|#############\n#cc.…  0
  34  garrow        s2b2\n#############################\n#o…  ##########|###|################\n#oo...…  0
  35  garrow        p1a3\n##############################\n#…  ###|######|#####################\n#.a|a…  0
  36  garrow        b2s1\n#############################\n#.…  ####|###|###|#####|##############\n#.ss…  0
  37  garrow        p3c2\n################################\…  ########|#####|#######|############\n#.…  0
  38  garrow        b1p3\n############################\n#cc…  ######|##########|#########|###\n#cc...…  0
  39  garrow        b2p1\n################################\…  ####|########|####################\n#..…  0
  40  garrow        b3s2\n############################\n#aa…  ##############|###|###########\n#aa....…  0
  41  garrow        t2p3\n##############################\n#…  ###############|#######|########\n#.aa.…  0
  42  garrow        p1a3\n##############################\n#…  #####|###########|##############\n#.oo.…  0
  43  garrow        p2s3\n#################################…  ###|###|####################|########\n…  0
  44  garrow        m1c2\n################################\…  #######|#####|#######|#############\n#.…  0
  45  garrow        a1o2\n###############################\n…  #######|###|##########|###########\n#..…  0
  46  garrow        c3p3\n############################\n#.a…  ###########|#############|####\n#.aa...…  0
  47  garrow        s1t2\n################################\…  ##############|########|##########\n#.c…  0
