Centaur Zendo round 3 (training)
round_id : f21de87d4be2435bb5a7c0a6ff0f9bbb
written  : 2026-09-04 18:11:00Z
presented=295  answered=295  correct=17  skipped=0
client answer latency: mean 0.215 ms  median 0.208 ms  max 0.417 ms  (n=296)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        m2s1\n################################\…  ######|###|######|#################\n#.…  0
   1  garrow        o3t1\n#################################…  ##############|####|###############\n#.…  0
   2  garrow        s3a2\n################################\…  ###############|#################\n#...…  0
   3  garrow        t2a3\n##############################\n#…  ####|####|####|####|####|####|######\n#…  0
   4  garrow        m1c2\n###############################\n…  ##########|########|#########|####\n#..…  1
   5  garrow        o2m1\n#################################…  ##########|####|###################\n#.…  0
   6  garrow        s2m1\n#############################\n#m…  #############|################\n#mm....…  0
   7  garrow        c3b3\n#################################…  ###|####|###|####|#######|####|####|###…  0
   8  garrow        p2t2\n#################################…  ###|####|####################|#######\n…  0
   9  garrow        a1s3\n################################\…  #########|####################|###\n#..…  0
  10  garrow        c2s2\n#################################…  ##########|########################\n#.…  0
  11  garrow        b1m2\n############################\n#bb…  ########|######|######|#####|###\n#bb..…  0
  12  garrow        m2c2\n############################\n#..…  ###########|###|##########|####\n#.....…  0
  13  garrow        p1s3\n################################\…  ################|########|########\n#..…  0
  14  garrow        b2m1\n################################\…  ###########|#####################\n#..b…  0
  15  garrow        a3c2\n################################\…  #####|#####|######|###|####|####|#####\…  0
  16  garrow        s3b2\n###############################\n…  ####|#######|#############|#######\n#..…  0
  17  garrow        m1o3\n#################################…  #######|########|###|###############\n#…  0
  18  garrow        o2p2\n#################################…  #########|#########|################\n#…  0
  19  garrow        b2t2\n#################################…  #####|######|#####|######|#####|######\…  0
  20  garrow        c3s1\n############################\n#.b…  ############|######|######|####\n#.bb..…  0
  21  garrow        c1t2\n#################################…  ###########|##########|########|####\n#…  1
  22  garrow        c3t1\n################################\…  ####|#######|#####################\n#.c…  0
  23  garrow        s3p1\n#################################…  #######|#######|###|####|######|#######…  0
  24  garrow        c1b2\n################################\…  ####|#####|################|#######\n#.…  0
  25  garrow        s3b2\n#############################\n#.…  ###|#############|########|#####\n#..|s…  0
  26  garrow        t1s1\n###############################\n…  ####|####|###|####################\n#.s…  0
  27  garrow        c2a1\n###############################\n…  #####|######|###|########|#########\n#.…  0
  28  garrow        s2t3\n##############################\n#…  ###|########|#####|##############\n#tt|…  0
  29  garrow        t1s2\n################################\…  ############|#####|###############\n#.b…  0
  30  garrow        s3m3\n#################################…  ###|##############################\n#mm…  0
  31  garrow        t3c2\n#############################\n#.…  ###|###|#####|######|###|####|#####\n#.…  0
  32  garrow        o2p3\n#################################…  ###########|##########|#########|####\n…  0
  33  garrow        b2s3\n#############################\n#.…  ################|###|#######|###\n#....…  0
  34  garrow        m3b1\n################################\…  ###################|#############\n#...…  0
  35  garrow        s1c1\n##############################\n#…  ##########|####|###|#############\n#...…  0
  36  garrow        c3b3\n#################################…  #####|######|#######|################\n…  0
  37  garrow        a1s3\n################################\…  ####|##############|##############\n#..…  0
  38  garrow        a3b2\n#################################…  ##############|###################\n#ss…  0
  39  garrow        m3o3\n############################\n#oo…  #####|#####|###|###|###|###|###|###\n#o…  0
  40  garrow        t3p1\n#################################…  ######|#########|############|#######\n…  0
  41  garrow        o2t1\n#################################…  #########|############|#############\n#…  0
  42  garrow        o3s2\n############################\n#.o…  ##########|##################\n#.oo....…  0
  43  garrow        c1s3\n#############################\n#p…  ####|#####|###|####|#######|######\n#pp…  0
  44  garrow        a2c3\n############################\n#.c…  ###|##############|###|########\n#.c|c.…  0
  45  garrow        o2m1\n#################################…  ####|######|######|#################\n#…  0
  46  garrow        t1p3\n#################################…  ##################|################\n#t…  0
  47  garrow        m2t3\n#################################…  #####|#####|#####|#####|#####|#####|###…  0
  48  garrow        s2o3\n##############################\n#…  ####|##########|#########|#######\n#..b…  0
  49  garrow        p3o2\n#############################\n#.…  ##########|#########|##########\n#....b…  0
  50  garrow        a1m1\n#################################…  ###########|########|##############\n#.…  0
