Centaur Zendo round 4 (training)
round_id : 43954b5c3d0e426dbf79fc7b044ee35f
written  : 2026-09-04 18:24:30Z
presented=329  answered=329  correct=61  skipped=0
client answer latency: mean 0.267 ms  median 0.242 ms  max 1.289 ms  (n=329)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        p2c1\n################################\…  ###|##########|###|################\n#c…  0
   1  garrow        o2m3\n################################\…  ########|#########|###|###|#########\n#…  0
   2  garrow        s2t2\n###############################\n…  ####|############|###############\n#.tt…  0
   3  garrow        p3t1\n###############################\n…  ###|######################|###|###\n#..…  0
   4  garrow        t1s1\n#############################\n#.…  ###|###|#########|###|###########\n#..|…  0
   5  garrow        b2m2\n################################\…  ###|#############|########|########\n#.…  0
   6  garrow        p1a2\n################################\…  ##################|###|###|########\n#.…  1
   7  garrow        m2s3\n##############################\n#…  ###|###|##################|###|###\n#..…  0
   8  garrow        t2p1\n################################\…  ########|#####|#####|########|######\n#…  0
   9  garrow        t1p3\n#############################\n#.…  ###|################|###|#######\n#..|t…  0
  10  garrow        o3m3\n################################\…  ##############|###|###|###|#########\n#…  0
  11  garrow        s2t2\n##############################\n#…  #######|#####|###############|###\n#bb.…  1
  12  garrow        s1a2\n###############################\n…  ####################|###|###|#####\n#..…  1
  13  garrow        s2p3\n##############################\n#…  ###########|###|###|###|##########\n#mm…  0
  14  garrow        p1b3\n##############################\n#…  ############|####|##############\n#pp..…  0
  15  garrow        m2t2\n############################\n#.c…  ###|###|#################|#####\n#.c|c.…  0
  16  garrow        m2p3\n#############################\n#.…  ############|###|###|###|########\n#..s…  0
  17  garrow        b3m3\n#############################\n#.…  ###########|#############|#####\n#....b…  0
  18  garrow        m3p3\n##############################\n#…  ##############|##########|###|###\n#.bb…  0
  19  garrow        s2t1\n############################\n#ss…  #############|######|###|###|###\n#ss..…  1
  20  garrow        m3a3\n#################################…  ##############|#############|######\n#a…  0
  21  garrow        o1p2\n##############################\n#…  #######|###|###|#################\n#...…  0
  22  garrow        t3o2\n############################\n#mm…  ################|###|###|###|###\n#mm..…  0
  23  garrow        a1b3\n###############################\n…  ###############|#######|#########\n#bb.…  0
  24  garrow        p2o3\n#############################\n#.…  ###|###|###|####################\n#.t|t…  0
  25  garrow        b3s1\n#################################…  #################|###|###|###|#######\n…  0
  26  garrow        p1t2\n###############################\n…  #########|###|###################\n#...…  0
  27  garrow        b3p3\n##############################\n#…  ############|###|###|############\n#...…  0
  28  garrow        o1t2\n#############################\n#.…  #######|###|###|###|#############\n#..t…  1
