Centaur Zendo round 5 (training)
round_id : 9130b3bbbc5141e89095b40a24035848
written  : 2026-09-04 18:28:01Z
presented=331  answered=331  correct=81  skipped=0
client answer latency: mean 0.190 ms  median 0.185 ms  max 0.353 ms  (n=331)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        a1t1\n#################################…  ###|#######|#|######################\n#…  0
   1  garrow        s3o2\n#################################…  ###|########|#####|##################\n…  1
   2  garrow        o2c2\n###############################\n…  ###|######|###|###################\n#..…  1
   3  garrow        o3m1\n#################################…  ###|#####|#####|###|#################\n…  0
   4  garrow        b3o2\n############################\n#..…  ##############|#####|###|######\n#.....…  0
   5  garrow        p2o2\n#############################\n#.…  ###|###|#####|##################\n#..|.…  1
   6  garrow        p1m3\n################################\…  ###|###|######|####################\n#.…  0
   7  garrow        o1m3\n#############################\n#.…  ###|#######|###|###|#############\n#.m|…  0
   8  garrow        o2p1\n###############################\n…  ###|###|###|######################\n#aa…  0
   9  garrow        o1s1\n##############################\n#…  ###|###|###|#####################\n#.s|…  1
  10  garrow        p2s2\n#############################\n#.…  #########|#############|###|####\n#.pp.…  1
  11  garrow        c3t1\n#################################…  #####|#######|###|###|###############\n…  1
  12  garrow        t3o1\n#############################\n#t…  ###|###|###|####################\n#tt|.…  0
  13  garrow        m1s3\n#################################…  ###|###|###|#########################\n…  0
  14  garrow        c1a2\n############################\n#cc…  ###|#######|###|###############\n#cc|..…  0
  15  garrow        t1c3\n############################\n#..…  ###|#####|#####|###|############\n#..|p…  1
  16  garrow        o2s1\n#################################…  ###|####|####|#######################\n…  0
  17  garrow        p1o1\n#################################…  ###|###|###|#########################\n…  1
  18  garrow        c2p3\n###############################\n…  #########|##############|###|#####\n#mm…  0
  19  garrow        p2a1\n#################################…  ###|###|#######################|#|####\…  0
  20  garrow        b2s3\n#############################\n#.…  ######|###|###|#################\n#...b…  0
  21  garrow        t3c2\n################################\…  ###|#########|#######|#############\n#.…  0
  22  garrow        a3b2\n###############################\n…  ###################|######|###|###\n#..…  0
  23  garrow        a1c1\n##############################\n#…  ###|###|######|##|################\n#cc…  0
  24  garrow        s3p2\n###############################\n…  ############|########|###|########\n#tt…  0
  25  garrow        a1c3\n############################\n#ss…  ###|####|######|###############\n#ss|..…  1
  26  garrow        o2m3\n#################################…  ##########|############|###|#########\n…  0
  27  garrow        m2o1\n###############################\n…  #####|####|###|###|################\n#.…  0
  28  garrow        s2c1\n################################\…  ###|####################|#####|####\n#.…  1
  29  garrow        b2a2\n#############################\n#.…  ###################|###|###|####\n#....…  0
  30  garrow        o3t1\n################################\…  #####################|####|###|####\n#t…  0
  31  garrow        b1m3\n#################################…  ###|###|###################|#####|####\…  1
  32  garrow        m2s1\n################################\…  ####################|###|###|######\n#.…  0
  33  garrow        s1o2\n################################\…  ###|#################|#########|###\n#s…  1
  34  garrow        s3p3\n#################################…  ###|#####################|#######|###\n…  0
  35  garrow        o2a3\n#############################\n#s…  ###|###|###|####################\n#ss|.…  0
  36  garrow        t2a3\n##############################\n#…  ###|##############|##########|###\n#aa|…  0
  37  garrow        c1p3\n###############################\n…  ###|########|########|############\n#..…  0
  38  garrow        s1b2\n##############################\n#…  ##################|#|###|########\n#..o…  0
  39  garrow        t1m3\n###############################\n…  ###|###|#####|########|############\n#t…  0
  40  garrow        o2a2\n#################################…  ##############|#####|###|###########\n#…  0
  41  garrow        t2b3\n############################\n#..…  ###########|######|###|########\n#..ss.…  0
  42  garrow        a1c3\n#############################\n#s…  ###|###|###|####################\n#ss|.…  0
  43  garrow        a2s1\n################################\…  #################|##|###|###|#######\n#…  0
  44  garrow        o2p3\n#############################\n#o…  ##############|########|###|####\n#oo..…  0
  45  garrow        m3a1\n############################\n#..…  ########|###|###|##############\n#..tt.…  0
  46  garrow        p2a2\n#############################\n#.…  ###|###|##############|#########\n#..|.…  1
  47  garrow        p1m2\n############################\n#.a…  ###|###############|##|###|#####\n#.a|a…  0
  48  garrow        o2c3\n################################\…  ###|################|########|#####\n#c…  0
  49  garrow        t1p3\n#############################\n#s…  ##################|#####|###|###\n#ss..…  0
  50  garrow        m2t2\n#################################…  #################|#|###|#############\n…  0
  51  garrow        t2a2\n###############################\n…  ###|###|###|############|##########\n#.…  0
