Centaur Zendo round 6 (training)
round_id : a8eed858f09e4ac4bbb3e201c46d17ea
written  : 2026-09-04 18:29:10Z
presented=339  answered=339  correct=68  skipped=0
client answer latency: mean 0.193 ms  median 0.188 ms  max 0.301 ms  (n=340)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        s2m3\n##############################\n#…  ###|###############|########|####\n#..|…  0
   1  garrow        o1a2\n############################\n#.a…  ###|###|###############|#######\n#.a|a.…  1
   2  garrow        a2o2\n################################\…  ###|###|###|#######################\n#.…  0
   3  garrow        a2b2\n#############################\n#.…  ###|########|####|##############\n#.b|b…  0
   4  garrow        a2c2\n#################################…  ####|#######|###|####################\n…  0
   5  garrow        a2s2\n################################\…  ##########|############|###|#######\n#.…  1
   6  garrow        b1p1\n###############################\n…  ##############|###|###|###########\n#..…  0
   7  garrow        b3s1\n#################################…  ###|###|######################|#####\n#…  0
   8  garrow        b3s2\n################################\…  ###|###|#############|#############\n#.…  0
   9  garrow        p3c3\n################################\…  ###|###|###|#######################\n#.…  0
  10  garrow        t1o3\n################################\…  ###|#####|#####|###################\n#t…  1
  11  garrow        o2b1\n################################\…  ####################|######|###|###\n#.…  1
  12  garrow        o2c3\n############################\n#.o…  ###|############|###|##########\n#.o|o.…  1
  13  garrow        s3t1\n############################\n#..…  ###|######|###|################\n#..|..…  0
  14  garrow        o2p3\n#################################…  #############|###|###|##############\n#…  0
  15  garrow        s1a3\n##############################\n#…  ###|###|###|#####################\n#..|…  0
  16  garrow        c1a3\n#################################…  ###|###|####################|########\n…  0
  17  garrow        s2t1\n###############################\n…  ###############|######|###|#######\n#..…  1
  18  garrow        m2s1\n##############################\n#…  ###|#######|###|#################\n#..|…  0
  19  garrow        b1c2\n################################\…  ###|#########|###|#################\n#.…  0
  20  garrow        b1p1\n############################\n#..…  ####|###|###|##################\n#...|b…  1
  21  garrow        a3o1\n###############################\n…  #############|#####|###|##########\n#..…  0
  22  garrow        p2s1\n#################################…  ######################|###|###|######\n…  0
  23  garrow        m1t2\n##############################\n#…  ###|####|####|###################\n#.c|…  0
  24  garrow        m1o2\n#############################\n#.…  ##################|###|###|#####\n#....…  0
  25  garrow        m1t3\n############################\n#..…  ###|##################|####|###\n#..|..…  1
  26  garrow        o1p2\n#################################…  ###|###|###|#########################\n…  0
  27  garrow        p1b2\n###############################\n…  ###|##################|#######|###\n#.s…  1
  28  garrow        a3s3\n############################\n#.o…  #######|#############|###|#####\n#.oo..…  0
  29  garrow        s1m2\n#################################…  ###|###|####|#######################\n#…  0
  30  garrow        t1c3\n#################################…  ###|#######|########|###############\n#…  0
  31  garrow        b2o2\n###############################\n…  ###############|######|###|#######\n#.o…  0
  32  garrow        o2c2\n#################################…  ###|#####################|#######|###\n…  0
  33  garrow        p1a1\n#############################\n#t…  ###|####|###|###################\n#tt|.…  1
  34  garrow        o2a3\n###############################\n…  ###|###|###|######################\n#bb…  0
  35  garrow        p1m2\n################################\…  ###|###|###################|#######\n#.…  1
  36  garrow        b1t1\n################################\…  ###|###|###|#######################\n#b…  1
  37  garrow        a1o2\n###############################\n…  ###|#################|######|#####\n#..…  0
  38  garrow        c2b3\n##############################\n#…  ###########|###|###|#############\n#..b…  0
  39  garrow        b3s2\n################################\…  ###|##################|########|###\n#.…  0
  40  garrow        m2t2\n##############################\n#…  ##############|########|###|#####\n#...…  0
  41  garrow        m1s3\n#################################…  ####|#########|###|##################\n…  0
  42  garrow        s1m2\n##############################\n#…  ###|##################|#####|####\n#ss|…  0
  43  garrow        c1o2\n###############################\n…  ####################|###|###|#####\n#pp…  0
  44  garrow        t1a2\n#################################…  ###|###|##################|#########\n#…  0
  45  garrow        t3b3\n#################################…  ###|#################|###########|###\n…  0
  46  garrow        b1m2\n#############################\n#.…  ###|#########|####|#############\n#..|.…  0
  47  garrow        a2t1\n###############################\n…  ###|#####|#####|##################\n#bb…  0
  48  garrow        o1c2\n#################################…  ###############|####|###|###########\n#…  0
  49  garrow        b1m2\n################################\…  ###|###|###|#######################\n#m…  0
  50  garrow        t3s3\n############################\n#pp…  ###|###|#########|#############\n#pp|..…  0
  51  garrow        t1s1\n#############################\n#.…  ###|###|###|####################\n#.t|t…  0
  52  garrow        o2p1\n################################\…  #####|####|###|####################\n#.…  0
  53  garrow        b3t1\n################################\…  ###|###################|#######|###\n#.…  0
  54  garrow        c3t2\n###############################\n…  ###|######|#########|#############\n#.p…  1
  55  garrow        s1a1\n#############################\n#a…  ###|###|###|####################\n#aa|.…  1
  56  garrow        m3t1\n#################################…  ###|###|####################|#######\n#…  0
  57  garrow        p2a2\n#############################\n#o…  ################|#####|###|#####\n#oo..…  1
  58  garrow        a2o2\n################################\…  ###|#######|####|##################\n#m…  1
