Centaur Zendo round final (final)
round_id : 5b82dd209a764f41a476787c1b05eaa0
written  : 2026-09-04 18:36:04Z
presented=1955  answered=1955  correct=551  skipped=0
client answer latency: mean 0.172 ms  median 0.164 ms  max 1.410 ms  (n=1955)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        o1b2\n################################\…  ###|###|###|#######################\n#.…  0
   1  garrow        s2t1\n#############################\n#.…  ###########|###|###|############\n#....…  1
   2  garrow        b2s1\n#################################…  ###|#####|###|######################\n#…  1
   3  garrow        p2s2\n##############################\n#…  ###################|###|###|#####\n#oo.…  0
   4  garrow        t2m1\n#############################\n#.…  ###|##################|####|####\n#..|o…  1
   5  garrow        t3c3\n#################################…  ###|#############|###|###############\n…  0
   6  garrow        p1o2\n#################################…  #############|#########|###|#########\n…  1
   7  garrow        c3p1\n################################\…  ###|###|##################|########\n#.…  0
   8  garrow        o1s3\n#################################…  #####|#####|###|#####################\n…  0
   9  garrow        m3s2\n#################################…  ######################|#####|###|####\n…  0
  10  garrow        t3c1\n##############################\n#…  ############|############|###|###\n#.bb…  0
  11  garrow        t1a2\n##############################\n#…  #####################|###|###|###\n#...…  0
  12  garrow        b2s2\n#################################…  #####|#####|###|####################\n#…  0
  13  garrow        t1s2\n##############################\n#…  ####|###|###|####################\n#..s…  1
  14  garrow        a1b3\n#############################\n#.…  ###|###################|####|###\n#..|.…  1
  15  garrow        o2s1\n##############################\n#…  ###|###|###|#####################\n#ss|…  0
  16  garrow        t2o2\n###############################\n…  ###|###|#########|################\n#.c…  1
  17  garrow        a3o2\n#################################…  ###|#########|######|################\n…  0
  18  garrow        s2o2\n###############################\n…  ###|#########|###|################\n#..…  0
  19  garrow        a1o3\n#################################…  ###############|#######|###|#########\n…  0
  20  garrow        t2s2\n##############################\n#…  ###############|###|###|#########\n#...…  1
  21  garrow        a2b1\n###############################\n…  #######|###|###|##################\n#aa…  0
  22  garrow        b1a1\n################################\…  ###|###|###|#######################\n#.…  1
  23  garrow        p2s3\n##############################\n#…  ####|#########|###|##############\n#...…  0
  24  garrow        b1o3\n################################\…  ###|######################|####|###\n#.…  0
  25  garrow        b3a1\n##############################\n#…  ###|###################|####|####\n#aa|…  0
  26  garrow        o2b1\n#################################…  #################|####|###|##########\n…  1
  27  garrow        s2b3\n#################################…  ########|#############|###|##########\n…  0
  28  garrow        a2t1\n############################\n#..…  ###|######|###|################\n#..|pp…  1
  29  garrow        a1p1\n############################\n#tt…  #################|###|###|#####\n#tt...…  1
  30  garrow        s2m3\n#################################…  ####|#########|###|#################\n#…  0
  31  garrow        s2a1\n#################################…  ####|#####|###|#####################\n#…  0
  32  garrow        o1b2\n#################################…  ###|#########################|###|###\n…  0
  33  garrow        p1b3\n#################################…  ###################|###|###|#########\n…  0
  34  garrow        o1a3\n############################\n#aa…  ###|###|###############|#######\n#aa|..…  1
  35  garrow        b2c2\n#################################…  ###|##########|######|###############\n…  0
  36  garrow        m2t3\n################################\…  ####|#########|###|################\n#.…  0
  37  garrow        t1m1\n#################################…  ###|############|###|################\n…  0
  38  garrow        c1t2\n#############################\n#c…  ###|#######|####|###############\n#cc|.…  1
  39  garrow        t2m3\n#################################…  ###|#####|########|#################\n#…  0
  40  garrow        a2b3\n############################\n#..…  ###|###|###|###################\n#..|.a…  0
  41  garrow        t3m3\n############################\n#.t…  ###|##################|###|####\n#.t|t.…  1
  42  garrow        c3p1\n#################################…  ####################|######|###|#####\n…  0
  43  garrow        p1t1\n#############################\n#.…  ###|####|###|###################\n#..|p…  1
  44  garrow        o2p1\n##############################\n#…  ###############|###|###|#########\n#.aa…  0
  45  garrow        o3p3\n#################################…  ###|##################|#########|###\n#…  0
  46  garrow        m1c1\n#############################\n#.…  #####|###|###|##################\n#.ss.…  0
  47  garrow        b3a2\n###############################\n…  ###|###############|########|#####\n#..…  0
