Centaur Zendo round 3 (training)
round_id : 469cc93d01664d298d9b8e5e31603409
written  : 2026-09-04 17:59:25Z
presented=409  answered=0  correct=0  skipped=410
client answer latency: mean 0.115 ms  median 0.112 ms  max 1.675 ms  (n=410)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        a3b2\n############################\n#.b…  None                                      0
   1  garrow        m3c1\n##############################\n#…  None                                      0
   2  garrow        a2o1\n################################\…  None                                      0
   3  garrow        m1s3\n##############################\n#…  None                                      0
   4  garrow        t2b3\n############################\n#tt…  None                                      0
   5  garrow        o1s1\n#############################\n#.…  None                                      0
   6  garrow        o1t1\n############################\n#.t…  None                                      0
   7  garrow        m2c3\n############################\n#.c…  None                                      0
   8  garrow        b1o2\n################################\…  None                                      0
   9  garrow        b3c1\n###############################\n…  None                                      0
  10  garrow        o1p2\n###############################\n…  None                                      0
  11  garrow        b2m1\n#################################…  None                                      0
  12  garrow        s1a3\n#############################\n#.…  None                                      0
  13  garrow        p2t2\n##############################\n#…  None                                      0
  14  garrow        b3o1\n################################\…  None                                      0
  15  garrow        c1m2\n##############################\n#…  None                                      0
  16  garrow        a1b1\n############################\n#bb…  None                                      0
  17  garrow        p1t1\n#################################…  None                                      0
  18  garrow        o2m1\n#############################\n#.…  None                                      0
  19  garrow        s3a1\n##############################\n#…  None                                      0
  20  garrow        s1c2\n################################\…  None                                      0
  21  garrow        b3t1\n#############################\n#.…  None                                      0
  22  garrow        b2c3\n#############################\n#.…  None                                      0
  23  garrow        m3p1\n################################\…  None                                      0
  24  garrow        b2t3\n############################\n#..…  None                                      0
  25  garrow        c1t3\n################################\…  None                                      0
  26  garrow        o3m1\n#################################…  None                                      0
  27  garrow        b2o1\n###############################\n…  None                                      0
  28  garrow        t3a3\n############################\n#tt…  None                                      0
  29  garrow        c1m1\n#################################…  None                                      0
  30  garrow        b2m3\n#################################…  None                                      0
  31  garrow        t2s2\n#################################…  None                                      0
  32  garrow        m1s3\n###############################\n…  None                                      0
  33  garrow        m1a2\n############################\n#..…  None                                      0
  34  garrow        m1s2\n#################################…  None                                      0
  35  garrow        o3a3\n############################\n#tt…  None                                      0
  36  garrow        t2c3\n#################################…  None                                      0
  37  garrow        a2t1\n#############################\n#.…  None                                      0
  38  garrow        c2p2\n################################\…  None                                      0
  39  garrow        p3o1\n############################\n#pp…  None                                      0
  40  garrow        p2b3\n#################################…  None                                      0
  41  garrow        m2a3\n#################################…  None                                      0
  42  garrow        t3b3\n##############################\n#…  None                                      0
  43  garrow        p2c2\n##############################\n#…  None                                      0
  44  garrow        m3s3\n#################################…  None                                      0
  45  garrow        p2s1\n#################################…  None                                      0
  46  garrow        t1s2\n###############################\n…  None                                      0
  47  garrow        t3s2\n#################################…  None                                      0
  48  garrow        c1m2\n##############################\n#…  None                                      0
  49  garrow        m3o2\n############################\n#..…  None                                      0
  50  garrow        c3t2\n################################\…  None                                      0
  51  garrow        b1o2\n#################################…  None                                      0
  52  garrow        o1p2\n##############################\n#…  None                                      0
  53  garrow        c2b2\n#################################…  None                                      0
  54  garrow        s2c1\n#################################…  None                                      0
  55  garrow        b2a3\n#################################…  None                                      0
  56  garrow        p2t1\n#################################…  None                                      0
  57  garrow        a2c2\n############################\n#.t…  None                                      0
  58  garrow        c3t1\n#################################…  None                                      0
  59  garrow        t2p2\n#################################…  None                                      0
  60  garrow        c2p2\n###############################\n…  None                                      0
  61  garrow        c1m3\n###############################\n…  None                                      0
  62  garrow        a1p1\n##############################\n#…  None                                      0
  63  garrow        a3c1\n###############################\n…  None                                      0
  64  garrow        t2s1\n##############################\n#…  None                                      0
  65  garrow        m1t2\n#############################\n#.…  None                                      0
  66  garrow        o3t2\n###############################\n…  None                                      0
  67  garrow        o1t3\n#################################…  None                                      0
  68  garrow        p3t1\n#############################\n#.…  None                                      0
  69  garrow        c3b3\n##############################\n#…  None                                      0
  70  garrow        p1b3\n#################################…  None                                      0
  71  garrow        t2b2\n############################\n#..…  None                                      0
  72  garrow        b1t3\n#################################…  None                                      0
  73  garrow        s2t3\n#################################…  None                                      0
  74  garrow        s1m1\n################################\…  None                                      0
  75  garrow        b1o2\n#################################…  None                                      0
  76  garrow        t1a3\n#################################…  None                                      0
  77  garrow        t1o3\n#############################\n#.…  None                                      0
  78  garrow        o3b2\n#############################\n#b…  None                                      0
  79  garrow        m2c2\n################################\…  None                                      0
  80  garrow        m1c1\n#############################\n#.…  None                                      0
  81  garrow        p2s2\n##############################\n#…  None                                      0
  82  garrow        m2c3\n##############################\n#…  None                                      0
  83  garrow        t2o2\n#############################\n#.…  None                                      0
  84  garrow        s2c3\n###############################\n…  None                                      0
  85  garrow        m3t1\n###############################\n…  None                                      0
  86  garrow        t3a1\n#################################…  None                                      0
  87  garrow        t3b3\n############################\n#..…  None                                      0
  88  garrow        c1o2\n#############################\n#.…  None                                      0
  89  garrow        c3b1\n###############################\n…  None                                      0
  90  garrow        a2s2\n################################\…  None                                      0
  91  garrow        o3m1\n###############################\n…  None                                      0
  92  garrow        s2p3\n#############################\n#s…  None                                      0
  93  garrow        b1a3\n############################\n#.a…  None                                      0
  94  garrow        o3b3\n#################################…  None                                      0
  95  garrow        b2p3\n#################################…  None                                      0
  96  garrow        o1m2\n################################\…  None                                      0
  97  garrow        o3c1\n############################\n#tt…  None                                      0
  98  garrow        b2s3\n############################\n#..…  None                                      0
  99  garrow        a3o2\n#################################…  None                                      0
 100  garrow        a2b1\n###############################\n…  None                                      0
 101  garrow        t2c3\n################################\…  None                                      0
 102  garrow        t2p3\n################################\…  None                                      0
 103  garrow        m1o1\n#################################…  None                                      0
 104  garrow        b1a3\n################################\…  None                                      0
 105  garrow        s3b1\n#############################\n#s…  None                                      0
 106  garrow        c1m3\n##############################\n#…  None                                      0
 107  garrow        t3b1\n#################################…  None                                      0
 108  garrow        a2p1\n#################################…  None                                      0
 109  garrow        p2m3\n##############################\n#…  None                                      0
 110  garrow        c3m2\n#################################…  None                                      0
 111  garrow        o1p3\n############################\n#.o…  None                                      0
 112  garrow        p3c3\n############################\n#..…  None                                      0
 113  garrow        c1t2\n################################\…  None                                      0
 114  garrow        b3t1\n#################################…  None                                      0
 115  garrow        b3t2\n###############################\n…  None                                      0
 116  garrow        p2c1\n############################\n#..…  None                                      0
 117  garrow        t2o3\n##############################\n#…  None                                      0
 118  garrow        b3s2\n#############################\n#.…  None                                      0
 119  garrow        m2a2\n################################\…  None                                      0
 120  garrow        o3c1\n###############################\n…  None                                      0
 121  garrow        t3m1\n###############################\n…  None                                      0
 122  garrow        p3s1\n##############################\n#…  None                                      0
 123  garrow        b2o1\n############################\n#..…  None                                      0
 124  garrow        m2t3\n#################################…  None                                      0
 125  garrow        p2b2\n#################################…  None                                      0
 126  garrow        t1o3\n#############################\n#t…  None                                      0
 127  garrow        o2b3\n############################\n#..…  None                                      0
 128  garrow        a3t2\n#############################\n#.…  None                                      0
 129  garrow        c2p3\n#############################\n#.…  None                                      0
 130  garrow        a1m1\n#################################…  None                                      0
 131  garrow        m2s2\n#################################…  None                                      0
