Centaur Zendo round 4 (training)
round_id : 6d540d9c77f34bec99c9bdd7b5338428
written  : 2026-09-04 17:59:30Z
presented=431  answered=0  correct=0  skipped=432
client answer latency: mean 0.100 ms  median 0.092 ms  max 1.196 ms  (n=432)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        o2c3\n#################################…  None                                      0
   1  garrow        c2b1\n##############################\n#…  None                                      0
   2  garrow        o3s1\n############################\n#..…  None                                      0
   3  garrow        m2t2\n#############################\n#.…  None                                      0
   4  garrow        m1t2\n###############################\n…  None                                      0
   5  garrow        s1p3\n#############################\n#m…  None                                      0
   6  garrow        s2t1\n#################################…  None                                      0
   7  garrow        m1a2\n################################\…  None                                      0
   8  garrow        b3t1\n#############################\n#.…  None                                      0
   9  garrow        m1c3\n#############################\n#.…  None                                      0
  10  garrow        m3p1\n#################################…  None                                      0
  11  garrow        m1t2\n#################################…  None                                      0
  12  garrow        o3a1\n################################\…  None                                      0
  13  garrow        s3c2\n################################\…  None                                      0
  14  garrow        p2a1\n##############################\n#…  None                                      0
  15  garrow        b2s3\n############################\n#..…  None                                      0
  16  garrow        p1o3\n#############################\n#p…  None                                      0
  17  garrow        o1t2\n#############################\n#.…  None                                      0
  18  garrow        c3s1\n#################################…  None                                      0
  19  garrow        a3t1\n#############################\n#c…  None                                      0
  20  garrow        p1b1\n#############################\n#.…  None                                      0
  21  garrow        s1t3\n###############################\n…  None                                      0
  22  garrow        b1p2\n#############################\n#s…  None                                      0
  23  garrow        o1t1\n##############################\n#…  None                                      0
  24  garrow        s1b3\n#############################\n#b…  None                                      0
  25  garrow        m2a1\n##############################\n#…  None                                      0
  26  garrow        a2t3\n###############################\n…  None                                      0
  27  garrow        b3o2\n###############################\n…  None                                      0
  28  garrow        a3t2\n###############################\n…  None                                      0
  29  garrow        b2m2\n##############################\n#…  None                                      0
  30  garrow        s3t1\n#################################…  None                                      0
  31  garrow        a2c3\n#############################\n#.…  None                                      0
  32  garrow        a1m2\n#################################…  None                                      0
  33  garrow        p2t1\n############################\n#.t…  None                                      0
  34  garrow        p2b2\n############################\n#oo…  None                                      0
  35  garrow        a3m1\n#################################…  None                                      0
  36  garrow        s3b2\n############################\n#..…  None                                      0
  37  garrow        p3o1\n#################################…  None                                      0
  38  garrow        a2b2\n##############################\n#…  None                                      0
  39  garrow        o1s1\n#############################\n#.…  None                                      0
  40  garrow        b3o3\n##############################\n#…  None                                      0
  41  garrow        m3b2\n##############################\n#…  None                                      0
  42  garrow        s3t2\n############################\n#.t…  None                                      0
  43  garrow        a3m1\n#############################\n#a…  None                                      0
  44  garrow        o2s1\n#################################…  None                                      0
  45  garrow        c1a1\n##############################\n#…  None                                      0
  46  garrow        s2b2\n#################################…  None                                      0
  47  garrow        s1o2\n############################\n#..…  None                                      0
  48  garrow        c2o2\n#################################…  None                                      0
  49  garrow        o2p2\n#################################…  None                                      0
  50  garrow        m2b1\n################################\…  None                                      0
  51  garrow        s1c3\n##############################\n#…  None                                      0
  52  garrow        t1b2\n#############################\n#o…  None                                      0
  53  garrow        b3m1\n################################\…  None                                      0
  54  garrow        t2a1\n###############################\n…  None                                      0
  55  garrow        m2t2\n################################\…  None                                      0
  56  garrow        m2s3\n#############################\n#.…  None                                      0
  57  garrow        o2a2\n###############################\n…  None                                      0
  58  garrow        p3a2\n#################################…  None                                      0
  59  garrow        p3m2\n############################\n#pp…  None                                      0
  60  garrow        t3a2\n############################\n#..…  None                                      0
  61  garrow        m2a2\n############################\n#..…  None                                      0
  62  garrow        c2p1\n##############################\n#…  None                                      0
  63  garrow        c2b2\n#################################…  None                                      0
  64  garrow        c3t2\n############################\n#..…  None                                      0
  65  garrow        m1t1\n################################\…  None                                      0
  66  garrow        p3m1\n############################\n#mm…  None                                      0
  67  garrow        s1m2\n#################################…  None                                      0
  68  garrow        c2b3\n###############################\n…  None                                      0
  69  garrow        b2s1\n##############################\n#…  None                                      0
  70  garrow        a1o2\n#############################\n#.…  None                                      0
  71  garrow        o2t1\n#################################…  None                                      0
  72  garrow        a3c1\n#################################…  None                                      0
  73  garrow        c1b3\n###############################\n…  None                                      0
  74  garrow        m1a3\n#################################…  None                                      0
  75  garrow        m3a3\n###############################\n…  None                                      0
  76  garrow        o2a1\n#############################\n#o…  None                                      0
  77  garrow        s2m2\n################################\…  None                                      0
  78  garrow        b3m3\n##############################\n#…  None                                      0
  79  garrow        t2s2\n#############################\n#.…  None                                      0
  80  garrow        s2a1\n#################################…  None                                      0
  81  garrow        t1p2\n#################################…  None                                      0
  82  garrow        s3c1\n############################\n#..…  None                                      0
  83  garrow        t3o1\n############################\n#.p…  None                                      0
  84  garrow        c1p1\n#############################\n#.…  None                                      0
  85  garrow        s3c3\n##############################\n#…  None                                      0
  86  garrow        m2c1\n#############################\n#.…  None                                      0
  87  garrow        c3p2\n################################\…  None                                      0
  88  garrow        o2s2\n################################\…  None                                      0
  89  garrow        p2o1\n#################################…  None                                      0
  90  garrow        m3c2\n############################\n#.c…  None                                      0
  91  garrow        a1b2\n############################\n#..…  None                                      0
  92  garrow        s3p1\n##############################\n#…  None                                      0
  93  garrow        t3o2\n###############################\n…  None                                      0
  94  garrow        p2m3\n################################\…  None                                      0
  95  garrow        o3b1\n#################################…  None                                      0
  96  garrow        t1s1\n#################################…  None                                      0
  97  garrow        p1s1\n############################\n#..…  None                                      0
  98  garrow        o3b1\n################################\…  None                                      0
  99  garrow        c2s3\n#################################…  None                                      0
 100  garrow        a1o2\n#################################…  None                                      0
 101  garrow        m1t3\n##############################\n#…  None                                      0
 102  garrow        b1m3\n#################################…  None                                      0
 103  garrow        a1p1\n#################################…  None                                      0
 104  garrow        p3b2\n#################################…  None                                      0
 105  garrow        p3m2\n#################################…  None                                      0
 106  garrow        s2c3\n#############################\n#.…  None                                      0
 107  garrow        b3a2\n###############################\n…  None                                      0
 108  garrow        t1c2\n############################\n#.c…  None                                      0
 109  garrow        c3b2\n#################################…  None                                      0
 110  garrow        m1a3\n#################################…  None                                      0
 111  garrow        c3t3\n##############################\n#…  None                                      0
 112  garrow        t2c3\n############################\n#..…  None                                      0
 113  garrow        t2p1\n#################################…  None                                      0
 114  garrow        p2c1\n############################\n#..…  None                                      0
 115  garrow        m1c2\n#################################…  None                                      0
 116  garrow        p2b2\n################################\…  None                                      0
 117  garrow        b2s2\n#############################\n#.…  None                                      0
 118  garrow        o2s1\n############################\n#..…  None                                      0
 119  garrow        o3c2\n#################################…  None                                      0
 120  garrow        c2m2\n#################################…  None                                      0
 121  garrow        s3b1\n################################\…  None                                      0
 122  garrow        m1b2\n##############################\n#…  None                                      0
 123  garrow        b3o1\n################################\…  None                                      0
 124  garrow        m1a2\n##############################\n#…  None                                      0
 125  garrow        b1p1\n################################\…  None                                      0
 126  garrow        b3m1\n#############################\n#.…  None                                      0
 127  garrow        m2t1\n################################\…  None                                      0
 128  garrow        a2t1\n##############################\n#…  None                                      0
 129  garrow        a1o1\n#################################…  None                                      0
 130  garrow        b1t3\n#################################…  None                                      0
 131  garrow        o3t2\n#################################…  None                                      0
 132  garrow        s1m1\n#############################\n#m…  None                                      0
 133  garrow        a1b1\n#############################\n#.…  None                                      0
 134  garrow        b3s2\n############################\n#.a…  None                                      0
 135  garrow        t1s1\n#################################…  None                                      0
 136  garrow        c3o2\n#################################…  None                                      0
 137  garrow        o3t2\n#############################\n#.…  None                                      0
 138  garrow        s1m1\n################################\…  None                                      0
 139  garrow        s2m1\n##############################\n#…  None                                      0
 140  garrow        b1p1\n###############################\n…  None                                      0
 141  garrow        t3a2\n################################\…  None                                      0
 142  garrow        m3t3\n##############################\n#…  None                                      0
 143  garrow        s3m2\n#############################\n#a…  None                                      0
 144  garrow        t3b3\n#################################…  None                                      0
 145  garrow        b3p3\n#################################…  None                                      0
 146  garrow        o1p3\n##############################\n#…  None                                      0
 147  garrow        c2p2\n#################################…  None                                      0
 148  garrow        b2p3\n#################################…  None                                      0
 149  garrow        t1a3\n##############################\n#…  None                                      0
 150  garrow        m1s2\n#################################…  None                                      0
 151  garrow        a2s1\n############################\n#..…  None                                      0
 152  garrow        o2m1\n##############################\n#…  None                                      0
 153  garrow        p1a2\n################################\…  None                                      0
 154  garrow        c2p2\n###############################\n…  None                                      0
 155  garrow        m2a1\n#################################…  None                                      0
 156  garrow        m3a1\n#################################…  None                                      0
 157  garrow        p3s2\n############################\n#pp…  None                                      0
 158  garrow        o2a2\n#################################…  None                                      0
 159  garrow        o3p1\n###############################\n…  None                                      0
 160  garrow        o1m2\n#################################…  None                                      0
 161  garrow        s3m2\n#############################\n#c…  None                                      0
 162  garrow        b2o1\n##############################\n#…  None                                      0
 163  garrow        s2o2\n#############################\n#s…  None                                      0
 164  garrow        t3b3\n#############################\n#.…  None                                      0
 165  garrow        m3t3\n#############################\n#m…  None                                      0
 166  garrow        b3p2\n################################\…  None                                      0
 167  garrow        s1b3\n###############################\n…  None                                      0
 168  garrow        o3s2\n##############################\n#…  None                                      0
 169  garrow        m1b3\n#################################…  None                                      0
 170  garrow        s1t3\n############################\n#tt…  None                                      0
 171  garrow        m1a3\n#################################…  None                                      0
 172  garrow        s3p3\n#############################\n#s…  None                                      0
 173  garrow        b2s2\n###############################\n…  None                                      0
 174  garrow        o2c3\n#############################\n#.…  None                                      0
 175  garrow        b3p3\n############################\n#..…  None                                      0
 176  garrow        b3o2\n###############################\n…  None                                      0
 177  garrow        m1c1\n#################################…  None                                      0
 178  garrow        t3o2\n#############################\n#.…  None                                      0
 179  garrow        a1m1\n##############################\n#…  None                                      0
 180  garrow        p3t1\n#############################\n#.…  None                                      0
 181  garrow        o3a2\n#################################…  None                                      0
 182  garrow        p1m3\n##############################\n#…  None                                      0
 183  garrow        o2a1\n###############################\n…  None                                      0
 184  garrow        p2b1\n################################\…  None                                      0
 185  garrow        m1s3\n#################################…  None                                      0
 186  garrow        c2s2\n#################################…  None                                      0
 187  garrow        c1p3\n################################\…  None                                      0
 188  garrow        b1s1\n#################################…  None                                      0
 189  garrow        b2m2\n############################\n#..…  None                                      0
 190  garrow        m1t1\n#################################…  None                                      0
 191  garrow        s2c1\n################################\…  None                                      0
 192  garrow        c1t2\n################################\…  None                                      0
 193  garrow        s2c3\n###############################\n…  None                                      0
 194  garrow        a2b3\n#################################…  None                                      0
 195  garrow        b1s2\n############################\n#mm…  None                                      0
 196  garrow        s3a3\n############################\n#aa…  None                                      0
