Centaur Zendo round 5 (training)
round_id : 74869c1f66914970bd9e8e61a2c0c9d0
written  : 2026-09-04 18:11:06Z
presented=307  answered=272  correct=108  skipped=35
client answer latency: mean 0.451 ms  median 0.429 ms  max 1.275 ms  (n=307)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        c3b3\n#############################\n#.…  ###|###|###|###|###|####|###|###|####\n…  0
   1  garrow        b2o1\n#################################…  #######################|###########\n#.…  0
   2  garrow        m2t3\n#################################…  ###|###|####|###|####|###|###|###|###|#…  0
   3  garrow        b2t3\n################################\…  ####|#####|#########|##############\n#.…  1
   4  garrow        m1c1\n##############################\n#…  #####|####|#########|####|####|####\n#.…  1
   5  garrow        m3o2\n#################################…  ##|##|##|##|##|##|###|##|##|##|##|###|#…  0
   6  garrow        s2b2\n##############################\n#…  ###|####|###|######|###|#######|####\n#…  1
   7  garrow        c3o2\n############################\n#..…  None                                      0
   8  garrow        o2c3\n#############################\n#.…  ###|###|###|###|####|######|#######\n#.…  1
   9  garrow        a2p1\n#################################…  ####################|##############\n#.…  0
  10  garrow        s2c2\n###############################\n…  ###|####|#####|#####|###|###|###|#####\…  0
  11  garrow        m1p3\n################################\…  ######|###############|###########\n#mm…  0
  12  garrow        m2c2\n#################################…  ####|######|########|####|#####|#######…  1
  13  garrow        t3c2\n############################\n#..…  ##|###|##|####|##|#######|###|##|###\n#…  0
  14  garrow        b3o3\n#################################…  ###|#########|#########|######|###|####…  0
  15  garrow        a2t3\n##############################\n#…  None                                      0
  16  garrow        m3b1\n############################\n#.m…  ###|######|###|######|###|###|####\n#.m…  1
  17  garrow        p3a3\n#################################…  ###################|######|#########\n#…  0
  18  garrow        m1b2\n#############################\n#m…  ###|###|###|###|###|###|###|###|#####\n…  0
  19  garrow        a2s2\n#################################…  ###|###############|###############\n#.…  0
  20  garrow        p1c3\n###############################\n…  #######|####|####|####|#######|#####\n#…  1
  21  garrow        m1s3\n##############################\n#…  ##|##|##|##|##|##|##|##|##|##|##|######…  0
  22  garrow        b2m3\n#################################…  None                                      0
  23  garrow        c2b2\n##############################\n#…  ##############|###|#############\n#bb..…  0
  24  garrow        t1s3\n#############################\n#.…  ###|######|###|###|###|###|####|####\n#…  1
  25  garrow        b2p1\n##############################\n#…  #################|#############\n#pp...…  0
  26  garrow        o3s3\n#############################\n#.…  ###|###|###|###|###|#####|######|###\n#…  1
  27  garrow        b2p3\n############################\n#..…  ##########|###########|#######\n#..bb..…  0
  28  garrow        t3m1\n################################\…  ####|####|####|####|####|############\n…  1
  29  garrow        t3p1\n#################################…  ########|###|##|##|##|##|##|##|########…  0
  30  garrow        a2m3\n###############################\n…  None                                      0
  31  garrow        s3a2\n#################################…  None                                      0
  32  garrow        p2t2\n###############################\n…  ####|###|###|#######|###|###|###|#####\…  1
  33  garrow        m3p2\n#############################\n#a…  ########|########|#############\n#aa..m…  0
  34  garrow        b2a3\n#############################\n#.…  ###|####|###|###|#####|###|########\n#.…  1
  35  garrow        s2c3\n############################\n#mm…  ##########|###########|#######\n#mm...c…  0
  36  garrow        b1s3\n#############################\n#.…  ####|#####|####|#########|#######\n#.ss…  1
  37  garrow        t3m1\n#############################\n#t…  ##|##|##|##|##|##|##|##|#####|##|##|##|…  0
  38  garrow        c1p3\n#############################\n#s…  ###|######|###|###|########|###|###\n#s…  1
  39  garrow        m2o2\n############################\n#oo…  ##########|###|###|############\n#oo...…  1
  40  garrow        t3m2\n#################################…  ###|####|####|####|###|###|###|###|###|…  0
  41  garrow        b3p2\n#############################\n#.…  #######|#####|#################\n#.pp..…  0
  42  garrow        a3s1\n#############################\n#.…  ###|###|#######|###|###|###|#######\n#.…  1
