Centaur Zendo round 6 (training)
round_id : 35a938cce2214e38a92f1d93bb8110e1
written  : 2026-09-04 18:14:31Z
presented=314  answered=314  correct=314  skipped=0
client answer latency: mean 0.294 ms  median 0.247 ms  max 1.708 ms  (n=314)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        m3o2\n################################\…  ###|###|###|####|###|######|###|#######…  1
   1  garrow        b3a1\n#################################…  ###|###|###|###|###|###|###|###########…  1
   2  garrow        o2c1\n################################\…  ###|###|###########|###|###|###|######\…  1
   3  garrow        t3m2\n############################\n#aa…  ###|###|###|#########|######|####\n#aa|…  1
   4  garrow        a2c3\n###############################\n…  ###|###|#########|#########|###|####\n#…  1
   5  garrow        m1c3\n############################\n#.c…  ###|#####|###|###|###|####|###|####\n#.…  1
   6  garrow        s1a2\n############################\n#.s…  ###|####|###|###|###|########|####\n#.s…  1
   7  garrow        c2o1\n###############################\n…  ###|###|###|###|###|################\n#…  1
   8  garrow        b3s2\n###############################\n…  ###|###|###|###|#####|######|####|####\…  1
   9  garrow        a2p1\n###############################\n…  ###|###|###|###|###|#####|###########\n…  1
  10  garrow        a2s2\n################################\…  ####|###|###|###|###|#########|####|###…  1
  11  garrow        t2m2\n#############################\n#.…  ###|###|###|####|######|######|####\n#.…  1
  12  garrow        b3s3\n#############################\n#.…  ###|#####|###|###|###|######|###|###\n#…  1
  13  garrow        o2c3\n##############################\n#…  ###|###|###|###|###|########|####|###\n…  1
  14  garrow        b1o1\n##############################\n#…  ###|###|###|####|###|###|###|########\n…  1
  15  garrow        m3c3\n#################################…  ####|###|###|#####|###|###|###|########…  1
  16  garrow        t1m3\n############################\n#..…  ###|#######|###|###|###|###|###|###\n#.…  1
  17  garrow        m2b3\n###############################\n…  ###|###|###|####|####|###|###########\n…  1
  18  garrow        b3m2\n##############################\n#…  ####|###|###|###########|###|###|###\n#…  1
  19  garrow        m1c2\n#############################\n#o…  ###|###|###|####################\n#oo|.…  1
  20  garrow        c1s3\n#################################…  ###|###|###############|###|###|###|###…  1
  21  garrow        c3o2\n##############################\n#…  ###|###|###|###|####|####|###|#######\n…  1
  22  garrow        o3s3\n#############################\n#.…  ###|###|###|#####|#####|#####|#####\n#.…  1
  23  garrow        o3m1\n############################\n#.c…  ###|###|###|###|############|####\n#.c|…  1
  24  garrow        m2t1\n#################################…  ###|###|####|######|###|###|###|#######…  1
  25  garrow        o1s1\n#################################…  ####|###|###########|###|###|###|###|##…  1
  26  garrow        t3c3\n############################\n#.o…  ####|####|######|###|###|###|#####\n#.o…  1
