Centaur Zendo round final (final)
round_id : 99110d5f90544e758fd1c0f3072c4ee2
written  : 2026-09-04 18:14:43Z
presented=1956  answered=1956  correct=1956  skipped=0
client answer latency: mean 0.274 ms  median 0.220 ms  max 1.871 ms  (n=1957)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  garrow        o1b2\n################################\…  ###|###|#####|###|###|#######|####|####…  1
   1  garrow        s2t1\n#############################\n#.…  ###|################|######|####\n#..|.…  1
   2  garrow        b2s1\n#################################…  ###|###|###|###|#####################\n…  1
   3  garrow        p2s2\n##############################\n#…  ###|###|###|###|###|###|####|########\n…  1
   4  garrow        t2m1\n#############################\n#.…  ###|###|#########|###|###|####|####\n#.…  1
   5  garrow        t3c3\n#################################…  ###|###|######|####|###|###|#########|#…  1
   6  garrow        p1o2\n#################################…  ###|#########|##########|############\n…  1
   7  garrow        c3p1\n################################\…  ####|###|###|###|###|######|####|######…  1
   8  garrow        o1s3\n#################################…  #####|####|###|###|###|###|###|########…  1
   9  garrow        m3s2\n#################################…  ###|###|####|##########|###|####|###|##…  1
  10  garrow        t3c1\n##############################\n#…  ###|###|###|###|#####|#######|######\n#…  1
  11  garrow        t1a2\n##############################\n#…  ###|###########|###|###|####|######\n#.…  1
  12  garrow        b2s2\n#################################…  ###|###|###|###########|########|#####\…  1
  13  garrow        t1s2\n##############################\n#…  ####|###|###|###|########|###|###|###\n…  1
  14  garrow        a1b3\n#############################\n#.…  ###|###|###|###|####|######|###|####\n#…  1
  15  garrow        o2s1\n##############################\n#…  ###|###|#####|###|#####|###|###|#####\n…  1
  16  garrow        t2o2\n###############################\n…  ###|###|###|###|###|#######|#########\n…  1
  17  garrow        a3o2\n#################################…  ###|###|####|###|###|###|####|#########…  1
  18  garrow        s2o2\n###############################\n…  ###|###|#####|###|###|###|###|########\…  1
  19  garrow        a1o3\n#################################…  ###|####|###|###|#####|####|#######|###…  1
