Centaur Zendo round final (final)
round_id : 9816e13e2a514db5bdfbd56c4605443e
written  : 2026-09-04 23:04:47Z
presented=3562  answered=214  correct=45  skipped=3348
client answer latency: mean 0.082 ms  median 0.076 ms  max 1.131 ms  (n=3562)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  velk          MCXWNZ|3                                  None                                      0
   1  murn          o##o..o.#o|8                              None                                      0
   2  kelmar        __*__Y__*___*__*_____*______Y__*_____*_…  None                                      0
   3  basten        ...2....3...3....1....3....2...../3       None                                      0
   4  kelmar        __*__Y__Y__*____Y___*__Y__*_________*__…  None                                      0
   5  basten        .....3....2.....2.....2....2......./3     None                                      0
   6  tovel         31/2/I/5/13                               None                                      0
   7  tovel         28/1/Q/3/16                               None                                      0
   8  velk          BGLKQ|3                                   None                                      0
   9  murn          o#o#.ooo#....o|4                          None                                      0
  10  velk          HTQR|5                                    None                                      0
  11  velk          WZJXV|2                                   None                                      0
  12  LegoZendo2    WY9                                       None                                      0
  13  orlan         .#.#.\noo..#\n#...#\nxo#xx\no..#.\n...##  None                                      0
  14  kelmar        ___*__*__*__Y___*___*_______Y__Y_____*_…  None                                      0
  15  LegoZendo2    IZ10                                      None                                      0
  16  tovel         28/4/J/1/13                               None                                      0
  17  basten        ....1....3...3.....3............/3        None                                      0
  18  basten        ...2......2...1........3.....2..../2      None                                      0
  19  orlan         ..o.x\n#.##.\no#o#o\n...o.\n.#xx#         None                                      0
  20  tovel         31/3/S/1/26                               None                                      0
  21  velk          APIODE|5                                  None                                      0
  22  LegoZendo2    JU11                                      AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA…  0
  23  velk          YLQFB|2                                   None                                      0
  24  tovel         28/3/L/4/14                               None                                      0
  25  velk          JINEOF|2                                  None                                      0
  26  LegoZendo2    LD7                                       None                                      0
  27  murn          #..o#o...|11                              None                                      0
  28  orlan         x##.#o\n..o#o#\n#o#o#.\n..#...\n#.x##.    None                                      0
  29  kelmar        _____Y___*___*___Y__Y___*_____*__Y__*__…  None                                      0
  30  basten        ...2...2.....2........2......2....../3    None                                      0
  31  kelmar        ____*___Y__*____*__Y__*______Y_______Y_…  None                                      0
  32  velk          QCYMKO|4                                  None                                      0
  33  murn          ##o.oo###|4                               None                                      0
  34  kelmar        __*____*____Y__Y__*__*__*__*_____Y___Y_…  None                                      0
  35  murn          ..##o.o..|3                               None                                      0
