Centaur Zendo round 2 (training)
round_id : bdd6f386f42f4d738d6c99017d395c13
written  : 2026-09-04 22:39:18Z
presented=437  answered=437  correct=4  skipped=0
client answer latency: mean 0.100 ms  median 0.090 ms  max 1.147 ms  (n=437)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  kelmar        _____*__Y___*__Y__*___*____Y___Y__*__*_…  11                                        0
   1  basten        .....3......3......2........2......./2    10                                        0
   2  kelmar        ______Y___*__*__*__*____*____Y______*__…  6                                         0
   3  LegoZendo2    JX4                                       ........VVZZ..RR.PPP.............GGGGGG…  0
   4  basten        ...3.....3....3...2....2......./4         5                                         0
   5  LegoZendo2    AD12                                      AAAAAAAAAAAAAAAAAAAAAAAA\nAAAAAAAAAAAAA…  0
   6  murn          #.o.o##..##o#.o#|10                       #..oo##..##o#.o#                          0
   7  orlan         oooo.\n#..#.\nx....\no.#..\n#.#..\n#ox.#  oooo.\n#..#.\nx....\no.#..\n#.#..\n#ox.#  0
   8  orlan         #o#o.#\no#..#.\n##.x#x\n#.x..o\n.x.#.#    .x.#.#\n#.x..o\n##.x#x\no#..#.\n#o#o.#    0
   9  tovel         29/4/L/1/25                               1                                         0
  10  basten        ...3.....3.......3........3....../3       33                                        0
  11  kelmar        _____Y___Y______*____*__*__*_______Y__Y…  4                                         0
  12  orlan         .o...\n#o#..\n.o..o\nx###.\n#....\nx.xo#  ...o.\n..#o#\no..o.\n.###x\n....#\n#ox.x  0
  13  kelmar        __*__*___*__Y__Y____Y__Y______Y__*_____…  49                                        0
  14  velk          OREVY|5                                   TWJAD                                     0
  15  basten        ...1.......3.......3.......3......./6     60                                        0
  16  LegoZendo2    SB11                                      SSBBSSBBSSBBSSBBSSBBSS\nSSBBSSBBSSBBSSB…  0
  17  velk          RWLS|2                                    PUJQ                                      0
  18  LegoZendo2    SG1                                       SSGGSSGGSSGG\nSSGGSSGGSSGG\nSSGGSSGGSSGG  0
  19  tovel         30/3/K/3/21                               9                                         0
  20  kelmar        _____*__*____Y____Y_____*__*__Y__*__Y__…  60                                        0
  21  basten        ...3...3.....3........3.......1...../3    10                                        0
  22  kelmar        ___*____Y__*____*_____Y____Y__*____Y__*…  10                                        0
  23  LegoZendo2    JS7                                       BBGGZZRRPPVVKK\nBBGGZZRRPPVVKK\nBBGGZZR…  0
  24  orlan         oo#o.\n..#o.\n..xo.\n...#o\n.##x.         .x##.\no#...\n.ox..\n.o#..\n.o#oo         0
  25  tovel         30/4/A/2/25                               0                                         0
  26  kelmar        __*____*____*___Y__*__Y__*____*______Y_…  -39                                       0
  27  kelmar        ___*____Y______*__*___Y__*__*___Y__Y___…  ___2____1______2__2___1__2__2___1__1___…  0
  28  LegoZendo2    TY5                                       TTTTTTTTTTTT\nTTTTTTTTTTTT\nTTTTTTTTTTTT  0
  29  orlan         #.oo.\n.##ox\n.o#..\n.#.o#\n..##x\n.....  #.....\n.#o#..\no##.#.\noo.o#.\n.x.#x.    0
  30  kelmar        __*___Y____Y__*__Y_____*__*__*_________…  __*___Y____Y__*__Y_____*__*__*_________…  0
  31  velk          QPMB|2                                    BMPQ                                      0
  32  tovel         29/6/H/3/18                               H                                         0
  33  velk          YKBNG|5                                   GNBKY                                     0
  34  orlan         .....#\n#...#o\n....o#\nxox.#.\n#.#...\…  ##x.#.\n..o...\n##x...\n......\n..#o#.\…  0
  35  orlan         o#.o.\n.#...\nx..#.\no..#o\no#ox.         ...o.\no.##x\n....o\n##..#\no.xoo         0
  36  orlan         ...x..\n......\no....#\n.##.o.\n...#ox\…  ...o..\n......\nx....#\n.##.x.\n...#xo\…  0
  37  tovel         30/0/A/5/10                               10                                        0
  38  orlan         ....o\n#.o..\n#.o.x\nx#...\n..o..\n#..o.  ....o\n..o..\n..o.x\nx....\n..o..\n...o.  0
  39  basten        ...3....3......2.......3..../7            18                                        0
  40  orlan         .o.x.\n#..##\n..o##\no.x.x\n##.ox\n....#  4                                         0
  41  orlan         #.x##x\nx.#..#\no##..#\n..o...\n#.o.x.\…  5                                         0
  42  orlan         ....o.\n...#o#\n..o.#.\n.#oxo#\n.....#\…  7                                         0
  43  basten        ......3.....3......3.....1........./2     33                                        0
  44  kelmar        _____*__Y____Y__Y__*_______Y__*_______*…  _____*__Y___*_______*__Y_______*__Y__Y_…  0
  45  LegoZendo2    ZA1                                       ........VVZZ..RR.PPP.............ZZZZZZ…  0
  46  tovel         28/1/D/1/23                               28                                        0
  47  murn          ...oo.oo..#...#|12                        oooo......#...#                           0
  48  orlan         ...o#\n..#.x\n.o.#o\n#.x.#\n...o#\n#o.xx  o                                         0
  49  LegoZendo2    DX7                                                                                 0
  50  velk          VAFYBN|5                                  FGKSAD                                    0
  51  LegoZendo2    DV10                                      ........VVZZ..RR.PPP.............GGGGGG…  0
  52  LegoZendo2    SX6                                       SSSSSSSSSSSS\nSSSSSSSSSSSS\nSSSSSSSSSSSS  0
  53  velk          ENCJA|2                                   N                                         0
  54  murn          .#oo....###.#|3                           .#....oo###.#                             0
  55  murn          .##......o##.o#|13                        .##o......##o.#                           0
  56  LegoZendo2    JA2                                       JJAA\nJJAA\nJJAA                          0
  57  basten        ....3....2....3.......2......./2          ....3....2....3.......2.......            0
  58  velk          AMEO|3                                    M                                         0
  59  orlan         .#....\n.x.#..\no.x..x\n##.oo.\n.#.#..    x                                         0
  60  LegoZendo2    DT11                                      DDTTDDTTDDTT\nDDTTDDTTDDTT\nDDTTDDTTDDTT  0
  61  basten        ...2......3.....2......2......2...../4    .....2......2......2.....3......2...      0
  62  LegoZendo2    CX5                                       BBGGZZRRPP\nBBGGZZRRPP\nBBGGZZRRPP        0
  63  tovel         29/0/J/4/15                               15                                        0
  64  kelmar        _______*____Y__Y___Y__*____*___*____*__…  10                                        0
  65  basten        ....3......3....3....2.....1...2..../4        3      3    3    2     1   2          0
  66  orlan         ...o#.\n.##x.x\n......\n...#..\n#.#x#o\…  -1                                        0
  67  basten        ...3.....2.....2.......3........../5      3,9,15,23                                 0
  68  orlan         #o....\noo..o.\nxo##..\n#.....\n.##x##\…  #.....\n......\n..##..\n#.....\n.##.##\…  0
  69  tovel         29/6/U/1/24                               2                                         0
  70  LegoZendo2    VQ11                                      VVVVVVVVVVVV\nVVVVVVVVVVVV\nVVVVVVVVVVVV  0
  71  tovel         31/4/R/4/18                               7                                         0
  72  tovel         29/1/I/1/23                               8                                         0
  73  LegoZendo2    XA11                                      ........VVZZ..RR.PPP.............XXXXXX…  0
  74  murn          o..##.o#oooo.o.|4                         o..##.o#oooo.o.                           0
  75  basten        ....3...2...3...3....3........../6        3,2,3,3,3                                 0
  76  murn          o.#.o.##...|6                             ...##.o.#.o                               0
  77  murn          ....o#oo.ooo|9                            ooo....o#oo.                              0
  78  orlan         ......\n.#..x.\n...o..\no.#.#.\n......\…  ......\n......\n......\n......\n......\…  0
  79  murn          o##o#....|6                               o#....o##                                 0
  80  velk          LBMA|4                                    L                                         0
  81  LegoZendo2    XG10                                                                                0
  82  kelmar        __*____*____Y____Y__*__Y____*____Y__*__…  4                                         0
  83  velk          NJXSW|4                                   WNJXS                                     0
  84  velk          ICAKW|3                                   AKWIC                                     0
  85  tovel         30/0/E/1/22                               5                                         0
  86  murn          ...#o#oo#.oo|4                            5                                         0
  87  basten        ...3........3.....1...3......../7         3                                         0
  88  murn          o...o.o.oo...###|9                        3                                         0
  89  murn          .o#.##...#|9                              10                                        0
  90  tovel         28/3/L/1/21                               84                                        0
  91  velk          RQBN|2                                    4                                         0
  92  tovel         28/0/A/1/23                               24                                        0
  93  LegoZendo2    KM7                                       ........VVZZ..RR.PPP.............GGGGGG…  0
  94  orlan         o..#.\nxo##o\n....o\n##.x.\no#.x.\nox.#.  6x5                                       0
  95  tovel         31/3/Q/2/26                               24                                        0
  96  murn          o#..o..oo..##|4                           o...o..oo....                             0
  97  tovel         31/4/Z/5/13                               2                                         0
  98  LegoZendo2    NJ12                                      NNNNNNNNNNNNNNNNNNNNNNNN\nNNNNNNNNNNNNN…  0
  99  tovel         29/6/R/5/11                               4                                         0
 100  orlan         o....#\n.##xo#\n.....#\n#..###\n...oo#\…  ooooo#\no##xo#\nooooo#\n#oo###\nooooo#\…  0
 101  kelmar        __*__*___*___Y____*__Y__Y__*__*____Y___…  20                                        0
 102  orlan         ..x.o#\n.#o#.x\n..o#.o\nx..#.#\n......\…  7                                         0
 103  tovel         31/0/Z/5/15                               1                                         0
 104  murn          ...#o.#o####o|7                           ...#..#.####.                             0
 105  LegoZendo2    CG4                                       CCGGCCGG\nCCGGCCGG\nCCGGCCGG              0
 106  kelmar        __*__*__Y__*_____*__Y_____Y_____*____Y_…  5                                         0
 107  tovel         29/5/F/1/5                                29/5/F/1/5                                0
 108  murn          ooooo.##o..|7                             #                                         0
 109  LegoZendo2    YM1                                       YYMMYYMMYYMM\nYYMMYYMMYYMM\nYYMMYYMMYYMM  0
 110  basten        ....3...2.....3.....2...2........../3     24                                        0
 111  velk          LWCGB|3                                   lwcgb                                     0
 112  orlan         ox###\nx.x.#\n...o#\n#o##.\n#oo..         ox###\nx.x.#\n...o#\n#o##.\n#oo..         0
 113  basten        ....2...2.....3....2.....1....../3        3                                         0
 114  tovel         28/5/R/1/25                               23                                        0
 115  orlan         .#..oo\n.x.#ox\n#...o#\n#o...#\n......    ......\n#o...#\n#...o#\n.x.#ox\n.#..oo    0
 116  orlan         ..##x.\n......\n....#.\n..o.xo\no...o#\…  .x##..\n......\n.#....\nox.o..\n#o...o\…  0
 117  kelmar        __Y__*__Y___*__Y____*___*__Y__*____*___…  304                                       0
 118  basten        ...2.....2....3.........3...../6          24                                        0
 119  LegoZendo2    QC10                                      BBGGZZRRPPVVKKBBGGZZ\nBBGGZZRRPPVVKKBBG…  0
 120  murn          ..##o.###o|6                              6                                         0
 121  orlan         .o.#..\n...#.#\n#...#o\n.#ox.#\n#.xxxo\…  ..o...\noxxx.#\n#.xo#.\no#...#\n#.#...\…  0
 122  kelmar        ___Y___Y__*_______*__*__*______*__Y____…  20                                        0
 123  orlan         .#..#.\no.....\nox#.x#\n..#...\n.#.o#.\…  .oo...\n#.x.#.\n..##..\n....o#\n#.x.##\…  0
 124  kelmar        ____Y____*__*_________Y_____*___Y__*___…  Y**Y*Y**YY                                0
 125  tovel         30/1/Y/5/9                                24                                        0
 126  velk          NTXO|3                                    qwar                                      0
 127  kelmar        __*__*___*____*__*__*____*_________Y__Y…  41                                        0
 128  orlan         o.....\nx#x###\no.#..#\n#o.ox.\n#.#.#.    ##oxo\n.o.#.\n#.#x.\n.o.#.\n#x.#.\n..##.  0
 129  murn          .o#.oo.##.#|12                            .o#..oo##.#                               0
 130  LegoZendo2    YF4                                       YYYYYYYYYYYY\nYYYYYYYYYYYY\nYYYYYYYYYYYY  0
 131  tovel         30/4/E/2/19                               8                                         0
 132  tovel         29/1/E/3/14                               15                                        0
 133  orlan         ...#ox\n.....#\n.....#\n.#o...\no.o##.\…  x##..#\no...#x\n#...#.\n...oo#\n...#..\…  0
 134  tovel         31/1/W/1/15                               1                                         0
 135  tovel         30/6/Y/4/11                               Y                                         0
 136  tovel         30/6/I/1/23                               23                                        0
 137  LegoZendo2    BL5                                       ........VVZZ..RR.PPP.............LLLLLL…  0
 138  basten        .....2......3.......1...3...2..../7       1                                         0
 139  tovel         29/3/H/4/13                               29                                        0
 140  tovel         28/6/G/1/23                               6                                         0
 141  tovel         31/1/H/5/14                               1                                         0
 142  velk          MAIHN|4                                   NMIHA                                     0
 143  tovel         30/1/L/2/21                               4                                         0
 144  murn          ..oo#...#.##|6                            ..oo#...#.##                              0
 145  LegoZendo2    VZ1                                                                                 0
 146  basten        ...3.......2........3.....2....3..../2    ...#.......#........#.....#....#....      0
 147  murn          o...#.o#.o.#|13                           o...#o.#o..#                              0
 148  murn          o##..o#.#..##o.o|16                       x##..x#.#..##x.x                          0
 149  murn          .o...oo#.#|5                              15                                        0
