Centaur Zendo round 1 (training)
round_id : 371171c961034a8e83da9aa52c23a2e4
written  : 2026-09-04 21:13:31Z
presented=787  answered=0  correct=0  skipped=787
client answer latency: mean 0.088 ms  median 0.085 ms  max 1.068 ms  (n=787)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  morvin        14172/7                                   None                                      0
   1  morvin        457/5                                     None                                      0
   2  morvin        629/0                                     None                                      0
   3  morvin        53439/9                                   None                                      0
   4  morvin        47813/7                                   None                                      0
   5  morvin        29121/0                                   None                                      0
   6  morvin        848/8                                     None                                      0
   7  morvin        8997/9                                    None                                      0
   8  morvin        72762/7                                   None                                      0
   9  morvin        56418/8                                   None                                      0
  10  morvin        81837/0                                   None                                      0
  11  morvin        7236/9                                    None                                      0
  12  morvin        221/2                                     None                                      0
  13  morvin        56411/8                                   None                                      0
  14  morvin        5885/0                                    None                                      0
  15  morvin        2448/9                                    None                                      0
  16  morvin        8578/8                                    None                                      0
  17  morvin        5325/0                                    None                                      0
  18  morvin        349/2                                     None                                      0
  19  morvin        985/6                                     None                                      0
  20  morvin        78185/0                                   None                                      0
  21  morvin        1486/8                                    None                                      0
  22  morvin        98778/8                                   None                                      0
  23  morvin        85456/0                                   None                                      0
  24  morvin        5118/0                                    None                                      0
  25  morvin        9273/10                                   None                                      0
  26  morvin        998/5                                     None                                      0
  27  morvin        144/4                                     None                                      0
  28  morvin        86322/0                                   None                                      0
  29  morvin        148/0                                     None                                      0
  30  morvin        648/6                                     None                                      0
  31  morvin        2465/6                                    None                                      0
  32  morvin        3947/5                                    None                                      0
  33  morvin        4257/5                                    None                                      0
  34  morvin        9572/1                                    None                                      0
  35  morvin        3216/5                                    None                                      0
  36  morvin        795/0                                     None                                      0
  37  morvin        382/7                                     None                                      0
  38  morvin        5141/9                                    None                                      0
  39  morvin        9383/5                                    None                                      0
  40  morvin        31424/10                                  None                                      0
  41  morvin        8633/8                                    None                                      0
