Centaur Zendo round 1 (training)
round_id : b1c3e89c7ffa4cb1866b2e5d81c89a5b
written  : 2026-09-04 20:01:13Z
presented=546  answered=546  correct=0  skipped=0
client answer latency: mean 0.115 ms  median 0.108 ms  max 1.201 ms  (n=546)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  norvel        xx..x..x..x...x...xx..xx..xx/4            drum |xx..|x..x|..x.|..x.|..xx|..xx|..x…  0
   1  norvel        xx.....xx...xx...xxx/2                    drum |xx..|...x|x...|xx..|.xxx|\nclap |…  0
   2  norvel        x....x....xx.....x...xxx/3                drum |x...|.x..|..xx|....|.x..|.xxx|\nc…  0
   3  norvel        x.xx...x..x..x..x..x/5                    drum |x.xx|...x|..x.|.x..|x..x|\nclap |…  0
   4  norvel        x..x..xx..x...xx...x/4                    drum |x..x|..xx|..x.|..xx|...x|\nclap |…  0
   5  norvel        x..x...xx....xxx.....xx..xxx/3            drum |x..x|...x|x...|.xxx|....|.xx.|.xx…  0
   6  norvel        xx.x...xx...x...xxx...x..xxx/2            drum |xx.x|...x|x...|x...|xxx.|..x.|.xx…  0
   7  norvel        x....xxx....x...x....x...xxx/3            drum |x...|.xxx|....|x...|x...|.x..|.xx…  0
   8  norvel        x..x..x...x..x..x..x/4                    drum |.xx.|xx.x|xx.x|x.xx|.xx.|\nclap |…  0
   9  norvel        x.x...x...xx..x....x/3                    drum |x.x.|..x.|..xx|..x.|...x|\nclap |…  0
  10  norvel        x...xx...x..xx...x.x/2                    drum |x...|xx..|.x..|xx..|.x.x|\nclap |…  0
  11  norvel        x...x....x....xxx.xx/2                    drum |x...|x...|.x..|..xx|x.xx|\nclap |…  0
  12  norvel        xx..xx...x...x....xxx.xx/3                drum |xx..|xx..|.x..|.x..|..xx|x.xx|\nc…  0
  13  norvel        xx....xx..xx.....xx...xx/3                drum |xx..|..xx|..xx|....|.xx.|..xx|\nc…  0
  14  norvel        x...xx...x.....x..xx..xx/4                drum |x...|xx..|.x..|...x|..xx|..xx|\nc…  0
  15  norvel        x..x..x...x..x.x/4                        drum |x..x|..x.|..x.|.x.x|\nclap |.xx.|…  0
  16  norvel        xx..x..x..x...x..x..x..x/4                drum |xx..|x..x|..x.|..x.|.x..|x..x|      0
  17  norvel        x.xx...xxx...xx...x...xx/2                drum |x.xx|...x|xx..|.xx.|..x.|..xx|\nc…  0
  18  norvel        xx..x..xx...x...x..x/4                    drum |..xx|.xx.|.xxx|.xxx|.xx.|\nclap |…  0
  19  norvel        x..x..x..x...x..x..x/4                    drum |x..x|..x.|.x..|.x..|x..x|\nclap |…  0
  20  norvel        x..x...x..x...xxx..x/4                    drum |x..x|...x|..x.|..xx|x..x|\nclap |…  0
  21  norvel        xx..xx...x..x..x/2                        drum |xx..|xx..|.x..|x..x|\nclap |..xx|…  0
  22  norvel        xxx.....x...xx.....xxx...xxx/3            drum |xxx.|....|x...|xx..|...x|xx..|.xx…  0
  23  norvel        xxx.xx..xx..x..x...x..xx/5                drum |xxx.|xx..|xx..|x..x|...x|..xx|\nc…  0
  24  norvel        x..x..x..x...x..x..x..xx...x/5            drum |x..x|..x.|.x..|.x..|x..x|..xx|...…  0
  25  norvel        x...xxx....x...xx.xx/3                    drum |x...|xxx.|...x|...x|x.xx|\nclap |…  0
  26  norvel        x..xx..xx..x...x/2                        drum |x..x|x..x|x..x|...x|                0
  27  norvel        x...xxx..xxx...x...xx...x.xx/4            drum |x...|xxx.|.xxx|...x|...x|x...|x.x…  0
  28  norvel        xx....x...xx...xx....xxx/3                drum |..xx|xx.x|xx..|xxx.|.xxx|x...|\nc…  0
  29  norvel        x...xx.....xx.....xx/2                    drum |x...|xx..|...x|x...|..xx|\nclap |…  0
  30  norvel        x..x..x...x..x..x..x/2                    drum |x..x|..x.|..x.|.x..|x..x|\nclap |…  0
  31  norvel        xx..x...x...x..x..xx/2                    drum |xx..|x...|x...|x..x|..xx|\nclap |…  0
  32  norvel        x..x...xx..x..xx...x...x..xx/5            drum |x..x|...x|x..x|..xx|...x|...x|..x…  0
  33  norvel        xx..xx...xx....xx....xx....x/3            drum |xx..|xx..|.xx.|...x|x...|.xx.|...…  0
  34  norvel        xxx.....xxx.....x....xxx/2                drum |xxx.|....|xxx.|....|x...|.xxx|\nc…  0
  35  norvel        x..x..x...xx....xxx..xx...xx/3            drum |x..x|..x.|..xx|....|xxx.|.xx.|..x…  0
  36  norvel        xx...x..x...x...xxx.x..x/4                drum |xx..|.x..|x...|x...|xxx.|x..x|      0
  37  norvel        x..x..x.xx..x..x...x/4                    drum |x..x|..x.|xx..|x..x|...x|\nclap |…  0
  38  norvel        xx....xx..x...x....x...x/3                drum |..xx|xx..|xx.x|xx.x|xxx.|xxx.|\nc…  0
  39  norvel        x..x..x..xx.xx....xx/3                    drum |x..x|..x.|.xx.|xx..|..xx|\nclap |…  0
  40  norvel        x..x..xx...x..xx/2                        drum |x..x|..xx|...x|..xx|\nclap |.xx.|…  0
  41  norvel        x...x..x..x..x..x..x/2                    drum |x...|x..x|..x.|.x..|x..x|\nclap |…  0
  42  norvel        x...xx...xx..xx...x....x/2                drum |x...|xx..|.xx.|.xx.|..x.|...x|\nc…  0
  43  norvel        xxx....xxx...x...xx....x/3                drum |xxx.|...x|xx..|.x..|.xx.|...x|\nc…  0
  44  norvel        x...x..x..x..x..x..x/5                    drum |x...|x..x|..x.|.x..|x..x|\nclap |…  0
  45  norvel        x.....x..x....x..xx...x...xx/2            drum |x...|..x.|.x..|..x.|.xx.|..x.|..x…  0
  46  norvel        x..x..x..x...x..x..x/2                    drum |x..x|..x.|.x..|.x..|x..x|           0
  47  norvel        x...xx....xx...xx..xx.....xx/4            drum |x...|xx..|..xx|...x|x..x|x...|..x…  0
  48  norvel        x..xx....x.xx..x..xx/3                    drum |.xx.|.xxx|x.x.|.xx.|xx..|\nclap |…  0
  49  norvel        x.x...x..xx..x..x..x/5                    drum |x.x.|..x.|.xx.|.x..|x..x|\nclap |…  0
