Centaur Zendo round 3 (training)
round_id : f3e9fa65ac2042f0a502f0a8700a25d7
written  : 2026-09-04 20:18:47Z
presented=564  answered=564  correct=10  skipped=0
client answer latency: mean 0.194 ms  median 0.187 ms  max 1.095 ms  (n=564)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  norvel        xxx...xx....x....xxx..xx/2                drum |xxx.|..xx|....|x...|.xxx|..xx|\nc…  0
   1  norvel        x....x...xxx....xx.x..xx..xx/2            drum |x...|.x..|.xxx|....|xx.x|..xx|..x…  0
   2  norvel        xx...xxx..xx...xxx....xx/3                drum |xx..|.xxx|..xx|...x|xx..|..xx|\nc…  0
   3  norvel        x..x.x..x..x...x...x/4                     foot |x..x|.x..|x..x|...x|...x|\n hand…  0
   4  norvel        xx...x..x.....xx...x/3                    drum |xx..|.x..|x...|..xx|...x|\nclap |…  0
   5  norvel        x..x....xxx..xx..xx...xx...x/3            drum |x..x|....|xxx.|.xx.|.xx.|..xx|...…  0
   6  norvel        x....x..x....x..xx..x.....xx/4            drum |x...|.x..|x...|.x..|xx..|x...|..x…  0
   7  norvel        xx.....xx..x...xxx..xx...xxx/3            drum |x.x.|.xxx|.x..|.x..|....|...x|.x.…  0
   8  norvel        xx....xxx...xx..x..x..x...xx/3            drum |xx..|..xx|x...|xx..|x..x|..x.|..x…  0
   9  norvel        x...x..x...x..xx...x/4                    drum |x...|x..x|...x|..xx|...x|\nclap |…  0
  10  norvel        xx....xxx..xxx....xxx....xxx/3            drum |xx..|..xx|x..x|xx..|..xx|x...|.xx…  0
  11  norvel        xx...x..x...xx...x.x..xx/2                 foot |xx..|.x..|x...|xx..|.x.x|..xx|\n…  0
  12  norvel        xx..x..x....xx...xxx/3                    drum |xx..|x..x|....|xx..|.xxx|\nclap |…  0
  13  norvel        x..x...x..x..x...x..x..x/4                drum |x..x|...x|..x.|.x..|.x..|x..x|\nc…  0
  14  norvel        xx...xx..x...xx..xx..xx...xx/4            drum |xx..|.xx.|.x..|.xx.|.xx.|.xx.|..x…  0
  15  norvel        xx..xx..x...x..x..xx...x/2                drum |.xxx|....|x..x|x..x|..xx|.x..|\nc…  0
  16  norvel        xx..xx....xx...xx...xxx....x/2            drum |xx..|xx..|..xx|...x|x...|xxx.|...…  0
