Centaur Zendo round 2 (training)
round_id : e808462c081849d69c03e4a17904d003
written  : 2026-09-04 22:13:20Z
presented=506  answered=506  correct=19  skipped=0
client answer latency: mean 0.125 ms  median 0.119 ms  max 1.165 ms  (n=506)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  norvel        xx....x....x...xx....xx...x....x...x...…     |1234|1234|1234|1234|1234|1234|1234|…  0
   1  norvel        x..xx...xx...x...x...x..xxx...xxx..xx..…     |1234|1234|1234|1234|1234|1234|1234|…  0
   2  norvel        x..x...x..x...x..x..x..x...x/2               |1234|1234|1234|1234|1234|1234|1234|…  1
   3  norvel        x...x...x...x....x....x...xx...x/3           |1234|1234|1234|1234|1234|1234|1234|…  0
   4  norvel        x...x..x..x..x...xx..x..x..x...x/5           |1234|1234|1234|1234|1234|1234|1234|…  0
   5  norvel        xx...x..xx..xx..x..x...xx...x..x/6           |1234|1234|1234|1234|1234|1234|1234|…  0
   6  norvel        xx.....xx....x.....x.....xx.....x.....x…     |1234|1234|1234|1234|1234|1234|1234|…  1
   7  norvel        xx...x....xx...x....xxx....x...x...x/5       |1234|1234|1234|1234|1234|1234|1234|…  0
   8  norvel        x..x...xx..x..x..x...x..x..x...x/4           |1234|1234|1234|1234|1234|1234|1234|…  0
   9  norvel        x...x....x....x....x....x....x....x....…     |1234|1234|1234|1234|1234|1234|1234|…  0
  10  norvel        x....x....x.....x....x.....x....x.....x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  11  norvel        xxx....x....x...xx....x...x...x...x....…     |1234|1234|1234|1234|1234|1234|1234|…  0
  12  norvel        xx....xx.....xx....x....x....x....xx...…     |1234|1234|1234|1234|1234|1234|1234|…  0
  13  norvel        x..x..xx..xx..xxx...x..xx...x...xx..x..…  bd |x..x|..xx|..xx|..xx|x...|x..x|x...|…  0
  14  norvel        xxx..x...xx..x...xxx..x..x...x...xxx/6    drum |xxx.|.x..|.xx.|.x..|.xxx|..x.|.x.…  0
  15  norvel        x...x....x....x...x...x...x...x....x/6    drum |x...|x...|.x..|..x.|..x.|..x.|..x…  0
  16  norvel        xx....x...xx...x...xx...x....x...x...xx…  drum |xx..|..x.|..xx|...x|...x|x...|x..…  0
  17  norvel        x....x....x...x...x...x...x...x....x/2       |1234|1234|1234|1234|1234|1234|1234|…  0
  18  norvel        x..xx...x..xx...x...x...x..x..xx...x...…     |1234|1234|1234|1234|1234|1234|1234|…  0
  19  norvel        x...xx..x..xx..x...x...x...x/5               |1234|1234|1234|1234|1234|1234|1234|…  0
  20  norvel        x....x....x....x....x....x.....x....x..…     |1234|1234|1234|1234|1234|1234|1234|…  0
  21  norvel        x...x....x....x...xx...x...x...x...x...…     |1234|1234|1234|1234|1234|1234|1234|…  0
  22  norvel        x..x..x..x..x..x...x..x..x..x..x/5           |1234|1234|1234|1234|1234|1234|1234|…  0
  23  norvel        xx...xx...x...x...x....x...x...x/2           |1234|1234|1234|1234|1234|1234|1234|…  0
  24  norvel        xx..x..xx..x..x..xx...x...x..x..x..x/7       |1234|1234|1234|1234|1234|1234|1234|…  0
  25  norvel        x....x.....x....x....x....x....x....x..…     |1234|1234|1234|1234|1234|1234|1234|…  0
  26  norvel        x....x....x...xx...xxx...x...x...x...x.…     |1234|1234|1234|1234|1234|1234|1234|…  0
  27  norvel        xx...x...x...x...xx...x...x...x....x/2       |1234|1234|1234|1234|1234|1234|1234|…  0
  28  norvel        x...x...xx....x...x...x...xx...x...x/5       |1234|1234|1234|1234|1234|1234|1234|…  0
  29  norvel        x....x....x....x....x.....x....x.....x.…     |1234|1234|1234|1234|1234|1234|1234|…  0
  30  norvel        x...xx..x..x...x..x..x..x..x..xx...x/5       |1234|1234|1234|1234|1234|1234|1234|…  0
  31  norvel        x...x...x...x..x..x...x..x..x..x...x/6       |1234|1234|1234|1234|1234|1234|1234|…  0
  32  norvel        x..xxx..x..x..x..xx..xx..x...xx...xx...…     |1234|1234|1234|1234|1234|1234|1234|…  0
  33  norvel        x..xx..xx..x..x..x..xxx...xx...x..xx/4    bd |x..x|x..x|x..x|..x.|.x..|xxx.|..xx|…  0
  34  norvel        x..x..x...x...x..x..x..xx..x..xx...x/4    drum |x..x|..x.|..x.|..x.|.x..|x..x|x..…  0
  35  norvel        x...x...x...xx...x...x...x...x...x....x…  drum |x...|x...|x...|xx..|.x..|.x..|.x.…  0
  36  norvel        xx...xx....xxx....x...x...xx...x....xx.…  drum |xx..|.xx.|...x|xx..|..x.|..x.|..x…  0
  37  norvel        x...x...x....xx...x....xx...xx...x...xx…     |1234|1234|1234|1234|1234|1234|1234|…  0
  38  norvel        x...xxx..x...x..x..x...x...x..x...xx/7       |1234|1234|1234|1234|1234|1234|1234|…  0
  39  norvel        xx...xx...xx...xx...xx...x...xx...x...x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  40  norvel        x..x..x..x...xxx...x..x..x...x..x..x/6       |1234|1234|1234|1234|1234|1234|1234|…  0
  41  norvel        x....x...x...x...x....x....x...x...x/2       |1234|1234|1234|1234|1234|1234|1234|…  0
