Centaur Zendo round 3 (training)
round_id : e54f381f6a0a4a68aeab0c216a607f38
written  : 2026-09-04 22:17:45Z
presented=500  answered=500  correct=53  skipped=0
client answer latency: mean 0.122 ms  median 0.116 ms  max 1.265 ms  (n=500)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  norvel        xx..x..x..x...x..x..x..x...x..xx...x/8       |1234|1234|1234|1234|1234|1234|1234|…  0
   1  norvel        x.....x....x....xx.....x....x....xx....…     |1234|1234|1234|1234|1234|1234|1234|…  0
   2  norvel        x....x....x.....x.....x....x....x....x.…     |1234|1234|1234|1234|1234|1234|1234|…  0
   3  norvel        x...x...x...x...x....x....x....x/2           |1234|1234|1234|1234|1234|1234|1234|…  0
   4  norvel        xx..x..x...x...x..xx..x..x..x..x...x/4       |1234|1234|1234|1234|1234|1234|1234|…  0
   5  norvel        x...x....x....x...xx....x....x....x....…     |1234|1234|1234|1234|1234|1234|1234|…  0
   6  norvel        x....x....x....x....x....x....xxx.....x…     |1234|1234|1234|1234|1234|1234|1234|…  0
   7  norvel        x..x...x...x..x...xx..x..x..x..x...x/5       |1234|1234|1234|1234|1234|1234|1234|…  0
   8  norvel        x...x...x..x..x..xx..xx..x..x...x..x/5    drum |x...|x...|x..x|..x.|.xx.|.xx.|.x.…  0
   9  norvel        x....x...x....xx...xxx...xx....x....xx.…  drum |x...|.x..|.x..|..xx|...x|xx..|.xx…  0
  10  norvel        xx...x....xx...x...xx...x....xx....x/2       |1234|1234|1234|1234|1234|1234|1234|…  0
  11  norvel        xx...x....x...x...xx...x....x....x....x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  12  norvel        x..x..x...x..x..x...x..x...x/2               |1234|1234|1234|1234|1234|1234|1234|…  0
  13  norvel        xxx....x....x....xxx....x.....x....xxx.…     |1234|1234|1234|1234|1234|1234|1234|…  0
  14  norvel        x...x....x....x...x....x...x...x...x/6       |1234|1234|1234|1234|1234|1234|1234|…  0
  15  norvel        x...xx...x....x...x...x...x...xx/3           |1234|1234|1234|1234|1234|1234|1234|…  0
  16  norvel        x...xx...xx...xx...xxx....x...xx...x/3       |1234|1234|1234|1234|1234|1234|1234|…  0
  17  norvel        x....xxx....xx...x...x...x...x....x....…     |1234|1234|1234|1234|1234|1234|1234|…  0
  18  norvel        xx...xx...x...x...xx...x....x...xx....x…     |1234|1234|1234|1234|1234|1234|1234|…  1
  19  norvel        x...xx...x...xx...x...xxx....xxx...x...…  bd |x...|xx..|.x..|.xx.|..x.|..xx|x...|…  0
  20  norvel        x...x...x..x..xx...x...xx...x..x/6           |1234|1234|1234|1234|1234|1234|1234|…  0
  21  norvel        x....x...xxx....xx...x....x...x....x/2       |1234|1234|1234|1234|1234|1234|1234|…  0
  22  norvel        x..xx..x..xx...x...x..x..x..x..x...x/6       |1234|1234|1234|1234|1234|1234|1234|…  0
  23  norvel        x...x...xx...xxx...x...x...xxx....x...x…     |1234|1234|1234|1234|1234|1234|1234|…  1
  24  norvel        xx..xx...xx..x..x..x...x...x/5               |1234|1234|1234|1234|1234|1234|1234|…  0
  25  norvel        x...x....x....x...x....x...xx....x....x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  26  norvel        xx...x...x...x...x...xx...x....x...x...…     |1234|1234|1234|1234|1234|1234|1234|…  0
  27  norvel        x...xx...x...x...x...xx...x....x...x...…     |1234|1234|1234|1234|1234|1234|1234|…  0
  28  norvel        x....x....xx.....x....x....xx....x....x…  drum |x...|.x..|..xx|....|.x..|..x.|...…  1
  29  norvel        x...xx..x..xx...x..x...x..xx/5            drum |x...|xx..|x..x|x...|x..x|...x|..x…  0
  30  norvel        x..x...x..xx..x..x...x..x..x/4               |1234|1234|1234|1234|1234|1234|1234|…  0
  31  norvel        x....x.....xx....xx....x....x....x....x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  32  norvel        x...x...x...x....xx....xxx...x...x...x.…     |1234|1234|1234|1234|1234|1234|1234|…  0
  33  norvel        xx..xx...x...xx..xx...xx...xx..x/2           |1234|1234|1234|1234|1234|1234|1234|…  0
  34  norvel        xx..xx..x..xx...xx..x...x..xx..x/5           |1234|1234|1234|1234|1234|1234|1234|…  0
  35  norvel        x...x..x...xx...xxx..x...x..x...x..x/6       |1234|1234|1234|1234|1234|1234|1234|…  0
  36  norvel        x.....xx.....x....xxx....x.....x....x..…     |1234|1234|1234|1234|1234|1234|1234|…  0
  37  norvel        xxx....x...x...x...x...x...x...x...xx..…     |1234|1234|1234|1234|1234|1234|1234|…  0
  38  norvel        x....xx....x.....x....x....x....x....x.…     |1234|1234|1234|1234|1234|1234|1234|…  0
  39  norvel        x..x..x..x..x..x..x...x..x..x..x/7        bd |x..x|..x.|.x..|x..x|..x.|..x.|.x..|…  0
  40  norvel        x...x..x...x...x...x..x..x..x..x...x/4       |1234|1234|1234|1234|1234|1234|1234|…  0
  41  norvel        x..x..x...x..x..x...x..x...x/6               |1234|1234|1234|1234|1234|1234|1234|…  0
  42  norvel        x..x..x..x...x..xx..xx...x...x..x..x/4       |1234|1234|1234|1234|1234|1234|1234|…  0
  43  norvel        x...xxx...x....xx...x....xxx....xx...xx…     |1234|1234|1234|1234|1234|1234|1234|…  0
  44  norvel        xx....x....x....x....x....xx.....xx....…     |1234|1234|1234|1234|1234|1234|1234|…  1
  45  norvel        x....x...x....x...x....x...x...x...x/2       |1234|1234|1234|1234|1234|1234|1234|…  1
  46  norvel        xx..x...xx...xx..xx...x..x..x..x..xx..x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  47  norvel        xx...x...x....x...x...x...xx...x/2           |1234|1234|1234|1234|1234|1234|1234|…  0
  48  norvel        x...x....x...xx...xx...x...x....x....x.…  drum |x...|x...|.x..|.xx.|..xx|...x|...…  0
  49  norvel        x..x..x..x..x..x..x...x..x..x..x/5        drum |x..x|..x.|.x..|x..x|..x.|..x.|.x.…  0
  50  norvel        xx..xx..xx..x...x...xx..x...x..x/4           |1234|1234|1234|1234|1234|1234|1234|…  0
  51  norvel        xx....x.....x.....x.....x....xx....x...…     |1234|1234|1234|1234|1234|1234|1234|…  1
  52  norvel        xxx...x..xxx...x..x..xx...x..x..x..x..x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  53  norvel        x....xx...x....x...x...x....x....xx....…     |1234|1234|1234|1234|1234|1234|1234|…  0
  54  norvel        xx...xxx...xxx...xx...x...x...x...x....…     |1234|1234|1234|1234|1234|1234|1234|…  0
  55  norvel        x..xx..x..x..x..xx..xxx...xxx..x...x/6       |1234|1234|1234|1234|1234|1234|1234|…  0
  56  norvel        x...x...xx....x....x...xx...x...x...x..…     |1234|1234|1234|1234|1234|1234|1234|…  0
  57  norvel        x...xx...xxx...xxx....x...x....x...x/3       |1234|1234|1234|1234|1234|1234|1234|…  0
  58  norvel        x...xxx...xx...x...x...x....x...xxx...x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  59  norvel        xx..xx..x..xxx...x..x..x...x..xx/4        bd |xx..|xx..|x..x|xx..|.x..|x..x|...x|…  0
  60  norvel        x...x..xx..x...x...x..x..xx..x..x..x/8       |1234|1234|1234|1234|1234|1234|1234|…  0
  61  norvel        x..x..x...x..x...x...x..x..x/6               |1234|1234|1234|1234|1234|1234|1234|…  0
  62  norvel        x...x....x...x...x...x...x...x...x....x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  63  norvel        x..xx..x..x..xx...x..x..xx...xx..xxx...…     |1234|1234|1234|1234|1234|1234|1234|…  0
  64  norvel        xx....xx....x....xx....x.....x....xx...…     |1234|1234|1234|1234|1234|1234|1234|…  0
  65  norvel        x.....x.....x....x....x....x....x.....x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  66  norvel        xx....xx.....x....xx....xxx.....x....x.…     |1234|1234|1234|1234|1234|1234|1234|…  0
  67  norvel        x...xx...x...x...x...x....x...x....x...…     |1234|1234|1234|1234|1234|1234|1234|…  0
  68  norvel        xx....xx...x...xxx...xx...x...x...x...x…  drum |xx..|..xx|...x|...x|xx..|.xx.|..x…  1
  69  norvel        x...x..x..x...x..x...x...x..x...x..x/4    drum |x...|x..x|..x.|..x.|.x..|.x..|.x.…  0
  70  norvel        x..xx..x..x...x..x..x...x..x..xx/4           |1234|1234|1234|1234|1234|1234|1234|…  1
  71  norvel        x.....x....x.....x....x.....x....x.....…     |1234|1234|1234|1234|1234|1234|1234|…  0
  72  norvel        x..x..x...xx..x..xx..x..x..xx...x..x/4       |1234|1234|1234|1234|1234|1234|1234|…  0
  73  norvel        xx..xx..xx...xx...x..x..x..xxx..x..x..x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  74  norvel        x...x...xx....x...xx...x...xx...xx...xx…     |1234|1234|1234|1234|1234|1234|1234|…  0
  75  norvel        x...x...xx....x...x...x....xxx...x....x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  76  norvel        xxx...x...x..x...xx..x..x..x...x..xx..x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  77  norvel        x..xx...x..xxx..x..xx..xx..x..x...x..xx…     |1234|1234|1234|1234|1234|1234|1234|…  0
  78  norvel        x..xx..x..x..x...xx...xx...x/5               |1234|1234|1234|1234|1234|1234|1234|…  0
  79  norvel        x...xx....xx....x...xx...xx...x...x...x…  bd |x...|xx..|..xx|....|x...|xx..|.xx.|…  0
  80  norvel        x...x...x...x...x....x...xxx...x...x...…     |1234|1234|1234|1234|1234|1234|1234|…  0
  81  norvel        xx..xx..x...x...xx..x...x..x/5               |1234|1234|1234|1234|1234|1234|1234|…  0
  82  norvel        x..x...x..x..x..x..x..x..x..x..x/4           |1234|1234|1234|1234|1234|1234|1234|…  0
  83  norvel        x....x....xx....x....xx.....x....xx....…     |1234|1234|1234|1234|1234|1234|1234|…  1
  84  norvel        x..xx...xx...x..xx..xx..xx..x..x..xx/5       |1234|1234|1234|1234|1234|1234|1234|…  1
  85  norvel        xx...x..xx...x..x...xx..xx..x..x/2           |1234|1234|1234|1234|1234|1234|1234|…  1
  86  norvel        xxx....x...x...x...xxx...xx...xx...x...…     |1234|1234|1234|1234|1234|1234|1234|…  0
  87  norvel        x...x...xx....x...x....x...x....x....xx…     |1234|1234|1234|1234|1234|1234|1234|…  0
  88  norvel        x...x...x...xx....x....x....xx....x....…  drum |x...|x...|x...|xx..|..x.|...x|...…  0
  89  norvel        x.....x.....xx.....x....xx....x....x...…  drum |x...|..x.|....|xx..|...x|....|xx.…  0
  90  norvel        xxx...x....xx...x....x....x...xx...x...…     |1234|1234|1234|1234|1234|1234|1234|…  0
  91  norvel        xx...x..x..x...x..xx..x...x...xxx..x..x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  92  norvel        x...x...x...x...x....x...xx...x...x...x…     |1234|1234|1234|1234|1234|1234|1234|…  0
  93  norvel        x..xx...x..x..x..x...x..x...xx..x..x/4       |1234|1234|1234|1234|1234|1234|1234|…  0
  94  norvel        x...x..x..x..xx..x...x...x...x..x..x/8       |1234|1234|1234|1234|1234|1234|1234|…  0
  95  norvel        x..x..x..x...xx..x..xx...x..x..x/6           |1234|1234|1234|1234|1234|1234|1234|…  0
  96  norvel        x....x....x....x....x....xx....x....x..…     |1234|1234|1234|1234|1234|1234|1234|…  0
  97  norvel        x..x...x...x..x...x...x..x...xxx/2           |1234|1234|1234|1234|1234|1234|1234|…  0
  98  norvel        x...x..x...xx..x...x..xx..xx/2               |1234|1234|1234|1234|1234|1234|1234|…  0
  99  norvel        x..x..x..x...xx..xx..x..x...x..x/4        bd |x..x|..x.|.x..|.xx.|.xx.|.x..|x...|…  1
 100  norvel        x....x....x...x....x....x....x...x....x…     |1234|1234|1234|1234|1234|1234|1234|…  0
 101  norvel        x...x...x....x....x...x...x...x...x...x…     |1234|1234|1234|1234|1234|1234|1234|…  0
 102  norvel        x..x...xx..x...x..x..x..xx..x..x/4           |1234|1234|1234|1234|1234|1234|1234|…  0
 103  norvel        x....x.....x.....x....x....x....x.....x…     |1234|1234|1234|1234|1234|1234|1234|…  0
 104  norvel        xxx...xx....x....x...x....xx...x...x...…     |1234|1234|1234|1234|1234|1234|1234|…  0
 105  norvel        x..x..x...x..x..x...x..x...x/4               |1234|1234|1234|1234|1234|1234|1234|…  0
 106  norvel        x....x...x....x...x...x...x...x....x...…     |1234|1234|1234|1234|1234|1234|1234|…  0
 107  norvel        xx....x...x....x...xx...x...xx....x...x…     |1234|1234|1234|1234|1234|1234|1234|…  0
 108  norvel        x...x....xx...xx...xx...x...x...xx...x.…  drum |x...|x...|.xx.|..xx|...x|x...|x..…  1
 109  norvel        x...x...xx..xx..x...x..x...x/2            drum |x...|x...|xx..|xx..|x...|x..x|...…  0
 110  norvel        x....x...x...x....x...x...x....x...x/6       |1234|1234|1234|1234|1234|1234|1234|…  0
 111  norvel        x...x..x..x...x...xxx..xx..x...x/2           |1234|1234|1234|1234|1234|1234|1234|…  0
 112  norvel        x....x...x...x...x...xx...xx...x/5           |1234|1234|1234|1234|1234|1234|1234|…  0
 113  norvel        x...x....x...x...x....x...x....x/2           |1234|1234|1234|1234|1234|1234|1234|…  0
 114  norvel        x...x....xx...x....x....x...x....x....x…     |1234|1234|1234|1234|1234|1234|1234|…  0
 115  norvel        x...xx..xx...xx..xx..x..xx..x..x/5           |1234|1234|1234|1234|1234|1234|1234|…  0
 116  norvel        x...x...x...x...x...x...x....x....xx...…     |1234|1234|1234|1234|1234|1234|1234|…  0
 117  norvel        x...xx..x..x..x..x..x...x...x..x/7           |1234|1234|1234|1234|1234|1234|1234|…  0
 118  norvel        x...x..x...x..x..x..x..x...x/4               |1234|1234|1234|1234|1234|1234|1234|…  0
 119  norvel        x..x..xx..xxx..x..x..xx..xx...xx/4        bd |x..x|..xx|..xx|x..x|..x.|.xx.|.xx.|…  0
 120  norvel        xx..xxx..x..x...xx..xx..x..xx..x..xx/6       |1234|1234|1234|1234|1234|1234|1234|…  0
 121  norvel        x..x..x...xx..x..xxx..xxx..x..x...xx..x…     |1234|1234|1234|1234|1234|1234|1234|…  0
 122  norvel        xx...xx...x...x...xx....xx....xxx....x.…     |1234|1234|1234|1234|1234|1234|1234|…  0
 123  norvel        xx....xx....x....x.....x....xx....x....…     |1234|1234|1234|1234|1234|1234|1234|…  1
 124  norvel        x...xx..x..xxx..xx..xx..x..x..xx..xx...…     |1234|1234|1234|1234|1234|1234|1234|…  0
 125  norvel        x...x...x...x...xx....x...x...x...xx...…     |1234|1234|1234|1234|1234|1234|1234|…  0
 126  norvel        x..xx...x...xx..x..x..xx...x..xx..xx/5       |1234|1234|1234|1234|1234|1234|1234|…  0
 127  norvel        x...x..x..xx..x..x...x...x..x..xx..x/5       |1234|1234|1234|1234|1234|1234|1234|…  1
 128  norvel        x..x..xxx..x..x..x..xxx..xxx..x...xx...…  drum |x..x|..xx|x..x|..x.|.x..|xxx.|.xx…  0
 129  norvel        x....x...xxx...x...x....xx...x....x....…  drum |x...|.x..|.xxx|...x|...x|....|xx.…  0
 130  norvel        xxx....xx...xx...x...x...x....x....xxx.…     |1234|1234|1234|1234|1234|1234|1234|…  0
 131  norvel        xx...xx....x...xxx....xx....x....xxx...…     |1234|1234|1234|1234|1234|1234|1234|…  0
 132  norvel        x.....x....x....x.....x.....x....x....x…     |1234|1234|1234|1234|1234|1234|1234|…  0
 133  norvel        x..xx...x...xx..xx..xxx...xxx..x/5           |1234|1234|1234|1234|1234|1234|1234|…  0
