Centaur Zendo round 4 (training)
round_id : e89b895427e147a8997d652faf243cf7
written  : 2026-09-04 12:47:35Z
presented=665  answered=665  correct=29  skipped=0
client answer latency: mean 0.088 ms  median 0.083 ms  max 0.216 ms  (n=665)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          g662412                                   gallery georgia gap green ga gym          0
   1  sarn          g5518                                     garden golden gi gradually                0
   2  sarn          c796699                                   contract california certain current con…  0
   3  sarn          c3254                                     club can church clear                     0
   4  sarn          s65522                                    society street summer sir san             0
   5  sarn          b534345                                   budget ball brain beat beach bridge       0
   6  sarn          f2444                                     fig faith fifth frank                     0
   7  sarn          w1414                                     wy whose wi wanna                         0
   8  sarn          f274                                      flu feedback frank                        0
   9  sarn          h453311                                   honor height have help he hq              0
  10  sarn          g43552                                    giant grey guards graham gal              0
  11  sarn          d1458                                     do death danger diversity                 0
  12  sarn          m71466                                    minority mr mixed million mistake         0
  13  sarn          b24434                                    bow birth bitch bird blame                0
  14  sarn          b956                                      benevolent brazil blocked                 0
  15  sarn          c42762                                    crime can customer certain car            0
  16  sarn          l11231                                    lu li lin laws la                         0
  17  sarn          c6943                                     certain california coast cute             0
  18  sarn          d932                                      deployment down das                       0
  19  sarn          b462373                                   balls bearing bmw bike boarding burn      0
  20  sarn          f53446                                    fairly file forth firms fiction           0
  21  sarn          w274                                      wag wretched witch                        0
  22  sarn          m736                                      mitchell mate million                     0
  23  sarn          r21433                                    rag rn ridge root role                    0
  24  sarn          m7673                                     movement million majority much            0
  25  sarn          c646                                      certain check current                     0
  26  sarn          h123213                                   he his have hit hn help                   0
  27  sarn          c57436                                    church congress clear club certain        0
  28  sarn          w531232                                   weapon west wo wit word wax               0
  29  sarn          a441                                      along ahead an                            0
  30  sarn          t6233                                     twitter tag talk true                     0
  31  sarn          m23627                                    may main million min maintain             0
  32  sarn          m429322                                   meant may meditation miss mum mar         0
  33  sarn          e92486                                    encouraged err exact expansion exposed    0
  34  sarn          h366422                                   have highway heading hired his hug        0
  35  sarn          h41665                                    hence he heading hitting howard           0
  36  sarn          h73255                                    hispanic have his hungry harris           0
  37  sarn          b224526                                   bow bin birth branch bug banking          0
  38  sarn          a7563                                     american actual america able              0
  39  sarn          g4733                                     gross genetics gene gulf                  0
  40  sarn          g344423                                   gulf ghost grass glory gil greg           0
