Centaur Zendo round 6 (training)
round_id : 1c879c43bbf847f7a891357eb3830bf0
written  : 2026-09-04 17:07:15Z
presented=618  answered=515  correct=152  skipped=103
client answer latency: mean 0.090 ms  median 0.083 ms  max 0.828 ms  (n=618)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          r2883                                     None                                      0
   1  sarn          c8558                                     considered conger company conference      0
   2  sarn          l2321                                     lea least lull let                        1
   3  sarn          s46313                                    sparks special save set sole              1
   4  sarn          b5996                                     None                                      0
   5  sarn          g4162                                     geared ge ganging goes                    1
   6  sarn          t4325                                     these time team taking                    0
   7  sarn          r21554                                    reel raw raking record round              0
   8  sarn          h262                                      hull hanging heel                         1
   9  sarn          w23723                                    wet wave wholesale weed white             0
  10  sarn          s251891                                   set summer sat seriously surrounded se    0
  11  sarn          g1433                                     gat geared gloom gave                     1
  12  sarn          p312437                                   None                                      0
  13  sarn          d58514                                    daphne depending depict de death          1
  14  sarn          w524224                                   waking weed wealth wea well woman         0
  15  sarn          t7253                                     terminal team taking today                0
  16  sarn          w52451                                    None                                      0
  17  sarn          s13439                                    set save sparks sole sympathetic          0
  18  sarn          b595                                      baking brilliance bummer                  0
  19  sarn          b3324                                     bloom bole bea bunch                      0
  20  sarn          l13831                                    None                                      0
  21  sarn          d645349                                   denmark death daphne dude during degene…  1
  22  sarn          f36486                                    first factory filth fictional fantasy     0
  23  sarn          g42113                                    geared gull ge gat gloom                  1
  24  sarn          b44663                                    None                                      0
  25  sarn          r412                                      retail rat reed                           0
  26  sarn          a34384                                    able andrea aunt argentina apart          0
  27  sarn          a38144                                    able argentina ae andrea alive            0
  28  sarn          g354423                                   None                                      0
  29  sarn          w5153                                     waking waw welfare wave                   0
  30  sarn          m856                                      mediation myself mutation                 1
  31  sarn          s3158                                     sole se sarcasm signature                 0
  32  sarn          c82231                                    None                                      0
  33  sarn          g2433                                     gull geared gloom gave                    1
  34  sarn          w227                                      weed wea wretched                         0
  35  sarn          h262                                      heel hanging heed                         1
  36  sarn          p344                                      pave punch point                          0
  37  sarn          g252                                      good grinder goes                         1
  38  sarn          p4283                                     punch pea promising pave                  0
  39  sarn          s442634                                   seared sparks sell special sole scene     0
  40  sarn          p25854                                    None                                      0
  41  sarn          e874                                      equipment electoral every                 1
  42  sarn          l31318                                    least law louse lat leviathan             0
  43  sarn          r254                                      rood raking runner                        0
  44  sarn          g852                                      graduating grinder gull                   1
  45  sarn          s183557                                   se structured sole sarcasm summer sopho…  0
  46  sarn          a3664                                     able absence amongst andrea               0
  47  sarn          r123                                      ret ream rouse                            0
  48  sarn          l43141                                    None                                      0
  49  sarn          f714                                      formulate for feared                      1
  50  sarn          t345                                      tube these taking                         0
  51  sarn          w22345                                    wet weed wave wealth waking               0
  52  sarn          t3312                                     None                                      0
  53  sarn          r21744                                    reel raw reinforce reward rocket          0
  54  sarn          l1541                                     law longer lunch lat                      1
  55  sarn          h6566                                     hanging holiday hallway heavens           0
  56  sarn          d423                                      during deed douse                         1
  57  sarn          t15527                                    tat taking terrain team toughness         0
  58  sarn          h643325                                   hanging hoist habit have heed highway     0
  59  sarn          l212384                                   leed lat let least legendary lunch        0
  60  sarn          l231                                      let louse law                             0
  61  sarn          f373                                      feast flotation from                      0
  62  sarn          h856                                      homestead hummer hanging                  1
  63  sarn          g53235                                    grinder gave good graft geology           1
  64  sarn          g462                                      geared goodness goes                      1
  65  sarn          p722333                                   precedent peed pell pave purse prone      0
  66  sarn          e74872                                    enforced every equipment exploded eddy    0
  67  sarn          m64456                                    marilyn moist munch myself mutation       0
  68  sarn          l422                                      lunch lull leed                           1
  69  sarn          r42314                                    runner ream rude raw retain               0
  70  sarn          w43225                                    wealth wave wet weed waking               0
  71  sarn          b67972                                    banging botanical bridesmaid breakout b…  0
  72  sarn          s1161                                     sat se special set                        1
  73  sarn          m435834                                   moist mouse making mediation mole munch   0
  74  sarn          c768564                                   compound capture collision conger colon…  0
  75  sarn          g23113                                    good gave gat gor graft                   1
  76  sarn          s15636                                    None                                      0
  77  sarn          g143324                                   gor geared graft gloom goes gloomy        0
  78  sarn          p643823                                   perfect punch pave presently pet pony     0
  79  sarn          m433                                      munch mole mouse                          0
  80  sarn          e39255                                    None                                      0
  81  sarn          e484267                                   every equipment eaten eddy educator end…  0
  82  sarn          l52423                                    likely lea lunch lull least               1
  83  sarn          l23133                                    lea least lat louse lynn                  1
  84  sarn          m4932                                     None                                      0
  85  sarn          a98713                                    achievement adrenaline apartheid ae able  0
  86  sarn          c5855                                     conger consuming cannon celtic            0
  87  sarn          b443647                                   bunch bailey beast banging ballot broch…  0
  88  sarn          t257327                                   None                                      0
  89  sarn          t244234                                   team these thrive temp tenth thrill       0
  90  sarn          f115428                                   fe fet family feared full frequency       0
  91  sarn          h312172                                   house het hull haw handicap heel          1
  92  sarn          r454                                      None                                      0
  93  sarn          g5225                                     grinder gull good geology                 1
  94  sarn          f2434                                     fet filth feast feared                    0
  95  sarn          m32534                                    mole mull monger mouse munch              0
  96  sarn          r31348                                    None                                      0
  97  sarn          c8892                                     confirming collateral computation cell    0
  98  sarn          d27282                                    does debating dull depending deed         0
  99  sarn          r64314                                    ranging rodeo role re radial              0
 100  sarn          b326396                                   None                                      0
