Centaur Zendo round 1 (training)
round_id : 4ab43f668cd145a9b74cda3b5af5e09a
written  : 2026-09-04 16:21:19Z
presented=448  answered=448  correct=0  skipped=0
client answer latency: mean 0.146 ms  median 0.127 ms  max 6.940 ms  (n=448)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          f548237                                   frightened                                0
   1  sarn          m485454                                   michael mediating                         0
   2  sarn          e545                                      expectation eerily epigenetic             0
   3  sarn          t4535                                     tandy turret this tenacity                0
   4  sarn          s125                                      sketch servo scanner scrapped slit        0
   5  sarn          p532382                                   picky plotting perry penultimate posit …  0
   6  sarn          h5536                                     hello happier hin hair hand harmonics h…  0
   7  sarn          f112424                                   fiddler fatherland freely fiasco filtra…  0
   8  sarn          r7284                                     reorganization recapture renter researc…  0
   9  sarn          d78295                                    diagonal dissenting doable data disinte…  0
  10  sarn          e998                                      entertaining eczema essex epithet epic …  0
  11  sarn          d232148                                   destruction dol deodorant duplication d…  0
  12  sarn          d642                                      dipper dominant dissipation               0
  13  sarn          l3514                                     luc lease loci linn                       0
  14  sarn          d51552                                    dorsal                                    0
  15  sarn          s23476                                    spiral sorority                           0
  16  sarn          c5846                                     coffin could concentration                0
  17  sarn          g2763                                     guarantee governance gaming genesis       0
  18  sarn          r3332                                     realist reference resting rand receivab…  0
  19  sarn          b674955                                   barren balancing beautiful bafta belgia…  0
  20  sarn          c4272                                     christopher cunning cubic concerning cu…  0
  21  sarn          a565265                                   assertive ally adequate ardent applicab…  0
  22  sarn          p274                                      probably plasma projecting purging pow …  0
  23  sarn          b329                                      boris book browsing bend boer behest br…  0
  24  sarn          p5115                                     permanent proficiency petitioner pressi…  0
  25  sarn          p246                                      postscript partisanship pegasus practic…  0
  26  sarn          p63443                                    perplexing pon pall promise punjabi       0
  27  sarn          a4715                                     also annular alba alice                   0
  28  sarn          f356                                      filthy                                    0
  29  sarn          b456647                                   birdman bitumen                           0
  30  sarn          f34542                                    flamenco fantasia flue                    0
  31  sarn          w2572                                     warming wake wash warmer                  0
  32  sarn          a769576                                   ablaze alberto austere aged animal        0
  33  sarn          f3315                                     flying fed forth father fool femininity   0
  34  sarn          b6231                                     balcony bodega bedrock bongo bugle brig…  0
  35  sarn          m872632                                   malik materialistic mckay meal mickey m…  0
  36  sarn          t3422                                     true travesty trusting tec tibia teethi…  0
  37  sarn          l2554                                     largo lottie loudly leigh lingerie lawr…  0
  38  sarn          w42312                                    watermark widen wellington while waterm…  0
  39  sarn          p484264                                   pen populist powdered politically palm …  0
  40  sarn          g5432                                     gong gift genesee geographical            0
  41  sarn          l3455                                     let long laity layer                      0
  42  sarn          s433867                                   sprinkled                                 0
  43  sarn          p142346                                   pon polyethylene                          0
  44  sarn          d8884                                     dentistry deb describe                    0
  45  sarn          r56794                                    revue restlessness roaming rune           0
  46  sarn          w42232                                    wig world wounding whoever woodruff       0
  47  sarn          d65242                                    diaper dealt dodge dragging demeanor de…  0
  48  sarn          c428                                      cookery cider caller czech chap candida…  0
  49  sarn          g62346                                    graduation giant gratis gaining glazing…  0
  50  sarn          s72263                                    she spleen schizophrenia shropshire swi…  0
  51  sarn          e6672                                     emitter eaves enjoy epithelium epiphany…  0
  52  sarn          r27663                                    residential responsiveness reclamation …  0
  53  sarn          f142344                                   firth fergus fei faucet formed filterin…  0
  54  sarn          d512793                                   decomposed discoloration dogged die dha…  0
  55  sarn          w522421                                   wedge weber wheel wish weave whey         0
  56  sarn          b677                                      breaking                                  0
  57  sarn          d6162                                     detector disappointing                    0
  58  sarn          d268866                                   degrading diego decode                    0
  59  sarn          s3126                                     shuffling superlative sandal symposium    0
  60  sarn          a453                                      argus amalgamation aggressor arcane aka   0
  61  sarn          t17322                                    training twat thoughtless traditionally…  0
  62  sarn          l351423                                   lab lyon lingua lama lined licensed lud…  0
  63  sarn          a6791                                     amulet accommodate anus accentuate apar…  0
  64  sarn          l848536                                   linearly links lecture lady linda lords…  0
  65  sarn          r228                                      recreational regret rigidity roosevelt …  0
  66  sarn          t573                                      trainer trickster terrorism traveling t…  0
  67  sarn          h3553                                     hercules hopper handling homework hoppe…  0
  68  sarn          h227                                      harvest hemp highway                      0
  69  sarn          w22535                                    would watch witty way waltz               0
  70  sarn          h52231                                    hetero                                    0
  71  sarn          b432                                      beset beaten                              0
  72  sarn          r122727                                   reread ribbon ratify                      0
  73  sarn          l3514                                     liking lambda levant leaner               0
  74  sarn          c2522                                     crossover connection center collegiate …  0
  75  sarn          e694                                      estimator epilogue elongate eradication…  0
  76  sarn          l33135                                    logo logistics lake line lagoon linn lo…  0
  77  sarn          h532                                      hesitate hemorrhage happy hemisphere ho…  0
  78  sarn          d326342                                   dislodge dissection dynasty dog doorman…  0
  79  sarn          d233845                                   defensive dinah disperse darkly darren …  0
  80  sarn          l141                                      lovingly lapsed leon lowering leader lu…  0
  81  sarn          c526                                      cheer crying char cheesy cuddly contour…  0
  82  sarn          r8235                                     request racist restore rhodes             0
  83  sarn          h5523                                     hamza hades hotly hue                     0
  84  sarn          c582                                      consonant                                 0
  85  sarn          b462646                                   breastfeeding buddha                      0
  86  sarn          s133                                      spouting seducing snare                   0
  87  sarn          l551                                      library lovable locate lottie             0
  88  sarn          g38385                                    grandmother guild gypsy giro grew         0
  89  sarn          f2235                                     fuming faker fertilization firework fon…  0
  90  sarn          m841                                      mari modulation marginally muller marri…  0
  91  sarn          w433                                      wallet widowed wren wolf wetting wonder…  0
  92  sarn          w415                                      winning wallow whopping wang wolf worse…  0
  93  sarn          f5124                                     fiscal filling foo frenzy forgery fungu…  0
  94  sarn          r756                                      reshape recessive rotation roi range ra…  0
  95  sarn          d59263                                    dal disappointing drugstore diminutive …  0
  96  sarn          r177                                      rotary restricted recital                 0
  97  sarn          g3643                                     gud grinch goof gym                       0
  98  sarn          s353466                                   scouring                                  0
  99  sarn          w454327                                   wendy warmth                              0
 100  sarn          a3337                                     attend aggression appraisal               0
 101  sarn          f36351                                    forgery fluorescence frenchman feudal     0
 102  sarn          f14243                                    faulty flat faced femininity fleet        0
 103  sarn          g2313                                     girl greet gul gambler grave grinder      0
 104  sarn          a33383                                    alison abuse actionable archaeologist a…  0
 105  sarn          r713                                      reggie rotunda riddance religious regis…  0
 106  sarn          m61362                                    monetize manual melting maneuver melt m…  0
 107  sarn          s5513                                     splitter swami shaky spleen salter sopr…  0
 108  sarn          s327                                      scrapped senate soundly senatorial sile…  0
 109  sarn          s32431                                    speaker staircase supply surpass static…  0
 110  sarn          g262412                                   geordie gratuitous gullible gradually g…  0
 111  sarn          s148                                      shea snug suitable                        0
 112  sarn          e8474                                     effortlessly                              0
 113  sarn          e89467                                    emmett exacerbate                         0
 114  sarn          h243315                                   hotly hazardous hud                       0
 115  sarn          l12317                                    lid lotte lacrosse landfall               0
 116  sarn          a341                                      aura ablaze argus asthma accommodation    0
