Centaur Zendo round 2 (training)
round_id : 90c5cb9f29454230847e650a4f1a7540
written  : 2026-09-04 16:25:26Z
presented=505  answered=505  correct=4  skipped=0
client answer latency: mean 0.122 ms  median 0.109 ms  max 0.402 ms  (n=506)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          m8735                                     mouthful movable mel maize                0
   1  sarn          l132351                                   lo lino lim lube lesser lo                0
   2  sarn          p3362                                     parry plank preserve prog                 0
   3  sarn          b2275                                     beech bound blistering benedict           0
   4  sarn          r294                                      resting reorganization requiem            0
   5  sarn          d33348                                    double dazed denim dilation domestically  0
   6  sarn          h1125                                     h h ho hogan                              0
   7  sarn          s634                                      swap ssi sonnet                           0
   8  sarn          a242774                                   ai ahem ao aerosol                        0
   9  sarn          h153223                                   helplessness here heartburn heart henri…  0
  10  sarn          h23342                                    hy hey hud hoop he                        0
  11  sarn          d543438                                   dorsal daryl duke drift dory dishonest    0
  12  sarn          l344                                      lance liquor lender                       0
  13  sarn          s114                                      sing sora sequoia                         0
  14  sarn          h13863                                    hyper hazelnut hospitalization heteroge…  0
  15  sarn          c55775                                    ceramics contest capitalization conform…  0
  16  sarn          b5934                                     borrower buckwheat boa blood              0
  17  sarn          s639855                                   shiny shark soreness stabilize sew sult…  0
  18  sarn          t146                                      t than tackle                             0
  19  sarn          m444436                                   marvin mahogany mah mahdi mam mau         0
  20  sarn          a644213                                   access atom aero al a ant                 0
  21  sarn          p71115                                    punctual pu pu pu pointy                  0
  22  sarn          p68424                                    pictured prometheus pierce peed puffed    0
  23  sarn          g53135                                    graduate goblin good grudge gleaming      0
  24  sarn          c2472                                     cheesy concession contemporaneous clover  0
  25  sarn          g45444                                    gossip gunther garvey graff gifted        0
  26  sarn          a6497                                     afresh alto attractiveness alluring       0
  27  sarn          p465                                      parry prince prob                         0
  28  sarn          c645468                                   clawed cane chaff cost                    0
  29  sarn          t154341                                   tu turn tuner tuned tuscany tuba          0
  30  sarn          a324497                                   abu ab aint arne alcoholic admiral        0
  31  sarn          b5322                                     bethel bate bas bim                       0
  32  sarn          l341442                                   lover luster lap liquor lining lena       0
  33  sarn          l25363                                    lease leftover landed louisiana ledger    0
  34  sarn          f3414                                     function featured fast fraudulent         0
  35  sarn          s544                                      seducing sepsis small                     0
  36  sarn          d781                                      detection disparate d                     0
  37  sarn          p348                                      planting pelt pop                         0
  38  sarn          m446                                      most meat mayday                          0
  39  sarn          g243                                      grounds grounded grape                    0
  40  sarn          t6524                                     tracey tango ti toby                      0
  41  sarn          l452                                      loyal letter lip                          0
  42  sarn          f638                                      frontage found fraternity                 0
  43  sarn          p33423                                    pained potent pitcher plumb pillow        0
  44  sarn          e75955                                    entrepreneurial executive epidemiologic…  0
  45  sarn          f56652                                    felicity franklin fractional frisky faze  0
  46  sarn          g61382                                    grocery g gio generalize gag              0
  47  sarn          l1631                                     l lag louisa l                            0
  48  sarn          p31644                                    pea p petite prim                         0
  49  sarn          r4451                                     reiterate revue recessive reshape         0
  50  sarn          s39461                                    sow stressful snag surety s               0
  51  sarn          r416                                      rainy re roberta                          0
  52  sarn          s511                                      susanna sex sur                           0
  53  sarn          b462534                                   baptist blueprint beset bismarck bertie…  0
  54  sarn          c488                                      confucian commercialization commerciali…  0
  55  sarn          r73115                                    rudimentary reins ra ree reconcile        0
  56  sarn          h3222                                     hem he hi hy                              0
  57  sarn          m44742                                    mu mist marking mong mesa                 0
  58  sarn          a5339                                     auger aly are arrogance                   0
  59  sarn          p42143                                    politeness pony popularly populace post…  0
  60  sarn          e936684                                   eternally elf exodus ernest eurasian ey…  0
  61  sarn          d878473                                   degrading departed dismissal darts drun…  0
  62  sarn          w433411                                   wooing whisk whats wobbly wei wee         0
  63  sarn          c476434                                   clocked cardiology configure compare co…  0
  64  sarn          a372                                      allegory authentication awfully           0
  65  sarn          p2613                                     pari profiting pa papal                   0
  66  sarn          c267832                                   cee coarse commuter chemically cel coco   0
  67  sarn          a16482                                    at aviation amir ardent a                 0
  68  sarn          s88528                                    scouring slippery state sa                0
  69  sarn          f646                                      fighter fidelity fifth                    0
  70  sarn          s592335                                   spree stripping so sue sil saxon          0
  71  sarn          g24465                                    gud goofy gruff groping guelph            0
  72  sarn          f547                                      further fatter fireplace                  0
