Centaur Zendo round 4 (training)
round_id : 76a44780457548a2a466b210df12cf56
written  : 2026-09-04 16:36:03Z
presented=493  answered=493  correct=1  skipped=0
client answer latency: mean 0.125 ms  median 0.105 ms  max 6.902 ms  (n=493)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          d589                                      dyslexia dong didnt                       0
   1  sarn          l655                                      lander laugh lemon                        0
   2  sarn          p646                                      payed pear phyllis                        0
   3  sarn          l8154                                     landfall l leigh luce                     0
   4  sarn          t454315                                   thud topsy tick tui t trite               0
   5  sarn          b4324                                     by bog bean                               0
   6  sarn          d395543                                   dyslexia dong didnt dyslexia dong didnt   0
   7  sarn          p615                                      pueblo p pinky                            0
   8  sarn          p6453                                     payed pear phyllis poncho                 0
   9  sarn          d69173                                    depraved discourse dusty delay            0
  10  sarn          f23423                                    fi fad face fo fan                        0
  11  sarn          r653                                      rubble ruddy rub                          0
  12  sarn          a35846                                    ami ascot assigned axle appear            0
  13  sarn          b637165                                   bog bean by                               0
  14  sarn          r21381                                    refined rapid radical repeat rebound      0
  15  sarn          h223                                      hy he hoi                                 0
  16  sarn          p2647                                     payed pear phyllis poncho                 0
  17  sarn          e758                                      epitaph ethos epidemic                    0
  18  sarn          l3426                                     lat lupe lo lament                        0
  19  sarn          w533                                      waved wut wiz                             0
  20  sarn          l22553                                    lo lo latex ledge loa                     0
  21  sarn          e42562                                    earl es essay energy es                   0
  22  sarn          p452584                                   payed pear phyllis poncho payed pear      0
  23  sarn          e9963                                     excluding egregious ending ell            0
  24  sarn          s885425                                   synaptic sluggish spook snob sh spawn     0
  25  sarn          b5355                                     by bean bog                               0
  26  sarn          c275                                      ca chopper casey                          0
  27  sarn          f233                                      fo fen far                                0
  28  sarn          p24863                                    payed pear phyllis poncho                 0
  29  sarn          m6349                                     mental mix mind multiplex                 0
  30  sarn          g47343                                    glow grazing gun gaia gon                 0
  31  sarn          f413245                                   fork f fae fo fiat faker                  0
  32  sarn          t744255                                   tarnish toby trip ti tenor toned          0
  33  sarn          s691                                      stingy snatching s                        0
  34  sarn          t31452                                    tor t tyre tilly tu                       0
  35  sarn          f145                                      f fiat fiber                              0
  36  sarn          e9644                                     excelsior eatery elon edit                0
  37  sarn          d3321                                     discourse delay depraved dusty            0
  38  sarn          s165                                      s school shawl                            0
  39  sarn          h526                                      hough ho headed                           0
