Centaur Zendo round 5 (training)
round_id : 1a64187df8e647808814ddbdb83ee5aa
written  : 2026-09-04 16:43:00Z
presented=819  answered=217  correct=3  skipped=603
client answer latency: mean 0.070 ms  median 0.066 ms  max 0.190 ms  (n=820)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          e628549                                   None                                      0
   1  sarn          g3243                                     None                                      0
   2  sarn          c225424                                   None                                      0
   3  sarn          w143333                                   None                                      0
   4  sarn          m5823                                     None                                      0
   5  sarn          h464352                                   None                                      0
   6  sarn          s4115                                     None                                      0
   7  sarn          w5235                                     None                                      0
   8  sarn          w774743                                   None                                      0
   9  sarn          r78394                                    None                                      0
  10  sarn          h223665                                   None                                      0
  11  sarn          h64183                                    None                                      0
  12  sarn          r485924                                   None                                      0
  13  sarn          p5436                                     None                                      0
  14  sarn          r764171                                   None                                      0
  15  sarn          r662224                                   None                                      0
  16  sarn          g545513                                   None                                      0
  17  sarn          a443332                                   None                                      0
  18  sarn          g575                                      grass greater grand                       0
  19  sarn          l1632                                     None                                      0
  20  sarn          f3234                                     None                                      0
  21  sarn          a445                                      acid army agent                           0
  22  sarn          f5131                                     None                                      0
  23  sarn          c56478                                    None                                      0
  24  sarn          d688556                                   None                                      0
  25  sarn          s7112                                     None                                      0
  26  sarn          a34465                                    None                                      0
  27  sarn          a5446                                     None                                      0
  28  sarn          c23664                                    None                                      0
  29  sarn          m76436                                    None                                      0
  30  sarn          f433                                      fail fox fix                              0
  31  sarn          s36622                                    None                                      0
  32  sarn          m485                                      maha maximize mabel                       0
  33  sarn          p584765                                   None                                      0
  34  sarn          a75565                                    None                                      0
  35  sarn          p55534                                    None                                      0
  36  sarn          r944445                                   None                                      0
  37  sarn          r42255                                    None                                      0
  38  sarn          l4154                                     None                                      0
  39  sarn          f386433                                   None                                      0
  40  sarn          g52731                                    None                                      0
  41  sarn          h135                                      h haw harem                               0
  42  sarn          m45342                                    None                                      0
  43  sarn          g4811                                     None                                      0
  44  sarn          b53325                                    None                                      0
  45  sarn          e4764                                     None                                      0
  46  sarn          w7372                                     None                                      0
  47  sarn          r45421                                    None                                      0
  48  sarn          a7352                                     None                                      0
  49  sarn          r3723                                     None                                      0
  50  sarn          b755                                      bohemia banjo baton                       0
  51  sarn          s142                                      s soil so                                 0
  52  sarn          h432462                                   None                                      0
  53  sarn          c44426                                    None                                      0
  54  sarn          a224369                                   None                                      0
  55  sarn          b6446                                     None                                      0
  56  sarn          c934663                                   None                                      0
  57  sarn          b223232                                   None                                      0
  58  sarn          e747                                      eleanor earl earning                      0
  59  sarn          m76777                                    None                                      0
  60  sarn          f353                                      fly field far                             0
  61  sarn          l32117                                    None                                      0
  62  sarn          b53335                                    None                                      0
  63  sarn          f6154                                     None                                      0
  64  sarn          t3216                                     None                                      0
  65  sarn          c37423                                    None                                      0
  66  sarn          m44463                                    None                                      0
  67  sarn          h184                                      h headache hank                           0
  68  sarn          c236                                      ce cur caving                             0
  69  sarn          f3432                                     None                                      0
  70  sarn          p833445                                   None                                      0
  71  sarn          f216441                                   None                                      0
  72  sarn          l342184                                   None                                      0
  73  sarn          b542                                      belle bump bo                             0
  74  sarn          r814                                      reseller r raja                           0
  75  sarn          t44242                                    None                                      0
  76  sarn          p254468                                   None                                      0
  77  sarn          a4545                                     None                                      0
  78  sarn          b45224                                    None                                      0
  79  sarn          s58243                                    None                                      0
  80  sarn          h443                                      howl hash hao                             0
  81  sarn          a135                                      a are along                               0
  82  sarn          s5365                                     None                                      0
  83  sarn          b623                                      breech bu bah                             0
  84  sarn          l4613                                     None                                      0
  85  sarn          l245                                      lo leon lease                             0
  86  sarn          a55747                                    None                                      0
  87  sarn          e99882                                    None                                      0
  88  sarn          f76226                                    None                                      0
  89  sarn          h321544                                   None                                      0
  90  sarn          r254                                      re roger rule                             0
  91  sarn          w242                                      wu watt wi                                0
  92  sarn          m2145                                     None                                      0
  93  sarn          g345                                      get grab greek                            0
  94  sarn          s249561                                   None                                      0
  95  sarn          h3124                                     None                                      0
  96  sarn          w51112                                    None                                      0
  97  sarn          p76532                                    None                                      0
  98  sarn          h456                                      hiro husky holden                         0
  99  sarn          c571434                                   None                                      0
 100  sarn          s423                                      spam sa sum                               0
 101  sarn          w442                                      wack warp wy                              0
 102  sarn          f3224                                     None                                      0
 103  sarn          c385                                      cha conclude craft                        0
 104  sarn          g454                                      gaul ghoul grin                           0
 105  sarn          w132                                      w why we                                  0
 106  sarn          h3562                                     None                                      0
 107  sarn          g7564                                     None                                      0
 108  sarn          w43553                                    None                                      0
 109  sarn          g4232                                     None                                      0
 110  sarn          c34948                                    None                                      0
 111  sarn          e35527                                    None                                      0
 112  sarn          a656133                                   None                                      0
 113  sarn          d52494                                    None                                      0
 114  sarn          d743233                                   None                                      0
