Centaur Zendo round final (final)
round_id : 766a994407c34bbcaacab1d2af5a8900
written  : 2026-09-04 16:48:58Z
presented=3622  answered=1770  correct=11  skipped=1852
client answer latency: mean 0.090 ms  median 0.079 ms  max 15.452 ms  (n=3623)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          l35832                                    None                                      0
   1  sarn          d356                                      don delhi distal                          0
   2  sarn          h625                                      hoodie hu horny                           0
   3  sarn          f4874                                     folder flattening fieldwork frozen        0
   4  sarn          d5343                                     defense delia donkey dandy                0
   5  sarn          s652884                                   None                                      0
   6  sarn          s52344                                    None                                      0
   7  sarn          m64925                                    None                                      0
   8  sarn          t523342                                   None                                      0
   9  sarn          r41552                                    None                                      0
  10  sarn          e785787                                   None                                      0
  11  sarn          f22126                                    None                                      0
  12  sarn          e5878                                     ecology ethnically engrossed enrichment   0
  13  sarn          e357834                                   None                                      0
  14  sarn          d758225                                   None                                      0
  15  sarn          f51467                                    None                                      0
  16  sarn          h62332                                    None                                      0
  17  sarn          t33447                                    None                                      0
  18  sarn          m27477                                    None                                      0
  19  sarn          f244                                      fa flux fort                              0
  20  sarn          a597                                      avoid ascendant amongst                   0
  21  sarn          h521                                      hired ha h                                0
  22  sarn          w14214                                    None                                      0
  23  sarn          l221125                                   None                                      0
  24  sarn          w224                                      wu wy well                                0
  25  sarn          e25888                                    None                                      0
  26  sarn          m984                                      maternity marjorie mona                   0
  27  sarn          s84567                                    None                                      0
  28  sarn          b549                                      built beam bookshelf                      0
  29  sarn          c2544                                     coil cayenne caliph clumsy                0
  30  sarn          s54336                                    None                                      0
  31  sarn          m7468                                     miserable muscle mahogany metallurgy      0
  32  sarn          s8345                                     subculture south sickly spacing           0
  33  sarn          s3462                                     store sprung stroller skye                0
  34  sarn          b75353                                    None                                      0
  35  sarn          m435643                                   None                                      0
  36  sarn          w3417                                     whiff wasted web wasteland                0
  37  sarn          t2533                                     thaw trustee times tasty                  0
  38  sarn          c8767                                     curriculum chemistry cuteness communism   0
  39  sarn          p142                                      p peep pu                                 0
  40  sarn          a5171                                     aqueous awd associate aft                 0
  41  sarn          b367559                                   None                                      0
  42  sarn          s31327                                    None                                      0
  43  sarn          d5435                                     drought drawer digit darrell              0
  44  sarn          w72347                                    None                                      0
  45  sarn          h3124                                     hubby hao hide hearty                     0
  46  sarn          d33984                                    None                                      0
  47  sarn          g716387                                   None                                      0
  48  sarn          l631                                      lawson lax l                              0
  49  sarn          h2133                                     hoop him helen hanna                      0
  50  sarn          w544                                      windy wink when                           0
  51  sarn          e846977                                   None                                      0
  52  sarn          d35566                                    None                                      0
  53  sarn          r426754                                   None                                      0
  54  sarn          l1233                                     lit lido lolly lolly                      0
  55  sarn          r2214                                     raja rolf rad revamp                      0
  56  sarn          e22678                                    None                                      0
  57  sarn          t343241                                   None                                      0
  58  sarn          h1161                                     hat hat hesitate hat                      0
  59  sarn          h3543                                     hilly hugging headed hausa                0
  60  sarn          w331                                      wei wop w                                 0
  61  sarn          w345241                                   None                                      0
  62  sarn          f454784                                   None                                      0
  63  sarn          w55237                                    None                                      0
  64  sarn          r142                                      r ruby ra                                 0
  65  sarn          w2455                                     wait wreath wildcat welfare               0
  66  sarn          p77614                                    None                                      0
  67  sarn          a733686                                   None                                      0
  68  sarn          b964934                                   None                                      0
  69  sarn          p32364                                    None                                      0
  70  sarn          l523751                                   None                                      0
  71  sarn          g3122                                     grate gun gold glam                       0
  72  sarn          d34261                                    None                                      0
  73  sarn          r582                                      robot reseller re                         0
  74  sarn          e48473                                    None                                      0
