Centaur Zendo round 3 (training)
round_id : f3c0fcadee054929b0b9ef55ed01a647
written  : 2026-09-05 08:53:16Z
presented=165  answered=165  correct=83  skipped=0
client answer latency: mean 0.400 ms  median 0.328 ms  max 2.994 ms  (n=165)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tresk         RRBBRGGR\nGGRBGRR\n\nGBBRBGGBGR\nBBGRBG…  1                                         0
   1  dornic        2H 4H 4D 8H JH\n5D 7D 7C 9C JD JC\n6D 8…  4                                         1
   2  norvel        hat   |xx..|x.x.|.xxx|xxx.|x.x.|x.xx|xx…  hat   |xx..|x.x.|.xxx|xxx.|x.x.|x.xx|xx…  1
   3  borsel        6 4 2 4\n3 4 4 3\n5 5 1 5\n\n3 4 6 6\n4…  1                                         0
   4  tavrik        broadly\nleather\n\nspread\nscream\nstr…  4                                         0
   5  borsel        1 1 2 2\n3 2 2 1\n1 1 3 2\n\n1 3 3 3\n3…  1                                         0
   6  dornic        3H 4S 5D 6H QC KS\n3C 9H JH KH\n3D 5C 6…  2                                         1
   7  ospren        ...#.\n.....\n.....\n....#\n...##\n\n#.…  1                                         1
   8  tavrik        quarter\nmanning\n\npopcorn\nfifteen\nj…  1                                         1
   9  tresk         GGBGGGBRRG\nBGGBBGGRG\n\nBGBBBRGR\nRGRG…  1                                         1
  10  dornic        6H 6C 7D 8D 9D QD\n2C 4D 5D 6S QH\n2S 4…  1                                         1
  11  borsel        4 4 3 3\n4 4 6 2\n4 3 3 6\n\n2 2 5 5\n4…  4                                         1
  12  ospren        ...##\n##...\n#####\n...##\n##...\n\n..…  4                                         0
  13  borsel        5 6 5 6\n6 4 6 4\n6 4 5 5\n\n6 5 1 1\n6…  3                                         0
  14  norvel        hat   |xxxx|..xx|.xx.|x.xx|.xxx|.xx.|xx…  hat   |xxxx|..xx|.xx.|x.xx|.xxx|.xx.|xx…  1
  15  ospren        ...##\n#.##.\n.....\n#.##.\n...##\n\n.#…  2                                         1
  16  tavrik        statute\nweed\n\ncolony\ncosmic\ndoctor…  1                                         0
