Centaur Zendo round 1 (training)
round_id : 41551e8f73644819a17be34f304c319b
written  : 2026-09-04 12:11:16Z
presented=809  answered=0  correct=0  skipped=809
client answer latency: mean 0.081 ms  median 0.074 ms  max 1.013 ms  (n=809)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tovel         31/1/X/4                                  None                                      0
   1  tovel         30/4/I/6                                  None                                      0
   2  tovel         30/6/A/2                                  None                                      0
   3  tovel         28/0/T/2                                  None                                      0
   4  tovel         30/0/S/6                                  None                                      0
   5  tovel         31/4/V/3                                  None                                      0
   6  tovel         30/6/L/6                                  None                                      0
   7  tovel         30/0/E/5                                  None                                      0
   8  tovel         30/5/D/5                                  None                                      0
   9  tovel         31/2/J/2                                  None                                      0
  10  tovel         31/5/Z/6                                  None                                      0
  11  tovel         31/3/N/4                                  None                                      0
  12  tovel         29/0/V/3                                  None                                      0
  13  tovel         30/5/D/6                                  None                                      0
  14  tovel         31/4/V/4                                  None                                      0
  15  tovel         28/2/S/3                                  None                                      0
  16  tovel         30/6/P/2                                  None                                      0
  17  tovel         30/1/W/2                                  None                                      0
  18  tovel         30/5/V/3                                  None                                      0
  19  tovel         30/1/D/3                                  None                                      0
  20  tovel         31/0/G/5                                  None                                      0
  21  tovel         28/0/Z/6                                  None                                      0
  22  tovel         31/3/M/4                                  None                                      0
  23  tovel         30/0/K/6                                  None                                      0
  24  tovel         28/0/N/5                                  None                                      0
  25  tovel         30/5/U/6                                  None                                      0
  26  tovel         31/5/U/5                                  None                                      0
  27  tovel         28/4/A/3                                  None                                      0
  28  tovel         29/0/P/5                                  None                                      0
  29  tovel         28/6/J/3                                  None                                      0
  30  tovel         31/5/D/2                                  None                                      0
  31  tovel         30/0/D/3                                  None                                      0
  32  tovel         30/3/W/6                                  None                                      0
  33  tovel         28/5/D/2                                  None                                      0
  34  tovel         31/3/P/3                                  None                                      0
  35  tovel         30/4/R/2                                  None                                      0
  36  tovel         29/6/O/6                                  None                                      0
  37  tovel         29/1/N/3                                  None                                      0
  38  tovel         28/6/C/2                                  None                                      0
  39  tovel         28/2/M/6                                  None                                      0
  40  tovel         31/2/F/3                                  None                                      0
  41  tovel         31/6/C/2                                  None                                      0
  42  tovel         28/0/V/2                                  None                                      0
  43  tovel         30/2/D/5                                  None                                      0
  44  tovel         28/0/A/2                                  None                                      0
  45  tovel         31/0/B/5                                  None                                      0
  46  tovel         31/6/X/4                                  None                                      0
  47  tovel         28/6/M/6                                  None                                      0
  48  tovel         30/3/Q/6                                  None                                      0
  49  tovel         29/3/I/2                                  None                                      0
  50  tovel         30/2/X/3                                  None                                      0
  51  tovel         30/0/R/5                                  None                                      0
  52  tovel         31/4/E/4                                  None                                      0
  53  tovel         29/0/F/4                                  None                                      0
  54  tovel         30/4/F/6                                  None                                      0
  55  tovel         30/5/T/3                                  None                                      0
  56  tovel         31/6/I/3                                  None                                      0
  57  tovel         31/6/I/5                                  None                                      0
  58  tovel         30/2/Y/4                                  None                                      0
  59  tovel         30/2/X/4                                  None                                      0
  60  tovel         28/5/X/3                                  None                                      0
  61  tovel         30/6/Y/4                                  None                                      0
  62  tovel         31/0/G/4                                  None                                      0
  63  tovel         30/4/M/2                                  None                                      0
  64  tovel         31/5/T/3                                  None                                      0
  65  tovel         29/5/Z/4                                  None                                      0
  66  tovel         29/3/Q/2                                  None                                      0
  67  tovel         30/6/F/5                                  None                                      0
  68  tovel         28/6/M/6                                  None                                      0
  69  tovel         29/0/G/4                                  None                                      0
  70  tovel         30/3/V/3                                  None                                      0
  71  tovel         30/3/G/5                                  None                                      0
  72  tovel         30/2/T/6                                  None                                      0
  73  tovel         31/0/O/6                                  None                                      0
  74  tovel         28/5/E/2                                  None                                      0
  75  tovel         30/0/U/2                                  None                                      0
  76  tovel         31/0/S/4                                  None                                      0
  77  tovel         30/5/D/5                                  None                                      0
  78  tovel         28/2/I/3                                  None                                      0
  79  tovel         30/1/J/5                                  None                                      0
  80  tovel         31/6/X/6                                  None                                      0
  81  tovel         31/1/T/5                                  None                                      0
  82  tovel         31/0/F/4                                  None                                      0
  83  tovel         31/2/G/4                                  None                                      0
  84  tovel         28/6/T/4                                  None                                      0
  85  tovel         30/1/B/4                                  None                                      0
  86  tovel         31/2/R/4                                  None                                      0
  87  tovel         29/0/M/6                                  None                                      0
  88  tovel         30/1/Y/5                                  None                                      0
  89  tovel         31/3/U/2                                  None                                      0
  90  tovel         28/4/G/2                                  None                                      0
  91  tovel         28/6/K/2                                  None                                      0
  92  tovel         31/1/G/2                                  None                                      0
  93  tovel         31/3/S/6                                  None                                      0
