Centaur Zendo round 1 (training)
round_id : 9ad2c3be7c2343c2af47b6e6e967398e
written  : 2026-09-04 16:00:48Z
presented=498  answered=498  correct=0  skipped=0
client answer latency: mean 0.116 ms  median 0.109 ms  max 1.203 ms  (n=498)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tovel         31/6/P/4/4                                4/4/P/6/13                                0
   1  tovel         30/1/Q/5/16                               0                                         0
   2  tovel         28/3/X/6/6                                28/3/X/6/6                                0
   3  tovel         31/6/W/2/16                               1                                         0
   4  tovel         29/4/V/4/20                               1                                         0
   5  tovel         31/4/O/5/6                                yes                                       0
   6  tovel         31/5/S/4/11                               red                                       0
   7  tovel         28/4/S/5/5                                sum                                       0
   8  tovel         30/2/Q/5/13                               zendo                                     0
   9  tovel         28/3/C/5/14                               0                                         0
  10  tovel         28/2/U/3/6                                ruid                                      0
  11  tovel         31/5/H/6/11                               24                                        0
  12  tovel         31/2/V/5/7                                31/2/V/5/7                                0
  13  tovel         30/4/X/6/5                                5/6/X/4/03                                0
  14  tovel         30/6/A/6/10                               z                                         0
  15  tovel         31/2/T/4/22                               reill                                     0
  16  tovel         31/5/O/6/12                               two                                       0
  17  tovel         30/5/Z/6/11                               0                                         0
  18  tovel         30/5/E/4/18                               20                                        0
  19  tovel         28/2/B/5/13                               32                                        0
  20  tovel         31/1/V/2/9                                xr                                        0
  21  tovel         29/1/Q/5/15                               51/5/Q/1/92                               0
  22  tovel         31/2/N/3/22                               1                                         0
  23  tovel         31/5/O/3/19                               89                                        0
  24  tovel         31/4/Z/2/12                               57                                        0
  25  tovel         28/1/R/5/8                                8/5/R/1/82                                0
  26  tovel         28/4/M/6/13                               0                                         0
  27  tovel         30/5/X/4/17                               1                                         0
  28  tovel         30/0/N/3/10                               two                                       0
  29  tovel         31/5/H/3/17                               92                                        0
  30  tovel         28/4/T/5/5                                0                                         0
  31  tovel         31/0/D/5/3                                a                                         0
  32  tovel         31/0/T/3/9                                no                                        0
  33  tovel         31/0/J/6/9                                1                                         0
  34  tovel         30/6/F/2/24                               the                                       0
  35  tovel         29/3/H/3/19                               two                                       0
  36  tovel         31/1/V/2/7                                1                                         0
  37  tovel         31/1/Y/5/15                               0                                         0
  38  tovel         30/3/E/5/13                               31/5/E/3/03                               0
  39  tovel         31/3/O/3/6                                zped                                      0
  40  tovel         31/5/P/5/17                               71/5/P/5/13                               0
  41  tovel         30/2/B/5/7                                xap                                       0
  42  tovel         31/4/I/2/25                               0                                         0
  43  tovel         30/4/I/4/18                               30/4/I/4/18                               0
  44  tovel         30/2/F/3/15                               51/3/F/2/03                               0
  45  tovel         30/3/J/4/19                               30/3/J/4/19                               0
  46  tovel         29/1/J/6/1                                29/1/J/6/1                                0
  47  tovel         29/1/Y/4/7                                1                                         0
  48  tovel         31/1/G/6/7                                54                                        0
  49  tovel         31/2/D/2/8                                31/2/D/2/8                                0
  50  tovel         30/0/R/4/10                               gx                                        0
  51  tovel         31/0/M/5/17                               cat                                       0
  52  tovel         28/4/I/3/5                                28/4/I/3/5                                0
  53  tovel         30/3/C/5/12                               30/3/C/5/12                               0
  54  tovel         30/3/W/6/12                               21/6/W/3/03                               0
  55  tovel         30/3/M/5/14                               30/3/M/5/14                               0
  56  tovel         31/4/F/5/19                               31/4/F/5/19                               0
  57  tovel         30/1/A/5/8                                1                                         0
  58  tovel         30/5/Y/2/19                               1                                         0
  59  tovel         29/3/H/4/7                                one                                       0
  60  tovel         28/5/H/4/5                                bjch                                      0
  61  tovel         29/5/P/2/12                               the                                       0
  62  tovel         30/2/U/2/14                               a                                         0
  63  tovel         29/3/Q/6/6                                one                                       0
  64  tovel         28/6/Q/4/11                               11/4/Q/6/82                               0
  65  tovel         31/6/D/4/11                               zendo                                     0
  66  tovel         29/3/O/3/6                                1                                         0
  67  tovel         30/0/P/4/15                               51/4/P/0/03                               0
  68  tovel         28/5/R/4/10                               cat                                       0
  69  tovel         31/2/U/6/15                               a                                         0
  70  tovel         29/2/H/3/21                               91                                        0
  71  tovel         30/5/M/6/11                               1                                         0
  72  tovel         28/3/K/2/13                               1                                         0
  73  tovel         28/3/O/4/7                                7/4/O/3/82                                0
  74  tovel         31/3/I/4/14                               0                                         0
  75  tovel         28/1/D/3/16                               cwbi                                      0
  76  tovel         30/6/J/5/17                               30/6/J/5/17                               0
  77  tovel         30/2/X/2/20                               zendo                                     0
  78  tovel         30/1/E/5/9                                irch                                      0
  79  tovel         28/3/M/5/14                               0                                         0
  80  tovel         29/4/L/5/12                               cat                                       0
  81  tovel         29/1/A/6/9                                90                                        0
  82  tovel         31/3/V/4/21                               3                                         0
  83  tovel         30/1/I/5/15                               51/5/I/1/03                               0
  84  tovel         31/4/O/6/6                                6/6/O/4/13                                0
  85  tovel         28/3/M/4/19                               91/4/M/3/82                               0
  86  tovel         30/5/S/3/19                               1                                         0
  87  tovel         30/4/U/5/13                               30/4/U/5/13                               0
  88  tovel         30/6/M/6/9                                the                                       0
  89  tovel         30/0/G/6/15                               30/0/G/6/15                               0
  90  tovel         31/3/V/2/20                               pgoj                                      0
  91  tovel         30/3/V/3/21                               0                                         0
  92  tovel         31/5/B/2/11                               81                                        0
  93  tovel         29/0/F/2/23                               29/0/F/2/23                               0
  94  tovel         29/5/N/2/10                               89                                        0
  95  tovel         29/5/Y/3/19                               0                                         0
  96  tovel         30/3/O/2/19                               91/2/O/3/03                               0
  97  tovel         30/0/T/2/17                               0                                         0
  98  tovel         31/5/W/6/11                               one                                       0
  99  tovel         31/4/V/3/19                               uqq                                       0
 100  tovel         30/4/C/4/12                               22                                        0
 101  tovel         30/4/C/3/5                                53                                        0
 102  tovel         29/3/W/2/19                               29/3/W/2/19                               0
 103  tovel         28/5/V/6/12                               zendo                                     0
 104  tovel         30/4/N/5/6                                one                                       0
 105  tovel         30/2/B/6/14                               41/6/B/2/03                               0
 106  tovel         29/5/E/3/4                                4/3/E/5/92                                0
 107  tovel         30/6/I/5/17                               4                                         0
 108  tovel         28/4/M/5/11                               0                                         0
 109  tovel         29/5/I/3/12                               1                                         0
 110  tovel         29/2/R/6/7                                72                                        0
 111  tovel         28/0/G/6/2                                0                                         0
 112  tovel         29/0/J/5/16                               a                                         0
 113  tovel         30/2/K/2/14                               b                                         0
 114  tovel         31/5/V/2/24                               42/2/V/5/13                               0
 115  tovel         31/5/R/6/11                               31/5/R/6/11                               0
 116  tovel         30/6/H/5/9                                1                                         0
 117  tovel         30/5/B/5/12                               78                                        0
 118  tovel         31/0/O/2/9                                31/0/O/2/9                                0
 119  tovel         30/0/C/3/15                               58                                        0
 120  tovel         30/2/C/3/7                                7/3/C/2/03                                0
 121  tovel         28/5/C/4/12                               90                                        0
 122  tovel         31/0/K/2/16                               31/0/K/2/16                               0
 123  tovel         28/6/A/5/4                                red                                       0
 124  tovel         30/3/Z/3/6                                20                                        0
 125  tovel         30/2/D/4/20                               0                                         0
 126  tovel         31/6/Q/2/9                                31/6/Q/2/9                                0
 127  tovel         29/3/X/4/14                               0                                         0
 128  tovel         29/6/Z/6/3                                12                                        0
 129  tovel         29/5/Q/2/19                               two                                       0
 130  tovel         29/5/N/4/5                                1                                         0
 131  tovel         31/3/D/5/19                               0                                         0
 132  tovel         29/3/J/5/14                               41/5/J/3/92                               0
 133  tovel         29/5/C/5/12                               29/5/C/5/12                               0
 134  tovel         29/1/I/4/14                               ozh                                       0
 135  tovel         29/4/U/6/11                               4                                         0
 136  tovel         30/0/O/5/10                               18                                        0
 137  tovel         29/5/K/2/4                                two                                       0
 138  tovel         29/2/Z/3/7                                29/2/Z/3/7                                0
 139  tovel         31/0/M/2/8                                uvuny                                     0
 140  tovel         30/6/A/3/16                               67                                        0
 141  tovel         28/6/E/5/16                               79                                        0
 142  tovel         30/0/C/5/15                               30/0/C/5/15                               0
 143  tovel         30/4/P/4/20                               k                                         0
 144  tovel         29/5/J/3/3                                ihs                                       0
 145  tovel         29/1/Z/4/15                               0                                         0
 146  tovel         30/0/K/3/17                               0                                         0
 147  tovel         28/2/K/3/6                                28/2/K/3/6                                0
 148  tovel         28/5/H/3/24                               0                                         0
 149  tovel         31/1/G/2/14                               60                                        0
 150  tovel         31/3/C/2/6                                0                                         0
 151  tovel         30/3/R/6/7                                cat                                       0
 152  tovel         31/6/F/4/18                               1                                         0
 153  tovel         28/5/C/5/18                               28/5/C/5/18                               0
 154  tovel         30/6/W/4/11                               no                                        0
 155  tovel         30/0/T/6/8                                l                                         0
 156  tovel         30/1/X/5/7                                30/1/X/5/7                                0
 157  tovel         31/0/Z/3/9                                1                                         0
 158  tovel         29/2/A/4/6                                0                                         0
 159  tovel         31/0/I/4/3                                3/4/I/0/13                                0
 160  tovel         28/4/I/6/13                               xxnc                                      0
 161  tovel         30/0/A/5/16                               0                                         0
 162  tovel         31/5/V/2/24                               42/2/V/5/13                               0
 163  tovel         28/1/P/5/2                                40                                        0
 164  tovel         30/0/I/2/15                               1                                         0
 165  tovel         29/5/L/2/17                               1                                         0
 166  tovel         30/4/Q/3/13                               0                                         0
 167  tovel         31/1/W/2/16                               1                                         0
 168  tovel         30/3/N/4/12                               21/4/N/3/03                               0
 169  tovel         29/0/V/5/10                               1                                         0
 170  tovel         31/3/T/6/7                                1                                         0
 171  tovel         30/1/R/4/2                                0                                         0
 172  tovel         30/1/M/3/21                               yulde                                     0
 173  tovel         28/5/W/4/10                               un                                        0
 174  tovel         31/5/Z/4/3                                39                                        0
 175  tovel         28/2/I/2/21                               12/2/I/2/82                               0
 176  tovel         29/1/X/3/8                                1                                         0
 177  tovel         31/5/X/4/10                               31/5/X/4/10                               0
 178  tovel         28/2/I/4/13                               red                                       0
 179  tovel         30/6/B/2/24                               60                                        0
 180  tovel         30/5/U/5/5                                5/5/U/5/03                                0
 181  tovel         30/2/D/4/21                               one                                       0
 182  tovel         30/5/K/3/18                               yes                                       0
 183  tovel         28/3/Q/3/7                                28/3/Q/3/7                                0
 184  tovel         30/3/S/2/12                               21/2/S/3/03                               0
 185  tovel         30/1/F/6/14                               nvkjl                                     0
 186  tovel         30/5/M/3/17                               75                                        0
 187  tovel         29/0/L/2/2                                29/0/L/2/2                                0
 188  tovel         30/3/T/5/14                               41/5/T/3/03                               0
 189  tovel         31/5/Q/2/18                               1                                         0
 190  tovel         28/6/N/2/4                                0                                         0
 191  tovel         31/6/W/5/4                                1                                         0
 192  tovel         30/2/H/2/13                               30/2/H/2/13                               0
 193  tovel         31/0/B/5/17                               red                                       0
 194  tovel         30/4/X/5/5                                0                                         0
 195  tovel         30/6/X/4/18                               0                                         0
 196  tovel         31/4/O/4/19                               0                                         0
 197  tovel         29/1/G/3/9                                fksit                                     0
 198  tovel         29/2/J/2/6                                5                                         0
 199  tovel         30/2/N/5/8                                qvhuv                                     0
 200  tovel         29/5/G/2/19                               1                                         0
 201  tovel         31/1/W/2/2                                31/1/W/2/2                                0
 202  tovel         29/1/Y/6/7                                0                                         0
 203  tovel         29/4/V/2/26                               0                                         0
 204  tovel         30/5/I/3/19                               30/5/I/3/19                               0
 205  tovel         28/1/K/4/7                                91                                        0
 206  tovel         31/0/M/6/9                                9/6/M/0/13                                0
 207  tovel         29/0/P/6/9                                29/0/P/6/9                                0
 208  tovel         28/2/S/5/6                                0                                         0
 209  tovel         31/2/C/2/6                                1                                         0
 210  tovel         30/6/Z/4/17                               71/4/Z/6/03                               0
 211  tovel         28/4/X/4/19                               91/4/X/4/82                               0
 212  tovel         31/6/C/5/4                                0                                         0
 213  tovel         28/0/F/2/17                               28/0/F/2/17                               0
 214  tovel         31/3/G/4/19                               0                                         0
 215  tovel         30/2/A/2/22                               er                                        0
 216  tovel         29/2/L/4/14                               1                                         0
 217  tovel         30/5/H/3/4                                4/3/H/5/03                                0
 218  tovel         31/0/G/6/16                               0                                         0
 219  tovel         29/2/R/3/14                               41/3/R/2/92                               0
 220  tovel         30/3/P/6/14                               44                                        0
 221  tovel         28/3/W/4/19                               1                                         0
 222  tovel         29/4/Y/4/11                               uyk                                       0
 223  tovel         31/4/E/5/18                               0                                         0
 224  tovel         29/1/T/6/7                                29/1/T/6/7                                0
 225  tovel         28/1/E/4/9                                28/1/E/4/9                                0
 226  tovel         30/0/L/2/9                                1                                         0
 227  tovel         30/0/D/5/9                                1                                         0
 228  tovel         29/5/Z/4/17                               0                                         0
 229  tovel         30/3/Z/4/7                                xpjsb                                     0
 230  tovel         29/6/A/6/10                               sum                                       0
 231  tovel         30/2/C/4/21                               zendo                                     0
 232  tovel         28/2/S/5/7                                7/5/S/2/82                                0
 233  tovel         30/4/U/2/5                                3                                         0
 234  tovel         31/6/O/4/18                               red                                       0
 235  tovel         30/5/I/6/5                                no                                        0
 236  tovel         29/0/R/4/16                               1                                         0
 237  tovel         31/6/X/6/4                                0                                         0
 238  tovel         29/1/E/3/14                               29/1/E/3/14                               0
 239  tovel         29/5/E/5/5                                18                                        0
 240  tovel         30/6/I/6/11                               43                                        0
 241  tovel         30/6/N/4/10                               0                                         0
 242  tovel         28/1/X/6/9                                28/1/X/6/9                                0
 243  tovel         30/5/R/6/5                                0                                         0
 244  tovel         31/4/I/2/25                               52/2/I/4/13                               0
 245  tovel         31/4/B/5/18                               1                                         0
 246  tovel         29/6/L/4/18                               0                                         0
 247  tovel         30/5/A/4/11                               11/4/A/5/03                               0
 248  tovel         31/3/T/4/19                               dycq                                      0
 249  tovel         31/4/E/2/13                               i                                         0
 250  tovel         31/4/N/5/13                               1                                         0
 251  tovel         28/2/D/2/21                               28/2/D/2/21                               0
 252  tovel         31/5/M/5/10                               1                                         0
 253  tovel         31/2/F/3/14                               vtp                                       0
 254  tovel         28/3/V/2/6                                28/3/V/2/6                                0
 255  tovel         30/0/K/2/3                                30/0/K/2/3                                0
 256  tovel         31/2/F/6/20                               02/6/F/2/13                               0
 257  tovel         30/5/T/4/4                                4/4/T/5/03                                0
 258  tovel         30/0/X/4/17                               one                                       0
 259  tovel         31/0/J/4/22                               0                                         0
 260  tovel         30/2/Y/5/20                               02/5/Y/2/03                               0
