Centaur Zendo round 5 (training)
round_id : 551429410fcc488b826a68286ad04847
written  : 2026-09-04 18:06:42Z
presented=791  answered=0  correct=0  skipped=792
client answer latency: mean 0.082 ms  median 0.077 ms  max 1.206 ms  (n=792)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tovel         31/2/M/4/20                               None                                      0
   1  tovel         30/2/O/4/7                                None                                      0
   2  tovel         28/1/T/3/15                               None                                      0
   3  tovel         31/6/E/4/11                               None                                      0
   4  tovel         30/2/J/6/8                                None                                      0
   5  tovel         28/6/C/2/18                               None                                      0
   6  tovel         30/6/X/5/11                               None                                      0
   7  tovel         29/4/X/2/25                               None                                      0
   8  tovel         30/6/X/3/18                               None                                      0
   9  tovel         30/1/L/4/14                               None                                      0
  10  tovel         31/6/H/3/18                               None                                      0
  11  tovel         31/3/Q/4/19                               None                                      0
  12  tovel         31/2/C/4/15                               None                                      0
  13  tovel         31/2/X/2/22                               None                                      0
  14  tovel         28/3/E/3/13                               None                                      0
  15  tovel         29/0/U/2/22                               None                                      0
  16  tovel         30/1/C/4/16                               None                                      0
  17  tovel         30/5/T/5/12                               None                                      0
  18  tovel         30/5/M/6/10                               None                                      0
  19  tovel         28/4/C/5/6                                None                                      0
  20  tovel         31/4/H/5/13                               None                                      0
  21  tovel         28/6/L/6/4                                None                                      0
  22  tovel         29/3/U/5/12                               None                                      0
  23  tovel         28/4/T/4/12                               None                                      0
  24  tovel         31/2/H/3/22                               None                                      0
  25  tovel         30/4/P/2/20                               None                                      0
  26  tovel         31/2/O/6/8                                None                                      0
  27  tovel         31/0/U/6/10                               None                                      0
  28  tovel         31/3/F/6/12                               None                                      0
  29  tovel         29/0/O/5/8                                None                                      0
  30  tovel         28/3/P/2/19                               None                                      0
  31  tovel         31/6/Z/4/11                               None                                      0
  32  tovel         31/5/K/6/5                                None                                      0
  33  tovel         30/0/R/2/17                               None                                      0
  34  tovel         30/6/T/3/18                               None                                      0
  35  tovel         31/1/D/3/9                                None                                      0
  36  tovel         28/3/G/5/12                               None                                      0
  37  tovel         31/1/Y/4/9                                None                                      0
  38  tovel         31/6/E/3/17                               None                                      0
  39  tovel         30/1/B/2/23                               None                                      0
  40  tovel         30/5/O/3/18                               None                                      0
  41  tovel         31/2/Q/5/14                               None                                      0
  42  tovel         30/6/R/4/9                                None                                      0
  43  tovel         28/5/E/3/19                               None                                      0
  44  tovel         30/5/K/6/5                                None                                      0
  45  tovel         29/4/N/4/11                               None                                      0
  46  tovel         31/5/V/5/12                               None                                      0
  47  tovel         30/6/Z/4/10                               None                                      0
  48  tovel         31/6/D/2/11                               None                                      0
  49  tovel         31/4/A/2/19                               None                                      0
  50  tovel         31/2/Y/3/22                               None                                      0
  51  tovel         31/4/S/3/20                               None                                      0
  52  tovel         31/4/M/5/13                               None                                      0
  53  tovel         28/4/M/4/13                               None                                      0
  54  tovel         30/0/F/6/2                                None                                      0
  55  tovel         28/2/C/3/14                               None                                      0
  56  tovel         28/1/W/2/16                               None                                      0
  57  tovel         31/3/J/5/13                               None                                      0
  58  tovel         31/5/C/5/11                               None                                      0
  59  tovel         28/6/H/2/17                               None                                      0
  60  tovel         30/3/Q/3/12                               None                                      0
  61  tovel         31/6/S/2/17                               None                                      0
  62  tovel         29/4/B/6/11                               None                                      0
  63  tovel         29/3/J/6/6                                None                                      0
  64  tovel         30/1/K/4/15                               None                                      0
  65  tovel         29/5/J/2/17                               None                                      0
  66  tovel         31/0/B/2/23                               None                                      0
  67  tovel         29/2/B/5/7                                None                                      0
  68  tovel         30/6/L/6/4                                None                                      0
  69  tovel         28/6/C/3/10                               None                                      0
  70  tovel         29/2/I/3/20                               None                                      0
  71  tovel         31/3/P/3/21                               None                                      0
  72  tovel         31/0/A/4/15                               None                                      0
  73  tovel         31/5/I/4/11                               None                                      0
  74  tovel         31/0/F/5/10                               None                                      0
  75  tovel         29/1/L/2/9                                None                                      0
  76  tovel         30/4/R/6/6                                None                                      0
  77  tovel         30/5/K/4/11                               None                                      0
  78  tovel         30/3/B/4/19                               None                                      0
  79  tovel         31/6/B/4/10                               None                                      0
  80  tovel         29/1/N/5/8                                None                                      0
  81  tovel         30/3/S/6/6                                None                                      0
  82  tovel         31/3/G/4/19                               None                                      0
  83  tovel         31/1/Z/2/21                               None                                      0
  84  tovel         30/1/G/6/2                                None                                      0
  85  tovel         31/0/X/2/8                                None                                      0
  86  tovel         30/4/G/4/18                               None                                      0
  87  tovel         31/5/D/3/19                               None                                      0
  88  tovel         31/4/A/4/13                               None                                      0
  89  tovel         31/1/Y/6/7                                None                                      0
  90  tovel         30/2/C/2/15                               None                                      0
  91  tovel         31/5/Q/6/4                                None                                      0
  92  tovel         31/0/A/5/15                               None                                      0
  93  tovel         31/6/W/5/11                               None                                      0
  94  tovel         30/2/J/4/15                               None                                      0
  95  tovel         30/5/P/2/12                               None                                      0
  96  tovel         31/6/D/3/17                               None                                      0
  97  tovel         28/1/I/4/9                                None                                      0
  98  tovel         29/2/W/3/20                               None                                      0
  99  tovel         31/2/C/2/27                               None                                      0
 100  tovel         29/3/G/5/6                                None                                      0
 101  tovel         31/6/N/2/16                               None                                      0
 102  tovel         29/1/S/2/14                               None                                      0
 103  tovel         29/6/W/3/18                               None                                      0
 104  tovel         30/4/I/2/19                               None                                      0
 105  tovel         31/1/A/4/16                               None                                      0
 106  tovel         29/0/O/6/8                                None                                      0
 107  tovel         31/0/B/2/10                               None                                      0
 108  tovel         31/6/X/3/18                               None                                      0
 109  tovel         30/5/I/6/10                               None                                      0
 110  tovel         30/0/Y/4/15                               None                                      0
 111  tovel         31/5/F/6/10                               None                                      0
 112  tovel         30/1/M/5/9                                None                                      0
 113  tovel         29/5/N/5/12                               None                                      0
 114  tovel         29/3/J/2/14                               None                                      0
 115  tovel         30/5/P/5/10                               None                                      0
 116  tovel         31/5/L/6/4                                None                                      0
 117  tovel         28/6/O/2/11                               None                                      0
