Centaur Zendo round 6 (training)
round_id : e7f0a575c31449b0a214aa83b14df64d
written  : 2026-09-04 18:06:47Z
presented=719  answered=0  correct=0  skipped=720
client answer latency: mean 0.085 ms  median 0.079 ms  max 1.109 ms  (n=720)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tovel         29/1/H/3/8                                None                                      0
   1  tovel         30/4/O/4/13                               None                                      0
   2  tovel         30/1/C/6/9                                None                                      0
   3  tovel         30/3/B/6/7                                None                                      0
   4  tovel         30/3/M/6/12                               None                                      0
   5  tovel         28/1/D/6/7                                None                                      0
   6  tovel         29/6/C/6/3                                None                                      0
   7  tovel         31/2/V/4/7                                None                                      0
   8  tovel         30/1/S/3/21                               None                                      0
   9  tovel         30/1/D/2/9                                None                                      0
  10  tovel         31/1/B/6/9                                None                                      0
  11  tovel         29/1/A/6/7                                None                                      0
  12  tovel         30/5/T/2/18                               None                                      0
  13  tovel         28/3/R/5/12                               None                                      0
  14  tovel         31/1/Z/5/8                                None                                      0
  15  tovel         31/5/D/3/18                               None                                      0
  16  tovel         28/0/P/5/9                                None                                      0
  17  tovel         29/1/Y/2/9                                None                                      0
  18  tovel         29/0/V/5/8                                None                                      0
  19  tovel         28/5/I/4/17                               None                                      0
  20  tovel         30/3/B/5/13                               None                                      0
  21  tovel         30/0/H/4/9                                None                                      0
  22  tovel         28/3/F/3/19                               None                                      0
  23  tovel         30/2/F/3/20                               None                                      0
  24  tovel         30/5/Y/6/10                               None                                      0
  25  tovel         31/4/R/4/18                               None                                      0
  26  tovel         30/1/S/6/7                                None                                      0
  27  tovel         30/5/I/6/10                               None                                      0
  28  tovel         31/6/W/2/4                                None                                      0
  29  tovel         31/4/L/5/13                               None                                      0
  30  tovel         30/1/L/4/9                                None                                      0
  31  tovel         28/1/E/5/2                                None                                      0
  32  tovel         31/2/E/5/14                               None                                      0
  33  tovel         31/6/M/5/11                               None                                      0
  34  tovel         30/6/R/4/16                               None                                      0
  35  tovel         31/0/G/5/8                                None                                      0
  36  tovel         30/4/A/6/6                                None                                      0
  37  tovel         31/4/X/2/13                               None                                      0
  38  tovel         30/4/V/3/20                               None                                      0
  39  tovel         30/6/P/5/11                               None                                      0
  40  tovel         31/0/R/2/17                               None                                      0
  41  tovel         31/4/P/2/13                               None                                      0
  42  tovel         30/1/O/3/21                               None                                      0
  43  tovel         31/3/T/3/20                               None                                      0
  44  tovel         30/3/D/2/13                               None                                      0
  45  tovel         28/5/N/2/24                               None                                      0
  46  tovel         29/3/J/3/13                               None                                      0
  47  tovel         28/0/R/4/9                                None                                      0
  48  tovel         31/3/H/6/6                                None                                      0
  49  tovel         31/2/F/4/20                               None                                      0
  50  tovel         30/1/D/2/22                               None                                      0
  51  tovel         28/0/A/4/15                               None                                      0
  52  tovel         30/6/L/5/10                               None                                      0
  53  tovel         31/5/S/2/24                               None                                      0
  54  tovel         28/3/Q/4/14                               None                                      0
  55  tovel         31/3/O/6/7                                None                                      0
  56  tovel         31/2/J/4/20                               None                                      0
  57  tovel         30/5/R/5/12                               None                                      0
  58  tovel         30/1/O/2/22                               None                                      0
  59  tovel         30/4/P/5/13                               None                                      0
  60  tovel         30/1/B/6/8                                None                                      0
  61  tovel         30/4/G/6/11                               None                                      0
  62  tovel         31/1/T/3/16                               None                                      0
  63  tovel         29/5/O/4/17                               None                                      0
  64  tovel         29/2/J/2/22                               None                                      0
  65  tovel         30/6/P/3/10                               None                                      0
  66  tovel         30/5/N/3/19                               None                                      0
