Centaur Zendo round final (final)
round_id : 04173028a6154f40b5a27768d4353e6b
written  : 2026-09-04 18:07:00Z
presented=4849  answered=0  correct=0  skipped=4850
client answer latency: mean 0.078 ms  median 0.073 ms  max 1.081 ms  (n=4850)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tovel         30/2/A/4/15                               None                                      0
   1  tovel         29/5/A/3/19                               None                                      0
   2  tovel         31/0/Q/2/24                               None                                      0
   3  tovel         30/1/I/3/9                                None                                      0
   4  tovel         29/1/O/2/14                               None                                      0
   5  tovel         31/5/X/5/12                               None                                      0
   6  tovel         30/6/L/3/10                               None                                      0
   7  tovel         30/6/K/5/9                                None                                      0
   8  tovel         31/3/F/4/6                                None                                      0
   9  tovel         31/6/T/4/10                               None                                      0
  10  tovel         30/3/V/5/14                               None                                      0
  11  tovel         30/5/I/5/11                               None                                      0
  12  tovel         30/6/V/3/18                               None                                      0
  13  tovel         30/6/W/6/9                                None                                      0
  14  tovel         29/5/Q/5/12                               None                                      0
  15  tovel         30/2/Z/6/8                                None                                      0
  16  tovel         31/2/Q/2/14                               None                                      0
  17  tovel         30/5/X/4/17                               None                                      0
  18  tovel         30/2/D/6/6                                None                                      0
  19  tovel         30/0/P/4/3                                None                                      0
  20  tovel         28/0/R/4/15                               None                                      0
  21  tovel         31/5/B/3/12                               None                                      0
  22  tovel         30/2/T/2/22                               None                                      0
  23  tovel         30/3/O/5/12                               None                                      0
  24  tovel         30/5/A/3/12                               None                                      0
  25  tovel         30/2/N/4/13                               None                                      0
  26  tovel         30/6/T/6/3                                None                                      0
  27  tovel         30/5/Y/4/12                               None                                      0
  28  tovel         28/5/C/5/11                               None                                      0
  29  tovel         29/6/E/2/11                               None                                      0
  30  tovel         30/5/L/4/17                               None                                      0
  31  tovel         30/1/R/3/21                               None                                      0
  32  tovel         29/6/K/6/4                                None                                      0
  33  tovel         30/6/V/3/17                               None                                      0
  34  tovel         28/2/S/4/8                                None                                      0
  35  tovel         30/3/G/4/13                               None                                      0
  36  tovel         30/1/O/3/21                               None                                      0
  37  tovel         29/0/O/4/15                               None                                      0
  38  tovel         29/5/U/3/19                               None                                      0
  39  tovel         31/5/C/5/4                                None                                      0
