Centaur Zendo round 1 (training)
round_id : d4ff2765e8d94491a21d21d7b6e414e1
written  : 2026-09-04 17:48:41Z
presented=503  answered=503  correct=0  skipped=0
client answer latency: mean 0.115 ms  median 0.110 ms  max 1.086 ms  (n=503)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tovel         30/5/X/5/12                               stcfh                                     0
   1  tovel         28/4/L/2/19                               73                                        0
   2  tovel         30/3/W/2/26                               1                                         0
   3  tovel         30/0/T/5/10                               one                                       0
   4  tovel         30/2/U/4/15                               sum                                       0
   5  tovel         30/0/O/4/15                               30/0/O/4/15                               0
   6  tovel         29/6/Y/5/10                               no                                        0
   7  tovel         30/3/U/4/14                               no                                        0
   8  tovel         30/3/R/2/21                               0                                         0
   9  tovel         30/2/A/6/8                                30/2/A/6/8                                0
  10  tovel         30/3/B/6/7                                30/3/B/6/7                                0
  11  tovel         28/3/Z/2/21                               12/2/Z/3/82                               0
  12  tovel         30/5/H/3/12                               28                                        0
  13  tovel         30/0/J/3/10                               01/3/J/0/03                               0
  14  tovel         30/2/B/3/20                               qldww                                     0
  15  tovel         30/3/O/3/21                               1                                         0
  16  tovel         31/2/Y/6/8                                31/2/Y/6/8                                0
  17  tovel         28/6/S/5/10                               1                                         0
  18  tovel         31/2/Z/2/21                               0                                         0
  19  tovel         30/3/B/4/19                               30/3/B/4/19                               0
  20  tovel         28/6/N/6/4                                28/6/N/6/4                                0
  21  tovel         31/5/Z/5/12                               34                                        0
  22  tovel         28/6/E/3/9                                9/3/E/6/82                                0
  23  tovel         31/3/F/2/13                               1                                         0
  24  tovel         28/5/Z/5/11                               86                                        0
  25  tovel         30/0/S/6/8                                43                                        0
  26  tovel         28/3/F/4/14                               41/4/F/3/82                               0
  27  tovel         31/1/B/2/23                               lx                                        0
  28  tovel         28/3/C/2/21                               1                                         0
  29  tovel         31/2/F/6/13                               0                                         0
  30  tovel         29/5/F/3/12                               0                                         0
  31  tovel         31/6/O/3/17                               1                                         0
  32  tovel         30/2/M/5/13                               two                                       0
  33  tovel         30/6/Q/6/4                                0                                         0
  34  tovel         31/2/C/6/13                               31/2/C/6/13                               0
  35  tovel         29/3/C/3/13                               od                                        0
  36  tovel         29/4/V/6/6                                g                                         0
  37  tovel         28/2/I/4/13                               qvou                                      0
  38  tovel         28/3/F/5/7                                0                                         0
  39  tovel         30/5/F/5/12                               1                                         0
  40  tovel         31/4/N/5/13                               31/5/N/4/13                               0
  41  tovel         29/0/H/5/9                                rksfh                                     0
  42  tovel         31/2/O/5/15                               yes                                       0
  43  tovel         31/6/G/3/16                               1                                         0
  44  tovel         28/5/D/2/11                               70                                        0
  45  tovel         30/1/Z/4/9                                0                                         0
  46  tovel         29/5/P/2/19                               91/2/P/5/92                               0
  47  tovel         29/4/I/6/11                               a                                         0
  48  tovel         30/1/G/5/14                               41/5/G/1/03                               0
  49  tovel         29/3/A/4/13                               2                                         0
  50  tovel         30/3/L/6/6                                6/6/L/3/03                                0
  51  tovel         30/1/C/5/14                               30/1/C/5/14                               0
  52  tovel         31/3/Y/5/13                               31/5/Y/3/13                               0
  53  tovel         29/0/Z/5/10                               1                                         0
  54  tovel         30/2/X/4/13                               27                                        0
  55  tovel         31/3/Z/5/14                               6                                         0
  56  tovel         30/5/F/3/11                               0                                         0
  57  tovel         28/6/H/3/4                                28/6/H/3/4                                0
  58  tovel         31/0/U/6/3                                0                                         0
  59  tovel         29/2/Q/3/20                               0                                         0
  60  tovel         29/2/O/6/6                                the                                       0
  61  tovel         29/2/N/3/14                               0                                         0
  62  tovel         29/6/H/2/23                               1                                         0
  63  tovel         31/2/T/3/22                               31/2/T/3/22                               0
  64  tovel         28/5/S/2/18                               81/2/S/5/82                               0
  65  tovel         31/2/M/6/7                                31/2/M/6/7                                0
  66  tovel         30/4/H/6/6                                a                                         0
  67  tovel         28/1/W/4/9                                1                                         0
  68  tovel         31/6/B/6/3                                31/6/B/6/3                                0
  69  tovel         29/6/M/6/9                                29/6/M/6/9                                0
  70  tovel         31/6/B/2/16                               75                                        0
  71  tovel         30/6/O/2/23                               1                                         0
  72  tovel         31/6/E/2/23                               the                                       0
  73  tovel         29/5/L/2/24                               88                                        0
  74  tovel         29/1/X/2/7                                29/1/X/2/7                                0
  75  tovel         28/5/A/3/10                               26                                        0
  76  tovel         31/4/F/4/12                               31/4/F/4/12                               0
  77  tovel         30/2/K/5/7                                1                                         0
  78  tovel         30/5/D/4/17                               1                                         0
  79  tovel         29/4/A/2/13                               liqi                                      0
  80  tovel         31/2/S/5/13                               0                                         0
  81  tovel         28/4/T/2/19                               one                                       0
  82  tovel         28/6/Z/5/10                               one                                       0
  83  tovel         29/0/A/3/17                               two                                       0
  84  tovel         30/2/Y/5/7                                0                                         0
  85  tovel         29/6/Y/4/16                               cat                                       0
  86  tovel         30/6/N/6/4                                no                                        0
  87  tovel         29/3/N/6/7                                7/6/N/3/92                                0
  88  tovel         30/2/X/6/8                                86                                        0
  89  tovel         30/4/K/2/19                               40                                        0
  90  tovel         31/0/Z/2/24                               42/2/Z/0/13                               0
  91  tovel         31/4/J/2/13                               31/4/J/2/13                               0
  92  tovel         30/0/A/4/15                               sixql                                     0
  93  tovel         30/5/R/4/17                               0                                         0
  94  tovel         31/1/J/3/16                               s                                         0
  95  tovel         28/0/O/2/15                               w                                         0
  96  tovel         30/2/W/5/8                                0                                         0
  97  tovel         30/5/X/6/5                                30/5/X/6/5                                0
  98  tovel         31/1/M/2/23                               32/2/M/1/13                               0
  99  tovel         30/4/S/3/13                               31/3/S/4/03                               0
 100  tovel         30/2/E/4/13                               0                                         0
 101  tovel         31/2/D/6/13                               1                                         0
 102  tovel         28/5/Q/6/10                               two                                       0
 103  tovel         29/3/D/5/7                                29/3/D/5/7                                0
 104  tovel         30/1/Z/5/9                                one                                       0
 105  tovel         29/0/C/3/16                               61/3/C/0/92                               0
 106  tovel         31/2/A/5/7                                1                                         0
 107  tovel         31/3/O/4/13                               1                                         0
 108  tovel         28/2/Q/6/6                                6/6/Q/2/82                                0
 109  tovel         30/2/U/5/8                                87                                        0
 110  tovel         30/6/H/6/9                                a                                         0
 111  tovel         30/4/H/6/11                               11/6/H/4/03                               0
 112  tovel         30/6/N/5/11                               two                                       0
 113  tovel         29/4/P/4/18                               red                                       0
 114  tovel         31/0/W/5/10                               42                                        0
 115  tovel         30/2/B/4/15                               51/4/B/2/03                               0
 116  tovel         31/2/H/4/15                               51/4/H/2/13                               0
 117  tovel         28/1/N/6/2                                1                                         0
 118  tovel         28/1/S/3/14                               no                                        0
 119  tovel         31/2/A/6/7                                1                                         0
 120  tovel         28/5/S/5/10                               01/5/S/5/82                               0
 121  tovel         31/0/A/2/9                                no                                        0
 122  tovel         29/1/V/2/15                               48                                        0
 123  tovel         29/1/O/3/14                               58                                        0
 124  tovel         28/5/T/6/10                               1                                         0
 125  tovel         31/6/U/2/18                               yes                                       0
 126  tovel         29/4/Z/3/18                               1                                         0
 127  tovel         30/2/Q/3/14                               the                                       0
 128  tovel         28/0/B/6/3                                ehliv                                     0
 129  tovel         30/3/D/2/19                               52                                        0
 130  tovel         30/5/Y/3/17                               71/3/Y/5/03                               0
 131  tovel         29/4/O/5/13                               a                                         0
 132  tovel         30/6/S/2/17                               30/6/S/2/17                               0
 133  tovel         28/5/V/5/10                               28/5/V/5/10                               0
 134  tovel         31/3/E/4/19                               1                                         0
 135  tovel         29/1/P/6/7                                o                                         0
 136  tovel         29/5/S/3/10                               29/5/S/3/10                               0
 137  tovel         30/2/O/2/22                               zendo                                     0
 138  tovel         29/2/S/2/13                               the                                       0
 139  tovel         28/4/K/6/6                                1                                         0
 140  tovel         29/5/B/4/17                               0                                         0
 141  tovel         29/0/X/2/22                               0                                         0
 142  tovel         31/1/W/3/21                               1                                         0
 143  tovel         28/3/Q/3/14                               41/3/Q/3/82                               0
 144  tovel         30/0/H/3/15                               zmk                                       0
 145  tovel         31/3/M/6/7                                1                                         0
 146  tovel         30/2/P/3/14                               0                                         0
 147  tovel         31/6/T/3/16                               the                                       0
 148  tovel         29/6/D/4/11                               1                                         0
 149  tovel         30/4/O/6/11                               30/4/O/6/11                               0
 150  tovel         28/3/Q/2/14                               fcdtf                                     0
 151  tovel         29/2/M/5/8                                8/5/M/2/92                                0
