Centaur Zendo round 6 (training)
round_id : 602e45b20c614ec6962bbfbdaea15318
written  : 2026-09-04 18:39:12Z
presented=751  answered=28  correct=16  skipped=724
client answer latency: mean 0.094 ms  median 0.088 ms  max 1.266 ms  (n=752)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tovel         31/0/K/3/15                               None                                      0
   1  tovel         30/5/O/3/17                               None                                      0
   2  tovel         30/6/M/2/16                               None                                      0
   3  tovel         31/4/Q/3/19                               None                                      0
   4  tovel         30/5/Y/3/18                               None                                      0
   5  tovel         29/3/M/5/12                               None                                      0
   6  tovel         31/2/X/2/27                               None                                      0
   7  tovel         31/0/T/3/10                               None                                      0
   8  tovel         31/0/D/3/22                               None                                      0
   9  tovel         30/3/O/4/19                               None                                      0
  10  tovel         30/3/I/2/14                               None                                      0
  11  tovel         29/4/H/3/20                               None                                      0
  12  tovel         29/1/I/4/14                               None                                      0
  13  tovel         31/6/A/3/18                                Mo  Tu  We  Th  Fr  Sa  Su\n          …  0
  14  tovel         31/5/I/5/12                               None                                      0
  15  tovel         30/3/O/6/12                               None                                      0
  16  tovel         29/0/A/6/8                                None                                      0
  17  tovel         31/2/O/3/14                               None                                      0
  18  tovel         31/0/W/3/16                               None                                      0
  19  tovel         29/6/U/2/23                               None                                      0
  20  tovel         31/5/E/5/10                               None                                      0
  21  tovel         31/4/D/3/20                               None                                      0
  22  tovel         31/6/U/5/11                               None                                      0
  23  tovel         30/0/Y/3/16                               None                                      0
  24  tovel         31/4/I/6/11                               None                                      0
  25  tovel         30/2/U/5/13                               None                                      0
  26  tovel         29/6/Z/6/9                                None                                      0
  27  tovel         30/1/U/6/2                                None                                      0
  28  tovel         29/2/N/4/13                               None                                      0
  29  tovel         30/5/D/4/17                                 M   T   W   T   F   S   S\n          …  1
  30  tovel         31/3/N/6/12                               None                                      0
  31  tovel         28/1/Y/4/14                               None                                      0
  32  tovel         30/3/F/5/13                               None                                      0
  33  tovel         31/0/Y/4/8                                None                                      0
  34  tovel         30/0/C/4/10                               None                                      0
  35  tovel         31/5/L/5/11                               None                                      0
  36  tovel         28/3/I/6/7                                None                                      0
  37  tovel         30/6/N/4/4                                None                                      0
  38  tovel         31/0/Q/4/2                                None                                      0
  39  tovel         30/1/X/2/23                               None                                      0
  40  tovel         30/4/C/3/20                               None                                      0
  41  tovel         31/5/M/4/5                                None                                      0
  42  tovel         29/4/Y/5/12                               None                                      0
  43  tovel         28/3/E/6/7                                None                                      0
  44  tovel         31/5/P/6/10                               None                                      0
  45  tovel         30/4/P/4/18                               None                                      0
  46  tovel         30/2/W/6/8                                None                                      0
  47  tovel         31/5/I/2/18                               None                                      0
  48  tovel         28/2/J/2/20                               None                                      0
  49  tovel         31/3/U/4/12                               None                                      0
  50  tovel         28/5/A/5/12                                 M   T   W   T   F   S   S\n          …  0
  51  tovel         31/2/V/5/15                               None                                      0
  52  tovel         28/4/B/3/18                               None                                      0
  53  tovel         29/6/P/6/4                                None                                      0
  54  tovel         31/2/L/3/15                               None                                      0
  55  tovel         30/1/P/5/9                                None                                      0
  56  tovel         31/4/W/6/11                               None                                      0
  57  tovel         31/4/B/6/11                               None                                      0
  58  tovel         30/6/D/4/16                               None                                      0
  59  tovel         28/1/B/5/9                                None                                      0
  60  tovel         30/4/P/4/13                               None                                      0
  61  tovel         31/3/M/3/14                               None                                      0
  62  tovel         29/6/A/4/11                               None                                      0
  63  tovel         29/0/K/4/10                               None                                      0
  64  tovel         28/3/O/3/19                               None                                      0
  65  tovel         30/1/R/3/15                               None                                      0
  66  tovel         28/1/U/3/14                               None                                      0
  67  tovel         30/3/M/4/13                               None                                      0
  68  tovel         28/6/W/3/16                                 M   T   W   T   F   S   S\n          …  1
  69  tovel         29/4/I/4/18                               None                                      0
  70  tovel         31/1/W/6/9                                None                                      0
  71  tovel         29/4/A/6/5                                None                                      0
  72  tovel         30/5/X/5/5                                None                                      0
  73  tovel         31/3/D/5/14                               None                                      0
  74  tovel         28/4/V/3/18                               None                                      0
  75  tovel         31/5/F/3/17                               None                                      0
  76  tovel         29/1/F/3/9                                None                                      0
  77  tovel         28/4/D/6/6                                  M   T   W   T   F   S   S\n          …  0
  78  tovel         30/4/Z/6/5                                None                                      0
  79  tovel         30/6/D/3/18                               None                                      0
  80  tovel         30/1/K/3/21                               None                                      0
  81  tovel         30/5/W/3/19                               None                                      0
  82  tovel         30/3/W/3/20                               None                                      0
  83  tovel         30/5/S/4/17                                 M   T   W   T   F   S   S\n          …  1
  84  tovel         31/0/Q/5/15                               None                                      0
  85  tovel         30/4/D/3/18                               None                                      0
  86  tovel         29/1/Q/5/8                                None                                      0
  87  tovel         31/1/P/2/21                               None                                      0
  88  tovel         30/1/H/4/15                               None                                      0
  89  tovel         29/0/T/6/8                                None                                      0
  90  tovel         30/4/W/6/11                               None                                      0
  91  tovel         31/2/G/6/13                               None                                      0
  92  tovel         31/6/M/6/9                                None                                      0
  93  tovel         31/1/A/2/15                               None                                      0
  94  tovel         31/4/E/5/12                               None                                      0
  95  tovel         28/5/A/6/4                                None                                      0
  96  tovel         29/3/B/3/13                               None                                      0
  97  tovel         28/3/V/4/14                               None                                      0
  98  tovel         30/0/O/4/8                                None                                      0
  99  tovel         31/4/L/5/11                               None                                      0
 100  tovel         28/6/E/3/17                               None                                      0
 101  tovel         30/5/A/5/11                               None                                      0
 102  tovel         31/5/Y/5/11                               None                                      0
