Centaur Zendo round 4 (training)
round_id : b9a1d5b16e0246c2baf87cc04114d0a1
written  : 2026-09-04 18:32:30Z
presented=885  answered=0  correct=0  skipped=886
client answer latency: mean 0.083 ms  median 0.075 ms  max 1.255 ms  (n=886)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tovel         28/2/S/5/7                                None                                      0
   1  tovel         30/4/R/2/20                               None                                      0
   2  tovel         31/4/P/5/6                                None                                      0
   3  tovel         30/1/Q/4/14                               None                                      0
   4  tovel         30/2/C/4/14                               None                                      0
   5  tovel         31/6/M/3/17                               None                                      0
   6  tovel         30/0/B/4/10                               None                                      0
   7  tovel         30/0/X/6/3                                None                                      0
   8  tovel         29/6/M/6/9                                None                                      0
   9  tovel         31/0/R/3/22                               None                                      0
  10  tovel         28/4/D/3/18                               None                                      0
  11  tovel         31/1/V/4/16                               None                                      0
  12  tovel         31/6/Q/4/16                               None                                      0
  13  tovel         31/0/W/6/10                               None                                      0
  14  tovel         30/6/J/4/4                                None                                      0
  15  tovel         29/5/P/5/10                               None                                      0
  16  tovel         30/0/W/2/17                               None                                      0
  17  tovel         30/0/J/3/17                               None                                      0
  18  tovel         30/1/E/3/16                               None                                      0
  19  tovel         31/1/C/6/8                                None                                      0
  20  tovel         30/0/Q/3/16                               None                                      0
  21  tovel         31/3/F/5/7                                None                                      0
  22  tovel         31/5/S/2/11                               None                                      0
  23  tovel         31/4/B/4/18                               None                                      0
  24  tovel         29/6/Y/5/11                               None                                      0
  25  tovel         31/5/W/5/10                               None                                      0
  26  tovel         30/4/L/3/20                               None                                      0
  27  tovel         31/5/O/2/18                               None                                      0
  28  tovel         30/6/F/3/10                               None                                      0
  29  tovel         29/0/O/4/9                                None                                      0
  30  tovel         28/0/H/6/8                                None                                      0
  31  tovel         29/6/U/6/9                                None                                      0
  32  tovel         29/1/S/4/8                                None                                      0
  33  tovel         28/4/A/5/11                               None                                      0
  34  tovel         30/5/M/5/11                               None                                      0
  35  tovel         30/5/N/5/12                               None                                      0
  36  tovel         28/3/X/3/14                               None                                      0
  37  tovel         30/6/L/2/18                               None                                      0
  38  tovel         31/6/U/2/18                               None                                      0
  39  tovel         31/6/P/2/10                               None                                      0
  40  tovel         28/6/M/3/17                               None                                      0
  41  tovel         30/4/A/6/6                                None                                      0
  42  tovel         31/5/B/6/10                               None                                      0
  43  tovel         31/4/W/6/11                               None                                      0
  44  tovel         31/1/L/4/16                               None                                      0
  45  tovel         31/1/R/5/14                               None                                      0
  46  tovel         30/4/W/3/13                               None                                      0
  47  tovel         30/4/W/2/25                               None                                      0
  48  tovel         30/2/K/6/7                                None                                      0
  49  tovel         28/5/B/5/10                               None                                      0
  50  tovel         30/6/U/2/9                                None                                      0
  51  tovel         29/2/M/4/15                               None                                      0
  52  tovel         30/6/K/3/17                               None                                      0
  53  tovel         31/1/D/3/15                               None                                      0
  54  tovel         31/6/D/2/23                               None                                      0
  55  tovel         31/0/U/2/22                               None                                      0
  56  tovel         31/6/W/2/18                               None                                      0
  57  tovel         29/2/P/4/15                               None                                      0
  58  tovel         30/6/P/5/10                               None                                      0
  59  tovel         31/3/U/3/13                               None                                      0
  60  tovel         30/1/W/6/7                                None                                      0
  61  tovel         30/4/N/5/13                               None                                      0
  62  tovel         28/1/J/6/7                                None                                      0
  63  tovel         30/3/E/6/7                                None                                      0
  64  tovel         31/2/L/6/13                               None                                      0
  65  tovel         28/4/G/4/12                               None                                      0
  66  tovel         28/2/O/6/6                                None                                      0
  67  tovel         28/0/L/2/10                               None                                      0
  68  tovel         30/6/A/5/11                               None                                      0
  69  tovel         28/6/W/6/9                                None                                      0
  70  tovel         29/1/Z/6/7                                None                                      0
  71  tovel         28/3/L/2/13                               None                                      0
  72  tovel         31/0/C/6/8                                None                                      0
  73  tovel         31/3/M/3/19                               None                                      0
  74  tovel         31/5/I/6/10                               None                                      0
  75  tovel         30/0/W/4/9                                None                                      0
  76  tovel         31/1/G/2/16                               None                                      0
  77  tovel         31/3/N/4/19                               None                                      0
  78  tovel         31/6/B/2/23                               None                                      0
  79  tovel         30/0/K/4/9                                None                                      0
  80  tovel         29/5/I/4/5                                None                                      0
  81  tovel         30/2/M/5/13                               None                                      0
  82  tovel         28/3/S/2/20                               None                                      0
  83  tovel         31/1/D/5/14                               None                                      0
  84  tovel         29/0/S/5/8                                None                                      0
  85  tovel         30/1/J/2/16                               None                                      0
  86  tovel         29/4/X/4/6                                None                                      0
  87  tovel         28/3/R/4/13                               None                                      0
  88  tovel         28/1/W/5/9                                None                                      0
  89  tovel         29/6/I/4/16                               None                                      0
  90  tovel         30/0/M/5/10                               None                                      0
  91  tovel         30/2/T/4/15                               None                                      0
  92  tovel         30/6/G/6/9                                None                                      0
  93  tovel         31/1/C/2/16                               None                                      0
  94  tovel         28/4/B/4/12                               None                                      0
  95  tovel         28/5/W/3/19                               None                                      0
  96  tovel         31/6/D/6/9                                None                                      0
  97  tovel         31/3/G/4/19                               None                                      0
  98  tovel         30/5/E/4/11                               None                                      0
  99  tovel         29/0/Z/3/10                               None                                      0
 100  tovel         31/5/B/3/18                               None                                      0
 101  tovel         30/3/R/4/19                               None                                      0
 102  tovel         30/3/V/5/13                               None                                      0
 103  tovel         28/1/P/4/2                                None                                      0
 104  tovel         30/0/V/2/22                               None                                      0
 105  tovel         31/2/Z/4/14                               None                                      0
 106  tovel         31/5/G/3/11                               None                                      0
 107  tovel         29/6/H/6/3                                None                                      0
 108  tovel         29/5/Z/4/12                               None                                      0
 109  tovel         29/0/A/5/10                               None                                      0
 110  tovel         31/6/F/6/9                                None                                      0
 111  tovel         28/6/Z/2/18                               None                                      0
 112  tovel         30/0/H/2/10                               None                                      0
 113  tovel         31/3/V/6/6                                None                                      0
 114  tovel         28/5/S/3/11                               None                                      0
 115  tovel         28/4/V/6/6                                None                                      0
 116  tovel         31/0/D/2/24                               None                                      0
 117  tovel         30/1/A/2/16                               None                                      0
 118  tovel         28/4/T/4/13                               None                                      0
 119  tovel         28/5/O/6/10                               None                                      0
 120  tovel         31/4/F/2/13                               None                                      0
 121  tovel         30/5/S/5/12                               None                                      0
 122  tovel         28/6/B/6/9                                None                                      0
 123  tovel         31/1/J/6/9                                None                                      0
 124  tovel         30/0/O/3/10                               None                                      0
 125  tovel         30/2/N/3/15                               None                                      0
 126  tovel         30/2/D/5/13                               None                                      0
 127  tovel         29/4/B/4/13                               None                                      0
 128  tovel         30/1/T/6/8                                None                                      0
 129  tovel         31/6/I/4/10                               None                                      0
 130  tovel         29/4/D/5/13                               None                                      0
 131  tovel         31/3/I/4/14                               None                                      0
