Centaur Zendo round 1 (training)
round_id : f5fc10ac878b47b192c7b3572b59ba86
written  : 2026-09-04 19:15:17Z
presented=840  answered=0  correct=0  skipped=841
client answer latency: mean 0.078 ms  median 0.071 ms  max 0.987 ms  (n=841)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tovel         30/4/U/5/13                               None                                      0
   1  tovel         31/3/X/4/19                               None                                      0
   2  tovel         31/4/J/2/25                               None                                      0
   3  tovel         30/0/R/2/16                               None                                      0
   4  tovel         31/2/B/3/14                               None                                      0
   5  tovel         31/4/B/3/20                               None                                      0
   6  tovel         28/0/C/5/9                                None                                      0
   7  tovel         30/1/E/5/14                               None                                      0
   8  tovel         29/6/L/2/17                               None                                      0
   9  tovel         31/2/E/4/20                               None                                      0
  10  tovel         29/3/S/2/21                               None                                      0
  11  tovel         30/3/U/1/20                               None                                      0
  12  tovel         30/4/E/2/25                               None                                      0
  13  tovel         28/4/T/5/11                               None                                      0
  14  tovel         30/5/F/5/12                               None                                      0
  15  tovel         28/3/Q/2/20                               None                                      0
  16  tovel         30/0/J/2/22                               None                                      0
  17  tovel         28/5/S/3/19                               None                                      0
  18  tovel         30/4/R/1/27                               None                                      0
  19  tovel         31/5/O/2/24                               None                                      0
  20  tovel         28/3/L/1/6                                None                                      0
  21  tovel         30/5/T/4/11                               None                                      0
  22  tovel         31/4/X/4/18                               None                                      0
  23  tovel         30/1/W/1/28                               None                                      0
  24  tovel         30/0/Q/4/15                               None                                      0
  25  tovel         31/5/F/5/10                               None                                      0
  26  tovel         31/3/N/3/19                               None                                      0
  27  tovel         30/5/T/4/17                               None                                      0
  28  tovel         30/0/M/4/15                               None                                      0
  29  tovel         31/2/X/5/15                               None                                      0
  30  tovel         31/6/I/1/25                               None                                      0
  31  tovel         29/1/T/4/9                                None                                      0
  32  tovel         28/5/O/4/17                               None                                      0
  33  tovel         30/0/L/5/10                               None                                      0
  34  tovel         30/0/B/5/9                                None                                      0
  35  tovel         28/1/I/5/7                                None                                      0
  36  tovel         28/2/X/5/8                                None                                      0
  37  tovel         28/0/A/4/15                               None                                      0
  38  tovel         28/3/F/1/26                               None                                      0
  39  tovel         30/0/W/4/9                                None                                      0
  40  tovel         28/0/C/4/10                               None                                      0
  41  tovel         30/2/P/1/13                               None                                      0
  42  tovel         30/4/G/1/25                               None                                      0
