Centaur Zendo round 4 (training)
round_id : af55750fc7c14fd796a4f0e5457914ac
written  : 2026-09-04 19:36:19Z
presented=778  answered=0  correct=0  skipped=779
client answer latency: mean 0.091 ms  median 0.085 ms  max 1.164 ms  (n=779)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tovel         31/5/E/5/12                               None                                      0
   1  tovel         31/5/C/2/24                               None                                      0
   2  tovel         31/5/U/1/26                               None                                      0
   3  tovel         30/0/M/1/23                               None                                      0
   4  tovel         30/2/A/3/13                               None                                      0
   5  tovel         31/2/Q/2/27                               None                                      0
   6  tovel         30/6/L/4/11                               None                                      0
   7  tovel         29/2/I/1/15                               None                                      0
   8  tovel         28/5/Q/1/19                               None                                      0
   9  tovel         29/2/J/2/21                               None                                      0
  10  tovel         30/1/J/4/16                               None                                      0
  11  tovel         28/0/R/5/10                               None                                      0
  12  tovel         31/6/H/5/11                               None                                      0
  13  tovel         31/6/C/1/17                               None                                      0
  14  tovel         30/5/K/2/24                               None                                      0
  15  tovel         31/2/W/3/21                               None                                      0
  16  tovel         30/3/L/4/14                               None                                      0
  17  tovel         28/0/O/3/17                               None                                      0
  18  tovel         29/6/E/1/16                               None                                      0
  19  tovel         29/5/Y/5/11                               None                                      0
  20  tovel         31/6/S/1/16                               None                                      0
  21  tovel         28/6/F/5/10                               None                                      0
  22  tovel         28/4/B/5/11                               None                                      0
  23  tovel         30/5/T/2/11                               None                                      0
  24  tovel         31/6/C/5/11                               None                                      0
  25  tovel         29/0/U/4/15                               None                                      0
  26  tovel         30/3/J/3/19                               None                                      0
  27  tovel         31/1/A/4/15                               None                                      0
  28  tovel         30/1/X/5/9                                None                                      0
  29  tovel         28/1/Y/1/8                                None                                      0
  30  tovel         31/6/U/1/23                               None                                      0
  31  tovel         30/4/K/5/13                               None                                      0
  32  tovel         28/2/W/4/13                               None                                      0
  33  tovel         30/0/P/4/9                                None                                      0
  34  tovel         30/0/D/3/17                               None                                      0
  35  tovel         29/0/O/3/17                               None                                      0
  36  tovel         30/3/V/5/13                               None                                      0
  37  tovel         28/1/E/1/7                                None                                      0
  38  tovel         30/2/L/3/15                               None                                      0
  39  tovel         31/4/G/1/27                               None                                      0
  40  tovel         30/4/T/1/5                                None                                      0
  41  tovel         28/0/W/3/16                               None                                      0
  42  tovel         29/1/W/3/14                               None                                      0
  43  tovel         30/4/X/1/26                               None                                      0
  44  tovel         30/4/P/1/25                               None                                      0
  45  tovel         31/0/J/1/22                               None                                      0
  46  tovel         28/0/L/5/10                               None                                      0
  47  tovel         31/4/M/5/12                               None                                      0
  48  tovel         30/0/M/4/15                               None                                      0
  49  tovel         30/4/Q/5/13                               None                                      0
  50  tovel         28/5/O/5/12                               None                                      0
  51  tovel         29/1/T/2/16                               None                                      0
  52  tovel         30/0/K/5/10                               None                                      0
  53  tovel         28/4/W/5/11                               None                                      0
  54  tovel         31/4/D/5/13                               None                                      0
  55  tovel         31/1/G/1/23                               None                                      0
  56  tovel         30/5/E/4/12                               None                                      0
  57  tovel         29/1/T/2/16                               None                                      0
  58  tovel         30/0/K/4/15                               None                                      0
  59  tovel         28/6/T/3/11                               None                                      0
  60  tovel         30/5/S/3/18                               None                                      0
  61  tovel         30/6/N/1/25                               None                                      0
  62  tovel         30/3/T/3/21                               None                                      0
  63  tovel         30/0/Z/2/22                               None                                      0
  64  tovel         31/1/B/5/14                               None                                      0
  65  tovel         30/3/G/5/14                               None                                      0
  66  tovel         30/3/B/3/21                               None                                      0
  67  tovel         28/3/T/2/20                               None                                      0
  68  tovel         29/4/H/1/18                               None                                      0
  69  tovel         30/0/I/2/22                               None                                      0
  70  tovel         28/6/Q/2/23                               None                                      0
  71  tovel         31/4/U/2/20                               None                                      0
  72  tovel         29/6/O/5/11                               None                                      0
  73  tovel         28/2/A/4/13                               None                                      0
  74  tovel         31/5/R/5/11                               None                                      0
  75  tovel         28/6/Z/3/18                               None                                      0
  76  tovel         30/6/V/5/11                               None                                      0
  77  tovel         31/6/D/4/16                               None                                      0
  78  tovel         28/1/E/5/9                                None                                      0
  79  tovel         29/1/Z/3/16                               None                                      0
  80  tovel         29/1/E/5/9                                None                                      0
  81  tovel         30/5/U/5/11                               None                                      0
  82  tovel         29/0/M/4/9                                None                                      0
  83  tovel         31/4/H/5/11                               None                                      0
  84  tovel         28/4/M/1/25                               None                                      0
  85  tovel         28/0/P/5/8                                None                                      0
  86  tovel         31/1/M/4/16                               None                                      0
  87  tovel         28/6/N/5/11                               None                                      0
  88  tovel         30/3/C/3/21                               None                                      0
  89  tovel         30/1/F/4/15                               None                                      0
  90  tovel         31/0/C/2/22                               None                                      0
  91  tovel         30/6/H/2/23                               None                                      0
  92  tovel         29/3/G/2/21                               None                                      0
  93  tovel         31/6/L/3/18                               None                                      0
  94  tovel         28/4/B/3/18                               None                                      0
  95  tovel         31/4/T/5/13                               None                                      0
  96  tovel         30/3/L/4/13                               None                                      0
  97  tovel         31/0/K/4/15                               None                                      0
  98  tovel         30/1/C/1/28                               None                                      0
  99  tovel         31/1/M/5/9                                None                                      0
 100  tovel         28/1/W/3/16                               None                                      0
 101  tovel         29/4/B/3/19                               None                                      0
 102  tovel         29/0/U/1/3                                None                                      0
 103  tovel         31/0/J/5/10                               None                                      0
 104  tovel         28/6/S/3/18                               None                                      0
 105  tovel         31/1/M/2/22                               None                                      0
 106  tovel         31/5/P/5/11                               None                                      0
 107  tovel         29/5/F/2/19                               None                                      0
 108  tovel         30/2/E/1/28                               None                                      0
 109  tovel         31/5/U/5/11                               None                                      0
 110  tovel         29/6/V/5/10                               None                                      0
 111  tovel         30/3/R/1/26                               None                                      0
 112  tovel         30/3/N/4/19                               None                                      0
 113  tovel         29/2/Z/4/15                               None                                      0
 114  tovel         29/6/N/4/16                               None                                      0
 115  tovel         31/0/L/5/15                               None                                      0
 116  tovel         30/1/E/5/14                               None                                      0
 117  tovel         30/0/M/1/16                               None                                      0
 118  tovel         31/4/C/5/13                               None                                      0
 119  tovel         28/1/S/1/9                                None                                      0
 120  tovel         28/0/R/5/10                               None                                      0
 121  tovel         30/0/W/5/10                               None                                      0
 122  tovel         31/0/Q/1/17                               None                                      0
 123  tovel         30/5/S/4/17                               None                                      0
 124  tovel         30/4/R/4/18                               None                                      0
 125  tovel         28/1/S/1/8                                None                                      0
 126  tovel         31/3/S/5/14                               None                                      0
 127  tovel         30/2/F/4/14                               None                                      0
 128  tovel         29/2/I/3/20                               None                                      0
 129  tovel         30/3/R/5/14                               None                                      0
 130  tovel         29/0/R/1/15                               None                                      0
 131  tovel         30/5/B/3/19                               None                                      0
 132  tovel         31/3/V/4/14                               None                                      0
