Centaur Zendo round 4 (training)
round_id : c2eee4ac805144a8aa794031acdfd1d8
written  : 2026-09-04 12:18:58Z
presented=487  answered=487  correct=276  skipped=0
client answer latency: mean 0.130 ms  median 0.122 ms  max 1.079 ms  (n=487)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  velk          HXDP|4                                    H X D P\n|  \  |\nH D X P\n \  | |\nD H…  1
   1  velk          PEGZFT|4                                  P E G Z F T\n| |  \  | |\nP E Z G F T\n…  1
   2  velk          OVLU|5                                    O V L U\n|  \  |\nO L V U\n \  | |\nL O…  0
   3  velk          PSVB|3                                    P S V B\n|  \  |\nP V S B\n \  | |\nV P…  0
   4  velk          TBZOLX|5                                  T B Z O L X\n| | |  \  |\nT B Z L O X\n…  0
   5  velk          JOZAT|4                                   J O Z A T\n \  | | |\nO J Z A T\n| |  \…  0
   6  velk          HDFW|2                                    H D F W\n|  \  |\nH F D W\n \  | |\nF H…  1
   7  velk          JXNW|2                                    J X N W\n|  \  |\nJ N X W\n \  | |\nN J…  1
   8  velk          POFYU|3                                   P O F Y U\n| |  \  |\nP O Y F U\n|  \  …  1
   9  velk          OBIPK|4                                   O B I P K\n|  \  | |\nO I B P K\n \  | …  1
  10  velk          SXWMO|6                                   S X W M O\n| |  \  |\nS X M W O\n|  \  …  0
  11  velk          PQLA|6                                    P Q L A\n|  \  |\nP L Q A\n \  | |\nL P…  0
  12  velk          TEBZ|6                                    T E B Z\n|  \  |\nT B E Z\n \  | |\nB T…  1
  13  velk          VMYG|6                                    V M Y G\n \  | |\nM V Y G\n| |  \\nM V …  1
  14  velk          ZPBGS|2                                   Z P B G S\n| |  \  |\nZ P G B S\n|  \  …  1
  15  velk          XJHB|3                                    X J H B\n|  \  |\nX H J B\n \  | |\nH X…  1
  16  velk          LMKSH|4                                   L M K S H\n| |  \  |\nL M S K H\n|  \  …  1
  17  velk          YEWM|6                                    Y E W M\n|  \  |\nY W E M\n \  | |\nW Y…  1
  18  velk          JIXRWK|5                                  J I X R W K\n| | |  \  |\nJ I X W R K\n…  0
  19  velk          PAQV|5                                    P A Q V\n|  \  |\nP Q A V\n \  | |\nQ P…  0
  20  velk          TPDM|4                                    T P D M\n|  \  |\nT D P M\n \  | |\nD T…  1
  21  velk          EGKM|6                                    E G K M\n \  | |\nG E K M\n| |  \\nG E …  1
  22  velk          CBNKZV|4                                  C B N K Z V\n| | |  \  |\nC B N Z K V\n…  0
  23  velk          EFLOPA|4                                  E F L O P A\n| | |  \  |\nE F L P O A\n…  1
  24  velk          LNOI|6                                    L N O I\n|  \  |\nL O N I\n \  | |\nO L…  1
  25  velk          MJIGV|6                                   M J I G V\n|  \  | |\nM I J G V\n \  | …  1
  26  velk          WUCID|3                                   W U C I D\n| |  \  |\nW U I C D\n|  \  …  0
  27  velk          YBXTJ|2                                   Y B X T J\n| |  \  |\nY B T X J\n|  \  …  1
  28  velk          HIOAK|5                                   H I O A K\n| |  \  |\nH I A O K\n|  \  …  0
  29  velk          ABCZMX|4                                  A B C Z M X\n \  | | | |\nB A C Z M X\n…  0
  30  velk          DNFM|5                                    D N F M\n|  \  |\nD F N M\n \  | |\nF D…  0
  31  velk          DVOW|5                                    D V O W\n|  \  |\nD O V W\n \  | |\nO D…  1
  32  velk          PMHG|2                                    P M H G\n|  \  |\nP H M G\n \  | |\nH P…  1
  33  velk          NVFZGB|5                                  N V F Z G B\n| |  \  | |\nN V Z F G B\n…  1
  34  velk          UHWO|4                                    U H W O\n|  \  |\nU W H O\n \  | |\nW U…  0
