Centaur Zendo round 1 (training)
round_id : 1ccf8d5ca4b94f8b98842d68228b4e47
written  : 2026-09-04 12:49:45Z
presented=1036  answered=0  correct=0  skipped=1036
client answer latency: mean 0.063 ms  median 0.056 ms  max 1.138 ms  (n=1036)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  virel         46622/2                                   None                                      0
   1  virel         4256/3                                    None                                      0
   2  virel         5566/5                                    None                                      0
   3  virel         455/2                                     None                                      0
   4  virel         352532/1                                  None                                      0
   5  virel         354363/6                                  None                                      0
   6  virel         644/3                                     None                                      0
   7  virel         65243/1                                   None                                      0
   8  virel         265/2                                     None                                      0
   9  virel         264422/5                                  None                                      0
  10  virel         2334/1                                    None                                      0
  11  virel         243525/7                                  None                                      0
  12  virel         5552/5                                    None                                      0
  13  virel         4326/2                                    None                                      0
  14  virel         5642/3                                    None                                      0
  15  virel         65455/5                                   None                                      0
  16  virel         6252/3                                    None                                      0
  17  virel         336226/3                                  None                                      0
  18  virel         6442/3                                    None                                      0
  19  virel         53536/3                                   None                                      0
  20  virel         24563/5                                   None                                      0
  21  virel         254355/7                                  None                                      0
  22  virel         64453/7                                   None                                      0
  23  virel         25663/4                                   None                                      0
  24  virel         64245/7                                   None                                      0
  25  virel         46426/4                                   None                                      0
  26  virel         22433/4                                   None                                      0
  27  virel         2635/1                                    None                                      0
  28  virel         563/1                                     None                                      0
  29  virel         625254/4                                  None                                      0
  30  virel         333324/2                                  None                                      0
  31  virel         532452/6                                  None                                      0
  32  virel         46522/7                                   None                                      0
  33  virel         4332/3                                    None                                      0
  34  virel         545322/6                                  None                                      0
  35  virel         526325/1                                  None                                      0
  36  virel         23535/5                                   None                                      0
  37  virel         353432/4                                  None                                      0
  38  virel         553/4                                     None                                      0
  39  virel         5332/3                                    None                                      0
  40  virel         553524/9                                  None                                      0
  41  virel         36632/6                                   None                                      0
  42  virel         2466/3                                    None                                      0
  43  virel         3465/2                                    None                                      0
  44  virel         534/1                                     None                                      0
  45  virel         32543/4                                   None                                      0
  46  virel         55466/1                                   None                                      0
  47  virel         56632/2                                   None                                      0
  48  virel         6334/2                                    None                                      0
  49  virel         365/5                                     None                                      0
  50  virel         266462/4                                  None                                      0
  51  virel         2365/2                                    None                                      0
  52  virel         5424/2                                    None                                      0
  53  virel         4326/3                                    None                                      0
  54  virel         4534/5                                    None                                      0
  55  virel         2654/6                                    None                                      0
  56  virel         2446/6                                    None                                      0
  57  virel         5256/1                                    None                                      0
  58  virel         446/1                                     None                                      0
  59  virel         6566/2                                    None                                      0
  60  virel         34233/2                                   None                                      0
  61  virel         35335/1                                   None                                      0
  62  virel         43624/7                                   None                                      0
  63  virel         4533/4                                    None                                      0
  64  virel         5335/1                                    None                                      0
  65  virel         65432/1                                   None                                      0
  66  virel         262646/7                                  None                                      0
  67  virel         46422/2                                   None                                      0
  68  virel         364334/4                                  None                                      0
  69  virel         4465/6                                    None                                      0
  70  virel         56444/3                                   None                                      0
  71  virel         25266/3                                   None                                      0
  72  virel         26356/2                                   None                                      0
  73  virel         54256/8                                   None                                      0
  74  virel         346525/9                                  None                                      0
  75  virel         5322/4                                    None                                      0
  76  virel         24235/1                                   None                                      0
  77  virel         4626/4                                    None                                      0
  78  virel         43536/8                                   None                                      0
  79  virel         3465/1                                    None                                      0
  80  virel         523556/10                                 None                                      0
  81  virel         42324/2                                   None                                      0
  82  virel         364/4                                     None                                      0
  83  virel         354/4                                     None                                      0
  84  virel         252664/9                                  None                                      0
  85  virel         26426/7                                   None                                      0
  86  virel         25644/8                                   None                                      0
  87  virel         66242/6                                   None                                      0
  88  virel         433432/3                                  None                                      0
  89  virel         3462/2                                    None                                      0
  90  virel         22654/3                                   None                                      0
  91  virel         35466/5                                   None                                      0
  92  virel         426/2                                     None                                      0
  93  virel         42626/4                                   None                                      0
  94  virel         65536/2                                   None                                      0
  95  virel         4225/3                                    None                                      0
  96  virel         644/4                                     None                                      0
  97  virel         325232/4                                  None                                      0
  98  virel         233554/2                                  None                                      0
  99  virel         56423/5                                   None                                      0
 100  virel         445524/2                                  None                                      0
 101  virel         2654/3                                    None                                      0
 102  virel         5463/4                                    None                                      0
 103  virel         5346/1                                    None                                      0
 104  virel         454/1                                     None                                      0
 105  virel         356243/6                                  None                                      0
 106  virel         56222/1                                   None                                      0
