Centaur Zendo round 2 (training)
round_id : fb7d65731621488d9960085d79c0ba8d
written  : 2026-09-04 12:53:43Z
presented=464  answered=464  correct=29  skipped=0
client answer latency: mean 0.150 ms  median 0.132 ms  max 1.126 ms  (n=464)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  virel         65363/8                                   [---][][--][--][-][---]\n[--][----][---…  0
   1  virel         3625/4                                    [---][--][][---]\n[----][---][---]\n[][…  0
   2  virel         5666/1                                    [][----][-][---][-][--]\n[----][----][-…  0
   3  virel         64266/3                                   [-][][---][-][----][---]\n[-][--][----]…  0
   4  virel         244655/2                                  [--][-][----][][---][----]\n[][--][--][…  0
   5  virel         4465/5                                    [----][][][---][--]\n[--][----][---][--…  0
   6  virel         543253/8                                  [----][-][--][][-][--]\n[][---][-][--][…  0
   7  virel         644523/5                                  [----][][----][][-][---]\n[][---][-][--…  0
   8  virel         65433/1                                   [--][-][---][-][----]\n[-][----][----][…  0
   9  virel         626254/9                                  [-][----][-][--][----][-]\n[--][-][----…  0
  10  virel         564/3                                     [--][---][----]\n[][-][--][----]\n[-][]…  0
  11  virel         2666/8                                    [--][--][][---][---]\n[-][-][][-][--][-…  0
  12  virel         4253/2                                    [----][--][--]\n[----][-][---]\n[---][-…  0
  13  virel         65355/1                                   [----][---][-][---][---]\n[---][][--][-…  0
  14  virel         436424/1                                  [----][-][---][-][----]\n[-][----][----…  0
  15  virel         662234/2                                  [---][-][-][--][---][-]\n[][-][][-][---…  0
  16  virel         3664/5                                    [][----][---][----]\n[---][-][][][-][--…  0
  17  virel         532643/7                                  [--][--][---][----][--]\n[----][---][--…  0
  18  virel         6263/2                                    [][][---][---][-]\n[---][---][-][--]\n[…  0
  19  virel         56536/2                                   [--][---][--][---][---][]\n[----][][][-…  0
  20  virel         32263/2                                   [--][----][----]\n[-][][][----][-]        0
  21  virel         653/3                                     [-][--][][---]\n[][-][-][----]\n[----][…  0
  22  virel         5536/6                                    [][][--][----][---]\n[---][----][--][--…  0
  23  virel         3535/5                                    [---][][---][--]\n[-][---][-][---]\n[][…  0
  24  virel         253264/5                                  [-][--][-][----][----]\n[----][---][][-…  0
  25  virel         25366/2                                   [-][-][--][--][---][-]\n[---][][][----]…  0
  26  virel         2353/3                                    [-][---][---]\n[--][-][----]\n[---][--]…  0
  27  virel         525/4                                     [-][---][--]\n[-][----][-]\n[----][----…  0
  28  virel         4654/6                                    [----][][][--][---]\n[-][-][-][--][----…  0
  29  virel         624/2                                     [----][][--]\n[-][--][---]\n[][-][-][--…  0
  30  virel         5662/7                                    [---][--][][][----]\n[--][--][---][----…  0
  31  virel         2635/4                                    [----][-][-][--]\n[--][----][----]\n[--…  0
  32  virel         256236/10                                 [][-][--][---][--][----]\n[--][--][][--…  0
  33  virel         523444/5                                  [--][][-][][][----][-]\n[---][---][-][]…  0
  34  virel         52645/5                                   [--][---][][---][----]\n[][----][----][…  0
  35  virel         626/2                                     [][-][-][----]\n[--][--][----]\n[][-][-…  1
  36  virel         66325/1                                   [][----][----][----][]\n[----][----][-]…  0
  37  virel         536/4                                     [][][][---][-]\n[--][][---][-]\n[---][-…  0
  38  virel         46453/2                                   [--][][----][-][][---]\n[----][----][--…  0
  39  virel         356/2                                     [][-][-][----]\n[--][-][---][]\n[][----…  1
  40  virel         25653/3                                   [----][-][--][----][]\n[][-][----][---]…  0
  41  virel         3563/5                                    [---][----][----]\n[--][--][-][----]\n[…  0
  42  virel         6333/1                                    [-][--][---][-]\n[-][---][][---]\n[-][-…  0
  43  virel         34264/3                                   [----][---][-][---]\n[---][----][--][--…  0
  44  virel         4626/3                                    [---][--][----][-]\n[----][-][---][--]\…  0
  45  virel         55255/5                                   [---][---][][---][---]\n[---][--][-][][…  0
  46  virel         3334/4                                    [][--][][---]\n[---][---][-]\n[-][----]…  0
  47  virel         436442/9                                  [][][][----][---][----]\n[--][---][][-]…  0
  48  virel         443366/5                                  [----][---][----][][][---]\n[----][----…  0
  49  virel         6225/1                                    [---][--][----]\n[----][][][---]          0
  50  virel         44322/2                                   [][--][--][---]\n[][--][----][-]\n[--][…  0
  51  virel         6224/2                                    [---][--][---]\n[----][-][---]\n[---][-…  0
  52  virel         553532/9                                  [----][----][][----][-]\n[---][---][-][…  0
  53  virel         44553/4                                   [----][---][----][--]\n[--][---][][----…  0
  54  virel         6646/8                                    [-][--][-][---][-][--]\n[-][-][-][][][]…  0
  55  virel         6432/4                                    [-][---][][---]\n[-][----][----]\n[-][-…  0
  56  virel         2464/4                                    [----][--][----]\n[--][--][--][--]\n[-]…  1
  57  virel         42456/4                                   [---][---][-][---][-]\n[----][---][---]…  0
  58  virel         4225/1                                    [----][][---]\n[-][---][---]\n[--][-][-…  0
  59  virel         632225/4                                  [-][----][----][---]\n[-][----][-][---]…  0
  60  virel         435236/3                                  [---][---][][----][---]\n[--][----][---…  0
  61  virel         634/2                                     [----][-][--]\n[----][-][--]\n[----][--…  0
  62  virel         345244/4                                  [----][-][-][----][--]\n[--][----][---]…  0
  63  virel         66553/10                                  [--][---][--][---][][---]\n[--][--][-][…  0
  64  virel         2626/3                                    [----][--][----]\n[---][][--][---]\n[][…  0
  65  virel         652/3                                     [----][---][]\n[--][---][--]\n[--][-][-…  0
  66  virel         262234/6                                  [----][-][--][----]\n[---][--][----][--…  0
  67  virel         55333/5                                   [---][--][----][--]\n[---][--][-][-][--…  0
  68  virel         62422/4                                   [---][--][][---]\n[----][][--][][]        0
  69  virel         624464/8                                  [--][----][][-][----][---]\n[--][----][…  0
  70  virel         4525/1                                    [----][---][---]\n[-][][--][--][-]\n[-]…  0
  71  virel         65236/5                                   [][][---][--][---][--]\n[--][----][-][-…  0
  72  virel         24426/5                                   [---][-][][----][]\n[--][---][----][-]\…  0
  73  virel         356552/3                                  [--][---][---][---][-][--]\n[--][----][…  0
  74  virel         56562/1                                   [-][][][][-][--][-][---]\n[---][--][--]…  0
  75  virel         5622/1                                    [-][-][---][--]\n[][----][][---]\n[----…  0
  76  virel         364/3                                     [][-][---][-]\n[--][-][----]\n[--][-][-…  0
  77  virel         525/1                                     [---][][---]\n[][----][--]\n[-][----][-…  0
  78  virel         66463/1                                   [---][-][----][--][---][]\n[-][----][-]…  0
  79  virel         632444/5                                  [---][---][--][----][-]\n[--][][----][-…  0
  80  virel         63434/8                                   [---][---][][----][]\n[][---][--][----]…  0
  81  virel         4454/3                                    [----][--][--][-]\n[-][-][-][][----]\n[…  0
  82  virel         55663/9                                   [----][----][-][----][--]\n[---][---][]…  0
  83  virel         42646/5                                   [----][-][][---][----]\n[--][--][--][-]…  0
  84  virel         463/3                                     [][----][---]\n[--][----][-]              0
  85  virel         552/4                                     [][----][--]\n[----][----]\n[---][---][]  0
  86  virel         3653/3                                    [][--][][-][----]\n[---][][----][--]\n[…  0
  87  virel         323664/6                                  [][-][----][----][][---]\n[--][--][-][-…  0
  88  virel         3556/5                                    [--][---][--][----]\n[---][----][-][---…  0
  89  virel         524366/3                                  [--][---][][----][-][----]\n[-][][---][…  0
  90  virel         5242/3                                    [----][-][--]\n[-][----][--]\n[][---][-…  0
  91  virel         336525/8                                  [---][----][---][--][--]\n[-][---][---]…  0
