Centaur Zendo round 3 (training)
round_id : c6f0f45d1ef04d6886e8812d94afe103
written  : 2026-09-04 13:05:15Z
presented=462  answered=462  correct=462  skipped=0
client answer latency: mean 0.177 ms  median 0.167 ms  max 1.111 ms  (n=462)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  virel         55324/5                                   [-][----][---][---]\n[-][][--][----][--…  1
   1  virel         246562/1                                  [][----][---][-][][-][--]\n[-][][--][-]…  1
   2  virel         426/1                                     [----][----]\n[-][--][---]\n[----][--][…  1
   3  virel         65264/7                                   [----][---][-][][-][--]\n[][----][-][-]…  1
   4  virel         23656/9                                   [][---][][----][--][-]\n[][----][][-][]…  1
   5  virel         32325/2                                   [--][---][----]\n[---][---][---]\n[--][…  1
   6  virel         66432/4                                   [][----][--][--][---]\n[][][][--][---][…  1
   7  virel         646222/3                                  [----][-][----][][---]\n[-][-][-][][--]…  1
   8  virel         555/1                                     [--][-][--][--]\n[-][----][----]\n[---]…  1
   9  virel         4545/7                                    [-][-][---][---][]\n[][---][-][----][]\…  1
  10  virel         452364/8                                  [-][---][--][-][----][-]\n[-][--][-][--…  1
  11  virel         6463/5                                    [][----][][---][--]\n[---][][][----][--…  1
  12  virel         4454/6                                    [][][][-][--][--]\n[---][----][][--]\n[…  1
  13  virel         653432/5                                  [----][-][--][][----][]\n[----][--][---…  1
  14  virel         436325/5                                  [--][---][--][-][---][]\n[--][----][][-…  1
  15  virel         3365/3                                    [----][---][-][-]\n[-][----][---][-]\n[…  1
  16  virel         6323/1                                    [----][-][---]\n[----][][----]\n[][---]…  1
  17  virel         65654/9                                   [][--][---][---][][-][---]\n[---][----]…  1
  18  virel         3355/2                                    [----][--][----]\n[-][--][-][----]\n[-]…  1
  19  virel         636532/5                                  [---][-][--][][----][---]\n[----][-][--…  1
  20  virel         4533/2                                    [][-][-][-][--]\n[---][---][---]\n[----…  1
  21  virel         6535/4                                    [---][-][-][---][-]\n[----][--][----][-…  1
  22  virel         626/1                                     [-][----][---]\n[--][][--][--]\n[--][--…  1
  23  virel         63353/4                                   [--][----][---][---]\n[][---][---][-][-…  1
  24  virel         244254/7                                  [----][--][][][][---]\n[----][][----][-…  1
  25  virel         256/1                                     [][][--][---]\n[---][][----]\n[-][---][…  1
  26  virel         24342/4                                   [---][][---][-]\n[---][--][----]\n[][--…  1
  27  virel         562/2                                     [-][][---][-]\n[--][][--][-]\n[-][---][…  1
  28  virel         52232/1                                   [---][---][--]\n[--][---][---]\n[--][--…  1
  29  virel         53345/3                                   [-][---][--][---][-]\n[-][--][---][--][…  1
  30  virel         226466/2                                  [--][----][][--][--][----]\n[----][--][…  1
  31  virel         665232/10                                 [----][-][----][-][----]\n[--][][][-][-…  1
  32  virel         653/1                                     [----][---][-]\n[---][----][-]\n[-][-][…  1
  33  virel         633524/6                                  [----][-][----][-][---]\n[-][----][][-]…  1
  34  virel         336424/3                                  [--][-][--][----][---]\n[--][----][----…  1
  35  virel         54452/3                                   [---][-][][--][----]\n[----][----][-][-…  1
  36  virel         662/2                                     [--][---][---]\n[----][][----]\n[---][-…  1
  37  virel         524242/7                                  [--][--][][----][-]\n[----][][][][---][…  1
  38  virel         3345/2                                    [----][---][--]\n[][--][----][-]\n[][--…  1
  39  virel         354323/3                                  [---][---][-][-][--]\n[----][---][-][--…  1
  40  virel         2656/2                                    [---][----][----][]\n[][-][---][-][----…  1
  41  virel         635/2                                     [---][-][----]\n[----][-][---]\n[----][…  1
  42  virel         55432/4                                   [---][----][][----]\n[-][][----][---][-…  1
  43  virel         4652/3                                    [][----][][--][-]\n[][-][----][----]\n[…  1
  44  virel         256322/3                                  [----][--][---][---]\n[--][-][----][--]…  1
  45  virel         2425/1                                    [--][--][-][]\n[][--][---][]\n[--][-][-…  1
  46  virel         36533/3                                   [-][--][---][][----]\n[----][][][--][--…  1
  47  virel         3345/1                                    [--][---][----]\n[---][][][----]\n[----…  1
  48  virel         264/1                                     [--][--][--]\n[][---][---]\n[----][----…  1
  49  virel         534/3                                     [---][][---]\n[][][-][---]\n[--][--][--…  1
  50  virel         542233/1                                  [---][-][-][----][]\n[][----][--][-][--…  1
  51  virel         42224/2                                   [][--][----][]\n[-][----][---]\n[-][---…  1
  52  virel         462532/9                                  [-][---][][][-][][---]\n[--][--][][-][-…  1
  53  virel         334653/2                                  [-][--][---][-][--][---]\n[--][-][-][][…  1
  54  virel         44563/7                                   [---][-][---][--][---]\n[-][-][--][--][…  1
  55  virel         5423/1                                    [--][----][--]\n[---][--][---]\n[][----…  1
  56  virel         544642/1                                  [][-][----][---][--][---]\n[---][--][--…  1
  57  virel         32432/2                                   [--][--][----]\n[-][][---][--]\n[----][…  1
  58  virel         65254/6                                   [][][--][---][----][-]\n[][-][-][][][--…  1
  59  virel         536/1                                     [-][-][][----]\n[--][-][][---]\n[----][…  1
  60  virel         65432/4                                   [][----][---][---][]\n[][][-][--][][][-…  1
  61  virel         245266/1                                  [-][---][][---][][---][-]\n[--][][----]…  1
  62  virel         5262/3                                    [---][---][---]\n[--][----][---]\n[-][]…  1
  63  virel         3544/6                                    [-][--][][][---]\n[-][][---][----]\n[-]…  1
  64  virel         454/2                                     [][--][---][]\n[---][----][]\n[----][--…  1
  65  virel         23554/2                                   [----][----][-][--]\n[--][-][----][----…  1
  66  virel         533622/3                                  [-][----][-][][][---]\n[-][---][----][-…  1
  67  virel         6542/1                                    [-][--][-][-][--]\n[-][---][-][----]\n[…  1
  68  virel         25454/4                                   [-][][---][---][---]\n[----][--][][-][-…  1
  69  virel         553/4                                     [--][-][----]\n[--][----][-]\n[---][---…  1
  70  virel         4423/1                                    [--][-][----]\n[----][][---]\n[----][-]…  1
  71  virel         5234/4                                    [][---][][---]\n[][--][--][--]\n[---][-…  1
  72  virel         2354/3                                    [---][-][----]\n[][--][-][---]\n[-][---…  1
  73  virel         556/4                                     [----][----][--]\n[----][--][----]\n[--…  1
  74  virel         5462/4                                    [----][-][--][--]\n[----][][---][][]\n[…  1
  75  virel         4636/3                                    [----][----][-][--]\n[----][---][][----…  1
  76  virel         555/4                                     [-][][][--][--]\n[-][----][----]\n[-][-…  1
  77  virel         5343/2                                    [--][----][---]\n[----][---][--]\n[--][…  1
  78  virel         6525/3                                    [----][----][----]\n[][---][---][----]\…  1
  79  virel         26632/7                                   [-][---][---][----]\n[-][--][-][--][---…  1
  80  virel         665/4                                     [][----][][---][]\n[][--][----][---]\n[…  1
  81  virel         2662/6                                    [----][-][][---]\n[][--][-][---][]\n[][…  1
  82  virel         624455/5                                  [-][--][---][][-][-][----]\n[---][---][…  1
  83  virel         66523/3                                   [][][--][][-][----][-]\n[----][][----][…  1
  84  virel         43553/5                                   [----][-][--][--][-]\n[][--][-][----][-…  1
  85  virel         552633/3                                  [--][----][][-][---][--]\n[][][----][-]…  1
  86  virel         6643/4                                    [----][---][--][--]\n[--][---][----][--…  1
  87  virel         325363/6                                  [----][--][---][---][]\n[----][---][---…  1
  88  virel         443632/6                                  [----][----][][---][-]\n[][----][---][]…  1
  89  virel         46246/4                                   [-][---][--][---][---]\n[-][--][-][---]…  1
  90  virel         235525/8                                  [][---][---][-][--][-]\n[----][][---][-…  1
  91  virel         32356/1                                   [----][][--][][---]\n[-][--][--][--][--…  1
  92  virel         5356/1                                    [][][--][-][--][--]\n[----][---][----][…  1
  93  virel         3253/3                                    [][-][---][-]\n[--][---][--]\n[----][-]…  1
  94  virel         25444/7                                   [][----][---][--][]\n[---][][---][---][…  1
  95  virel         46453/3                                   [-][--][---][---][---]\n[---][][--][--]…  1
  96  virel         35356/9                                   [----][-][---][---][-]\n[----][][---][]…  1
  97  virel         4453/5                                    [-][][---][----]\n[][---][-][----]\n[--…  1
  98  virel         453/1                                     [--][---][-]\n[---][][---]\n[---][-][--…  1
  99  virel         46432/1                                   [--][][-][----][--]\n[-][---][-][---][-…  1
 100  virel         6566/9                                    [--][---][][---][-][--]\n[----][][-][--…  1
 101  virel         63562/2                                   [][----][---][-][----]\n[-][---][---][]…  1
 102  virel         553/1                                     [----][-][--]\n[-][----][--]\n[---][---…  1
 103  virel         55335/8                                   [---][-][----][---][]\n[---][---][---][…  1
 104  virel         5426/2                                    [--][-][--][----]\n[--][----][][---]\n[…  1
 105  virel         3662/6                                    [-][--][][----][]\n[---][---][---][]\n[…  1
 106  virel         35552/5                                   [--][---][---][----]\n[---][----][-][--…  1
 107  virel         653/4                                     [-][-][-][---]\n[-][][---][--]\n[][][--…  1
 108  virel         53634/5                                   [---][---][-][---][-]\n[---][--][--][--…  1
 109  virel         332362/4                                  [----][][---][----]\n[---][][----][----…  1
 110  virel         436/2                                     [----][---][]\n[--][----][-]\n[][][--][…  1
 111  virel         364/4                                     [-][---][][-]\n[---][---][-]\n[---][-][…  1
 112  virel         544253/1                                  [][--][-][-][---][----]\n[][----][----]…  1
 113  virel         52434/3                                   [-][--][----][---]\n[----][----][----]\…  1
 114  virel         3462/4                                    [][---][----][]\n[][][---][----]\n[][--…  1
 115  virel         563/1                                     [][--][--][--]\n[--][----][--]\n[----][…  1
 116  virel         53456/7                                   [--][][--][--][-][----]\n[--][---][---]…  1
