Centaur Zendo round 5 (training)
round_id : 8831b5dfc1b449798da2835e9a31a513
written  : 2026-09-04 13:08:46Z
presented=469  answered=469  correct=469  skipped=0
client answer latency: mean 0.172 ms  median 0.162 ms  max 1.189 ms  (n=470)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  virel         53533/5                                   [---][--][--][----]\n[---][--][---][---…  1
   1  virel         23662/5                                   [--][--][---][----]\n[--][-][--][----][…  1
   2  virel         5225/3                                    [][---][-][--]\n[-][----][---]\n[--][--…  1
   3  virel         3366/4                                    [---][--][----][-]\n[-][][--][--][---]\…  1
   4  virel         43334/5                                   [---][-][----][-]\n[---][---][-][--]\n[…  1
   5  virel         45222/1                                   [---][--][----]\n[----][-][----]\n[--][…  1
   6  virel         653/1                                     [-][----][---]\n[--][][----][]\n[--][-]…  1
   7  virel         6264/3                                    [--][----][-][---]\n[----][][---][---]\…  1
   8  virel         6445/2                                    [-][--][--][][----]\n[----][][--][-][--…  1
   9  virel         454/4                                     [--][-][----]\n[--][---][][]\n[-][-][--…  1
  10  virel         32234/4                                   [---][--][---]\n[---][---][--]\n[----][…  1
  11  virel         4552/6                                    [---][----][---]\n[----][---][---]\n[--…  1
  12  virel         624455/7                                  [---][--][----][---][----]\n[---][--][-…  1
  13  virel         354/4                                     [--][---][-]\n[--][-][---]\n[--][--][--…  1
  14  virel         343553/5                                  [----][-][--][][][----]\n[-][----][--][…  1
  15  virel         2645/3                                    [----][---][----]\n[----][--][---][]\n[…  1
  16  virel         663/5                                     [][-][---][---]\n[-][--][-][---]\n[--][…  1
  17  virel         56564/10                                  [----][--][--][---][][---]\n[][--][--][…  1
  18  virel         464442/7                                  [----][---][--][-][----]\n[----][----][…  1
  19  virel         6422/5                                    [--][----][--]\n[---][---][--]\n[---][]…  1
  20  virel         6624/2                                    [----][--][--][--]\n[-][-][--][-][---]\…  1
  21  virel         2364/5                                    [-][-][--][---]\n[][][-][-][---]\n[][--…  1
  22  virel         264/1                                     [--][----][]\n[-][----][-]\n[---][][---…  1
  23  virel         226626/10                                 [---][][][--][--][--][-]\n[---][][----]…  1
  24  virel         646/3                                     [--][-][---][--]\n[---][--][-][--]\n[-]…  1
  25  virel         52356/5                                   [---][----][-][][---]\n[-][--][][][-][-…  1
  26  virel         3334/4                                    [][---][----]\n[][----][---]\n[--][--][…  1
  27  virel         356/2                                     [----][][----]\n[--][---][---]\n[---][]…  1
  28  virel         45364/6                                   [----][][---][----][-]\n[--][][][----][…  1
  29  virel         2555/3                                    [--][--][----][-]\n[---][---][--][-]\n[…  1
  30  virel         2555/2                                    [--][---][--][--]\n[----][-][][----]\n[…  1
