Centaur Zendo round 6 (training)
round_id : ba057495e46f4989b2f17c289e4e0d40
written  : 2026-09-04 13:08:59Z
presented=450  answered=450  correct=450  skipped=0
client answer latency: mean 0.184 ms  median 0.174 ms  max 1.094 ms  (n=451)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  virel         6452/5                                    [][----][--][---]\n[--][--][--][---]\n[…  1
   1  virel         563/2                                     [---][][---][]\n[---][--][---]\n[----][…  1
   2  virel         2666/5                                    [---][---][---][---]\n[--][-][--][--][-…  1
   3  virel         263325/3                                  [-][][---][--][--][-]\n[----][---][][--…  1
   4  virel         5564/5                                    [----][----][---][-]\n[----][-][][-][--…  1
   5  virel         42334/5                                   [-][--][---][--]\n[-][-][-][---][]\n[--…  1
   6  virel         55562/2                                   [---][-][][--][--][---]\n[--][-][][---]…  1
   7  virel         46253/5                                   [---][--][----][---]\n[---][---][][][--…  1
   8  virel         634/4                                     [][---][-][-]\n[---][---][-]\n[---][--]…  1
   9  virel         6656/2                                    [---][][][----][--][--]\n[-][---][--][-…  1
  10  virel         23524/2                                   [--][][--][----]\n[--][---][---][]\n[--…  1
  11  virel         665/4                                     [---][----][----]\n[---][-][--][---]\n[…  1
  12  virel         443265/10                                 [----][-][-][--][--][--]\n[--][][-][][-…  1
  13  virel         635552/8                                  [-][----][---][---][][---]\n[----][---]…  1
  14  virel         26536/2                                   [-][-][][----][---][-]\n[--][----][-][-…  1
  15  virel         25224/5                                   [--][-][----][]\n[-][][][----][]\n[-][-…  1
  16  virel         535/4                                     [--][----][-]\n[--][---][--]\n[----][-]…  1
  17  virel         5425/2                                    [----][----][--]\n[-][-][--][----]\n[--…  1
  18  virel         62543/4                                   [---][----][][---][]\n[---][--][--][][-…  1
  19  virel         5455/3                                    [----][----][-][--]\n[-][--][----][----…  1
  20  virel         343346/2                                  [][-][----][-][][--][-]\n[-][][---][][-…  1
  21  virel         454252/9                                  [-][---][--][-][][---]\n[-][---][----][…  1
  22  virel         643/4                                     [---][--][--]\n[---][---][-]\n[----][--…  1
  23  virel         653/2                                     [-][---][----]\n[----][-][---]\n[-][--]…  1
  24  virel         6552/4                                    [-][---][--][-][-]\n[----][---][--][-]\…  1
  25  virel         555/4                                     [-][---][][---]\n[--][----][---]\n[--][…  1
  26  virel         634/4                                     [][---][-][-]\n[---][---][-]\n[---][--]…  1
  27  virel         6332/4                                    [---][-][----]\n[-][---][----]\n[----][…  1
  28  virel         4444/6                                    [---][---][-][-]\n[---][][----][-]\n[--…  1
  29  virel         265336/2                                  [---][--][----][----][--]\n[----][-][--…  1
  30  virel         62326/7                                   [][-][----][-][---]\n[-][---][-][-][---…  1
  31  virel         624/2                                     [][--][----]\n[---][][---]\n[][---][---…  1
  32  virel         624/1                                     [-][---][--]\n[----][----]\n[---][-][--…  1
  33  virel         242633/3                                  [----][----][--][--]\n[--][--][---][-][…  1
  34  virel         5464/7                                    [--][----][][--][-]\n[--][----][-][----…  1
  35  virel         45335/3                                   [--][--][-][---][--]\n[][--][][-][-][--…  1
  36  virel         4553/3                                    [----][--][---][]\n[---][--][-][---]\n[…  1
  37  virel         2524/2                                    [-][---][---]\n[-][][----][]\n[-][-][-]…  1
  38  virel         2526/2                                    [][-][-][--][-]\n[--][---][--][]\n[---]…  1
  39  virel         32255/4                                   [--][--][--][---]\n[----][----][---]\n[…  1
  40  virel         665232/2                                  [---][---][][---][-][--]\n[][][-][][--]…  1
