Centaur Zendo round 1 (training)
round_id : 5cdf5f6d0743409abd2f74c363a54311
written  : 2026-09-04 12:50:23Z
presented=769  answered=0  correct=0  skipped=769
client answer latency: mean 0.088 ms  median 0.084 ms  max 1.213 ms  (n=769)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  virel         4325/5                                    None                                      0
   1  virel         4244/1                                    None                                      0
   2  virel         65333/4                                   None                                      0
   3  virel         364/4                                     None                                      0
   4  virel         435/2                                     None                                      0
   5  virel         34462/2                                   None                                      0
   6  virel         56643/4                                   None                                      0
   7  virel         42462/6                                   None                                      0
   8  virel         6365/7                                    None                                      0
   9  virel         2424/2                                    None                                      0
  10  virel         3562/3                                    None                                      0
  11  virel         64643/7                                   None                                      0
  12  virel         54233/3                                   None                                      0
  13  virel         336/3                                     None                                      0
  14  virel         23524/2                                   None                                      0
  15  virel         64565/3                                   None                                      0
  16  virel         4632/2                                    None                                      0
  17  virel         65225/1                                   None                                      0
  18  virel         265264/1                                  None                                      0
  19  virel         53624/2                                   None                                      0
  20  virel         43453/3                                   None                                      0
  21  virel         525263/7                                  None                                      0
  22  virel         525/2                                     None                                      0
  23  virel         62465/1                                   None                                      0
  24  virel         54434/3                                   None                                      0
  25  virel         6552/4                                    None                                      0
  26  virel         6635/3                                    None                                      0
  27  virel         65446/7                                   None                                      0
  28  virel         6545/3                                    None                                      0
  29  virel         236546/7                                  None                                      0
  30  virel         246/1                                     None                                      0
  31  virel         4462/2                                    None                                      0
  32  virel         6626/3                                    None                                      0
  33  virel         4456/2                                    None                                      0
  34  virel         4643/5                                    None                                      0
  35  virel         664/4                                     None                                      0
  36  virel         2666/8                                    None                                      0
  37  virel         45366/3                                   None                                      0
  38  virel         562/4                                     None                                      0
  39  virel         2644/6                                    None                                      0
  40  virel         455/4                                     None                                      0
  41  virel         53552/5                                   None                                      0
  42  virel         2636/2                                    None                                      0
  43  virel         2352/1                                    None                                      0
  44  virel         634/1                                     None                                      0
  45  virel         3356/6                                    None                                      0
  46  virel         663/3                                     None                                      0
  47  virel         462/2                                     None                                      0
  48  virel         265/2                                     None                                      0
  49  virel         3256/2                                    None                                      0
  50  virel         62226/3                                   None                                      0
  51  virel         5553/3                                    None                                      0
  52  virel         566252/9                                  None                                      0
  53  virel         335643/6                                  None                                      0
  54  virel         655/3                                     None                                      0
  55  virel         524652/10                                 None                                      0
  56  virel         4456/7                                    None                                      0
  57  virel         6466/7                                    None                                      0
  58  virel         6334/3                                    None                                      0
  59  virel         35346/5                                   None                                      0
  60  virel         322334/4                                  None                                      0
  61  virel         6664/6                                    None                                      0
  62  virel         24522/1                                   None                                      0
  63  virel         6325/3                                    None                                      0
  64  virel         53434/1                                   None                                      0
  65  virel         552/3                                     None                                      0
  66  virel         6234/4                                    None                                      0
  67  virel         356/1                                     None                                      0
  68  virel         5526/2                                    None                                      0
  69  virel         6342/5                                    None                                      0
  70  virel         535/3                                     None                                      0
  71  virel         252436/5                                  None                                      0
  72  virel         6664/7                                    None                                      0
  73  virel         62533/6                                   None                                      0
  74  virel         4353/2                                    None                                      0
  75  virel         6432/1                                    None                                      0
  76  virel         523353/4                                  None                                      0
  77  virel         266/1                                     None                                      0
  78  virel         3256/4                                    None                                      0
  79  virel         6255/4                                    None                                      0
  80  virel         652/4                                     None                                      0
  81  virel         633325/9                                  None                                      0
  82  virel         43655/3                                   None                                      0
  83  virel         656/6                                     None                                      0
  84  virel         543/4                                     None                                      0
  85  virel         26364/3                                   None                                      0
  86  virel         336246/4                                  None                                      0
  87  virel         626433/7                                  None                                      0
  88  virel         5463/7                                    None                                      0
  89  virel         42464/7                                   None                                      0
  90  virel         5534/4                                    None                                      0
  91  virel         32664/4                                   None                                      0
  92  virel         625246/10                                 None                                      0
  93  virel         463326/8                                  None                                      0
  94  virel         2544/5                                    None                                      0
  95  virel         3633/5                                    None                                      0
  96  virel         64664/10                                  None                                      0
  97  virel         625/2                                     None                                      0
  98  virel         6426/5                                    None                                      0
  99  virel         442466/2                                  None                                      0
 100  virel         2464/1                                    None                                      0
 101  virel         43645/1                                   None                                      0
 102  virel         523323/5                                  None                                      0
 103  virel         424242/3                                  None                                      0
 104  virel         6655/3                                    None                                      0
 105  virel         3636/2                                    None                                      0
 106  virel         553/4                                     None                                      0
 107  virel         53363/4                                   None                                      0
 108  virel         363/3                                     None                                      0
 109  virel         44242/1                                   None                                      0
 110  virel         336/3                                     None                                      0
 111  virel         62236/2                                   None                                      0
 112  virel         264/4                                     None                                      0
 113  virel         6345/5                                    None                                      0
 114  virel         4226/5                                    None                                      0
 115  virel         546/1                                     None                                      0
 116  virel         52354/3                                   None                                      0
 117  virel         26636/6                                   None                                      0
 118  virel         324466/2                                  None                                      0
 119  virel         4365/5                                    None                                      0
 120  virel         45566/9                                   None                                      0
 121  virel         44533/3                                   None                                      0
 122  virel         463463/5                                  None                                      0
 123  virel         2246/1                                    None                                      0
 124  virel         5452/5                                    None                                      0
 125  virel         344355/10                                 None                                      0
 126  virel         552554/7                                  None                                      0
 127  virel         36656/3                                   None                                      0
 128  virel         635/4                                     None                                      0
 129  virel         5364/6                                    None                                      0
 130  virel         63643/9                                   None                                      0
 131  virel         445364/9                                  None                                      0
 132  virel         644/2                                     None                                      0
 133  virel         622336/4                                  None                                      0
 134  virel         66364/2                                   None                                      0
 135  virel         465232/6                                  None                                      0
 136  virel         4346/6                                    None                                      0
 137  virel         436/1                                     None                                      0
 138  virel         253553/8                                  None                                      0
 139  virel         2624/1                                    None                                      0
 140  virel         43335/7                                   None                                      0
 141  virel         2536/2                                    None                                      0
 142  virel         46462/9                                   None                                      0
 143  virel         322264/2                                  None                                      0
 144  virel         444/2                                     None                                      0
 145  virel         5646/3                                    None                                      0
 146  virel         536342/7                                  None                                      0
 147  virel         3333/1                                    None                                      0
 148  virel         545/4                                     None                                      0
 149  virel         5243/5                                    None                                      0
 150  virel         525532/9                                  None                                      0
 151  virel         663434/6                                  None                                      0
 152  virel         646342/3                                  None                                      0
 153  virel         3526/2                                    None                                      0
 154  virel         5656/7                                    None                                      0
 155  virel         354633/6                                  None                                      0
 156  virel         664226/7                                  None                                      0
 157  virel         4666/6                                    None                                      0
 158  virel         46463/9                                   None                                      0
 159  virel         536/2                                     None                                      0
 160  virel         255/4                                     None                                      0
 161  virel         24544/2                                   None                                      0
 162  virel         23633/2                                   None                                      0
 163  virel         3453/3                                    None                                      0
 164  virel         25242/1                                   None                                      0
