Centaur Zendo round 2 (training)
round_id : 1ae435c537684b42a3577625065f53b3
written  : 2026-09-04 12:54:48Z
presented=477  answered=477  correct=21  skipped=0
client answer latency: mean 0.123 ms  median 0.117 ms  max 1.367 ms  (n=477)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  virel         533265/3                                  [---][-][-][][----][---]                  0
   1  virel         53244/7                                   [][---][][][-][][]\n[---][-][][--][--]    0
   2  virel         366/2                                     [---][--][----]\n[][][-][][][][]\n[-][-…  0
   3  virel         24364/6                                   [-][-][-][][][----]\n[----][][--][---][…  0
   4  virel         324634/4                                  [----][----][---][---]\n[--][----][----…  0
   5  virel         4332/4                                    [-][][-][--]\n[----][--][]\n[-][-][----…  0
   6  virel         365222/3                                  [][][][][--][][][][]\n[][][][][][][][][…  0
   7  virel         45365/6                                   [][---][][---][--][---]\n[---][---][---…  0
   8  virel         5355/5                                    [--][--][][----][]\n[----][----][----]\…  0
   9  virel         4426/2                                    [---][][----][-]\n[--][-][-][----]\n[--…  0
  10  virel         36523/1                                   [][][--][][][][---]\n[][][][][--][][-][…  0
  11  virel         3345/4                                    [--][][---][--]\n[--][---][----]\n[---]…  0
  12  virel         352655/6                                  [-][---][][----][---][---]                0
  13  virel         243453/6                                  [-][----][][----][][]\n[][--][-][--][--…  0
  14  virel         4326/5                                    [----][][][-][]\n[][][][][---][]\n[--][…  0
  15  virel         426352/3                                  [][-][][--][--][---][]\n[][][-][][][--]…  0
  16  virel         246352/6                                  [][----][---][][][---]\n[----][----][--…  0
  17  virel         44344/2                                   [][][][][][][---][]\n[---][][][----][--…  0
  18  virel         4566/4                                    [----][----][-][----]\n[][---][-][][-][…  0
  19  virel         22225/3                                   [---][][----]\n[][-][][][][]\n[---][][-…  0
  20  virel         66326/1                                   [][--][-][][][----][--]\n[----][----][-…  0
  21  virel         266/4                                     [--][--][][--]\n[--][][][][][]\n[][][][…  0
  22  virel         645/3                                     [--][----][---]\n[][-][-][][-][]\n[---]…  0
  23  virel         633662/2                                  [----][---][---][--][----]\n[-][][][---…  0
  24  virel         32453/1                                   [-][][--][---][-]                         0
  25  virel         355/3                                     [--][---][--]\n[-][---][---]              0
  26  virel         44523/5                                   [---][-][--][-][-]\n[--][-][----][---]\…  0
  27  virel         24645/8                                   [----][][-][][][][][]\n[--][][][][---][…  0
  28  virel         34664/2                                   [][---][][][][][----][]\n[][][][][][][]…  0
  29  virel         255/3                                     [][----][--]\n[----][----]\n[--][-][---…  0
  30  virel         22442/4                                   [-][---][--][]\n[--][--][][--]\n[---][-…  0
  31  virel         256/2                                     [][-][][--][]\n[-][][][][--]\n[][][][--…  0
  32  virel         43522/3                                   [---][----][---]\n[----][--][----]\n[--…  0
  33  virel         23642/2                                   [---][----][----]\n[--][][---][----]\n[…  0
  34  virel         55253/2                                   [--][----][----][--]\n[][][][--][][][][…  0
  35  virel         536/3                                     [---][---][--]\n[----][-][---]\n[--][--…  0
  36  virel         2426/2                                    [][--][][----]                            0
  37  virel         45543/5                                   [-][][--][----][----]\n[--][---][---][-…  0
  38  virel         554246/8                                  [][-][-][][][----][][----]\n[-][][][-][…  0
  39  virel         36644/1                                   [][][][-][----][----][]\n[---][----][-]…  0
  40  virel         643/2                                     [----][-][--]\n[--][-][][][]\n[--][][--…  1
  41  virel         64542/6                                   [][----][][--][][---]\n[---][----][----…  0
  42  virel         343533/6                                  [-][----][][----][][]\n[---][][][][][][…  0
  43  virel         436/1                                     [--][--][---]\n[][-][][][][]\n[][][][][…  0
  44  virel         5464/4                                    [--][---][--][----]\n[---][----][--][--…  0
  45  virel         5556/7                                    [-][][][--][][----][]\n[][][--][][][][-…  0
  46  virel         345226/8                                  [][--][][--][][][--][]\n[][][---][-][][…  0
  47  virel         42524/3                                   [---][----][----]\n[---][----][----]\n[…  0
  48  virel         66535/7                                   [----][----][---][-][---]                 0
  49  virel         4646/6                                    [---][---][][][-][-]\n[--][----][--][--…  0
  50  virel         43462/2                                   [][--][][][][-][][]\n[--][--][---][----…  0
  51  virel         46626/6                                   [-][-][--][--][--][----]\n[---][-][][--…  0
  52  virel         4435/1                                    [][---][----][-]\n[----][--][----]\n[--…  0
  53  virel         522462/5                                  [----][-][--][-][---]\n[--][---][----][…  0
  54  virel         633444/1                                  [][][][][][][][][][][][]\n[][-][--][---…  0
  55  virel         5536/1                                    [][][][][--][---][]\n[][-][][][----][][…  0
  56  virel         2236/4                                    [---][-][-][]\n[--][--][---]\n[----][-]…  0
  57  virel         26254/7                                   [][----][-][][][][]\n[][][---][][][--][…  1
  58  virel         4563/5                                    [-][][---][][----]\n[----][-][---][--]\…  0
  59  virel         3445/4                                    [---][][----][-]\n[----][-][-][--]\n[--…  0
  60  virel         34542/6                                   [-][--][---][--][]                        0
  61  virel         555/5                                     [][][-][][----]\n[---][---][---]          0
  62  virel         534423/6                                  [--][][][----][--][-]\n[---][----][----…  0
  63  virel         42346/3                                   [][---][--][][][][]\n[---][-][--][][---…  0
  64  virel         2456/5                                    [---][--][-][-][]\n[----][---][----]\n[…  0
  65  virel         63645/2                                   [][][][][][---][][---][]\n[--][--][--][…  1
  66  virel         4434/2                                    [][-][][][][][]\n[----][----][-]\n[--][…  0
  67  virel         55555/3                                   [--][][---][--][----][][]\n[-][--][][][…  0
  68  virel         55226/4                                   [--][----][--][----]\n[---][][][-][--][…  0
  69  virel         265454/6                                  [--][---][----][---][--][]\n[-][---][][…  1
  70  virel         3463/4                                    [---][--][-][--]\n[--][---][---][]\n[--…  0
  71  virel         4625/6                                    [][---][][][][--]\n[-][][][][][][][]\n[…  0
  72  virel         3543/3                                    [-][---][--][-]                           0
  73  virel         225623/2                                  [--][----][--][----]\n[][][---][----][]…  0
  74  virel         45643/6                                   [-][----][][-][--][--]\n[----][----][--…  0
  75  virel         422553/3                                  [][][][][][][][---][]\n[---][][--][----…  0
  76  virel         224645/6                                  [---][----][][][----][]\n[----][-][---]…  0
  77  virel         546452/2                                  [---][----][--][----][---]\n[][][][][--…  0
  78  virel         32244/3                                   [-][----][----]\n[--][---][----]\n[---]…  0
  79  virel         42464/1                                   [--][----][--][----]\n[---][---][----][…  0
  80  virel         26325/7                                   [][][][][---][-][]\n[-][----][---][--]\…  0
  81  virel         33652/3                                   [][][-][][-][---][]\n[----][][][][--][-…  0
  82  virel         462/4                                     [----][][][]\n[-][-][----]\n[-][--][---…  0
  83  virel         6622/2                                    [----][----][--]\n[][-][][][-][][]\n[--…  0
  84  virel         6463/4                                    [----][--][----][-]                       0
  85  virel         34456/9                                   [][][][][--][--][][][]\n[-][--][--][---…  0
  86  virel         2544/2                                    [-][----][----]\n[][][---][][][]\n[][--…  0
  87  virel         423252/6                                  [---][][-][][][--]\n[][][][----][][][]\…  0
  88  virel         42654/3                                   [-][---][][][----][-]\n[----][-][----][…  0
  89  virel         265442/8                                  [-][][][---][][--][][-]\n[----][----][-…  0
  90  virel         5422/4                                    [---][-][-][]\n[--][][][-][]\n[][][][][…  0
  91  virel         5445/4                                    [--][---][----][-]\n[][][][][][][][][]\…  0
  92  virel         632623/7                                  [-][][----][][---][][]\n[][][----][-][-…  0
  93  virel         526/2                                     [--][][--][-]\n[][-][][][][]\n[][-][-][…  0
  94  virel         63442/7                                   [][][][][--][---][]\n[][----][-][][][][…  0
  95  virel         6644/6                                    [][----][][][---][-]\n[][-][][---][][][…  0
  96  virel         24554/6                                   [][--][---][---][--]                      0
  97  virel         63253/7                                   [][----][-][][][][]\n[----][-][][---][-]  0
