Centaur Zendo round 3 (training)
round_id : c09b0274e36743018bf38edd58932685
written  : 2026-09-04 13:06:51Z
presented=466  answered=466  correct=55  skipped=0
client answer latency: mean 0.129 ms  median 0.123 ms  max 0.678 ms  (n=467)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  virel         2265/1                                    [--][][][--][-]\n[-][][][][][][]\n[][][…  1
   1  virel         545/4                                     [--][----][--]\n[][-][-][-][-]\n[-][---…  0
   2  virel         5546/1                                    [][][--][-][][--][-]\n[][][][----][-][-…  0
   3  virel         624/4                                     [][-][-][--]\n[-][----][-]\n[][---][][-…  0
   4  virel         52243/3                                   [][][----][--][]\n[][][][][-][-][]\n[--…  0
   5  virel         36245/2                                   [][][][][--][][][][]\n[][][][][-][-][][…  0
   6  virel         6522/2                                    [--][][-][----]\n[][][][][-][][]\n[][][…  0
   7  virel         42542/2                                   [---][----][-][-]\n[][][][--][-][][]\n[…  0
   8  virel         2262/1                                    [][][---][-]\n[--][][][--]\n[--][][][][…  0
   9  virel         2623/1                                    [---][----][]\n[-][---][][-]\n[][-][-][…  0
  10  virel         235523/6                                  [-][][][][][][][-][]\n[][----][][][-][-…  0
  11  virel         423444/5                                  [----][][---][-][---]\n[][---][--][--][…  0
  12  virel         525/2                                     [][][--][][]\n[][--][][--]\n[][---][][-…  0
  13  virel         56222/1                                   [-][--][][][][][]\n[---][][][][-][-]\n[…  0
  14  virel         34454/4                                   [][][][][][-][][-][]\n[-][----][----][]…  0
  15  virel         5463/3                                    [--][---][][][---]\n[][---][-][-][---]\…  1
  16  virel         562/2                                     [][-][--][--]\n[--][-][][][]\n[][][][][…  0
  17  virel         4265/5                                    [----][----][---]\n[---][][-][-][--]\n[…  1
  18  virel         224362/5                                  [-][---][][][---][]\n[--][----][-][----…  1
  19  virel         36244/7                                   [-][][][--][][][][]\n[][----][][][---][…  0
  20  virel         663/5                                     [][][-][][--][]\n[-][---][--][-]\n[][--…  0
  21  virel         556432/1                                  [][][][][---][][][][][][]\n[----][--][-…  0
  22  virel         54422/2                                   [][][][-][--][][]\n[---][--][--][--]\n[…  0
  23  virel         346422/3                                  [-][----][-][-][][--]\n[-][--][----][-]…  0
  24  virel         54524/6                                   [--][--][--][][--][]\n[][][][][][-][][-…  0
  25  virel         2246/2                                    [][---][][][-]\n[---][][-][][]\n[--][--…  0
  26  virel         52454/4                                   [--][---][----][---]\n[--][--][----][--…  0
  27  virel         633333/8                                  [][][-][][-][][-][][]\n[-][-][-][---][-…  0
  28  virel         626/3                                     [----][---][-]\n[--][----][][]\n[-][-][…  0
  29  virel         5333/5                                    [][][][--][][]\n[--][--][----]\n[][----…  0
