Centaur Zendo round 4 (training)
round_id : 1d9bd6c5d0604e02bfbedc5ca375aa75
written  : 2026-09-04 13:15:01Z
presented=456  answered=456  correct=61  skipped=0
client answer latency: mean 0.151 ms  median 0.143 ms  max 2.029 ms  (n=457)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  virel         534/1                                     [][][----][]\n[][---][---]\n[-][----][-…  0
   1  virel         345532/2                                  [][---][---][---][---]\n[][---][-][][][…  0
   2  virel         322233/4                                  [--][----][---]\n[][][----][---]\n[---]…  0
   3  virel         46434/2                                   [-][-][--][--][---][]\n[----][----][--]…  0
   4  virel         626/4                                     [--][---][---]\n[--][-][][][-]\n[-][---…  0
   5  virel         56442/2                                   [][][][----][--][][-]\n[--][-][][][---]…  0
   6  virel         5526/4                                    [][----][--][][--]\n[][][-][][---][][]\…  1
   7  virel         2642/4                                    [][][][----][]\n[---][--][---]\n[-][---…  0
   8  virel         23664/3                                   [-][][---][][---][--]\n[--][-][-][][---…  0
   9  virel         266/5                                     [][--][--][][]\n[-][--][][---]\n[--][--…  0
  10  virel         42564/1                                   [-][----][----][----]\n[][][][][--][][-…  0
  11  virel         45265/3                                   [----][---][----][][-]\n[---][---][][][…  0
  12  virel         42655/6                                   [--][----][][][-][---]\n[---][---][----…  0
  13  virel         22533/3                                   [-][-][---][][]\n[---][][][-][-]\n[][--…  0
  14  virel         4236/5                                    [--][-][---][-]\n[][--][][][---]\n[----…  0
  15  virel         244366/3                                  [---][-][-][--][][--][][]\n[-][-][-][][…  1
  16  virel         26223/2                                   [---][-][--][-]\n[][][][-][-][-]\n[][--…  0
  17  virel         446/3                                     [][---][---][]\n[---][][-][][]\n[][--][…  0
  18  virel         56526/3                                   [-][--][---][--][][----]\n[---][--][---…  0
  19  virel         566/5                                     [----][][---][][]\n[-][--][---][][-]\n[…  0
  20  virel         55456/9                                   [---][--][--][----][--][]\n[--][-][----…  0
  21  virel         536/5                                     [-][--][-][][]\n[--][-][][][-]\n[---][]…  1
  22  virel         564/3                                     [---][][][--][]\n[--][----][][-]\n[][-]…  0
  23  virel         25424/5                                   [][----][][-][][]\n[-][-][][----][-]\n[…  0
  24  virel         3424/2                                    [-][--][----]\n[----][--][-]\n[----][][…  0
  25  virel         66246/3                                   [][--][--][---][---][--]\n[--][---][---…  0
  26  virel         456/3                                     [][-][--][--][]\n[][][][][-][][]\n[-][]…  0
  27  virel         6652/4                                    [-][-][---][---][-]\n[][----][----][-][…  1
  28  virel         433532/6                                  [---][--][---][--][]\n[--][--][---][-][…  0
  29  virel         264/4                                     [---][-][][]\n[][--][----]\n[-][][--][-…  0
  30  virel         23245/4                                   [][][][][--][--]\n[-][---][-][---]\n[][…  0
  31  virel         3544/5                                    [---][--][][][-]\n[--][-][][][---]\n[--…  0
  32  virel         24534/5                                   [][-][----][--][-]\n[][-][---][][----]\…  0
  33  virel         446/1                                     [--][][-][][-]\n[][][][----][]\n[---][]…  0
  34  virel         24223/2                                   [-][][][--][]\n[-][----][][]\n[-][-][--…  0
  35  virel         6226/6                                    [][----][--][--]\n[--][--][][----]\n[--…  0
  36  virel         36525/5                                   [---][----][----][--]\n[][----][---][-]…  0
  37  virel         643/1                                     [-][][---][-]\n[][-][][--][]\n[-][---][…  0
  38  virel         623653/3                                  [][][][---][][][][][][][]\n[][][][----]…  0
  39  virel         4324/1                                    [][---][--][]\n[--][-][----]\n[-][----]…  0
  40  virel         532664/2                                  [-][--][----][][-][---][-]\n[-][--][-][…  0
  41  virel         244334/5                                  [][-][--][][-][--][]\n[----][--][][--][…  0
  42  virel         42632/3                                   [][---][----][--]\n[----][][][][][-]\n[…  1
  43  virel         44436/3                                   [----][-][---][--][-]\n[---][-][][----]…  0
  44  virel         4263/4                                    [--][----][][-]\n[---][][][--][]\n[---]…  0
  45  virel         45245/3                                   [][][][--][----][][]\n[----][--][][---]…  1
  46  virel         42246/6                                   [][--][][-][][---]\n[----][----][----]\…  0
  47  virel         325465/3                                  [-][---][][---][--][][--]\n[--][--][-][…  0
  48  virel         354522/2                                  [---][---][-][][--][]\n[][][----][----]…  0
  49  virel         5326/5                                    [-][][--][---][]\n[][--][--][-][-]\n[--…  0
  50  virel         43344/7                                   [][][--][--][][][]\n[--][][---][---][]\…  0
  51  virel         443553/8                                  [----][---][----][][---]\n[----][----][…  0
  52  virel         522556/5                                  [---][---][--][----][---]\n[--][--][---…  0
  53  virel         443465/7                                  [----][---][----][--][---]\n[][-][---][…  0
  54  virel         25445/4                                   [-][---][-][----][-]\n[][][----][----][…  0
  55  virel         33566/5                                   [][---][--][][---][---]\n[----][-][][-]…  0
  56  virel         246/1                                     [][][-][---]\n[][---][][-]\n[][][-][-][…  0
  57  virel         6442/4                                    [][-][][-][][][]\n[][----][][][][]\n[--…  1
  58  virel         445/2                                     [---][--][][]\n[][][][---][]\n[---][--]…  1
  59  virel         42642/7                                   [---][---][---][-]\n[----][--][---][-]\…  0
  60  virel         24454/4                                   [-][-][-][--][-][-]\n[--][-][----][-][-…  0
  61  virel         63642/7                                   [--][--][--][-][--][]\n[--][][--][---][…  0
  62  virel         643/2                                     [---][----][]\n[-][---][][-]\n[][][---]…  0
  63  virel         26343/3                                   [----][][-][][-][]\n[][----][--][][--]\…  0
  64  virel         6545/2                                    [--][-][--][--][-][]\n[-][--][][----][-…  0
  65  virel         4233/4                                    [----][][][]\n[][-][--][-]\n[][----][--…  0
  66  virel         22442/3                                   [][][][][][--]\n[][][-][][---]\n[---][-…  0
  67  virel         544/2                                     [--][-][][--]\n[][--][][-][]\n[----][-]…  0
  68  virel         365/3                                     [---][][-][][]\n[--][---][-][]\n[][][--…  0
  69  virel         52666/10                                  [--][-][][][-][][--][][-]\n[-][-][--][]…  0
  70  virel         23454/3                                   [][----][--][--][]\n[--][--][--][----]\…  0
  71  virel         6463/5                                    [--][--][---][--][]\n[----][-][--][-][-…  0
  72  virel         5264/6                                    [-][-][-][][--][]\n[---][--][---][-]\n[…  0
  73  virel         3634/4                                    [--][][---][][-]\n[--][---][---][]\n[--…  0
  74  virel         525/3                                     [][][][----]\n[--][][--][]\n[-][][][-][…  1
  75  virel         3333/4                                    [-][][-][--]\n[-][--][][-]\n[---][--][-…  1
  76  virel         3236/1                                    [---][][][][-]\n[][][][----][]\n[-][][-…  0
  77  virel         352524/5                                  [----][----][---][][]\n[---][--][----][…  0
  78  virel         234626/7                                  [--][][----][][][][][-]\n[-][---][-][--…  0
  79  virel         23433/4                                   [-][-][---][][]\n[---][][][][--]\n[--][…  0
  80  virel         42522/1                                   [---][][-][-][]\n[][][][][-][][]\n[-][]…  0
  81  virel         34326/3                                   [-][--][----][-][]\n[][---][][-][][--]\…  0
  82  virel         346/2                                     [---][-][---]\n[][-][--][--]\n[--][][--…  0
  83  virel         5464/1                                    [][-][----][---][-]\n[----][-][--][][][…  0
  84  virel         63255/5                                   [-][][--][][][][-][-]\n[--][][--][---][…  0
  85  virel         2354/5                                    [--][][-][][-]\n[][--][-][][-]\n[---][]…  0
  86  virel         565322/1                                  [][][][][][][---][][][]\n[---][--][--][…  0
  87  virel         364442/2                                  [----][--][][-][---][-]\n[----][][---][…  0
  88  virel         25363/5                                   [-][--][----][----]\n[][----][][-][-][-…  0
  89  virel         364/4                                     [-][-][][---]\n[-][----][][]\n[--][-][]…  0
  90  virel         3443/3                                    [---][-][][--]\n[-][-][----][]\n[][][][…  1
  91  virel         26652/3                                   [---][----][-][-][][]\n[----][--][--][-…  0
  92  virel         44456/8                                   [---][----][-][--][-][]\n[][][----][-][…  0
  93  virel         24354/4                                   [---][][----][][-]\n[----][--][--][][]\…  0
  94  virel         43455/4                                   [][][----][][][-][--]\n[-][][---][][-][…  0
  95  virel         4244/5                                    [-][---][][][]\n[-][----][][-]\n[---][]…  0
  96  virel         233424/7                                  [---][][-][----][]\n[--][][][--][--][]\…  0
  97  virel         22623/3                                   [---][---][-][]\n[----][-][----]\n[-][-…  0
  98  virel         33565/9                                   [][---][----][][--][-]\n[----][][][--][…  0
  99  virel         6333/1                                    [---][-][-][--]\n[-][--][][][--]\n[][-]…  0
 100  virel         6363/5                                    [][----][---][-][]\n[---][----][-][][]\…  0
 101  virel         4362/3                                    [----][--][-][]\n[---][----][][]\n[---]…  0
 102  virel         353226/5                                  [----][--][][--][-][]\n[--][][][][---][…  0
 103  virel         253435/4                                  [----][---][-][---][-]\n[-][--][-][][][…  0
 104  virel         632636/2                                  [][----][-][---][---][][-]\n[--][---][-…  0
 105  virel         54263/8                                   [---][--][][-][----]\n[--][----][-][-][…  0
 106  virel         56245/3                                   [][][][-][][][][---][]\n[-][][][-][---]…  0
 107  virel         3656/5                                    [][--][----][---][-]\n[-][---][--][---]…  0
 108  virel         35222/3                                   [-][-][----][]\n[][][][][--][]\n[--][][…  0
 109  virel         422524/6                                  [][-][][----][][--]\n[--][---][--][----…  0
 110  virel         2334/4                                    [-][][--][-]\n[-][][][-][]\n[---][][---…  0
 111  virel         2655/7                                    [---][-][--][--][]\n[--][][][--][--][]\…  0
 112  virel         625432/3                                  [-][----][--][---][][]\n[][-][--][---][…  0
 113  virel         4556/7                                    [][----][-][---][][]\n[][][--][][---][]…  0
 114  virel         435443/5                                  [][][][][-][-][][][-][]\n[---][--][--][…  0
 115  virel         643/4                                     [---][---][-]\n[---][--][--]\n[--][][][…  1
 116  virel         45646/1                                   [----][----][-][---][---]\n[----][----]…  0
 117  virel         66523/4                                   [][-][-][-][--][-][--]\n[---][---][-][-…  0
 118  virel         55432/3                                   [][][-][-][][][---]\n[-][-][-][--][-][-…  0
 119  virel         5635/3                                    [--][---][-][-][][]\n[-][][---][--][-][…  0
 120  virel         632563/6                                  [][--][---][----][--][][]\n[-][][----][…  0
 121  virel         5645/6                                    [--][----][][--][][]\n[--][-][---][-][-…  1
 122  virel         534/3                                     [--][----][]\n[][---][---]\n[][][--][--…  1
 123  virel         346/4                                     [][----][-][]\n[--][][-][--]\n[][-][][-…  1
 124  virel         4545/5                                    [---][---][--][][]\n[-][--][-][--][][]\…  0
 125  virel         24552/2                                   [---][----][-][--]\n[][-][----][--][-]\…  0
 126  virel         5654/8                                    [][][][][][--][][][]\n[--][---][----][-…  0
 127  virel         33265/5                                   [---][][-][-][----]\n[][-][][--][][][--…  0
 128  virel         54355/5                                   [----][---][---][-][-]\n[][----][-][--]…  0
 129  virel         43634/4                                   [----][-][---][][][]\n[][---][][----][-…  0
 130  virel         632653/6                                  [][-][][][--][--][][--][]\n[-][-][][][-…  0
 131  virel         346265/3                                  [--][--][---][--][][-][--]\n[---][-][--…  0
 132  virel         45566/2                                   [--][--][----][-][--][-][]\n[--][--][--…  1
 133  virel         263623/7                                  [][--][--][--][][][--]\n[-][--][--][---…  0
 134  virel         4225/3                                    [--][----][-]\n[--][-][][--]\n[-][-][][…  0
 135  virel         662/1                                     [-][][][-][--]\n[-][----][---]\n[][][][…  0
 136  virel         533254/6                                  [][][---][-][---][][-]\n[--][---][---][…  0
 137  virel         343524/7                                  [--][][-][----][--][]\n[---][----][---]…  0
 138  virel         2523/1                                    [-][][][---]\n[][][][----]\n[][-][---][…  0
 139  virel         53463/7                                   [----][][----][--][-]\n[---][-][--][-][…  0
 140  virel         3355/1                                    [--][-][----][-]\n[--][-][-][--][]\n[--…  0
 141  virel         32254/2                                   [---][---][][][]\n[-][----][][---]\n[--…  0
 142  virel         43466/5                                   [---][--][-][----][---]\n[--][][][][---…  0
 143  virel         55336/4                                   [-][][---][][----][][]\n[-][---][----][…  1
 144  virel         663/3                                     [][][--][-][][]\n[][--][--][-][]\n[---]…  0
 145  virel         33343/1                                   [][----][--][][]\n[----][][--][][]\n[-]…  0
 146  virel         44345/5                                   [-][----][--][-][--]\n[][-][][][][][-][…  0
 147  virel         24623/4                                   [-][----][----][]\n[--][---][-][-][]\n[…  0
 148  virel         534324/2                                  [][][----][----][---]\n[----][-][][-][-…  0
 149  virel         6555/7                                    [-][][---][][---][--]\n[----][][][][---…  0
 150  virel         6342/5                                    [--][----][-][]\n[---][][][][][]\n[][--…  0
 151  virel         26535/4                                   [][-][---][----][---]\n[][----][][--][-…  0
 152  virel         2544/5                                    [-][][---][-][]\n[--][----][-][]\n[-][-…  0
 153  virel         546432/6                                  [-][--][---][-][-][-][-]\n[---][-][-][-…  0
 154  virel         55655/2                                   [][--][---][][----][--][-]\n[][----][][…  0
 155  virel         3554/2                                    [--][-][--][----]\n[-][----][----][]\n[…  0
 156  virel         24645/4                                   [--][----][----][][-]\n[-][][-][----][-…  0
 157  virel         52563/7                                   [][----][--][][-][--]\n[-][][-][][][---…  0
 158  virel         55332/4                                   [-][-][--][--][--]\n[----][-][][-][--]\…  0
 159  virel         324366/4                                  [----][][--][][--][--][]\n[][---][-][--…  0
 160  virel         545/2                                     [-][][-][----]\n[-][--][---][]\n[----][…  0
 161  virel         564/5                                     [][---][---][-]\n[---][--][-][-]\n[----…  0
 162  virel         224636/1                                  [][][][--][][---][][--]\n[][][][][][][]…  0
 163  virel         54422/4                                   [-][][][---][][-]\n[--][----][---][]\n[…  0
 164  virel         23463/6                                   [----][-][-][--][]\n[-][--][-][--][--]\…  0
 165  virel         3455/5                                    [][--][][----][-]\n[][--][---][-][-]\n[…  0
