Centaur Zendo round final (final)
round_id : 9b99f57123cf48dfbe3013c973d53f55
written  : 2026-09-04 13:26:13Z
presented=2566  answered=2566  correct=354  skipped=0
client answer latency: mean 0.145 ms  median 0.136 ms  max 1.640 ms  (n=2567)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  virel         24625/2                                   [---][][][-][][---]\n[--][-][-][---][--…  0
   1  virel         2362/2                                    [][----][][-]\n[][--][-][--]\n[][--][-]…  0
   2  virel         262362/5                                  [][][--][][][---][][]\n[---][---][----]…  0
   3  virel         34343/1                                   [----][----][-][]\n[-][--][---][---]\n[…  0
   4  virel         3524/2                                    [][--][-][---]\n[---][-][--][]\n[---][]…  0
   5  virel         552464/5                                  [-][][--][--][][][][][-][]\n[-][][---][…  0
   6  virel         43364/5                                   [----][][][--][][][]\n[][][-][][---][][…  0
   7  virel         53524/4                                   [][-][--][---][][-]\n[----][][][---][][…  1
   8  virel         534223/6                                  [][][][][][][][][-]\n[-][---][-][][][--…  0
   9  virel         53623/7                                   [--][][][---][--][]\n[][][][][][-][--][…  0
  10  virel         55652/8                                   [---][---][][-][-][---]\n[][][--][----]…  0
  11  virel         45565/9                                   [][][][][][][---][--][][]\n[][][-][][][…  0
  12  virel         34666/5                                   [---][--][--][----][][--]\n[][][][][][]…  0
  13  virel         66535/10                                  [--][-][----][-][--][---]\n[--][][][][]…  0
  14  virel         6555/7                                    [---][--][-][][---][]\n[][--][][][----]…  0
  15  virel         46452/7                                   [][][][][---][][][--]\n[----][][][][][]…  0
  16  virel         462442/1                                  [][][--][][][--][][][]\n[-][---][--][--…  1
  17  virel         44232/1                                   [----][---][][]\n[][-][][][--][]\n[--][…  0
  18  virel         26366/2                                   [][][][][][---][][----]\n[---][-][--][-…  0
  19  virel         25444/3                                   [][--][][][][---][]\n[----][--][-][-][-…  0
  20  virel         264/1                                     [-][][--][-]\n[-][-][][][]\n[--][][][][…  0
  21  virel         232636/6                                  [--][-][---][--][----]\n[---][--][-][--…  0
  22  virel         62436/1                                   [][--][---][][][--][]\n[---][----][----…  0
  23  virel         553353/3                                  [--][-][][--][---][----]\n[][][][----][…  0
  24  virel         42233/1                                   [-][][--][---]\n[---][][-][][]\n[--][-]…  0
  25  virel         45466/10                                  [][-][][][][-][][---][][]\n[-][---][][]…  1
  26  virel         633/3                                     [-][---][][]\n[--][-][][-]\n[-][-][--][…  0
  27  virel         44565/9                                   [][---][-][----][----][]\n[][][][][][][…  0
  28  virel         2436/1                                    [-][-][][-][--]\n[---][][][-][-]\n[][][…  0
  29  virel         3244/3                                    [][][][---][]\n[][-][----][]\n[--][][-]…  0
  30  virel         44633/8                                   [][][--][][----][--]\n[----][--][----][…  0
  31  virel         6356/5                                    [----][----][-][---]\n[][----][---][---…  0
  32  virel         4634/5                                    [][][----][--][-]\n[--][][][-][][][]\n[…  0
  33  virel         3452/4                                    [][---][-][--]\n[--][][--][--]\n[][---]…  0
  34  virel         464/4                                     [--][][][][--]\n[][---][][-][]\n[--][--…  0
  35  virel         265264/5                                  [][][][][-][-][][-][][][]\n[][][][][-][…  0
  36  virel         5326/3                                    [][---][---][--]\n[][--][][--][][]\n[-]…  0
  37  virel         2543/1                                    [--][][][-][-]\n[----][][-][-]\n[--][-]…  0
  38  virel         3663/5                                    [][][----][][----]\n[][][-][-][][--][]\…  0
  39  virel         3445/6                                    [--][][---][][-]\n[-][-][--][--][]\n[][…  0
  40  virel         365/3                                     [--][--][-][-]\n[---][---][--]\n[----][…  0
  41  virel         525/3                                     [--][][][][]\n[][][--][][]\n[----][--][…  1
  42  virel         32362/4                                   [-][][---][][][]\n[--][][-][-][--]\n[--…  0
  43  virel         6354/1                                    [][][-][---][----]\n[-][----][-][----]\…  0
  44  virel         63536/4                                   [---][][][----][--][][]\n[--][][-][---]…  0
  45  virel         346325/4                                  [][][][-][----][][][][]\n[---][][][----…  0
  46  virel         4224/4                                    [][][][--][]\n[][---][][-]\n[-][--][---…  0
  47  virel         452532/1                                  [][----][][---][][][]\n[---][][][][][][…  0
  48  virel         44356/8                                   [-][--][][][][][][-][]\n[][][-][----][-…  0
  49  virel         323443/5                                  [----][-][----][--]\n[][][][-][][----][…  0
  50  virel         534/4                                     [][---][-][]\n[-][----][-]\n[][----][--…  0
  51  virel         65632/1                                   [][---][][][][][-][][]\n[][----][---][-…  0
  52  virel         4365/7                                    [][][---][-][][--]\n[-][][][][-][][][]\…  0
  53  virel         524644/7                                  [][---][----][-][-][-][-]\n[][][-][][][…  0
  54  virel         3622/2                                    [-][-][][][-]\n[---][-][-][]\n[--][][-]…  0
  55  virel         3236/3                                    [-][][][][][-]\n[][----][][--]\n[][---]…  0
  56  virel         45526/5                                   [][][][--][---][][---]\n[----][][-][-][…  0
  57  virel         424643/8                                  [---][][][----][--][][]\n[][][---][][--…  0
  58  virel         333532/2                                  [][-][][-][][][---]\n[-][][--][][][][][…  0
  59  virel         343643/6                                  [][-][][-][][----][][-]\n[][][][][][-][…  0
  60  virel         655/1                                     [---][][-][-][-]\n[---][---][-][-]\n[--…  0
  61  virel         545342/4                                  [][--][-][-][--][][---]\n[][][][][][-][…  0
  62  virel         54453/6                                   [---][][----][--][--]\n[][][][][--][---…  0
  63  virel         64426/9                                   [---][--][][-][-][---]\n[-][][--][-][--…  0
  64  virel         6222/1                                    [][][----][]\n[---][][][-]\n[][][-][-][…  0
  65  virel         3455/2                                    [][----][---][--]\n[---][][---][---]\n[…  0
  66  virel         66354/5                                   [][-][][][-][----][][--]\n[---][-][---]…  0
  67  virel         2345/1                                    [-][----][-][]\n[][-][-][--][]\n[][][-]…  0
  68  virel         565/1                                     [][----][][----]\n[-][--][-][-][-]\n[--…  0
  69  virel         52536/5                                   [][--][][][----][-][]\n[][---][][-][---…  0
  70  virel         352643/1                                  [--][---][--][][----][]\n[--][--][----]…  0
  71  virel         346232/3                                  [][][---][---][-][-]\n[][---][-][][][--…  1
  72  virel         6434/5                                    [][][--][----][-]\n[----][][][--][-]\n[…  0
  73  virel         652/4                                     [---][----][]\n[-][--][----]\n[--][][--…  0
  74  virel         43633/6                                   [---][---][][-][--]\n[---][-][][-][----…  0
  75  virel         62632/4                                   [][][][][-][--][][]\n[----][---][][----…  0
  76  virel         335355/3                                  [---][---][--][---][---]\n[--][--][][][…  1
  77  virel         45522/6                                   [][-][][][][-][][]\n[][][---][-][][--]\…  0
  78  virel         4626/5                                    [-][--][---][-][-]\n[---][-][---][-][]\…  0
  79  virel         466/3                                     [--][][][--][][]\n[][][-][-][][][]\n[--…  1
  80  virel         456/2                                     [-][-][----][-]\n[---][][][----]\n[---]…  0
  81  virel         225663/2                                  [][-][][][][---][----][]\n[----][---][-…  0
  82  virel         5445/7                                    [-][----][---][--]\n[--][--][--][][--]\…  0
  83  virel         4334/3                                    [----][--][--]\n[--][-][][-][]\n[--][--…  0
  84  virel         535334/6                                  [-][][][][][][][][][][]\n[---][-][-][--…  0
  85  virel         352262/8                                  [][---][][][][-][][]\n[-][--][---][-][-…  0
  86  virel         226255/4                                  [][][][][][][][----][]\n[----][--][-][-…  0
  87  virel         535445/5                                  [--][][-][][-][--][--][--]\n[-][-][----…  0
  88  virel         23632/5                                   [--][-][-][----]\n[--][][][--][][]\n[-]…  0
  89  virel         653/5                                     [][--][----][]\n[][----][-][-]\n[][][][…  0
  90  virel         64254/6                                   [---][--][---][---][]\n[--][][-][-][--]…  0
  91  virel         644/3                                     [][--][-][---]\n[---][][][---]\n[][][--…  0
  92  virel         444254/8                                  [][--][][---][][----][]\n[][][][][----]…  0
  93  virel         654/3                                     [-][-][--][---]\n[][][---][][][]\n[][][…  0
  94  virel         362632/9                                  [----][][][-][----][-]\n[][][][][---][]…  0
  95  virel         3244/4                                    [][--][-][][]\n[-][][-][---]\n[---][--]…  0
  96  virel         2644/4                                    [-][][][--][-][]\n[-][---][][][][]\n[-]…  0
  97  virel         3533/4                                    [][][----][][]\n[--][--][][--]\n[][][][…  1
  98  virel         24522/4                                   [][----][-][--]\n[--][---][][--]\n[][][…  1
  99  virel         2346/4                                    [][----][---][]\n[---][--][][][]\n[--][…  0
 100  virel         25564/4                                   [---][---][][][][][][]\n[-][--][][][][-…  0
 101  virel         64626/7                                   [-][][-][][][][--][][][]\n[][][][-][][-…  0
 102  virel         35653/3                                   [-][][-][---][][--][-]\n[][---][-][----…  1
 103  virel         656/6                                     [][][][---][][][]\n[-][-][----][---]\n[…  0
 104  virel         53236/4                                   [-][--][-][-][-][-]\n[---][][][-][--][-…  1
 105  virel         354/2                                     [-][-][----]\n[----][--][]\n[][][--][][…  0
 106  virel         4366/1                                    [---][---][-][----]\n[--][---][][---][-…  0
 107  virel         363/4                                     [][-][---][]\n[---][][-][]\n[][][----][…  1
 108  virel         636/4                                     [][---][][----]\n[][---][][--][]\n[][-]…  0
 109  virel         242523/6                                  [][--][][][--][][]\n[--][--][--][----]\…  0
 110  virel         352465/9                                  [][][][][][][-][][][][][]\n[][][][][][]…  0
 111  virel         46442/5                                   [-][-][-][][-][][--]\n[][][-][---][][][…  0
 112  virel         435/1                                     [---][--][-]\n[-][--][---]\n[-][-][--][…  0
 113  virel         334454/5                                  [-][-][][--][----][---]\n[][][][][][][]…  0
 114  virel         363/1                                     [--][][][][]\n[][][][][][]\n[][---][---…  0
 115  virel         5363/5                                    [][-][-][---][][]\n[][----][--][---]\n[…  0
 116  virel         35252/1                                   [][][][----][][-]\n[---][----][--][]\n[…  0
 117  virel         564/3                                     [-][][-][][---]\n[][][-][-][---]\n[-][]…  0
 118  virel         6545/2                                    [][][][--][--][][][]\n[][--][--][][--][…  0
 119  virel         4454/5                                    [][][-][---][---]\n[--][---][----][]\n[…  0
 120  virel         43544/4                                   [----][----][--][--]\n[][][----][][--][…  0
 121  virel         363553/8                                  [---][][-][----][][][---]\n[][--][-][][…  0
 122  virel         243552/5                                  [][][--][----][][---]\n[--][][][-][][][…  1
