Centaur Zendo round 2 (training)
round_id : 2588c15dd39340feaef3fa46db17a013
written  : 2026-09-05 12:09:38Z
presented=145  answered=116  correct=47  skipped=29
client answer latency: mean 0.733 ms  median 0.559 ms  max 1.923 ms  (n=146)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tresk         RGGBGGBG\nBBRRGRBGGG\n\nBBRBRR\nRBBBRB\…  None                                      0
   1  tresk         RGBBGBRBG\nBRRGRRGG\n\nRBRBRRBG\nRBBRRG…  None                                      0
   2  dornic        2D 3H 3S 4D 8S\n9D 10H 10D QD KH\n\n2S …  2S 5H JH QH KC                            0
   3  wisbek        4:00\n5:51\n\n10:06\n12:11\n1:02\n11:31…  10:06                                     0
   4  kaldrin       [E]=[milk]=[wool]=[milk]=[pigs^]=[milk]…  [E]=[coal^]=[coal]=[wool]=[logs]=[milk]   0
   5  kaldrin       [E]=[wool]=[logs]=[pigs^]=[wool^]=[sand…  None                                      0
   6  mestrel       [3|0][3|3][5|6][5|5][2|2]\n[4|4][6|3][4…  None                                      0
   7  wisbek        5:44\n6:56\n\n7:14\n2:40\n11:42\n1:06\n…  2:40                                      0
   8  wisbek        1:35\n12:30\n\n6:25\n7:50\n8:50\n3:15\n…  3:15                                      0
   9  ospren        ...##\n.....\n..#..\n.....\n##..#\n\n#.…  ....#\n..#..\n.....\n.....\n#...#         1
  10  wisbek        4:15\n10:55\n\n7:35\n3:30\n8:35\n5:35\n…  12:20                                     0
  11  ospren        ####.\n#.#..\n.#.#.\n#..#.\n.....\n\n..…  .#...\n#..#.\n.....\n.....\n.....         0
  12  kaldrin       [E]=[milk^]=[pigs]=[logs]=[milk]\n[E]=[…  [E]=[pigs]=[milk]=[sand]=[sand]=[coal]=…  1
  13  wisbek        11:21\n12:27\n\n2:51\n4:18\n1:15\n3:16\…  7:24                                      0
  14  borsel        1 3 3 1\n2 1 2 1\n3 2 2 1\n\n6 6 5 6\n4…  1 1 6 1                                   1
  15  kaldrin       [E]=[logs]=[wool]=[pigs]=[pigs^]\n[E]=[…  [E]=[coal^]=[coal^]=[logs]=[coal^]=[coa…  0
  16  dornic        2S 3C 3S 8H KH\n4C 9S QD AH AD\n\n2C 6C…  2C 6C 8H 9S 10H                           0
  17  borsel        5 1 5 6\n4 4 2 4\n\n2 5 3 5\n4 5 4 1\n2…  4 5 4 1                                   0
  18  mestrel       [3|3][2|2][0|6][1|1][6|3][1|1]\n[4|4][3…  [1|5][5|5][5|4][0|3]                      1
  19  dornic        4C 6S 8C 9H QH\n5S 7C JD KH KD\n\n5S 9D…  5S 9D JC QH AH                            0
  20  tresk         GGGRBRB\nGRRRRRG\n\nBRGRBGRRR\nRRRBGBGR…  BRGRBGRRR                                 0
  21  borsel        4 4 4 3\n1 6 6 6\n6 6 3 4\n\n5 1 6 5\n5…  5 3 3 4                                   0
  22  borsel        4 3 5 4 6\n3 3 4 2 4\n6 3 6 3 6\n\n6 2 …  2 5 5 3 5                                 0
  23  borsel        5 3 6 6 3\n4 4 3 2 3\n4 4 3 6 5\n\n2 6 …  3 3 3 3 3                                 0
  24  mestrel       [0|2][0|6][0|2][4|5]\n[1|3][1|4][5|0][6…  None                                      0
  25  ospren        #.#.#\n.#...\n.....\n..#.#\n.....\n\n..…  None                                      0
  26  kaldrin       [E]=[milk^]=[milk^]=[milk^]=[coal]=[coa…  [E]=[sand]=[pigs]=[sand]=[milk]=[pigs]=…  0
  27  mestrel       [3|0][5|5][2|0][2|6]\n[3|2][3|0][2|0][2…  [0|5][0|0][1|0][1|6][1|5][2|0][6|3]       0
  28  ospren        #.###\n#.#.#\n.....\n#.#.#\n#.###\n\n#.…  2                                         1
  29  mestrel       [5|0][0|2][3|1][1|6][4|2][5|6]\n[6|5][6…  None                                      0
  30  ospren        ##..#\n.....\n##.#.\n.....\n##..#\n\n..…  1                                         1
  31  borsel        2 1 2 2\n1 3 1 2\n\n5 1 1 1\n4 4 4 2\n4…  4 4 4 2                                   0
  32  mestrel       [0|6][6|0][4|0][0|2][1|0][0|6]\n[2|4][6…  None                                      0
  33  tresk         BRBGGRRGBR\nBGGBRRGGBG\n\nRBRRBGBG\nRRB…  GGRBRBRB                                  0
  34  tresk         BGRGBRGBGR\nBGRRRRBBGB\n\nBGGRBGG\nBGGR…  BGGGGBR                                   0
  35  dornic        3D 4C 7D 8D JH\n5H 9H 10H QS AS\n\n4H 9…  4H 9D 9C 9S AD                            0
  36  tresk         BGBBBGGRRG\nGBGRBGBBBG\n\nGRRGGBRG\nGGB…  GRRGGBRG                                  1
  37  ospren        ..##.\n.####\n..#.#\n.####\n..##.\n\n.#…  ..###\n.#..#\n....#\n.#..#\n..###         1
  38  ospren        .....\n..#..\n.....\n....#\n.#...\n\n.#…  2                                         0
