Centaur Zendo round 4 (training)
round_id : 66576bf40ff640d0a968811d143c2be5
written  : 2026-09-05 12:23:35Z
presented=139  answered=131  correct=59  skipped=8
client answer latency: mean 0.885 ms  median 0.875 ms  max 2.205 ms  (n=139)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  kaldrin       [E]=[wool^]=[milk]=[milk^]=[pigs]=[milk…  [E]=[pigs^]=[wool]=[wool]=[wool^]=[coal…  1
   1  mestrel       [0|1][0|4][5|2][0|4][3|1][6|6][5|0]\n[2…  [5|2][6|3][3|1][1|1][1|6][6|6]            0
   2  ospren        .....\n.....\n..##.\n...##\n.###.\n\n..…  None                                      0
   3  tresk         BRGRGRGRR\nGRGBRGRB\n\nRBRGGR\nBRGGRR\n…  RBRGGR                                    0
   4  wisbek        9:15\n10:10\n\n5:25\n12:16\n7:25\n4:16\…  7:25                                      1
   5  tresk         BGRGRGRG\nRBBGGGRR\n\nBGRRBB\nRBGBGB\nB…  BGRRBB                                    0
   6  wisbek        4:51\n6:37\n\n5:58\n8:39\n10:59\n1:34\n…  None                                      0
   7  kaldrin       [E]=[logs^]=[logs^]=[coal^]=[milk^]=[wo…  [E]=[milk^]=[coal]=[logs]=[logs^]=[wool…  0
   8  dornic        3D 3S 4D 8H 10S\n2H 2C 5C 7H AH\n\n3H 8…  2H 2S 5S 6D JH                            1
   9  kaldrin       [E]=[logs]=[sand^]=[sand^]=[wool^]=[mil…  [E]=[logs^]=[wool]=[coal]=[sand]=[milk]   0
  10  wisbek        4:42\n11:41\n\n9:22\n7:11\n12:45\n2:27\…  12:45                                     0
  11  mestrel       [3|6][2|3][3|6][3|0][3|1]\n[3|6][5|3][3…  [5|2][2|1][1|6][6|3]                      0
  12  dornic        2H 4C 8S KD AD\n2D 4S 5S 9D 9S\n\n2D 4D…  3D 6S 7C 8D AD                            0
  13  tresk         BGBGRRBB\nBBBGBRBRB\n\nBGBBRGBGGB\nBGBB…  BRBBBGGBBB                                0
  14  ospren        ##..#\n##...\n.....\n....#\n##..#\n\n#.…  3                                         1
  15  borsel        4 4 4 2\n4 2 6 6\n\n1 6 1 6\n4 5 1 4\n1…  4 5 1 4                                   0
  16  wisbek        3:45\n6:00\n\n4:55\n2:20\n1:50\n10:20\n…  10:20                                     1
  17  dornic        2C 5S 6C 9C KH\n2S 5H 7H 9D AH\n\n5C 6C…  5C 6C 7D 9S 10H                           0
  18  kaldrin       [E]=[milk^]=[milk^]=[milk]=[milk]=[coal…  [E]=[milk]=[pigs^]=[pigs]=[milk^]=[pigs…  1
