Centaur Zendo round 1 (training)
round_id : 06714bd52276436ea2550de4f858abbb
written  : 2026-09-05 12:04:04Z
presented=165  answered=0  correct=0  skipped=166
client answer latency: mean 0.093 ms  median 0.089 ms  max 0.279 ms  (n=166)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  wisbek        2:48\n5:59\n\n3:57\n4:57\n11:42\n9:46\n…  None                                      0
   1  ospren        ##..#\n.#...\n.....\n.....\n.#...\n\n..…  None                                      0
   2  ospren        ....#\n....#\n....#\n..###\n.....\n\n..…  None                                      0
   3  wisbek        5:34\n8:49\n\n4:15\n7:15\n10:57\n3:18\n…  None                                      0
   4  borsel        5 6 2 6\n5 4 3 6\n\n5 2 5 2\n5 2 5 5\n4…  None                                      0
   5  borsel        6 3 4 4\n2 2 3 4\n\n4 2 4 4\n2 2 6 6\n2…  None                                      0
   6  tresk         GBBGGGGBBB\nRGGGBGBRG\n\nGBBGGGRGGG\nRG…  None                                      0
   7  dornic        3C 10H 10D KC AH\n3D 7H 9H 9D 9C\n\n5C …  None                                      0
   8  dornic        6H 7S 8H 9S JS\n3S 7H 10C QH AD\n\n3H 3…  None                                      0
   9  dornic        3C 4C 5H 10C 10S\n6S 9S 10H QD KD\n\n2S…  None                                      0
  10  tresk         RRRGBRRBRR\nRGBBBRGRG\n\nBRRBRBGBG\nGBB…  None                                      0
  11  kaldrin       [E]=[coal]=[pigs]=[pigs]=[coal]=[coal]=…  None                                      0
  12  mestrel       [6|4][2|6][5|4][1|1][0|5][3|6][5|4]\n[2…  None                                      0
  13  borsel        4 4 4 3\n3 4 6 6\n6 6 1 6\n\n5 1 6 5\n3…  None                                      0
  14  borsel        3 3 3 1 3\n2 2 2 2 2\n\n2 1 1 1 1\n1 2 …  None                                      0
  15  dornic        2C 7C 8H 9C AH\n5H 6C 6S JC QD\n\n2S 3S…  None                                      0
  16  dornic        5H 5D 6S 7S 9S\n8S JH JS QC KC\n\n4H 5S…  None                                      0
  17  mestrel       [2|0][3|5][5|3][0|4][2|0]\n[0|3][3|3][0…  None                                      0
  18  dornic        3D 6D 7S 10D QS\n8C 10H JS QC KD\n\n3S …  None                                      0
  19  dornic        3C 5D 7C QH QS\n2D 5S 7S KH KS\n\n2S 6S…  None                                      0
  20  kaldrin       [E]=[sand^]=[sand]=[sand]=[sand]=[sand]…  None                                      0
  21  wisbek        1:03\n7:28\n\n5:26\n11:41\n9:38\n4:58\n…  None                                      0
  22  borsel        4 2 3 4 3\n4 6 2 6 4\n\n1 5 4 1 4\n2 6 …  None                                      0
  23  borsel        3 1 2 1 1\n2 3 2 2 3\n3 3 3 1 3\n\n1 1 …  None                                      0
  24  wisbek        5:35\n12:00\n\n3:48\n7:07\n4:45\n6:30\n…  None                                      0
  25  dornic        3H 4S 8H 10C JS\n2C 4C 5D 6D 7C\n\n3D 3…  None                                      0
  26  ospren        ##.##\n.#...\n.....\n#...#\n#....\n\n..…  None                                      0
  27  kaldrin       [E]=[milk]=[logs]=[pigs]=[logs^]=[milk^…  None                                      0
  28  wisbek        5:56\n10:32\n\n6:02\n2:45\n4:02\n12:38\…  None                                      0
  29  kaldrin       [E]=[coal^]=[wool^]=[pigs]=[sand^]\n[E]…  None                                      0
  30  kaldrin       [E]=[wool^]=[pigs]=[sand]=[coal]=[pigs]…  None                                      0
  31  dornic        3D 3C JC QC AS\n2H 2D 6S 8C 10H\n\n2C 3…  None                                      0
  32  kaldrin       [E]=[wool]=[coal]=[coal]=[sand]=[sand^]…  None                                      0
  33  mestrel       [5|5][4|3][3|2][0|0]\n[5|1][5|3][4|1][1…  None                                      0
  34  kaldrin       [E]=[milk^]=[logs]=[logs]=[coal]\n[E]=[…  None                                      0
  35  ospren        .....\n.....\n..#..\n#.##.\n.....\n\n.#…  None                                      0
  36  borsel        3 3 3 3 6\n1 6 2 1 3\n\n4 4 3 4 4\n5 5 …  None                                      0
  37  kaldrin       [E]=[sand]=[sand^]=[sand]=[logs]=[logs]…  None                                      0
  38  borsel        2 3 5 5 2\n6 2 2 6 6\n\n2 1 1 4 3\n5 2 …  None                                      0
  39  mestrel       [1|1][1|1][1|6][6|3][3|3]\n[5|5][3|3][3…  None                                      0
  40  wisbek        4:06\n7:33\n\n9:58\n12:18\n11:53\n6:52\…  None                                      0
  41  dornic        2C 4C 5D 7D 8D\n2H 3H 5C 10D QS\n\n2D 3…  None                                      0
  42  dornic        3D 4D 6D 9S AD\n7D 7S 9H JS AC\n\n2D 9D…  None                                      0
  43  kaldrin       [E]=[sand^]=[pigs]=[coal^]=[coal^]=[mil…  None                                      0
  44  tresk         RRRBRRBR\nBRBRBBRRBB\n\nBRBGRGBGGB\nGRB…  None                                      0
  45  tresk         GGRRGBBB\nBGBGBR\n\nRBBBRRBG\nBBGRRBBR\…  None                                      0
  46  mestrel       [0|3][5|4][5|4][5|3][4|1][4|0][2|6]\n[4…  None                                      0
  47  kaldrin       [E]=[coal^]=[coal]=[coal^]=[pigs]=[pigs…  None                                      0
  48  mestrel       [2|0][4|4][5|6][6|4]\n[0|0][2|2][3|4][4…  None                                      0
  49  dornic        2D 2C 2S 3S 6S\n4C 5S 6H 10C JH\n\n3S 4…  None                                      0
  50  borsel        5 4 4 5\n3 6 3 6\n5 5 3 6\n\n4 6 4 4\n6…  None                                      0
  51  ospren        .###.\n#..#.\n.#.##\n...##\n...##\n\n.#…  None                                      0
  52  dornic        3S 5S 6D 8H 10H\n2C 7H 9S JD KS\n\n4S 5…  None                                      0
  53  wisbek        3:45\n9:43\n\n2:06\n6:49\n1:29\n8:56\n4…  None                                      0
  54  wisbek        2:40\n11:13\n\n3:49\n1:14\n5:41\n9:11\n…  None                                      0
