Centaur Zendo round 3 (training)
round_id : c8b00b015b104c38bd000c7d719600af
written  : 2026-09-05 12:23:13Z
presented=125  answered=125  correct=54  skipped=0
client answer latency: mean 1.195 ms  median 0.790 ms  max 5.354 ms  (n=125)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  dornic        4H 9D 9S 10H QS\n2D 3S 7C JS AD\n\n2C 5…  5S 6H 6S KH AH                            1
   1  dornic        4H 4D 8C 10S AH\n3H 6H 7H QC KC\n\n3S 6…  3S 6H 8H AH AS                            1
   2  mestrel       [2|0][6|1][5|3][0|5]\n[2|2][3|2][3|2][2…  [5|2][6|2][4|6][4|5][0|0][2|1][2|0]       0
   3  wisbek        1:11\n12:44\n\n11:02\n6:00\n2:41\n7:38\…  6:00                                      1
   4  wisbek        1:13\n12:32\n\n3:22\n9:07\n2:25\n6:48\n…  11:27                                     0
   5  mestrel       [6|0][4|2][0|5][4|5][5|3][2|5]\n[0|1][3…  [0|2][4|5][3|4][4|2][6|5][2|5]            0
   6  wisbek        2:50\n5:35\n\n7:23\n10:10\n9:21\n1:06\n…  7:23                                      0
   7  wisbek        1:15\n10:09\n\n8:02\n11:50\n3:57\n2:16\…  3:57                                      0
   8  wisbek        3:43\n11:30\n\n9:15\n5:56\n8:59\n7:19\n…  9:15                                      0
   9  wisbek        5:59\n12:22\n\n1:55\n11:25\n10:03\n8:24…  1:55                                      0
  10  ospren        ##.##\n.####\n.....\n...#.\n..###\n\n#.…  ....#\n..#..\n.#...\n...#.\n##..#         1
  11  ospren        .#...\n.#...\n.#...\n.....\n.#...\n\n#.…  #....\n.....\n#....\n.....\n#....         1
  12  kaldrin       [E]=[logs^]=[pigs^]=[milk^]=[milk^]\n[E…  [E]=[milk]=[pigs]=[sand]=[pigs]           1
  13  tresk         BGBBGGRRB\nGGRBRR\n\nRBRGBBRRB\nRBRBRRG…  RBRBRRGRR                                 0
  14  mestrel       [6|3][6|6][4|4][5|0][0|0][6|1][2|6]\n[3…  [0|0][1|2][2|3][3|4][4|5][5|5]            0
  15  wisbek        9:55\n12:00\n\n5:38\n8:15\n1:52\n2:22\n…  2:22                                      1
  16  borsel        4 3 3 4\n1 5 3 3\n4 3 1 4\n\n2 3 3 3\n3…  3 1 4 1                                   0
  17  wisbek        3:22\n12:00\n\n4:40\n2:58\n11:53\n10:33…  10:33                                     1
  18  borsel        5 3 3 4 3\n3 2 1 6 3\n\n4 3 1 3 4\n5 2 …  2 2 6 5 3                                 0
  19  dornic        6C 8S 10C QD KC\n2S 4C 8H AH AS\n\n2H 2…  2H 2C 5D 7D KH                            1
  20  ospren        ###..\n##..#\n##...\n#....\n#..#.\n\n..…  ..#.#\n.####\n....#\n.####\n..#.#         1
  21  wisbek        3:34\n5:32\n\n7:05\n6:35\n9:48\n12:16\n…  12:16                                     0
  22  ospren        #..##\n.##..\n.#..#\n#.#..\n#.#..\n\n.#…  #...#\n...#.\n....#\n#...#\n#....         1
  23  tresk         BRBBRRBGRB\nRGBRRBBRG\n\nRBRGRRR\nRRRRR…  GRRRRBG                                   1
  24  borsel        3 5 3\n4 3 4\n3 4 3\n\n5 6 5\n6 3 3\n4 …  5 6 5                                     0
  25  kaldrin       [E]=[milk^]=[wool]=[pigs^]=[pigs^]=[pig…  [E]=[logs^]=[wool^]=[sand^]=[milk^]=[co…  0
  26  dornic        2D 7D 9S JD JC\n3C 9H 9D 10D 10C\n\n3C …  4S 7S 8C 10D 10C                          1
  27  wisbek        3:45\n8:20\n\n10:41\n6:32\n2:00\n12:00\…  12:00                                     1
  28  mestrel       [3|1][1|5][2|2][1|3]\n[2|2][5|3][4|4][0…  [6|2][4|2][5|5][0|6][6|6][1|6]            0
  29  kaldrin       [E]=[logs^]=[sand]=[pigs]=[wool]\n[E]=[…  [E]=[coal]=[wool]=[sand]=[milk]=[sand]=…  1
  30  wisbek        2:05\n9:50\n\n1:20\n3:25\n10:15\n8:35\n…  1:20                                      0
  31  dornic        5S 6C 8D 8C 10D\n4S 8S JS QS AC\n\n2C 6…  2S 4H 6D 8S KC                            0
  32  borsel        2 3 5 3 4\n2 4 2 5 4\n2 4 5 3 4\n\n1 6 …  2 2 1 6 5                                 0
  33  dornic        3S 4C 6S 9D 9S\n5H 8H JD QH QS\n\n9S JD…  3D 5C KS AH AC                            1
  34  ospren        ..#.#\n..#..\n.##..\n..#..\n..#.#\n\n..…  .#...\n.....\n.#...\n.....\n.#...         1
  35  dornic        6D 6C 8H 10H KD\n4D 7H 8C QD AD\n\n3S 5…  2S 4D 6H 7S 10C                           0
  36  borsel        5 5 6\n5 6 6\n\n6 6 3\n1 1 6\n6 3 3\n6 …  1 1 6                                     0
  37  mestrel       [6|6][5|5][4|4][3|2][2|2][2|2][1|1]\n[4…  [6|6][3|4][0|0][5|4][2|0][4|4][4|4]       1
  38  dornic        3S 5D 6H QD KD\n2H 2C 3D 8H AH\n\n2D 2C…  2H 2D 6C QC KD                            0
  39  wisbek        11:12\n12:25\n\n6:57\n1:55\n2:20\n8:03\…  1:55                                      0
  40  dornic        4H 6H 7S 8H JD\n3H 7D 9H 10D AS\n\n8H 8…  7H 7D 9C 10C JS                           1
  41  wisbek        9:15\n12:00\n\n1:42\n10:24\n2:25\n7:26\…  8:20                                      1
  42  tresk         RGGBGRGRR\nGRGRGGGRBG\n\nRGBGBR\nGBRRBG…  BGBGRB                                    0
  43  borsel        3 4 3 4 3\n4 2 4 3 3\n3 4 6 6 4\n\n4 5 …  1 4 3 4 4                                 0
  44  borsel        3 4 2\n4 4 1\n4 4 2\n\n3 1 3\n2 2 4\n2 …  2 2 4                                     1
  45  borsel        4 6 2 6\n5 6 6 4\n\n2 1 6 1\n1 1 6 4\n6…  1 1 6 4                                   0
  46  tresk         RRGRBBRBBG\nBGRGGBBGR\n\nGGBBGBR\nBGBRG…  BBRGBBG                                   0
  47  dornic        2S 3D 6D 8C JH\n2D 7C 8D AH AD\n\n2S 10…  2S 10H JH JD AD                           0
  48  mestrel       [6|6][3|1][3|0][1|6][5|1][5|5]\n[1|1][1…  [1|5][2|4][0|6][4|6][2|2]                 1
  49  borsel        1 2 4\n3 3 2\n2 3 2\n\n4 4 4\n1 4 4\n3 …  2 4 4                                     0
  50  ospren        #....\n#....\n.#..#\n#....\n#....\n\n##…  .#...\n..#..\n.....\n..#..\n#....         0
  51  ospren        .###.\n#...#\n.....\n#...#\n#####\n\n..…  ..###\n##..#\n.....\n#####\n..###         1
  52  ospren        ..#.#\n.....\n##.#.\n.....\n...#.\n\n#.…  #.##.\n..###\n#....\n..###\n#.##.         0
  53  dornic        2S 4S 6H 6S 9S\n2D 4H 7C 10H JD\n\n2D 4…  2S 6S 10D 10C AS                          1
  54  ospren        .#..#\n.#..#\n..#..\n.....\n..#..\n\n##…  .#..#\n.....\n.....\n..#..\n.....         1
