Centaur Zendo round 4 (training)
round_id : 8f671bfe1a4f4afdaa0b386f19aea877
written  : 2026-09-05 12:26:38Z
presented=113  answered=113  correct=50  skipped=0
client answer latency: mean 1.643 ms  median 0.820 ms  max 18.735 ms  (n=113)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  ospren        .....\n.##.#\n.....\n.....\n.##.#\n\n#.…  .....\n..#..\n##.##\n.#..#\n.....         1
   1  kaldrin       [E]=[logs^]=[wool]=[coal^]=[sand]=[coal…  [E]=[milk^]=[pigs]=[wool^]=[wool]=[logs…  1
   2  borsel        4 4 2 3 4\n3 4 3 4 4\n3 3 3 3 5\n\n5 1 …  5 1 4 4 1                                 0
   3  ospren        .....\n#####\n#...#\n##.##\n.#.#.\n\n#.…  .....\n.....\n.###.\n.....\n.....         1
   4  mestrel       [1|1][3|0][0|3][3|2][5|1]\n[4|2][4|3][3…  [0|5][2|5][5|5][5|5][5|3][5|4][5|3]       0
   5  wisbek        6:30\n10:10\n\n12:00\n9:38\n1:00\n3:27\…  12:00                                     1
   6  ospren        .#...\n....#\n.....\n#.#.#\n.....\n\n##…  ##.#.\n.....\n###.#\n.....\n###.#         0
   7  borsel        4 4 4 4 4\n3 3 3 3 3\n\n6 6 6 6 6\n3 5 …  6 6 6 6 6                                 1
   8  borsel        3 2 1 3\n2 3 2 3\n1 1 3 1\n\n2 2 2 2\n1…  2 3 2 2                                   1
   9  wisbek        1:50\n11:43\n\n12:47\n10:32\n7:10\n2:21…  12:47                                     0
  10  wisbek        4:42\n11:50\n\n9:30\n1:02\n3:26\n7:02\n…  3:26                                      0
  11  ospren        ..#..\n.....\n.#..#\n.....\n..#..\n\n..…  ..#..\n#####\n#..#.\n.##..\n...#.         0
  12  wisbek        1:23\n9:32\n\n6:02\n4:19\n12:21\n7:07\n…  6:02                                      0
  13  borsel        1 5 4 4 2\n3 3 3 4 5\n\n6 2 3 6 1\n1 3 …  1 3 4 6 4                                 0
  14  kaldrin       [E]=[pigs^]=[coal^]=[logs^]=[milk^]=[lo…  [E]=[logs]=[sand]=[sand]=[pigs]=[sand^]…  1
  15  dornic        2D 2S 3D 10D AD\n2H 4C 6D 6S KS\n\n2D 8…  2D 8D KC KS AC                            0
  16  wisbek        10:10\n12:00\n\n1:23\n3:35\n2:09\n9:45\…  8:20                                      1
  17  wisbek        3:11\n12:55\n\n10:53\n7:48\n6:14\n5:22\…  5:22                                      1
  18  borsel        2 2 3 2 2\n3 1 2 3 2\n2 3 3 3 2\n\n1 1 …  1 3 1 1 1                                 1
  19  tresk         GRGGGBGBGG\nBBBBBRRR\n\nGBBBGBRB\nBGRBB…  GBBBGBRB                                  0
  20  tresk         GGGGBBGBBG\nGRRRGGBGG\n\nGBGGGR\nGGGGRB…  GGGRBB                                    1
  21  borsel        4 1 3 4\n2 6 2 2\n4 1 4 1\n\n1 5 1 5\n1…  1 5 2 2                                   0
  22  dornic        4D 6D 9D QD AS\n2H 7S 8C 8S 9S\n\n4H 6H…  4H 6H 9C 10C JC                           1
  23  kaldrin       [E]=[pigs]=[sand^]=[pigs]=[sand^]=[pigs…  [E]=[coal]=[coal]=[sand^]=[sand^]=[sand]  0
  24  tresk         GGGGRRGBRR\nRRRBGRRR\n\nRRGGRBRG\nRGRBR…  BGGRRRRG                                  0
  25  borsel        3 3 3 1\n2 1 1 3\n2 3 2 2\n\n1 1 3 1\n1…  1 1 3 1                                   1
  26  dornic        3C 4H 5S KC KS\n3D 5C 10D JH QC\n\n5C 6…  5C 6H 8D 9D KC                            1
  27  tresk         RRBGRBGRBG\nRGGGGGRBGR\n\nBRBGRGRGB\nBG…  BRBGRGRGB                                 0
  28  dornic        2S 4D 5C 9S KD\n6C 7D 7C 10C AD\n\n5D 6…  5D 6D 9S JH AH                            1
  29  ospren        .....\n.###.\n..#..\n.#.#.\n.....\n\n.#…  .....\n.....\n...#.\n##.#.\n#....         0
  30  mestrel       [3|3][5|4][1|4][5|6]\n[2|2][3|0][5|5][6…  [2|5][5|2][0|0][4|4]                      1
  31  kaldrin       [E]=[sand^]=[sand]=[sand]=[sand]=[sand^…  [E]=[wool]=[wool^]=[logs^]=[wool]=[logs…  0
  32  kaldrin       [E]=[wool^]=[milk^]=[milk]=[wool]=[wool…  [E]=[wool]=[wool^]=[wool]=[wool^]=[wool…  1
  33  kaldrin       [E]=[wool^]=[wool]=[milk^]=[wool^]\n[E]…  [E]=[coal^]=[coal]=[coal^]=[sand^]        1
  34  mestrel       [1|1][1|1][2|5][3|5][3|4][4|1]\n[2|2][2…  [3|3][0|0][3|6][6|0][6|3]                 1
  35  dornic        4D 8C 10S KH KS\n2C 5H 5D 10H 10C\n\n6S…  6S JS QD QC QS                            1
  36  borsel        3 4 6 6\n4 4 4 3\n3 6 6 6\n\n3 5 5 3\n6…  6 4 4 4                                   0
  37  mestrel       [1|1][5|6][1|4][5|3][2|2]\n[5|4][3|3][2…  [5|3][5|5][2|4][2|3][0|2][0|2]            0
  38  dornic        3S 4S 10H 10D AS\n2H 4H 7C 9H 10S\n\n4D…  4D 5D 7C KH AD                            1
  39  dornic        4D 9C JC QS KD\n2C 3S 7C 8D AH\n\n4S 5C…  5C 6S 7H 9S QC                            1
  40  wisbek        1:41\n12:26\n\n10:02\n3:56\n6:50\n2:31\…  3:56                                      0
  41  ospren        .##..\n#####\n#..##\n...##\n...##\n\n..…  #####\n#...#\n#...#\n#...#\n#...#         1
  42  dornic        4S 7H JH QH KH\n3C 4C 6C 9C AD\n\n8S 9C…  8S 9C JH QS KD                            0
